lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
25.0,33.0,23.0,20.0,28.0,35.0,22.0,8.0,10.0,33.0,29.0,28.0,38.0,39.0,23.0,16.0,19.0,22.0,41.0,37.0,37.0,24.0,35.0,53.0,45.0,38.0,51.0,32.0,34,0,0,1,0,0,0,0,34,30,1
33.0,23.0,20.0,28.0,35.0,22.0,8.0,10.0,33.0,29.0,28.0,38.0,39.0,23.0,16.0,19.0,22.0,41.0,37.0,37.0,24.0,35.0,53.0,45.0,38.0,51.0,32.0,34.0,37,0,0,0,1,0,0,0,37,31,1
23.0,20.0,28.0,35.0,22.0,8.0,10.0,33.0,29.0,28.0,38.0,39.0,23.0,16.0,19.0,22.0,41.0,37.0,37.0,24.0,35.0,53.0,45.0,38.0,51.0,32.0,34.0,37.0,41,0,1,0,0,0,0,0,41,1,2
20.0,28.0,35.0,22.0,8.0,10.0,33.0,29.0,28.0,38.0,39.0,23.0,16.0,19.0,22.0,41.0,37.0,37.0,24.0,35.0,53.0,45.0,38.0,51.0,32.0,34.0,37.0,41.0,31,0,0,0,0,0,1,0,31,2,2
28.0,35.0,22.0,8.0,10.0,33.0,29.0,28.0,38.0,39.0,23.0,16.0,19.0,22.0,41.0,37.0,37.0,24.0,35.0,53.0,45.0,38.0,51.0,32.0,34.0,37.0,41.0,31.0,17,0,0,0,0,0,0,1,17,3,2
35.0,22.0,8.0,10.0,33.0,29.0,28.0,38.0,39.0,23.0,16.0,19.0,22.0,41.0,37.0,37.0,24.0,35.0,53.0,45.0,38.0,51.0,32.0,34.0,37.0,41.0,31.0,17.0,18,0,0,0,0,1,0,0,18,4,2
22.0,8.0,10.0,33.0,29.0,28.0,38.0,39.0,23.0,16.0,19.0,22.0,41.0,37.0,37.0,24.0,35.0,53.0,45.0,38.0,51.0,32.0,34.0,37.0,41.0,31.0,17.0,18.0,18,1,0,0,0,0,0,0,18,5,2
8.0,10.0,33.0,29.0,28.0,38.0,39.0,23.0,16.0,19.0,22.0,41.0,37.0,37.0,24.0,35.0,53.0,45.0,38.0,51.0,32.0,34.0,37.0,41.0,31.0,17.0,18.0,18.0,38,0,0,1,0,0,0,0,38,6,2
10.0,33.0,29.0,28.0,38.0,39.0,23.0,16.0,19.0,22.0,41.0,37.0,37.0,24.0,35.0,53.0,45.0,38.0,51.0,32.0,34.0,37.0,41.0,31.0,17.0,18.0,18.0,38.0,26,0,0,0,1,0,0,0,26,7,2
33.0,29.0,28.0,38.0,39.0,23.0,16.0,19.0,22.0,41.0,37.0,37.0,24.0,35.0,53.0,45.0,38.0,51.0,32.0,34.0,37.0,41.0,31.0,17.0,18.0,18.0,38.0,26.0,35,0,1,0,0,0,0,0,35,8,2
29.0,28.0,38.0,39.0,23.0,16.0,19.0,22.0,41.0,37.0,37.0,24.0,35.0,53.0,45.0,38.0,51.0,32.0,34.0,37.0,41.0,31.0,17.0,18.0,18.0,38.0,26.0,35.0,43,0,0,0,0,0,1,0,43,9,2
28.0,38.0,39.0,23.0,16.0,19.0,22.0,41.0,37.0,37.0,24.0,35.0,53.0,45.0,38.0,51.0,32.0,34.0,37.0,41.0,31.0,17.0,18.0,18.0,38.0,26.0,35.0,43.0,25,0,0,0,0,0,0,1,25,10,2
38.0,39.0,23.0,16.0,19.0,22.0,41.0,37.0,37.0,24.0,35.0,53.0,45.0,38.0,51.0,32.0,34.0,37.0,41.0,31.0,17.0,18.0,18.0,38.0,26.0,35.0,43.0,25.0,28,0,0,0,0,1,0,0,28,11,2
39.0,23.0,16.0,19.0,22.0,41.0,37.0,37.0,24.0,35.0,53.0,45.0,38.0,51.0,32.0,34.0,37.0,41.0,31.0,17.0,18.0,18.0,38.0,26.0,35.0,43.0,25.0,28.0,29,1,0,0,0,0,0,0,29,12,2
