lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
8.0,4.0,3.0,6.0,6.0,6.0,6.0,8.0,11.0,18.0,8.0,10.0,12.0,14.0,13.0,36.0,40.0,44.0,45.0,43.0,43.0,46.0,42.0,42.0,42.0,46.0,35.0,40.0,44,0,0,0,0,1,0,0,44,14,4
4.0,3.0,6.0,6.0,6.0,6.0,8.0,11.0,18.0,8.0,10.0,12.0,14.0,13.0,36.0,40.0,44.0,45.0,43.0,43.0,46.0,42.0,42.0,42.0,46.0,35.0,40.0,44.0,41,1,0,0,0,0,0,0,41,15,4
3.0,6.0,6.0,6.0,6.0,8.0,11.0,18.0,8.0,10.0,12.0,14.0,13.0,36.0,40.0,44.0,45.0,43.0,43.0,46.0,42.0,42.0,42.0,46.0,35.0,40.0,44.0,41.0,51,0,0,1,0,0,0,0,51,16,4
6.0,6.0,6.0,6.0,8.0,11.0,18.0,8.0,10.0,12.0,14.0,13.0,36.0,40.0,44.0,45.0,43.0,43.0,46.0,42.0,42.0,42.0,46.0,35.0,40.0,44.0,41.0,51.0,44,0,0,0,1,0,0,0,44,17,4
6.0,6.0,6.0,8.0,11.0,18.0,8.0,10.0,12.0,14.0,13.0,36.0,40.0,44.0,45.0,43.0,43.0,46.0,42.0,42.0,42.0,46.0,35.0,40.0,44.0,41.0,51.0,44.0,71,0,1,0,0,0,0,0,71,18,4
6.0,6.0,8.0,11.0,18.0,8.0,10.0,12.0,14.0,13.0,36.0,40.0,44.0,45.0,43.0,43.0,46.0,42.0,42.0,42.0,46.0,35.0,40.0,44.0,41.0,51.0,44.0,71.0,97,0,0,0,0,0,1,0,97,19,4
6.0,8.0,11.0,18.0,8.0,10.0,12.0,14.0,13.0,36.0,40.0,44.0,45.0,43.0,43.0,46.0,42.0,42.0,42.0,46.0,35.0,40.0,44.0,41.0,51.0,44.0,71.0,97.0,51,0,0,0,0,0,0,1,51,20,4
8.0,11.0,18.0,8.0,10.0,12.0,14.0,13.0,36.0,40.0,44.0,45.0,43.0,43.0,46.0,42.0,42.0,42.0,46.0,35.0,40.0,44.0,41.0,51.0,44.0,71.0,97.0,51.0,48,0,0,0,0,1,0,0,48,21,4
11.0,18.0,8.0,10.0,12.0,14.0,13.0,36.0,40.0,44.0,45.0,43.0,43.0,46.0,42.0,42.0,42.0,46.0,35.0,40.0,44.0,41.0,51.0,44.0,71.0,97.0,51.0,48.0,44,1,0,0,0,0,0,0,44,22,4
18.0,8.0,10.0,12.0,14.0,13.0,36.0,40.0,44.0,45.0,43.0,43.0,46.0,42.0,42.0,42.0,46.0,35.0,40.0,44.0,41.0,51.0,44.0,71.0,97.0,51.0,48.0,44.0,40,0,0,1,0,0,0,0,40,23,4
