lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
29.0,29.0,34.0,54.0,58.0,55.0,28.0,28.0,26.0,34.0,35.0,19.0,31.0,28.0,27.0,29.0,29.0,25.0,49.0,35.0,28.0,30.0,40.0,30.0,28.0,31.0,19.0,30.0,25,0,0,1,0,0,0,0,25,30,1
29.0,34.0,54.0,58.0,55.0,28.0,28.0,26.0,34.0,35.0,19.0,31.0,28.0,27.0,29.0,29.0,25.0,49.0,35.0,28.0,30.0,40.0,30.0,28.0,31.0,19.0,30.0,25.0,23,0,0,0,1,0,0,0,23,31,1
34.0,54.0,58.0,55.0,28.0,28.0,26.0,34.0,35.0,19.0,31.0,28.0,27.0,29.0,29.0,25.0,49.0,35.0,28.0,30.0,40.0,30.0,28.0,31.0,19.0,30.0,25.0,23.0,32,0,1,0,0,0,0,0,32,1,2
54.0,58.0,55.0,28.0,28.0,26.0,34.0,35.0,19.0,31.0,28.0,27.0,29.0,29.0,25.0,49.0,35.0,28.0,30.0,40.0,30.0,28.0,31.0,19.0,30.0,25.0,23.0,32.0,34,0,0,0,0,0,1,0,34,2,2
58.0,55.0,28.0,28.0,26.0,34.0,35.0,19.0,31.0,28.0,27.0,29.0,29.0,25.0,49.0,35.0,28.0,30.0,40.0,30.0,28.0,31.0,19.0,30.0,25.0,23.0,32.0,34.0,33,0,0,0,0,0,0,1,33,3,2
55.0,28.0,28.0,26.0,34.0,35.0,19.0,31.0,28.0,27.0,29.0,29.0,25.0,49.0,35.0,28.0,30.0,40.0,30.0,28.0,31.0,19.0,30.0,25.0,23.0,32.0,34.0,33.0,22,0,0,0,0,1,0,0,22,4,2
28.0,28.0,26.0,34.0,35.0,19.0,31.0,28.0,27.0,29.0,29.0,25.0,49.0,35.0,28.0,30.0,40.0,30.0,28.0,31.0,19.0,30.0,25.0,23.0,32.0,34.0,33.0,22.0,21,1,0,0,0,0,0,0,21,5,2
28.0,26.0,34.0,35.0,19.0,31.0,28.0,27.0,29.0,29.0,25.0,49.0,35.0,28.0,30.0,40.0,30.0,28.0,31.0,19.0,30.0,25.0,23.0,32.0,34.0,33.0,22.0,21.0,34,0,0,1,0,0,0,0,34,6,2
26.0,34.0,35.0,19.0,31.0,28.0,27.0,29.0,29.0,25.0,49.0,35.0,28.0,30.0,40.0,30.0,28.0,31.0,19.0,30.0,25.0,23.0,32.0,34.0,33.0,22.0,21.0,34.0,34,0,0,0,1,0,0,0,34,7,2
34.0,35.0,19.0,31.0,28.0,27.0,29.0,29.0,25.0,49.0,35.0,28.0,30.0,40.0,30.0,28.0,31.0,19.0,30.0,25.0,23.0,32.0,34.0,33.0,22.0,21.0,34.0,34.0,29,0,1,0,0,0,0,0,29,8,2
35.0,19.0,31.0,28.0,27.0,29.0,29.0,25.0,49.0,35.0,28.0,30.0,40.0,30.0,28.0,31.0,19.0,30.0,25.0,23.0,32.0,34.0,33.0,22.0,21.0,34.0,34.0,29.0,20,0,0,0,0,0,1,0,20,9,2
19.0,31.0,28.0,27.0,29.0,29.0,25.0,49.0,35.0,28.0,30.0,40.0,30.0,28.0,31.0,19.0,30.0,25.0,23.0,32.0,34.0,33.0,22.0,21.0,34.0,34.0,29.0,20.0,37,0,0,0,0,0,0,1,37,10,2
31.0,28.0,27.0,29.0,29.0,25.0,49.0,35.0,28.0,30.0,40.0,30.0,28.0,31.0,19.0,30.0,25.0,23.0,32.0,34.0,33.0,22.0,21.0,34.0,34.0,29.0,20.0,37.0,38,0,0,0,0,1,0,0,38,11,2
28.0,27.0,29.0,29.0,25.0,49.0,35.0,28.0,30.0,40.0,30.0,28.0,31.0,19.0,30.0,25.0,23.0,32.0,34.0,33.0,22.0,21.0,34.0,34.0,29.0,20.0,37.0,38.0,32,1,0,0,0,0,0,0,32,12,2
27.0,29.0,29.0,25.0,49.0,35.0,28.0,30.0,40.0,30.0,28.0,31.0,19.0,30.0,25.0,23.0,32.0,34.0,33.0,22.0,21.0,34.0,34.0,29.0,20.0,37.0,38.0,32.0,27,0,0,1,0,0,0,0,27,13,2
29.0,29.0,25.0,49.0,35.0,28.0,30.0,40.0,30.0,28.0,31.0,19.0,30.0,25.0,23.0,32.0,34.0,33.0,22.0,21.0,34.0,34.0,29.0,20.0,37.0,38.0,32.0,27.0,27,0,0,0,1,0,0,0,27,14,2
29.0,25.0,49.0,35.0,28.0,30.0,40.0,30.0,28.0,31.0,19.0,30.0,25.0,23.0,32.0,34.0,33.0,22.0,21.0,34.0,34.0,29.0,20.0,37.0,38.0,32.0,27.0,27.0,28,0,1,0,0,0,0,0,28,15,2
25.0,49.0,35.0,28.0,30.0,40.0,30.0,28.0,31.0,19.0,30.0,25.0,23.0,32.0,34.0,33.0,22.0,21.0,34.0,34.0,29.0,20.0,37.0,38.0,32.0,27.0,27.0,28.0,24,0,0,0,0,0,1,0,24,16,2
49.0,35.0,28.0,30.0,40.0,30.0,28.0,31.0,19.0,30.0,25.0,23.0,32.0,34.0,33.0,22.0,21.0,34.0,34.0,29.0,20.0,37.0,38.0,32.0,27.0,27.0,28.0,24.0,22,0,0,0,0,0,0,1,22,17,2
35.0,28.0,30.0,40.0,30.0,28.0,31.0,19.0,30.0,25.0,23.0,32.0,34.0,33.0,22.0,21.0,34.0,34.0,29.0,20.0,37.0,38.0,32.0,27.0,27.0,28.0,24.0,22.0,23,0,0,0,0,1,0,0,23,18,2
28.0,30.0,40.0,30.0,28.0,31.0,19.0,30.0,25.0,23.0,32.0,34.0,33.0,22.0,21.0,34.0,34.0,29.0,20.0,37.0,38.0,32.0,27.0,27.0,28.0,24.0,22.0,23.0,29,1,0,0,0,0,0,0,29,19,2
30.0,40.0,30.0,28.0,31.0,19.0,30.0,25.0,23.0,32.0,34.0,33.0,22.0,21.0,34.0,34.0,29.0,20.0,37.0,38.0,32.0,27.0,27.0,28.0,24.0,22.0,23.0,29.0,21,0,0,1,0,0,0,0,21,20,2
40.0,30.0,28.0,31.0,19.0,30.0,25.0,23.0,32.0,34.0,33.0,22.0,21.0,34.0,34.0,29.0,20.0,37.0,38.0,32.0,27.0,27.0,28.0,24.0,22.0,23.0,29.0,21.0,23,0,0,0,1,0,0,0,23,21,2
30.0,28.0,31.0,19.0,30.0,25.0,23.0,32.0,34.0,33.0,22.0,21.0,34.0,34.0,29.0,20.0,37.0,38.0,32.0,27.0,27.0,28.0,24.0,22.0,23.0,29.0,21.0,23.0,29,0,1,0,0,0,0,0,29,22,2
28.0,31.0,19.0,30.0,25.0,23.0,32.0,34.0,33.0,22.0,21.0,34.0,34.0,29.0,20.0,37.0,38.0,32.0,27.0,27.0,28.0,24.0,22.0,23.0,29.0,21.0,23.0,29.0,32,0,0,0,0,0,1,0,32,23,2
31.0,19.0,30.0,25.0,23.0,32.0,34.0,33.0,22.0,21.0,34.0,34.0,29.0,20.0,37.0,38.0,32.0,27.0,27.0,28.0,24.0,22.0,23.0,29.0,21.0,23.0,29.0,32.0,31,0,0,0,0,0,0,1,31,24,2
19.0,30.0,25.0,23.0,32.0,34.0,33.0,22.0,21.0,34.0,34.0,29.0,20.0,37.0,38.0,32.0,27.0,27.0,28.0,24.0,22.0,23.0,29.0,21.0,23.0,29.0,32.0,31.0,31,0,0,0,0,1,0,0,31,25,2
30.0,25.0,23.0,32.0,34.0,33.0,22.0,21.0,34.0,34.0,29.0,20.0,37.0,38.0,32.0,27.0,27.0,28.0,24.0,22.0,23.0,29.0,21.0,23.0,29.0,32.0,31.0,31.0,31,1,0,0,0,0,0,0,31,26,2
25.0,23.0,32.0,34.0,33.0,22.0,21.0,34.0,34.0,29.0,20.0,37.0,38.0,32.0,27.0,27.0,28.0,24.0,22.0,23.0,29.0,21.0,23.0,29.0,32.0,31.0,31.0,31.0,29,0,0,1,0,0,0,0,29,27,2
23.0,32.0,34.0,33.0,22.0,21.0,34.0,34.0,29.0,20.0,37.0,38.0,32.0,27.0,27.0,28.0,24.0,22.0,23.0,29.0,21.0,23.0,29.0,32.0,31.0,31.0,31.0,29.0,32,0,0,0,1,0,0,0,32,28,2
32.0,34.0,33.0,22.0,21.0,34.0,34.0,29.0,20.0,37.0,38.0,32.0,27.0,27.0,28.0,24.0,22.0,23.0,29.0,21.0,23.0,29.0,32.0,31.0,31.0,31.0,29.0,32.0,31,0,1,0,0,0,0,0,31,29,2
34.0,33.0,22.0,21.0,34.0,34.0,29.0,20.0,37.0,38.0,32.0,27.0,27.0,28.0,24.0,22.0,23.0,29.0,21.0,23.0,29.0,32.0,31.0,31.0,31.0,29.0,32.0,31.0,24,0,0,0,0,0,1,0,24,1,3
33.0,22.0,21.0,34.0,34.0,29.0,20.0,37.0,38.0,32.0,27.0,27.0,28.0,24.0,22.0,23.0,29.0,21.0,23.0,29.0,32.0,31.0,31.0,31.0,29.0,32.0,31.0,24.0,40,0,0,0,0,0,0,1,40,2,3
22.0,21.0,34.0,34.0,29.0,20.0,37.0,38.0,32.0,27.0,27.0,28.0,24.0,22.0,23.0,29.0,21.0,23.0,29.0,32.0,31.0,31.0,31.0,29.0,32.0,31.0,24.0,40.0,38,0,0,0,0,1,0,0,38,3,3
21.0,34.0,34.0,29.0,20.0,37.0,38.0,32.0,27.0,27.0,28.0,24.0,22.0,23.0,29.0,21.0,23.0,29.0,32.0,31.0,31.0,31.0,29.0,32.0,31.0,24.0,40.0,38.0,27,1,0,0,0,0,0,0,27,4,3
34.0,34.0,29.0,20.0,37.0,38.0,32.0,27.0,27.0,28.0,24.0,22.0,23.0,29.0,21.0,23.0,29.0,32.0,31.0,31.0,31.0,29.0,32.0,31.0,24.0,40.0,38.0,27.0,32,0,0,1,0,0,0,0,32,5,3
34.0,29.0,20.0,37.0,38.0,32.0,27.0,27.0,28.0,24.0,22.0,23.0,29.0,21.0,23.0,29.0,32.0,31.0,31.0,31.0,29.0,32.0,31.0,24.0,40.0,38.0,27.0,32.0,35,0,0,0,1,0,0,0,35,6,3
29.0,20.0,37.0,38.0,32.0,27.0,27.0,28.0,24.0,22.0,23.0,29.0,21.0,23.0,29.0,32.0,31.0,31.0,31.0,29.0,32.0,31.0,24.0,40.0,38.0,27.0,32.0,35.0,29,0,1,0,0,0,0,0,29,7,3
20.0,37.0,38.0,32.0,27.0,27.0,28.0,24.0,22.0,23.0,29.0,21.0,23.0,29.0,32.0,31.0,31.0,31.0,29.0,32.0,31.0,24.0,40.0,38.0,27.0,32.0,35.0,29.0,51,0,0,0,0,0,1,0,51,8,3
37.0,38.0,32.0,27.0,27.0,28.0,24.0,22.0,23.0,29.0,21.0,23.0,29.0,32.0,31.0,31.0,31.0,29.0,32.0,31.0,24.0,40.0,38.0,27.0,32.0,35.0,29.0,51.0,29,0,0,0,0,0,0,1,29,9,3
38.0,32.0,27.0,27.0,28.0,24.0,22.0,23.0,29.0,21.0,23.0,29.0,32.0,31.0,31.0,31.0,29.0,32.0,31.0,24.0,40.0,38.0,27.0,32.0,35.0,29.0,51.0,29.0,35,0,0,0,0,1,0,0,35,10,3
32.0,27.0,27.0,28.0,24.0,22.0,23.0,29.0,21.0,23.0,29.0,32.0,31.0,31.0,31.0,29.0,32.0,31.0,24.0,40.0,38.0,27.0,32.0,35.0,29.0,51.0,29.0,35.0,37,1,0,0,0,0,0,0,37,11,3
27.0,27.0,28.0,24.0,22.0,23.0,29.0,21.0,23.0,29.0,32.0,31.0,31.0,31.0,29.0,32.0,31.0,24.0,40.0,38.0,27.0,32.0,35.0,29.0,51.0,29.0,35.0,37.0,34,0,0,1,0,0,0,0,34,12,3
27.0,28.0,24.0,22.0,23.0,29.0,21.0,23.0,29.0,32.0,31.0,31.0,31.0,29.0,32.0,31.0,24.0,40.0,38.0,27.0,32.0,35.0,29.0,51.0,29.0,35.0,37.0,34.0,42,0,0,0,1,0,0,0,42,13,3
28.0,24.0,22.0,23.0,29.0,21.0,23.0,29.0,32.0,31.0,31.0,31.0,29.0,32.0,31.0,24.0,40.0,38.0,27.0,32.0,35.0,29.0,51.0,29.0,35.0,37.0,34.0,42.0,31,0,1,0,0,0,0,0,31,14,3
24.0,22.0,23.0,29.0,21.0,23.0,29.0,32.0,31.0,31.0,31.0,29.0,32.0,31.0,24.0,40.0,38.0,27.0,32.0,35.0,29.0,51.0,29.0,35.0,37.0,34.0,42.0,31.0,34,0,0,0,0,0,1,0,34,15,3
