lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
24.0,31.0,28.0,38.0,90.0,81.0,72.0,42.0,29.0,44.0,32.0,57.0,54.0,46.0,31.0,27.0,22.0,50.0,62.0,64.0,56.0,31.0,38.0,67.0,30.0,25.0,54.0,37.0,110,0,0,1,0,0,0,0,110,30,1
31.0,28.0,38.0,90.0,81.0,72.0,42.0,29.0,44.0,32.0,57.0,54.0,46.0,31.0,27.0,22.0,50.0,62.0,64.0,56.0,31.0,38.0,67.0,30.0,25.0,54.0,37.0,110.0,97,0,0,0,1,0,0,0,97,31,1
28.0,38.0,90.0,81.0,72.0,42.0,29.0,44.0,32.0,57.0,54.0,46.0,31.0,27.0,22.0,50.0,62.0,64.0,56.0,31.0,38.0,67.0,30.0,25.0,54.0,37.0,110.0,97.0,34,0,1,0,0,0,0,0,34,1,2
38.0,90.0,81.0,72.0,42.0,29.0,44.0,32.0,57.0,54.0,46.0,31.0,27.0,22.0,50.0,62.0,64.0,56.0,31.0,38.0,67.0,30.0,25.0,54.0,37.0,110.0,97.0,34.0,52,0,0,0,0,0,1,0,52,2,2
90.0,81.0,72.0,42.0,29.0,44.0,32.0,57.0,54.0,46.0,31.0,27.0,22.0,50.0,62.0,64.0,56.0,31.0,38.0,67.0,30.0,25.0,54.0,37.0,110.0,97.0,34.0,52.0,41,0,0,0,0,0,0,1,41,3,2
81.0,72.0,42.0,29.0,44.0,32.0,57.0,54.0,46.0,31.0,27.0,22.0,50.0,62.0,64.0,56.0,31.0,38.0,67.0,30.0,25.0,54.0,37.0,110.0,97.0,34.0,52.0,41.0,37,0,0,0,0,1,0,0,37,4,2
72.0,42.0,29.0,44.0,32.0,57.0,54.0,46.0,31.0,27.0,22.0,50.0,62.0,64.0,56.0,31.0,38.0,67.0,30.0,25.0,54.0,37.0,110.0,97.0,34.0,52.0,41.0,37.0,40,1,0,0,0,0,0,0,40,5,2
42.0,29.0,44.0,32.0,57.0,54.0,46.0,31.0,27.0,22.0,50.0,62.0,64.0,56.0,31.0,38.0,67.0,30.0,25.0,54.0,37.0,110.0,97.0,34.0,52.0,41.0,37.0,40.0,53,0,0,1,0,0,0,0,53,6,2
29.0,44.0,32.0,57.0,54.0,46.0,31.0,27.0,22.0,50.0,62.0,64.0,56.0,31.0,38.0,67.0,30.0,25.0,54.0,37.0,110.0,97.0,34.0,52.0,41.0,37.0,40.0,53.0,44,0,0,0,1,0,0,0,44,7,2
44.0,32.0,57.0,54.0,46.0,31.0,27.0,22.0,50.0,62.0,64.0,56.0,31.0,38.0,67.0,30.0,25.0,54.0,37.0,110.0,97.0,34.0,52.0,41.0,37.0,40.0,53.0,44.0,44,0,1,0,0,0,0,0,44,8,2
