lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
56.0,54.0,42.0,63.0,83.0,84.0,105.0,62.0,32.0,52.0,56.0,67.0,62.0,78.0,55.0,52.0,53.0,60.0,78.0,81.0,72.0,44.0,78.0,74.0,57.0,52.0,61.0,54.0,62,0,0,1,0,0,0,0,62,30,1
54.0,42.0,63.0,83.0,84.0,105.0,62.0,32.0,52.0,56.0,67.0,62.0,78.0,55.0,52.0,53.0,60.0,78.0,81.0,72.0,44.0,78.0,74.0,57.0,52.0,61.0,54.0,62.0,61,0,0,0,1,0,0,0,61,31,1
42.0,63.0,83.0,84.0,105.0,62.0,32.0,52.0,56.0,67.0,62.0,78.0,55.0,52.0,53.0,60.0,78.0,81.0,72.0,44.0,78.0,74.0,57.0,52.0,61.0,54.0,62.0,61.0,51,0,1,0,0,0,0,0,51,1,2
63.0,83.0,84.0,105.0,62.0,32.0,52.0,56.0,67.0,62.0,78.0,55.0,52.0,53.0,60.0,78.0,81.0,72.0,44.0,78.0,74.0,57.0,52.0,61.0,54.0,62.0,61.0,51.0,57,0,0,0,0,0,1,0,57,2,2
83.0,84.0,105.0,62.0,32.0,52.0,56.0,67.0,62.0,78.0,55.0,52.0,53.0,60.0,78.0,81.0,72.0,44.0,78.0,74.0,57.0,52.0,61.0,54.0,62.0,61.0,51.0,57.0,45,0,0,0,0,0,0,1,45,3,2
84.0,105.0,62.0,32.0,52.0,56.0,67.0,62.0,78.0,55.0,52.0,53.0,60.0,78.0,81.0,72.0,44.0,78.0,74.0,57.0,52.0,61.0,54.0,62.0,61.0,51.0,57.0,45.0,48,0,0,0,0,1,0,0,48,4,2
105.0,62.0,32.0,52.0,56.0,67.0,62.0,78.0,55.0,52.0,53.0,60.0,78.0,81.0,72.0,44.0,78.0,74.0,57.0,52.0,61.0,54.0,62.0,61.0,51.0,57.0,45.0,48.0,59,1,0,0,0,0,0,0,59,5,2
62.0,32.0,52.0,56.0,67.0,62.0,78.0,55.0,52.0,53.0,60.0,78.0,81.0,72.0,44.0,78.0,74.0,57.0,52.0,61.0,54.0,62.0,61.0,51.0,57.0,45.0,48.0,59.0,58,0,0,1,0,0,0,0,58,6,2
32.0,52.0,56.0,67.0,62.0,78.0,55.0,52.0,53.0,60.0,78.0,81.0,72.0,44.0,78.0,74.0,57.0,52.0,61.0,54.0,62.0,61.0,51.0,57.0,45.0,48.0,59.0,58.0,76,0,0,0,1,0,0,0,76,7,2
52.0,56.0,67.0,62.0,78.0,55.0,52.0,53.0,60.0,78.0,81.0,72.0,44.0,78.0,74.0,57.0,52.0,61.0,54.0,62.0,61.0,51.0,57.0,45.0,48.0,59.0,58.0,76.0,74,0,1,0,0,0,0,0,74,8,2
