lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
43.0,29.0,13.0,32.0,46.0,56.0,60.0,47.0,20.0,30.0,26.0,50.0,51.0,39.0,21.0,20.0,20.0,21.0,47.0,54.0,44.0,17.0,42.0,40.0,40.0,35.0,50.0,18.0,43,0,0,1,0,0,0,0,43,30,1
29.0,13.0,32.0,46.0,56.0,60.0,47.0,20.0,30.0,26.0,50.0,51.0,39.0,21.0,20.0,20.0,21.0,47.0,54.0,44.0,17.0,42.0,40.0,40.0,35.0,50.0,18.0,43.0,38,0,0,0,1,0,0,0,38,31,1
13.0,32.0,46.0,56.0,60.0,47.0,20.0,30.0,26.0,50.0,51.0,39.0,21.0,20.0,20.0,21.0,47.0,54.0,44.0,17.0,42.0,40.0,40.0,35.0,50.0,18.0,43.0,38.0,33,0,1,0,0,0,0,0,33,1,2
32.0,46.0,56.0,60.0,47.0,20.0,30.0,26.0,50.0,51.0,39.0,21.0,20.0,20.0,21.0,47.0,54.0,44.0,17.0,42.0,40.0,40.0,35.0,50.0,18.0,43.0,38.0,33.0,25,0,0,0,0,0,1,0,25,2,2
46.0,56.0,60.0,47.0,20.0,30.0,26.0,50.0,51.0,39.0,21.0,20.0,20.0,21.0,47.0,54.0,44.0,17.0,42.0,40.0,40.0,35.0,50.0,18.0,43.0,38.0,33.0,25.0,25,0,0,0,0,0,0,1,25,3,2
56.0,60.0,47.0,20.0,30.0,26.0,50.0,51.0,39.0,21.0,20.0,20.0,21.0,47.0,54.0,44.0,17.0,42.0,40.0,40.0,35.0,50.0,18.0,43.0,38.0,33.0,25.0,25.0,27,0,0,0,0,1,0,0,27,4,2
60.0,47.0,20.0,30.0,26.0,50.0,51.0,39.0,21.0,20.0,20.0,21.0,47.0,54.0,44.0,17.0,42.0,40.0,40.0,35.0,50.0,18.0,43.0,38.0,33.0,25.0,25.0,27.0,30,1,0,0,0,0,0,0,30,5,2
47.0,20.0,30.0,26.0,50.0,51.0,39.0,21.0,20.0,20.0,21.0,47.0,54.0,44.0,17.0,42.0,40.0,40.0,35.0,50.0,18.0,43.0,38.0,33.0,25.0,25.0,27.0,30.0,52,0,0,1,0,0,0,0,52,6,2
20.0,30.0,26.0,50.0,51.0,39.0,21.0,20.0,20.0,21.0,47.0,54.0,44.0,17.0,42.0,40.0,40.0,35.0,50.0,18.0,43.0,38.0,33.0,25.0,25.0,27.0,30.0,52.0,51,0,0,0,1,0,0,0,51,7,2
30.0,26.0,50.0,51.0,39.0,21.0,20.0,20.0,21.0,47.0,54.0,44.0,17.0,42.0,40.0,40.0,35.0,50.0,18.0,43.0,38.0,33.0,25.0,25.0,27.0,30.0,52.0,51.0,52,0,1,0,0,0,0,0,52,8,2
26.0,50.0,51.0,39.0,21.0,20.0,20.0,21.0,47.0,54.0,44.0,17.0,42.0,40.0,40.0,35.0,50.0,18.0,43.0,38.0,33.0,25.0,25.0,27.0,30.0,52.0,51.0,52.0,36,0,0,0,0,0,1,0,36,9,2
50.0,51.0,39.0,21.0,20.0,20.0,21.0,47.0,54.0,44.0,17.0,42.0,40.0,40.0,35.0,50.0,18.0,43.0,38.0,33.0,25.0,25.0,27.0,30.0,52.0,51.0,52.0,36.0,14,0,0,0,0,0,0,1,14,10,2
51.0,39.0,21.0,20.0,20.0,21.0,47.0,54.0,44.0,17.0,42.0,40.0,40.0,35.0,50.0,18.0,43.0,38.0,33.0,25.0,25.0,27.0,30.0,52.0,51.0,52.0,36.0,14.0,6,0,0,0,0,1,0,0,6,11,2
39.0,21.0,20.0,20.0,21.0,47.0,54.0,44.0,17.0,42.0,40.0,40.0,35.0,50.0,18.0,43.0,38.0,33.0,25.0,25.0,27.0,30.0,52.0,51.0,52.0,36.0,14.0,6.0,30,1,0,0,0,0,0,0,30,12,2
21.0,20.0,20.0,21.0,47.0,54.0,44.0,17.0,42.0,40.0,40.0,35.0,50.0,18.0,43.0,38.0,33.0,25.0,25.0,27.0,30.0,52.0,51.0,52.0,36.0,14.0,6.0,30.0,5,0,0,1,0,0,0,0,5,13,2
20.0,20.0,21.0,47.0,54.0,44.0,17.0,42.0,40.0,40.0,35.0,50.0,18.0,43.0,38.0,33.0,25.0,25.0,27.0,30.0,52.0,51.0,52.0,36.0,14.0,6.0,30.0,5.0,12,0,0,0,1,0,0,0,12,14,2
20.0,21.0,47.0,54.0,44.0,17.0,42.0,40.0,40.0,35.0,50.0,18.0,43.0,38.0,33.0,25.0,25.0,27.0,30.0,52.0,51.0,52.0,36.0,14.0,6.0,30.0,5.0,12.0,49,0,1,0,0,0,0,0,49,15,2
21.0,47.0,54.0,44.0,17.0,42.0,40.0,40.0,35.0,50.0,18.0,43.0,38.0,33.0,25.0,25.0,27.0,30.0,52.0,51.0,52.0,36.0,14.0,6.0,30.0,5.0,12.0,49.0,56,0,0,0,0,0,1,0,56,16,2
47.0,54.0,44.0,17.0,42.0,40.0,40.0,35.0,50.0,18.0,43.0,38.0,33.0,25.0,25.0,27.0,30.0,52.0,51.0,52.0,36.0,14.0,6.0,30.0,5.0,12.0,49.0,56.0,44,0,0,0,0,0,0,1,44,17,2
54.0,44.0,17.0,42.0,40.0,40.0,35.0,50.0,18.0,43.0,38.0,33.0,25.0,25.0,27.0,30.0,52.0,51.0,52.0,36.0,14.0,6.0,30.0,5.0,12.0,49.0,56.0,44.0,26,0,0,0,0,1,0,0,26,18,2
44.0,17.0,42.0,40.0,40.0,35.0,50.0,18.0,43.0,38.0,33.0,25.0,25.0,27.0,30.0,52.0,51.0,52.0,36.0,14.0,6.0,30.0,5.0,12.0,49.0,56.0,44.0,26.0,31,1,0,0,0,0,0,0,31,19,2
