lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
29.0,24.0,17.0,25.0,48.0,59.0,42.0,29.0,21.0,20.0,20.0,22.0,34.0,38.0,31.0,37.0,20.0,28.0,38.0,40.0,36.0,22.0,51.0,48.0,27.0,33.0,40.0,28.0,29,0,0,1,0,0,0,0,29,30,1
24.0,17.0,25.0,48.0,59.0,42.0,29.0,21.0,20.0,20.0,22.0,34.0,38.0,31.0,37.0,20.0,28.0,38.0,40.0,36.0,22.0,51.0,48.0,27.0,33.0,40.0,28.0,29.0,26,0,0,0,1,0,0,0,26,31,1
17.0,25.0,48.0,59.0,42.0,29.0,21.0,20.0,20.0,22.0,34.0,38.0,31.0,37.0,20.0,28.0,38.0,40.0,36.0,22.0,51.0,48.0,27.0,33.0,40.0,28.0,29.0,26.0,43,0,1,0,0,0,0,0,43,1,2
25.0,48.0,59.0,42.0,29.0,21.0,20.0,20.0,22.0,34.0,38.0,31.0,37.0,20.0,28.0,38.0,40.0,36.0,22.0,51.0,48.0,27.0,33.0,40.0,28.0,29.0,26.0,43.0,33,0,0,0,0,0,1,0,33,2,2
48.0,59.0,42.0,29.0,21.0,20.0,20.0,22.0,34.0,38.0,31.0,37.0,20.0,28.0,38.0,40.0,36.0,22.0,51.0,48.0,27.0,33.0,40.0,28.0,29.0,26.0,43.0,33.0,20,0,0,0,0,0,0,1,20,3,2
59.0,42.0,29.0,21.0,20.0,20.0,22.0,34.0,38.0,31.0,37.0,20.0,28.0,38.0,40.0,36.0,22.0,51.0,48.0,27.0,33.0,40.0,28.0,29.0,26.0,43.0,33.0,20.0,20,0,0,0,0,1,0,0,20,4,2
42.0,29.0,21.0,20.0,20.0,22.0,34.0,38.0,31.0,37.0,20.0,28.0,38.0,40.0,36.0,22.0,51.0,48.0,27.0,33.0,40.0,28.0,29.0,26.0,43.0,33.0,20.0,20.0,30,1,0,0,0,0,0,0,30,5,2
29.0,21.0,20.0,20.0,22.0,34.0,38.0,31.0,37.0,20.0,28.0,38.0,40.0,36.0,22.0,51.0,48.0,27.0,33.0,40.0,28.0,29.0,26.0,43.0,33.0,20.0,20.0,30.0,33,0,0,1,0,0,0,0,33,6,2
21.0,20.0,20.0,22.0,34.0,38.0,31.0,37.0,20.0,28.0,38.0,40.0,36.0,22.0,51.0,48.0,27.0,33.0,40.0,28.0,29.0,26.0,43.0,33.0,20.0,20.0,30.0,33.0,44,0,0,0,1,0,0,0,44,7,2
20.0,20.0,22.0,34.0,38.0,31.0,37.0,20.0,28.0,38.0,40.0,36.0,22.0,51.0,48.0,27.0,33.0,40.0,28.0,29.0,26.0,43.0,33.0,20.0,20.0,30.0,33.0,44.0,31,0,1,0,0,0,0,0,31,8,2
20.0,22.0,34.0,38.0,31.0,37.0,20.0,28.0,38.0,40.0,36.0,22.0,51.0,48.0,27.0,33.0,40.0,28.0,29.0,26.0,43.0,33.0,20.0,20.0,30.0,33.0,44.0,31.0,25,0,0,0,0,0,1,0,25,9,2
22.0,34.0,38.0,31.0,37.0,20.0,28.0,38.0,40.0,36.0,22.0,51.0,48.0,27.0,33.0,40.0,28.0,29.0,26.0,43.0,33.0,20.0,20.0,30.0,33.0,44.0,31.0,25.0,26,0,0,0,0,0,0,1,26,10,2
34.0,38.0,31.0,37.0,20.0,28.0,38.0,40.0,36.0,22.0,51.0,48.0,27.0,33.0,40.0,28.0,29.0,26.0,43.0,33.0,20.0,20.0,30.0,33.0,44.0,31.0,25.0,26.0,28,0,0,0,0,1,0,0,28,11,2
38.0,31.0,37.0,20.0,28.0,38.0,40.0,36.0,22.0,51.0,48.0,27.0,33.0,40.0,28.0,29.0,26.0,43.0,33.0,20.0,20.0,30.0,33.0,44.0,31.0,25.0,26.0,28.0,30,1,0,0,0,0,0,0,30,12,2
31.0,37.0,20.0,28.0,38.0,40.0,36.0,22.0,51.0,48.0,27.0,33.0,40.0,28.0,29.0,26.0,43.0,33.0,20.0,20.0,30.0,33.0,44.0,31.0,25.0,26.0,28.0,30.0,23,0,0,1,0,0,0,0,23,13,2
37.0,20.0,28.0,38.0,40.0,36.0,22.0,51.0,48.0,27.0,33.0,40.0,28.0,29.0,26.0,43.0,33.0,20.0,20.0,30.0,33.0,44.0,31.0,25.0,26.0,28.0,30.0,23.0,28,0,0,0,1,0,0,0,28,14,2
20.0,28.0,38.0,40.0,36.0,22.0,51.0,48.0,27.0,33.0,40.0,28.0,29.0,26.0,43.0,33.0,20.0,20.0,30.0,33.0,44.0,31.0,25.0,26.0,28.0,30.0,23.0,28.0,35,0,1,0,0,0,0,0,35,15,2
28.0,38.0,40.0,36.0,22.0,51.0,48.0,27.0,33.0,40.0,28.0,29.0,26.0,43.0,33.0,20.0,20.0,30.0,33.0,44.0,31.0,25.0,26.0,28.0,30.0,23.0,28.0,35.0,29,0,0,0,0,0,1,0,29,16,2
