lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
1.0,1.0,1.0,13.0,7.0,7.0,3.0,6.0,1.0,4.0,3.0,6.0,21.0,13.0,1.0,1.0,1.0,1.0,3.0,1.0,10.0,3.0,17.0,13.0,4.0,3.0,11.0,0.0,14,0,0,1,0,0,0,0,14,30,1
1.0,1.0,13.0,7.0,7.0,3.0,6.0,1.0,4.0,3.0,6.0,21.0,13.0,1.0,1.0,1.0,1.0,3.0,1.0,10.0,3.0,17.0,13.0,4.0,3.0,11.0,0.0,14.0,11,0,0,0,1,0,0,0,11,31,1
1.0,13.0,7.0,7.0,3.0,6.0,1.0,4.0,3.0,6.0,21.0,13.0,1.0,1.0,1.0,1.0,3.0,1.0,10.0,3.0,17.0,13.0,4.0,3.0,11.0,0.0,14.0,11.0,0,0,1,0,0,0,0,0,0,1,2
13.0,7.0,7.0,3.0,6.0,1.0,4.0,3.0,6.0,21.0,13.0,1.0,1.0,1.0,1.0,3.0,1.0,10.0,3.0,17.0,13.0,4.0,3.0,11.0,0.0,14.0,11.0,0.0,4,0,0,0,0,0,1,0,4,2,2
7.0,7.0,3.0,6.0,1.0,4.0,3.0,6.0,21.0,13.0,1.0,1.0,1.0,1.0,3.0,1.0,10.0,3.0,17.0,13.0,4.0,3.0,11.0,0.0,14.0,11.0,0.0,4.0,3,0,0,0,0,0,0,1,3,3,2
7.0,3.0,6.0,1.0,4.0,3.0,6.0,21.0,13.0,1.0,1.0,1.0,1.0,3.0,1.0,10.0,3.0,17.0,13.0,4.0,3.0,11.0,0.0,14.0,11.0,0.0,4.0,3.0,0,0,0,0,0,1,0,0,0,4,2
3.0,6.0,1.0,4.0,3.0,6.0,21.0,13.0,1.0,1.0,1.0,1.0,3.0,1.0,10.0,3.0,17.0,13.0,4.0,3.0,11.0,0.0,14.0,11.0,0.0,4.0,3.0,0.0,4,1,0,0,0,0,0,0,4,5,2
6.0,1.0,4.0,3.0,6.0,21.0,13.0,1.0,1.0,1.0,1.0,3.0,1.0,10.0,3.0,17.0,13.0,4.0,3.0,11.0,0.0,14.0,11.0,0.0,4.0,3.0,0.0,4.0,9,0,0,1,0,0,0,0,9,6,2
1.0,4.0,3.0,6.0,21.0,13.0,1.0,1.0,1.0,1.0,3.0,1.0,10.0,3.0,17.0,13.0,4.0,3.0,11.0,0.0,14.0,11.0,0.0,4.0,3.0,0.0,4.0,9.0,13,0,0,0,1,0,0,0,13,7,2
4.0,3.0,6.0,21.0,13.0,1.0,1.0,1.0,1.0,3.0,1.0,10.0,3.0,17.0,13.0,4.0,3.0,11.0,0.0,14.0,11.0,0.0,4.0,3.0,0.0,4.0,9.0,13.0,9,0,1,0,0,0,0,0,9,8,2
3.0,6.0,21.0,13.0,1.0,1.0,1.0,1.0,3.0,1.0,10.0,3.0,17.0,13.0,4.0,3.0,11.0,0.0,14.0,11.0,0.0,4.0,3.0,0.0,4.0,9.0,13.0,9.0,1,0,0,0,0,0,1,0,1,9,2
6.0,21.0,13.0,1.0,1.0,1.0,1.0,3.0,1.0,10.0,3.0,17.0,13.0,4.0,3.0,11.0,0.0,14.0,11.0,0.0,4.0,3.0,0.0,4.0,9.0,13.0,9.0,1.0,1,0,0,0,0,0,0,1,1,10,2
21.0,13.0,1.0,1.0,1.0,1.0,3.0,1.0,10.0,3.0,17.0,13.0,4.0,3.0,11.0,0.0,14.0,11.0,0.0,4.0,3.0,0.0,4.0,9.0,13.0,9.0,1.0,1.0,1,0,0,0,0,1,0,0,1,11,2
13.0,1.0,1.0,1.0,1.0,3.0,1.0,10.0,3.0,17.0,13.0,4.0,3.0,11.0,0.0,14.0,11.0,0.0,4.0,3.0,0.0,4.0,9.0,13.0,9.0,1.0,1.0,1.0,17,1,0,0,0,0,0,0,17,12,2
1.0,1.0,1.0,1.0,3.0,1.0,10.0,3.0,17.0,13.0,4.0,3.0,11.0,0.0,14.0,11.0,0.0,4.0,3.0,0.0,4.0,9.0,13.0,9.0,1.0,1.0,1.0,17.0,1,0,0,1,0,0,0,0,1,13,2
1.0,1.0,1.0,3.0,1.0,10.0,3.0,17.0,13.0,4.0,3.0,11.0,0.0,14.0,11.0,0.0,4.0,3.0,0.0,4.0,9.0,13.0,9.0,1.0,1.0,1.0,17.0,1.0,9,0,0,0,1,0,0,0,9,14,2
1.0,1.0,3.0,1.0,10.0,3.0,17.0,13.0,4.0,3.0,11.0,0.0,14.0,11.0,0.0,4.0,3.0,0.0,4.0,9.0,13.0,9.0,1.0,1.0,1.0,17.0,1.0,9.0,3,0,1,0,0,0,0,0,3,15,2
1.0,3.0,1.0,10.0,3.0,17.0,13.0,4.0,3.0,11.0,0.0,14.0,11.0,0.0,4.0,3.0,0.0,4.0,9.0,13.0,9.0,1.0,1.0,1.0,17.0,1.0,9.0,3.0,1,0,0,0,0,0,1,0,1,16,2
3.0,1.0,10.0,3.0,17.0,13.0,4.0,3.0,11.0,0.0,14.0,11.0,0.0,4.0,3.0,0.0,4.0,9.0,13.0,9.0,1.0,1.0,1.0,17.0,1.0,9.0,3.0,1.0,0,0,0,0,0,0,0,1,0,17,2
1.0,10.0,3.0,17.0,13.0,4.0,3.0,11.0,0.0,14.0,11.0,0.0,4.0,3.0,0.0,4.0,9.0,13.0,9.0,1.0,1.0,1.0,17.0,1.0,9.0,3.0,1.0,0.0,4,0,0,0,0,1,0,0,4,18,2
10.0,3.0,17.0,13.0,4.0,3.0,11.0,0.0,14.0,11.0,0.0,4.0,3.0,0.0,4.0,9.0,13.0,9.0,1.0,1.0,1.0,17.0,1.0,9.0,3.0,1.0,0.0,4.0,6,1,0,0,0,0,0,0,6,19,2
3.0,17.0,13.0,4.0,3.0,11.0,0.0,14.0,11.0,0.0,4.0,3.0,0.0,4.0,9.0,13.0,9.0,1.0,1.0,1.0,17.0,1.0,9.0,3.0,1.0,0.0,4.0,6.0,3,0,0,1,0,0,0,0,3,20,2
17.0,13.0,4.0,3.0,11.0,0.0,14.0,11.0,0.0,4.0,3.0,0.0,4.0,9.0,13.0,9.0,1.0,1.0,1.0,17.0,1.0,9.0,3.0,1.0,0.0,4.0,6.0,3.0,3,0,0,0,1,0,0,0,3,21,2
13.0,4.0,3.0,11.0,0.0,14.0,11.0,0.0,4.0,3.0,0.0,4.0,9.0,13.0,9.0,1.0,1.0,1.0,17.0,1.0,9.0,3.0,1.0,0.0,4.0,6.0,3.0,3.0,3,0,1,0,0,0,0,0,3,22,2
4.0,3.0,11.0,0.0,14.0,11.0,0.0,4.0,3.0,0.0,4.0,9.0,13.0,9.0,1.0,1.0,1.0,17.0,1.0,9.0,3.0,1.0,0.0,4.0,6.0,3.0,3.0,3.0,4,0,0,0,0,0,1,0,4,23,2
3.0,11.0,0.0,14.0,11.0,0.0,4.0,3.0,0.0,4.0,9.0,13.0,9.0,1.0,1.0,1.0,17.0,1.0,9.0,3.0,1.0,0.0,4.0,6.0,3.0,3.0,3.0,4.0,4,0,0,0,0,0,0,1,4,24,2
11.0,0.0,14.0,11.0,0.0,4.0,3.0,0.0,4.0,9.0,13.0,9.0,1.0,1.0,1.0,17.0,1.0,9.0,3.0,1.0,0.0,4.0,6.0,3.0,3.0,3.0,4.0,4.0,0,0,0,0,0,1,0,0,0,25,2
0.0,14.0,11.0,0.0,4.0,3.0,0.0,4.0,9.0,13.0,9.0,1.0,1.0,1.0,17.0,1.0,9.0,3.0,1.0,0.0,4.0,6.0,3.0,3.0,3.0,4.0,4.0,0.0,0,1,0,0,0,0,0,0,0,26,2
14.0,11.0,0.0,4.0,3.0,0.0,4.0,9.0,13.0,9.0,1.0,1.0,1.0,17.0,1.0,9.0,3.0,1.0,0.0,4.0,6.0,3.0,3.0,3.0,4.0,4.0,0.0,0.0,9,0,0,1,0,0,0,0,9,27,2
11.0,0.0,4.0,3.0,0.0,4.0,9.0,13.0,9.0,1.0,1.0,1.0,17.0,1.0,9.0,3.0,1.0,0.0,4.0,6.0,3.0,3.0,3.0,4.0,4.0,0.0,0.0,9.0,16,0,0,0,1,0,0,0,16,28,2
0.0,4.0,3.0,0.0,4.0,9.0,13.0,9.0,1.0,1.0,1.0,17.0,1.0,9.0,3.0,1.0,0.0,4.0,6.0,3.0,3.0,3.0,4.0,4.0,0.0,0.0,9.0,16.0,4,0,1,0,0,0,0,0,4,29,2
4.0,3.0,0.0,4.0,9.0,13.0,9.0,1.0,1.0,1.0,17.0,1.0,9.0,3.0,1.0,0.0,4.0,6.0,3.0,3.0,3.0,4.0,4.0,0.0,0.0,9.0,16.0,4.0,6,0,0,0,0,0,1,0,6,1,3
3.0,0.0,4.0,9.0,13.0,9.0,1.0,1.0,1.0,17.0,1.0,9.0,3.0,1.0,0.0,4.0,6.0,3.0,3.0,3.0,4.0,4.0,0.0,0.0,9.0,16.0,4.0,6.0,0,0,0,0,0,0,0,1,0,2,3
