lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
39.0,41.0,36.0,43.0,49.0,35.0,37.0,38.0,38.0,38.0,41.0,44.0,51.0,74.0,71.0,71.0,84.0,71.0,80.0,64.0,42.0,38.0,50.0,50.0,37.0,30.0,29.0,31.0,26,0,0,1,0,0,0,0,26,30,4
41.0,36.0,43.0,49.0,35.0,37.0,38.0,38.0,38.0,41.0,44.0,51.0,74.0,71.0,71.0,84.0,71.0,80.0,64.0,42.0,38.0,50.0,50.0,37.0,30.0,29.0,31.0,26.0,38,0,0,0,1,0,0,0,38,1,5
36.0,43.0,49.0,35.0,37.0,38.0,38.0,38.0,41.0,44.0,51.0,74.0,71.0,71.0,84.0,71.0,80.0,64.0,42.0,38.0,50.0,50.0,37.0,30.0,29.0,31.0,26.0,38.0,35,0,1,0,0,0,0,0,35,2,5
43.0,49.0,35.0,37.0,38.0,38.0,38.0,41.0,44.0,51.0,74.0,71.0,71.0,84.0,71.0,80.0,64.0,42.0,38.0,50.0,50.0,37.0,30.0,29.0,31.0,26.0,38.0,35.0,33,0,0,0,0,0,1,0,33,3,5
49.0,35.0,37.0,38.0,38.0,38.0,41.0,44.0,51.0,74.0,71.0,71.0,84.0,71.0,80.0,64.0,42.0,38.0,50.0,50.0,37.0,30.0,29.0,31.0,26.0,38.0,35.0,33.0,37,0,0,0,0,0,0,1,37,4,5
35.0,37.0,38.0,38.0,38.0,41.0,44.0,51.0,74.0,71.0,71.0,84.0,71.0,80.0,64.0,42.0,38.0,50.0,50.0,37.0,30.0,29.0,31.0,26.0,38.0,35.0,33.0,37.0,31,0,0,0,0,1,0,0,31,5,5
37.0,38.0,38.0,38.0,41.0,44.0,51.0,74.0,71.0,71.0,84.0,71.0,80.0,64.0,42.0,38.0,50.0,50.0,37.0,30.0,29.0,31.0,26.0,38.0,35.0,33.0,37.0,31.0,42,1,0,0,0,0,0,0,42,6,5
38.0,38.0,38.0,41.0,44.0,51.0,74.0,71.0,71.0,84.0,71.0,80.0,64.0,42.0,38.0,50.0,50.0,37.0,30.0,29.0,31.0,26.0,38.0,35.0,33.0,37.0,31.0,42.0,44,0,0,1,0,0,0,0,44,7,5
38.0,38.0,41.0,44.0,51.0,74.0,71.0,71.0,84.0,71.0,80.0,64.0,42.0,38.0,50.0,50.0,37.0,30.0,29.0,31.0,26.0,38.0,35.0,33.0,37.0,31.0,42.0,44.0,36,0,0,0,1,0,0,0,36,8,5
38.0,41.0,44.0,51.0,74.0,71.0,71.0,84.0,71.0,80.0,64.0,42.0,38.0,50.0,50.0,37.0,30.0,29.0,31.0,26.0,38.0,35.0,33.0,37.0,31.0,42.0,44.0,36.0,24,0,1,0,0,0,0,0,24,9,5
41.0,44.0,51.0,74.0,71.0,71.0,84.0,71.0,80.0,64.0,42.0,38.0,50.0,50.0,37.0,30.0,29.0,31.0,26.0,38.0,35.0,33.0,37.0,31.0,42.0,44.0,36.0,24.0,41,0,0,0,0,0,1,0,41,10,5
