lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
27.0,31.0,28.0,37.0,56.0,36.0,27.0,33.0,30.0,28.0,32.0,31.0,33.0,31.0,27.0,26.0,25.0,49.0,52.0,43.0,34.0,42.0,35.0,33.0,31.0,32.0,37.0,38.0,38,0,0,1,0,0,0,0,38,30,1
31.0,28.0,37.0,56.0,36.0,27.0,33.0,30.0,28.0,32.0,31.0,33.0,31.0,27.0,26.0,25.0,49.0,52.0,43.0,34.0,42.0,35.0,33.0,31.0,32.0,37.0,38.0,38.0,31,0,0,0,1,0,0,0,31,31,1
28.0,37.0,56.0,36.0,27.0,33.0,30.0,28.0,32.0,31.0,33.0,31.0,27.0,26.0,25.0,49.0,52.0,43.0,34.0,42.0,35.0,33.0,31.0,32.0,37.0,38.0,38.0,31.0,39,0,1,0,0,0,0,0,39,1,2
37.0,56.0,36.0,27.0,33.0,30.0,28.0,32.0,31.0,33.0,31.0,27.0,26.0,25.0,49.0,52.0,43.0,34.0,42.0,35.0,33.0,31.0,32.0,37.0,38.0,38.0,31.0,39.0,33,0,0,0,0,0,1,0,33,2,2
56.0,36.0,27.0,33.0,30.0,28.0,32.0,31.0,33.0,31.0,27.0,26.0,25.0,49.0,52.0,43.0,34.0,42.0,35.0,33.0,31.0,32.0,37.0,38.0,38.0,31.0,39.0,33.0,31,0,0,0,0,0,0,1,31,3,2
36.0,27.0,33.0,30.0,28.0,32.0,31.0,33.0,31.0,27.0,26.0,25.0,49.0,52.0,43.0,34.0,42.0,35.0,33.0,31.0,32.0,37.0,38.0,38.0,31.0,39.0,33.0,31.0,37,0,0,0,0,1,0,0,37,4,2
27.0,33.0,30.0,28.0,32.0,31.0,33.0,31.0,27.0,26.0,25.0,49.0,52.0,43.0,34.0,42.0,35.0,33.0,31.0,32.0,37.0,38.0,38.0,31.0,39.0,33.0,31.0,37.0,41,1,0,0,0,0,0,0,41,5,2
33.0,30.0,28.0,32.0,31.0,33.0,31.0,27.0,26.0,25.0,49.0,52.0,43.0,34.0,42.0,35.0,33.0,31.0,32.0,37.0,38.0,38.0,31.0,39.0,33.0,31.0,37.0,41.0,37,0,0,1,0,0,0,0,37,6,2
30.0,28.0,32.0,31.0,33.0,31.0,27.0,26.0,25.0,49.0,52.0,43.0,34.0,42.0,35.0,33.0,31.0,32.0,37.0,38.0,38.0,31.0,39.0,33.0,31.0,37.0,41.0,37.0,36,0,0,0,1,0,0,0,36,7,2
28.0,32.0,31.0,33.0,31.0,27.0,26.0,25.0,49.0,52.0,43.0,34.0,42.0,35.0,33.0,31.0,32.0,37.0,38.0,38.0,31.0,39.0,33.0,31.0,37.0,41.0,37.0,36.0,37,0,1,0,0,0,0,0,37,8,2
32.0,31.0,33.0,31.0,27.0,26.0,25.0,49.0,52.0,43.0,34.0,42.0,35.0,33.0,31.0,32.0,37.0,38.0,38.0,31.0,39.0,33.0,31.0,37.0,41.0,37.0,36.0,37.0,37,0,0,0,0,0,1,0,37,9,2
