lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
60.0,51.0,51.0,47.0,54.0,54.0,58.0,52.0,43.0,30.0,35.0,38.0,30.0,47.0,31.0,25.0,35.0,21.0,19.0,22.0,30.0,25.0,38.0,33.0,32.0,31.0,46.0,33.0,40,0,0,1,0,0,0,0,40,30,1
51.0,51.0,47.0,54.0,54.0,58.0,52.0,43.0,30.0,35.0,38.0,30.0,47.0,31.0,25.0,35.0,21.0,19.0,22.0,30.0,25.0,38.0,33.0,32.0,31.0,46.0,33.0,40.0,30,0,0,0,1,0,0,0,30,31,1
51.0,47.0,54.0,54.0,58.0,52.0,43.0,30.0,35.0,38.0,30.0,47.0,31.0,25.0,35.0,21.0,19.0,22.0,30.0,25.0,38.0,33.0,32.0,31.0,46.0,33.0,40.0,30.0,26,0,1,0,0,0,0,0,26,1,2
47.0,54.0,54.0,58.0,52.0,43.0,30.0,35.0,38.0,30.0,47.0,31.0,25.0,35.0,21.0,19.0,22.0,30.0,25.0,38.0,33.0,32.0,31.0,46.0,33.0,40.0,30.0,26.0,42,0,0,0,0,0,1,0,42,2,2
54.0,54.0,58.0,52.0,43.0,30.0,35.0,38.0,30.0,47.0,31.0,25.0,35.0,21.0,19.0,22.0,30.0,25.0,38.0,33.0,32.0,31.0,46.0,33.0,40.0,30.0,26.0,42.0,27,0,0,0,0,0,0,1,27,3,2
54.0,58.0,52.0,43.0,30.0,35.0,38.0,30.0,47.0,31.0,25.0,35.0,21.0,19.0,22.0,30.0,25.0,38.0,33.0,32.0,31.0,46.0,33.0,40.0,30.0,26.0,42.0,27.0,45,0,0,0,0,1,0,0,45,4,2
58.0,52.0,43.0,30.0,35.0,38.0,30.0,47.0,31.0,25.0,35.0,21.0,19.0,22.0,30.0,25.0,38.0,33.0,32.0,31.0,46.0,33.0,40.0,30.0,26.0,42.0,27.0,45.0,34,1,0,0,0,0,0,0,34,5,2
52.0,43.0,30.0,35.0,38.0,30.0,47.0,31.0,25.0,35.0,21.0,19.0,22.0,30.0,25.0,38.0,33.0,32.0,31.0,46.0,33.0,40.0,30.0,26.0,42.0,27.0,45.0,34.0,54,0,0,1,0,0,0,0,54,6,2
43.0,30.0,35.0,38.0,30.0,47.0,31.0,25.0,35.0,21.0,19.0,22.0,30.0,25.0,38.0,33.0,32.0,31.0,46.0,33.0,40.0,30.0,26.0,42.0,27.0,45.0,34.0,54.0,55,0,0,0,1,0,0,0,55,7,2
30.0,35.0,38.0,30.0,47.0,31.0,25.0,35.0,21.0,19.0,22.0,30.0,25.0,38.0,33.0,32.0,31.0,46.0,33.0,40.0,30.0,26.0,42.0,27.0,45.0,34.0,54.0,55.0,53,0,1,0,0,0,0,0,53,8,2
