lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
30.0,61.0,45.0,54.0,55.0,54.0,31.0,37.0,34.0,15.0,10.0,8.0,10.0,15.0,10.0,8.0,10.0,11.0,9.0,15.0,16.0,14.0,14.0,15.0,23.0,20.0,9.0,9.0,13,0,0,1,0,0,0,0,13,30,1
61.0,45.0,54.0,55.0,54.0,31.0,37.0,34.0,15.0,10.0,8.0,10.0,15.0,10.0,8.0,10.0,11.0,9.0,15.0,16.0,14.0,14.0,15.0,23.0,20.0,9.0,9.0,13.0,17,0,0,0,1,0,0,0,17,31,1
45.0,54.0,55.0,54.0,31.0,37.0,34.0,15.0,10.0,8.0,10.0,15.0,10.0,8.0,10.0,11.0,9.0,15.0,16.0,14.0,14.0,15.0,23.0,20.0,9.0,9.0,13.0,17.0,12,0,1,0,0,0,0,0,12,1,2
54.0,55.0,54.0,31.0,37.0,34.0,15.0,10.0,8.0,10.0,15.0,10.0,8.0,10.0,11.0,9.0,15.0,16.0,14.0,14.0,15.0,23.0,20.0,9.0,9.0,13.0,17.0,12.0,14,0,0,0,0,0,1,0,14,2,2
55.0,54.0,31.0,37.0,34.0,15.0,10.0,8.0,10.0,15.0,10.0,8.0,10.0,11.0,9.0,15.0,16.0,14.0,14.0,15.0,23.0,20.0,9.0,9.0,13.0,17.0,12.0,14.0,12,0,0,0,0,0,0,1,12,3,2
54.0,31.0,37.0,34.0,15.0,10.0,8.0,10.0,15.0,10.0,8.0,10.0,11.0,9.0,15.0,16.0,14.0,14.0,15.0,23.0,20.0,9.0,9.0,13.0,17.0,12.0,14.0,12.0,9,0,0,0,0,1,0,0,9,4,2
31.0,37.0,34.0,15.0,10.0,8.0,10.0,15.0,10.0,8.0,10.0,11.0,9.0,15.0,16.0,14.0,14.0,15.0,23.0,20.0,9.0,9.0,13.0,17.0,12.0,14.0,12.0,9.0,9,1,0,0,0,0,0,0,9,5,2
37.0,34.0,15.0,10.0,8.0,10.0,15.0,10.0,8.0,10.0,11.0,9.0,15.0,16.0,14.0,14.0,15.0,23.0,20.0,9.0,9.0,13.0,17.0,12.0,14.0,12.0,9.0,9.0,18,0,0,1,0,0,0,0,18,6,2
34.0,15.0,10.0,8.0,10.0,15.0,10.0,8.0,10.0,11.0,9.0,15.0,16.0,14.0,14.0,15.0,23.0,20.0,9.0,9.0,13.0,17.0,12.0,14.0,12.0,9.0,9.0,18.0,21,0,0,0,1,0,0,0,21,7,2
15.0,10.0,8.0,10.0,15.0,10.0,8.0,10.0,11.0,9.0,15.0,16.0,14.0,14.0,15.0,23.0,20.0,9.0,9.0,13.0,17.0,12.0,14.0,12.0,9.0,9.0,18.0,21.0,27,0,1,0,0,0,0,0,27,8,2
