lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
81.0,86.0,70.0,87.0,56.0,56.0,48.0,51.0,62.0,53.0,46.0,33.0,33.0,28.0,40.0,56.0,45.0,44.0,33.0,80.0,67.0,26.0,27.0,51.0,58.0,57.0,38.0,17.0,20,0,0,1,0,0,0,0,20,30,1
86.0,70.0,87.0,56.0,56.0,48.0,51.0,62.0,53.0,46.0,33.0,33.0,28.0,40.0,56.0,45.0,44.0,33.0,80.0,67.0,26.0,27.0,51.0,58.0,57.0,38.0,17.0,20.0,22,0,0,0,1,0,0,0,22,31,1
70.0,87.0,56.0,56.0,48.0,51.0,62.0,53.0,46.0,33.0,33.0,28.0,40.0,56.0,45.0,44.0,33.0,80.0,67.0,26.0,27.0,51.0,58.0,57.0,38.0,17.0,20.0,22.0,48,0,1,0,0,0,0,0,48,1,2
87.0,56.0,56.0,48.0,51.0,62.0,53.0,46.0,33.0,33.0,28.0,40.0,56.0,45.0,44.0,33.0,80.0,67.0,26.0,27.0,51.0,58.0,57.0,38.0,17.0,20.0,22.0,48.0,39,0,0,0,0,0,1,0,39,2,2
56.0,56.0,48.0,51.0,62.0,53.0,46.0,33.0,33.0,28.0,40.0,56.0,45.0,44.0,33.0,80.0,67.0,26.0,27.0,51.0,58.0,57.0,38.0,17.0,20.0,22.0,48.0,39.0,56,0,0,0,0,0,0,1,56,3,2
56.0,48.0,51.0,62.0,53.0,46.0,33.0,33.0,28.0,40.0,56.0,45.0,44.0,33.0,80.0,67.0,26.0,27.0,51.0,58.0,57.0,38.0,17.0,20.0,22.0,48.0,39.0,56.0,56,0,0,0,0,1,0,0,56,4,2
48.0,51.0,62.0,53.0,46.0,33.0,33.0,28.0,40.0,56.0,45.0,44.0,33.0,80.0,67.0,26.0,27.0,51.0,58.0,57.0,38.0,17.0,20.0,22.0,48.0,39.0,56.0,56.0,25,1,0,0,0,0,0,0,25,5,2
51.0,62.0,53.0,46.0,33.0,33.0,28.0,40.0,56.0,45.0,44.0,33.0,80.0,67.0,26.0,27.0,51.0,58.0,57.0,38.0,17.0,20.0,22.0,48.0,39.0,56.0,56.0,25.0,35,0,0,1,0,0,0,0,35,6,2
62.0,53.0,46.0,33.0,33.0,28.0,40.0,56.0,45.0,44.0,33.0,80.0,67.0,26.0,27.0,51.0,58.0,57.0,38.0,17.0,20.0,22.0,48.0,39.0,56.0,56.0,25.0,35.0,56,0,0,0,1,0,0,0,56,7,2
53.0,46.0,33.0,33.0,28.0,40.0,56.0,45.0,44.0,33.0,80.0,67.0,26.0,27.0,51.0,58.0,57.0,38.0,17.0,20.0,22.0,48.0,39.0,56.0,56.0,25.0,35.0,56.0,49,0,1,0,0,0,0,0,49,8,2
