lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
31.0,27.0,44.0,77.0,74.0,39.0,53.0,25.0,33.0,58.0,53.0,10.0,25.0,38.0,46.0,43.0,51.0,23.0,19.0,13.0,16.0,23.0,28.0,47.0,54.0,58.0,28.0,22.0,15,0,0,1,0,0,0,0,15,30,1
27.0,44.0,77.0,74.0,39.0,53.0,25.0,33.0,58.0,53.0,10.0,25.0,38.0,46.0,43.0,51.0,23.0,19.0,13.0,16.0,23.0,28.0,47.0,54.0,58.0,28.0,22.0,15.0,40,0,0,0,1,0,0,0,40,31,1
44.0,77.0,74.0,39.0,53.0,25.0,33.0,58.0,53.0,10.0,25.0,38.0,46.0,43.0,51.0,23.0,19.0,13.0,16.0,23.0,28.0,47.0,54.0,58.0,28.0,22.0,15.0,40.0,65,0,1,0,0,0,0,0,65,1,2
77.0,74.0,39.0,53.0,25.0,33.0,58.0,53.0,10.0,25.0,38.0,46.0,43.0,51.0,23.0,19.0,13.0,16.0,23.0,28.0,47.0,54.0,58.0,28.0,22.0,15.0,40.0,65.0,62,0,0,0,0,0,1,0,62,2,2
74.0,39.0,53.0,25.0,33.0,58.0,53.0,10.0,25.0,38.0,46.0,43.0,51.0,23.0,19.0,13.0,16.0,23.0,28.0,47.0,54.0,58.0,28.0,22.0,15.0,40.0,65.0,62.0,34,0,0,0,0,0,0,1,34,3,2
39.0,53.0,25.0,33.0,58.0,53.0,10.0,25.0,38.0,46.0,43.0,51.0,23.0,19.0,13.0,16.0,23.0,28.0,47.0,54.0,58.0,28.0,22.0,15.0,40.0,65.0,62.0,34.0,23,0,0,0,0,1,0,0,23,4,2
53.0,25.0,33.0,58.0,53.0,10.0,25.0,38.0,46.0,43.0,51.0,23.0,19.0,13.0,16.0,23.0,28.0,47.0,54.0,58.0,28.0,22.0,15.0,40.0,65.0,62.0,34.0,23.0,20,1,0,0,0,0,0,0,20,5,2
25.0,33.0,58.0,53.0,10.0,25.0,38.0,46.0,43.0,51.0,23.0,19.0,13.0,16.0,23.0,28.0,47.0,54.0,58.0,28.0,22.0,15.0,40.0,65.0,62.0,34.0,23.0,20.0,28,0,0,1,0,0,0,0,28,6,2
33.0,58.0,53.0,10.0,25.0,38.0,46.0,43.0,51.0,23.0,19.0,13.0,16.0,23.0,28.0,47.0,54.0,58.0,28.0,22.0,15.0,40.0,65.0,62.0,34.0,23.0,20.0,28.0,35,0,0,0,1,0,0,0,35,7,2
58.0,53.0,10.0,25.0,38.0,46.0,43.0,51.0,23.0,19.0,13.0,16.0,23.0,28.0,47.0,54.0,58.0,28.0,22.0,15.0,40.0,65.0,62.0,34.0,23.0,20.0,28.0,35.0,53,0,1,0,0,0,0,0,53,8,2
53.0,10.0,25.0,38.0,46.0,43.0,51.0,23.0,19.0,13.0,16.0,23.0,28.0,47.0,54.0,58.0,28.0,22.0,15.0,40.0,65.0,62.0,34.0,23.0,20.0,28.0,35.0,53.0,49,0,0,0,0,0,1,0,49,9,2
10.0,25.0,38.0,46.0,43.0,51.0,23.0,19.0,13.0,16.0,23.0,28.0,47.0,54.0,58.0,28.0,22.0,15.0,40.0,65.0,62.0,34.0,23.0,20.0,28.0,35.0,53.0,49.0,58,0,0,0,0,0,0,1,58,10,2
25.0,38.0,46.0,43.0,51.0,23.0,19.0,13.0,16.0,23.0,28.0,47.0,54.0,58.0,28.0,22.0,15.0,40.0,65.0,62.0,34.0,23.0,20.0,28.0,35.0,53.0,49.0,58.0,55,0,0,0,0,1,0,0,55,11,2
38.0,46.0,43.0,51.0,23.0,19.0,13.0,16.0,23.0,28.0,47.0,54.0,58.0,28.0,22.0,15.0,40.0,65.0,62.0,34.0,23.0,20.0,28.0,35.0,53.0,49.0,58.0,55.0,44,1,0,0,0,0,0,0,44,12,2
46.0,43.0,51.0,23.0,19.0,13.0,16.0,23.0,28.0,47.0,54.0,58.0,28.0,22.0,15.0,40.0,65.0,62.0,34.0,23.0,20.0,28.0,35.0,53.0,49.0,58.0,55.0,44.0,11,0,0,1,0,0,0,0,11,13,2
43.0,51.0,23.0,19.0,13.0,16.0,23.0,28.0,47.0,54.0,58.0,28.0,22.0,15.0,40.0,65.0,62.0,34.0,23.0,20.0,28.0,35.0,53.0,49.0,58.0,55.0,44.0,11.0,13,0,0,0,1,0,0,0,13,14,2
51.0,23.0,19.0,13.0,16.0,23.0,28.0,47.0,54.0,58.0,28.0,22.0,15.0,40.0,65.0,62.0,34.0,23.0,20.0,28.0,35.0,53.0,49.0,58.0,55.0,44.0,11.0,13.0,17,0,1,0,0,0,0,0,17,15,2
23.0,19.0,13.0,16.0,23.0,28.0,47.0,54.0,58.0,28.0,22.0,15.0,40.0,65.0,62.0,34.0,23.0,20.0,28.0,35.0,53.0,49.0,58.0,55.0,44.0,11.0,13.0,17.0,29,0,0,0,0,0,1,0,29,16,2
19.0,13.0,16.0,23.0,28.0,47.0,54.0,58.0,28.0,22.0,15.0,40.0,65.0,62.0,34.0,23.0,20.0,28.0,35.0,53.0,49.0,58.0,55.0,44.0,11.0,13.0,17.0,29.0,21,0,0,0,0,0,0,1,21,17,2
13.0,16.0,23.0,28.0,47.0,54.0,58.0,28.0,22.0,15.0,40.0,65.0,62.0,34.0,23.0,20.0,28.0,35.0,53.0,49.0,58.0,55.0,44.0,11.0,13.0,17.0,29.0,21.0,8,0,0,0,0,1,0,0,8,18,2
16.0,23.0,28.0,47.0,54.0,58.0,28.0,22.0,15.0,40.0,65.0,62.0,34.0,23.0,20.0,28.0,35.0,53.0,49.0,58.0,55.0,44.0,11.0,13.0,17.0,29.0,21.0,8.0,13,1,0,0,0,0,0,0,13,19,2
