lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
61.0,43.0,31.0,37.0,77.0,92.0,89.0,62.0,33.0,33.0,44.0,53.0,55.0,80.0,66.0,54.0,29.0,28.0,43.0,56.0,44.0,36.0,51.0,131.0,92.0,55.0,75.0,62.0,44,0,0,1,0,0,0,0,44,30,1
43.0,31.0,37.0,77.0,92.0,89.0,62.0,33.0,33.0,44.0,53.0,55.0,80.0,66.0,54.0,29.0,28.0,43.0,56.0,44.0,36.0,51.0,131.0,92.0,55.0,75.0,62.0,44.0,73,0,0,0,1,0,0,0,73,31,1
31.0,37.0,77.0,92.0,89.0,62.0,33.0,33.0,44.0,53.0,55.0,80.0,66.0,54.0,29.0,28.0,43.0,56.0,44.0,36.0,51.0,131.0,92.0,55.0,75.0,62.0,44.0,73.0,73,0,1,0,0,0,0,0,73,1,2
37.0,77.0,92.0,89.0,62.0,33.0,33.0,44.0,53.0,55.0,80.0,66.0,54.0,29.0,28.0,43.0,56.0,44.0,36.0,51.0,131.0,92.0,55.0,75.0,62.0,44.0,73.0,73.0,92,0,0,0,0,0,1,0,92,2,2
77.0,92.0,89.0,62.0,33.0,33.0,44.0,53.0,55.0,80.0,66.0,54.0,29.0,28.0,43.0,56.0,44.0,36.0,51.0,131.0,92.0,55.0,75.0,62.0,44.0,73.0,73.0,92.0,31,0,0,0,0,0,0,1,31,3,2
92.0,89.0,62.0,33.0,33.0,44.0,53.0,55.0,80.0,66.0,54.0,29.0,28.0,43.0,56.0,44.0,36.0,51.0,131.0,92.0,55.0,75.0,62.0,44.0,73.0,73.0,92.0,31.0,50,0,0,0,0,1,0,0,50,4,2
89.0,62.0,33.0,33.0,44.0,53.0,55.0,80.0,66.0,54.0,29.0,28.0,43.0,56.0,44.0,36.0,51.0,131.0,92.0,55.0,75.0,62.0,44.0,73.0,73.0,92.0,31.0,50.0,31,1,0,0,0,0,0,0,31,5,2
62.0,33.0,33.0,44.0,53.0,55.0,80.0,66.0,54.0,29.0,28.0,43.0,56.0,44.0,36.0,51.0,131.0,92.0,55.0,75.0,62.0,44.0,73.0,73.0,92.0,31.0,50.0,31.0,58,0,0,1,0,0,0,0,58,6,2
33.0,33.0,44.0,53.0,55.0,80.0,66.0,54.0,29.0,28.0,43.0,56.0,44.0,36.0,51.0,131.0,92.0,55.0,75.0,62.0,44.0,73.0,73.0,92.0,31.0,50.0,31.0,58.0,82,0,0,0,1,0,0,0,82,7,2
33.0,44.0,53.0,55.0,80.0,66.0,54.0,29.0,28.0,43.0,56.0,44.0,36.0,51.0,131.0,92.0,55.0,75.0,62.0,44.0,73.0,73.0,92.0,31.0,50.0,31.0,58.0,82.0,58,0,1,0,0,0,0,0,58,8,2
