lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
40.0,112.0,52.0,25.0,7.0,28.0,31.0,15.0,14.0,9.0,11.0,29.0,42.0,39.0,54.0,15.0,29.0,25.0,41.0,58.0,40.0,36.0,47.0,25.0,9.0,42.0,22.0,32.0,49,0,0,0,0,1,0,0,49,19,1
112.0,52.0,25.0,7.0,28.0,31.0,15.0,14.0,9.0,11.0,29.0,42.0,39.0,54.0,15.0,29.0,25.0,41.0,58.0,40.0,36.0,47.0,25.0,9.0,42.0,22.0,32.0,49.0,42,1,0,0,0,0,0,0,42,20,1
52.0,25.0,7.0,28.0,31.0,15.0,14.0,9.0,11.0,29.0,42.0,39.0,54.0,15.0,29.0,25.0,41.0,58.0,40.0,36.0,47.0,25.0,9.0,42.0,22.0,32.0,49.0,42.0,13,0,0,1,0,0,0,0,13,21,1
25.0,7.0,28.0,31.0,15.0,14.0,9.0,11.0,29.0,42.0,39.0,54.0,15.0,29.0,25.0,41.0,58.0,40.0,36.0,47.0,25.0,9.0,42.0,22.0,32.0,49.0,42.0,13.0,8,0,0,0,1,0,0,0,8,22,1
7.0,28.0,31.0,15.0,14.0,9.0,11.0,29.0,42.0,39.0,54.0,15.0,29.0,25.0,41.0,58.0,40.0,36.0,47.0,25.0,9.0,42.0,22.0,32.0,49.0,42.0,13.0,8.0,39,0,1,0,0,0,0,0,39,23,1
28.0,31.0,15.0,14.0,9.0,11.0,29.0,42.0,39.0,54.0,15.0,29.0,25.0,41.0,58.0,40.0,36.0,47.0,25.0,9.0,42.0,22.0,32.0,49.0,42.0,13.0,8.0,39.0,62,0,0,0,0,0,1,0,62,24,1
31.0,15.0,14.0,9.0,11.0,29.0,42.0,39.0,54.0,15.0,29.0,25.0,41.0,58.0,40.0,36.0,47.0,25.0,9.0,42.0,22.0,32.0,49.0,42.0,13.0,8.0,39.0,62.0,56,0,0,0,0,0,0,1,56,25,1
15.0,14.0,9.0,11.0,29.0,42.0,39.0,54.0,15.0,29.0,25.0,41.0,58.0,40.0,36.0,47.0,25.0,9.0,42.0,22.0,32.0,49.0,42.0,13.0,8.0,39.0,62.0,56.0,34,0,0,0,0,1,0,0,34,26,1
14.0,9.0,11.0,29.0,42.0,39.0,54.0,15.0,29.0,25.0,41.0,58.0,40.0,36.0,47.0,25.0,9.0,42.0,22.0,32.0,49.0,42.0,13.0,8.0,39.0,62.0,56.0,34.0,31,1,0,0,0,0,0,0,31,27,1
9.0,11.0,29.0,42.0,39.0,54.0,15.0,29.0,25.0,41.0,58.0,40.0,36.0,47.0,25.0,9.0,42.0,22.0,32.0,49.0,42.0,13.0,8.0,39.0,62.0,56.0,34.0,31.0,57,0,0,1,0,0,0,0,57,28,1
11.0,29.0,42.0,39.0,54.0,15.0,29.0,25.0,41.0,58.0,40.0,36.0,47.0,25.0,9.0,42.0,22.0,32.0,49.0,42.0,13.0,8.0,39.0,62.0,56.0,34.0,31.0,57.0,14,0,0,0,1,0,0,0,14,29,1
29.0,42.0,39.0,54.0,15.0,29.0,25.0,41.0,58.0,40.0,36.0,47.0,25.0,9.0,42.0,22.0,32.0,49.0,42.0,13.0,8.0,39.0,62.0,56.0,34.0,31.0,57.0,14.0,64,0,1,0,0,0,0,0,64,30,1
42.0,39.0,54.0,15.0,29.0,25.0,41.0,58.0,40.0,36.0,47.0,25.0,9.0,42.0,22.0,32.0,49.0,42.0,13.0,8.0,39.0,62.0,56.0,34.0,31.0,57.0,14.0,64.0,44,0,0,0,0,0,1,0,44,31,1
39.0,54.0,15.0,29.0,25.0,41.0,58.0,40.0,36.0,47.0,25.0,9.0,42.0,22.0,32.0,49.0,42.0,13.0,8.0,39.0,62.0,56.0,34.0,31.0,57.0,14.0,64.0,44.0,65,0,0,0,0,0,0,1,65,1,2
54.0,15.0,29.0,25.0,41.0,58.0,40.0,36.0,47.0,25.0,9.0,42.0,22.0,32.0,49.0,42.0,13.0,8.0,39.0,62.0,56.0,34.0,31.0,57.0,14.0,64.0,44.0,65.0,87,0,0,0,0,1,0,0,87,2,2
15.0,29.0,25.0,41.0,58.0,40.0,36.0,47.0,25.0,9.0,42.0,22.0,32.0,49.0,42.0,13.0,8.0,39.0,62.0,56.0,34.0,31.0,57.0,14.0,64.0,44.0,65.0,87.0,48,1,0,0,0,0,0,0,48,3,2
29.0,25.0,41.0,58.0,40.0,36.0,47.0,25.0,9.0,42.0,22.0,32.0,49.0,42.0,13.0,8.0,39.0,62.0,56.0,34.0,31.0,57.0,14.0,64.0,44.0,65.0,87.0,48.0,31,0,0,1,0,0,0,0,31,4,2
25.0,41.0,58.0,40.0,36.0,47.0,25.0,9.0,42.0,22.0,32.0,49.0,42.0,13.0,8.0,39.0,62.0,56.0,34.0,31.0,57.0,14.0,64.0,44.0,65.0,87.0,48.0,31.0,12,0,0,0,1,0,0,0,12,5,2
41.0,58.0,40.0,36.0,47.0,25.0,9.0,42.0,22.0,32.0,49.0,42.0,13.0,8.0,39.0,62.0,56.0,34.0,31.0,57.0,14.0,64.0,44.0,65.0,87.0,48.0,31.0,12.0,39,0,1,0,0,0,0,0,39,6,2
58.0,40.0,36.0,47.0,25.0,9.0,42.0,22.0,32.0,49.0,42.0,13.0,8.0,39.0,62.0,56.0,34.0,31.0,57.0,14.0,64.0,44.0,65.0,87.0,48.0,31.0,12.0,39.0,25,0,0,0,0,0,1,0,25,7,2
40.0,36.0,47.0,25.0,9.0,42.0,22.0,32.0,49.0,42.0,13.0,8.0,39.0,62.0,56.0,34.0,31.0,57.0,14.0,64.0,44.0,65.0,87.0,48.0,31.0,12.0,39.0,25.0,37,0,0,0,0,0,0,1,37,8,2
36.0,47.0,25.0,9.0,42.0,22.0,32.0,49.0,42.0,13.0,8.0,39.0,62.0,56.0,34.0,31.0,57.0,14.0,64.0,44.0,65.0,87.0,48.0,31.0,12.0,39.0,25.0,37.0,43,0,0,0,0,1,0,0,43,9,2
47.0,25.0,9.0,42.0,22.0,32.0,49.0,42.0,13.0,8.0,39.0,62.0,56.0,34.0,31.0,57.0,14.0,64.0,44.0,65.0,87.0,48.0,31.0,12.0,39.0,25.0,37.0,43.0,42,1,0,0,0,0,0,0,42,10,2
25.0,9.0,42.0,22.0,32.0,49.0,42.0,13.0,8.0,39.0,62.0,56.0,34.0,31.0,57.0,14.0,64.0,44.0,65.0,87.0,48.0,31.0,12.0,39.0,25.0,37.0,43.0,42.0,23,0,0,1,0,0,0,0,23,11,2
9.0,42.0,22.0,32.0,49.0,42.0,13.0,8.0,39.0,62.0,56.0,34.0,31.0,57.0,14.0,64.0,44.0,65.0,87.0,48.0,31.0,12.0,39.0,25.0,37.0,43.0,42.0,23.0,12,0,0,0,1,0,0,0,12,12,2
42.0,22.0,32.0,49.0,42.0,13.0,8.0,39.0,62.0,56.0,34.0,31.0,57.0,14.0,64.0,44.0,65.0,87.0,48.0,31.0,12.0,39.0,25.0,37.0,43.0,42.0,23.0,12.0,63,0,1,0,0,0,0,0,63,13,2
22.0,32.0,49.0,42.0,13.0,8.0,39.0,62.0,56.0,34.0,31.0,57.0,14.0,64.0,44.0,65.0,87.0,48.0,31.0,12.0,39.0,25.0,37.0,43.0,42.0,23.0,12.0,63.0,33,0,0,0,0,0,1,0,33,14,2
32.0,49.0,42.0,13.0,8.0,39.0,62.0,56.0,34.0,31.0,57.0,14.0,64.0,44.0,65.0,87.0,48.0,31.0,12.0,39.0,25.0,37.0,43.0,42.0,23.0,12.0,63.0,33.0,29,0,0,0,0,0,0,1,29,15,2
49.0,42.0,13.0,8.0,39.0,62.0,56.0,34.0,31.0,57.0,14.0,64.0,44.0,65.0,87.0,48.0,31.0,12.0,39.0,25.0,37.0,43.0,42.0,23.0,12.0,63.0,33.0,29.0,53,0,0,0,0,1,0,0,53,16,2
42.0,13.0,8.0,39.0,62.0,56.0,34.0,31.0,57.0,14.0,64.0,44.0,65.0,87.0,48.0,31.0,12.0,39.0,25.0,37.0,43.0,42.0,23.0,12.0,63.0,33.0,29.0,53.0,42,1,0,0,0,0,0,0,42,17,2
13.0,8.0,39.0,62.0,56.0,34.0,31.0,57.0,14.0,64.0,44.0,65.0,87.0,48.0,31.0,12.0,39.0,25.0,37.0,43.0,42.0,23.0,12.0,63.0,33.0,29.0,53.0,42.0,33,0,0,1,0,0,0,0,33,18,2
8.0,39.0,62.0,56.0,34.0,31.0,57.0,14.0,64.0,44.0,65.0,87.0,48.0,31.0,12.0,39.0,25.0,37.0,43.0,42.0,23.0,12.0,63.0,33.0,29.0,53.0,42.0,33.0,18,0,0,0,1,0,0,0,18,19,2
39.0,62.0,56.0,34.0,31.0,57.0,14.0,64.0,44.0,65.0,87.0,48.0,31.0,12.0,39.0,25.0,37.0,43.0,42.0,23.0,12.0,63.0,33.0,29.0,53.0,42.0,33.0,18.0,34,0,1,0,0,0,0,0,34,20,2
62.0,56.0,34.0,31.0,57.0,14.0,64.0,44.0,65.0,87.0,48.0,31.0,12.0,39.0,25.0,37.0,43.0,42.0,23.0,12.0,63.0,33.0,29.0,53.0,42.0,33.0,18.0,34.0,13,0,0,0,0,0,1,0,13,21,2
56.0,34.0,31.0,57.0,14.0,64.0,44.0,65.0,87.0,48.0,31.0,12.0,39.0,25.0,37.0,43.0,42.0,23.0,12.0,63.0,33.0,29.0,53.0,42.0,33.0,18.0,34.0,13.0,38,0,0,0,0,0,0,1,38,22,2
34.0,31.0,57.0,14.0,64.0,44.0,65.0,87.0,48.0,31.0,12.0,39.0,25.0,37.0,43.0,42.0,23.0,12.0,63.0,33.0,29.0,53.0,42.0,33.0,18.0,34.0,13.0,38.0,44,0,0,0,0,1,0,0,44,23,2
31.0,57.0,14.0,64.0,44.0,65.0,87.0,48.0,31.0,12.0,39.0,25.0,37.0,43.0,42.0,23.0,12.0,63.0,33.0,29.0,53.0,42.0,33.0,18.0,34.0,13.0,38.0,44.0,39,1,0,0,0,0,0,0,39,24,2
57.0,14.0,64.0,44.0,65.0,87.0,48.0,31.0,12.0,39.0,25.0,37.0,43.0,42.0,23.0,12.0,63.0,33.0,29.0,53.0,42.0,33.0,18.0,34.0,13.0,38.0,44.0,39.0,27,0,0,1,0,0,0,0,27,25,2
14.0,64.0,44.0,65.0,87.0,48.0,31.0,12.0,39.0,25.0,37.0,43.0,42.0,23.0,12.0,63.0,33.0,29.0,53.0,42.0,33.0,18.0,34.0,13.0,38.0,44.0,39.0,27.0,13,0,0,0,1,0,0,0,13,26,2
64.0,44.0,65.0,87.0,48.0,31.0,12.0,39.0,25.0,37.0,43.0,42.0,23.0,12.0,63.0,33.0,29.0,53.0,42.0,33.0,18.0,34.0,13.0,38.0,44.0,39.0,27.0,13.0,46,0,1,0,0,0,0,0,46,27,2
44.0,65.0,87.0,48.0,31.0,12.0,39.0,25.0,37.0,43.0,42.0,23.0,12.0,63.0,33.0,29.0,53.0,42.0,33.0,18.0,34.0,13.0,38.0,44.0,39.0,27.0,13.0,46.0,28,0,0,0,0,0,1,0,28,28,2
65.0,87.0,48.0,31.0,12.0,39.0,25.0,37.0,43.0,42.0,23.0,12.0,63.0,33.0,29.0,53.0,42.0,33.0,18.0,34.0,13.0,38.0,44.0,39.0,27.0,13.0,46.0,28.0,67,0,0,0,0,0,0,1,67,1,3
87.0,48.0,31.0,12.0,39.0,25.0,37.0,43.0,42.0,23.0,12.0,63.0,33.0,29.0,53.0,42.0,33.0,18.0,34.0,13.0,38.0,44.0,39.0,27.0,13.0,46.0,28.0,67.0,60,0,0,0,0,1,0,0,60,2,3
48.0,31.0,12.0,39.0,25.0,37.0,43.0,42.0,23.0,12.0,63.0,33.0,29.0,53.0,42.0,33.0,18.0,34.0,13.0,38.0,44.0,39.0,27.0,13.0,46.0,28.0,67.0,60.0,39,1,0,0,0,0,0,0,39,3,3
31.0,12.0,39.0,25.0,37.0,43.0,42.0,23.0,12.0,63.0,33.0,29.0,53.0,42.0,33.0,18.0,34.0,13.0,38.0,44.0,39.0,27.0,13.0,46.0,28.0,67.0,60.0,39.0,24,0,0,1,0,0,0,0,24,4,3
