lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
26.0,51.0,31.0,33.0,34.0,28.0,29.0,18.0,31.0,31.0,33.0,34.0,45.0,36.0,45.0,33.0,34.0,32.0,37.0,35.0,32.0,30.0,36.0,52.0,44.0,41.0,33.0,34.0,40,0,0,1,0,0,0,0,40,30,1
51.0,31.0,33.0,34.0,28.0,29.0,18.0,31.0,31.0,33.0,34.0,45.0,36.0,45.0,33.0,34.0,32.0,37.0,35.0,32.0,30.0,36.0,52.0,44.0,41.0,33.0,34.0,40.0,52,0,0,0,1,0,0,0,52,31,1
31.0,33.0,34.0,28.0,29.0,18.0,31.0,31.0,33.0,34.0,45.0,36.0,45.0,33.0,34.0,32.0,37.0,35.0,32.0,30.0,36.0,52.0,44.0,41.0,33.0,34.0,40.0,52.0,47,0,1,0,0,0,0,0,47,1,2
33.0,34.0,28.0,29.0,18.0,31.0,31.0,33.0,34.0,45.0,36.0,45.0,33.0,34.0,32.0,37.0,35.0,32.0,30.0,36.0,52.0,44.0,41.0,33.0,34.0,40.0,52.0,47.0,43,0,0,0,0,0,1,0,43,2,2
34.0,28.0,29.0,18.0,31.0,31.0,33.0,34.0,45.0,36.0,45.0,33.0,34.0,32.0,37.0,35.0,32.0,30.0,36.0,52.0,44.0,41.0,33.0,34.0,40.0,52.0,47.0,43.0,33,0,0,0,0,0,0,1,33,3,2
28.0,29.0,18.0,31.0,31.0,33.0,34.0,45.0,36.0,45.0,33.0,34.0,32.0,37.0,35.0,32.0,30.0,36.0,52.0,44.0,41.0,33.0,34.0,40.0,52.0,47.0,43.0,33.0,31,0,0,0,0,1,0,0,31,4,2
29.0,18.0,31.0,31.0,33.0,34.0,45.0,36.0,45.0,33.0,34.0,32.0,37.0,35.0,32.0,30.0,36.0,52.0,44.0,41.0,33.0,34.0,40.0,52.0,47.0,43.0,33.0,31.0,34,1,0,0,0,0,0,0,34,5,2
18.0,31.0,31.0,33.0,34.0,45.0,36.0,45.0,33.0,34.0,32.0,37.0,35.0,32.0,30.0,36.0,52.0,44.0,41.0,33.0,34.0,40.0,52.0,47.0,43.0,33.0,31.0,34.0,35,0,0,1,0,0,0,0,35,6,2
31.0,31.0,33.0,34.0,45.0,36.0,45.0,33.0,34.0,32.0,37.0,35.0,32.0,30.0,36.0,52.0,44.0,41.0,33.0,34.0,40.0,52.0,47.0,43.0,33.0,31.0,34.0,35.0,37,0,0,0,1,0,0,0,37,7,2
31.0,33.0,34.0,45.0,36.0,45.0,33.0,34.0,32.0,37.0,35.0,32.0,30.0,36.0,52.0,44.0,41.0,33.0,34.0,40.0,52.0,47.0,43.0,33.0,31.0,34.0,35.0,37.0,44,0,1,0,0,0,0,0,44,8,2
33.0,34.0,45.0,36.0,45.0,33.0,34.0,32.0,37.0,35.0,32.0,30.0,36.0,52.0,44.0,41.0,33.0,34.0,40.0,52.0,47.0,43.0,33.0,31.0,34.0,35.0,37.0,44.0,31,0,0,0,0,0,1,0,31,9,2
34.0,45.0,36.0,45.0,33.0,34.0,32.0,37.0,35.0,32.0,30.0,36.0,52.0,44.0,41.0,33.0,34.0,40.0,52.0,47.0,43.0,33.0,31.0,34.0,35.0,37.0,44.0,31.0,85,0,0,0,0,0,0,1,85,10,2
45.0,36.0,45.0,33.0,34.0,32.0,37.0,35.0,32.0,30.0,36.0,52.0,44.0,41.0,33.0,34.0,40.0,52.0,47.0,43.0,33.0,31.0,34.0,35.0,37.0,44.0,31.0,85.0,119,0,0,0,0,1,0,0,119,11,2
36.0,45.0,33.0,34.0,32.0,37.0,35.0,32.0,30.0,36.0,52.0,44.0,41.0,33.0,34.0,40.0,52.0,47.0,43.0,33.0,31.0,34.0,35.0,37.0,44.0,31.0,85.0,119.0,44,1,0,0,0,0,0,0,44,12,2
45.0,33.0,34.0,32.0,37.0,35.0,32.0,30.0,36.0,52.0,44.0,41.0,33.0,34.0,40.0,52.0,47.0,43.0,33.0,31.0,34.0,35.0,37.0,44.0,31.0,85.0,119.0,44.0,38,0,0,1,0,0,0,0,38,13,2
33.0,34.0,32.0,37.0,35.0,32.0,30.0,36.0,52.0,44.0,41.0,33.0,34.0,40.0,52.0,47.0,43.0,33.0,31.0,34.0,35.0,37.0,44.0,31.0,85.0,119.0,44.0,38.0,39,0,0,0,1,0,0,0,39,14,2
34.0,32.0,37.0,35.0,32.0,30.0,36.0,52.0,44.0,41.0,33.0,34.0,40.0,52.0,47.0,43.0,33.0,31.0,34.0,35.0,37.0,44.0,31.0,85.0,119.0,44.0,38.0,39.0,40,0,1,0,0,0,0,0,40,15,2
32.0,37.0,35.0,32.0,30.0,36.0,52.0,44.0,41.0,33.0,34.0,40.0,52.0,47.0,43.0,33.0,31.0,34.0,35.0,37.0,44.0,31.0,85.0,119.0,44.0,38.0,39.0,40.0,37,0,0,0,0,0,1,0,37,16,2
37.0,35.0,32.0,30.0,36.0,52.0,44.0,41.0,33.0,34.0,40.0,52.0,47.0,43.0,33.0,31.0,34.0,35.0,37.0,44.0,31.0,85.0,119.0,44.0,38.0,39.0,40.0,37.0,22,0,0,0,0,0,0,1,22,17,2
35.0,32.0,30.0,36.0,52.0,44.0,41.0,33.0,34.0,40.0,52.0,47.0,43.0,33.0,31.0,34.0,35.0,37.0,44.0,31.0,85.0,119.0,44.0,38.0,39.0,40.0,37.0,22.0,29,0,0,0,0,1,0,0,29,18,2
32.0,30.0,36.0,52.0,44.0,41.0,33.0,34.0,40.0,52.0,47.0,43.0,33.0,31.0,34.0,35.0,37.0,44.0,31.0,85.0,119.0,44.0,38.0,39.0,40.0,37.0,22.0,29.0,27,1,0,0,0,0,0,0,27,19,2
30.0,36.0,52.0,44.0,41.0,33.0,34.0,40.0,52.0,47.0,43.0,33.0,31.0,34.0,35.0,37.0,44.0,31.0,85.0,119.0,44.0,38.0,39.0,40.0,37.0,22.0,29.0,27.0,17,0,0,1,0,0,0,0,17,20,2
36.0,52.0,44.0,41.0,33.0,34.0,40.0,52.0,47.0,43.0,33.0,31.0,34.0,35.0,37.0,44.0,31.0,85.0,119.0,44.0,38.0,39.0,40.0,37.0,22.0,29.0,27.0,17.0,30,0,0,0,1,0,0,0,30,21,2
52.0,44.0,41.0,33.0,34.0,40.0,52.0,47.0,43.0,33.0,31.0,34.0,35.0,37.0,44.0,31.0,85.0,119.0,44.0,38.0,39.0,40.0,37.0,22.0,29.0,27.0,17.0,30.0,37,0,1,0,0,0,0,0,37,22,2
44.0,41.0,33.0,34.0,40.0,52.0,47.0,43.0,33.0,31.0,34.0,35.0,37.0,44.0,31.0,85.0,119.0,44.0,38.0,39.0,40.0,37.0,22.0,29.0,27.0,17.0,30.0,37.0,23,0,0,0,0,0,1,0,23,23,2
41.0,33.0,34.0,40.0,52.0,47.0,43.0,33.0,31.0,34.0,35.0,37.0,44.0,31.0,85.0,119.0,44.0,38.0,39.0,40.0,37.0,22.0,29.0,27.0,17.0,30.0,37.0,23.0,45,0,0,0,0,0,0,1,45,24,2
33.0,34.0,40.0,52.0,47.0,43.0,33.0,31.0,34.0,35.0,37.0,44.0,31.0,85.0,119.0,44.0,38.0,39.0,40.0,37.0,22.0,29.0,27.0,17.0,30.0,37.0,23.0,45.0,20,0,0,0,0,1,0,0,20,25,2
34.0,40.0,52.0,47.0,43.0,33.0,31.0,34.0,35.0,37.0,44.0,31.0,85.0,119.0,44.0,38.0,39.0,40.0,37.0,22.0,29.0,27.0,17.0,30.0,37.0,23.0,45.0,20.0,26,1,0,0,0,0,0,0,26,26,2
40.0,52.0,47.0,43.0,33.0,31.0,34.0,35.0,37.0,44.0,31.0,85.0,119.0,44.0,38.0,39.0,40.0,37.0,22.0,29.0,27.0,17.0,30.0,37.0,23.0,45.0,20.0,26.0,32,0,0,1,0,0,0,0,32,27,2
52.0,47.0,43.0,33.0,31.0,34.0,35.0,37.0,44.0,31.0,85.0,119.0,44.0,38.0,39.0,40.0,37.0,22.0,29.0,27.0,17.0,30.0,37.0,23.0,45.0,20.0,26.0,32.0,47,0,0,0,1,0,0,0,47,28,2
47.0,43.0,33.0,31.0,34.0,35.0,37.0,44.0,31.0,85.0,119.0,44.0,38.0,39.0,40.0,37.0,22.0,29.0,27.0,17.0,30.0,37.0,23.0,45.0,20.0,26.0,32.0,47.0,45,0,1,0,0,0,0,0,45,29,2
43.0,33.0,31.0,34.0,35.0,37.0,44.0,31.0,85.0,119.0,44.0,38.0,39.0,40.0,37.0,22.0,29.0,27.0,17.0,30.0,37.0,23.0,45.0,20.0,26.0,32.0,47.0,45.0,58,0,0,0,0,0,1,0,58,1,3
