lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
31.0,76.0,34.0,44.0,17.0,53.0,30.0,36.0,16.0,25.0,18.0,31.0,10.0,15.0,25.0,56.0,18.0,37.0,13.0,12.0,29.0,45.0,20.0,26.0,15.0,8.0,28.0,25.0,13,0,1,0,0,0,0,0,13,28,3
76.0,34.0,44.0,17.0,53.0,30.0,36.0,16.0,25.0,18.0,31.0,10.0,15.0,25.0,56.0,18.0,37.0,13.0,12.0,29.0,45.0,20.0,26.0,15.0,8.0,28.0,25.0,13.0,15,0,0,0,0,1,0,0,15,31,3
34.0,44.0,17.0,53.0,30.0,36.0,16.0,25.0,18.0,31.0,10.0,15.0,25.0,56.0,18.0,37.0,13.0,12.0,29.0,45.0,20.0,26.0,15.0,8.0,28.0,25.0,13.0,15.0,8,1,0,0,0,0,0,0,8,1,4
44.0,17.0,53.0,30.0,36.0,16.0,25.0,18.0,31.0,10.0,15.0,25.0,56.0,18.0,37.0,13.0,12.0,29.0,45.0,20.0,26.0,15.0,8.0,28.0,25.0,13.0,15.0,8.0,13,0,0,0,1,0,0,0,13,3,4
17.0,53.0,30.0,36.0,16.0,25.0,18.0,31.0,10.0,15.0,25.0,56.0,18.0,37.0,13.0,12.0,29.0,45.0,20.0,26.0,15.0,8.0,28.0,25.0,13.0,15.0,8.0,13.0,15,0,0,0,0,0,0,1,15,6,4
53.0,30.0,36.0,16.0,25.0,18.0,31.0,10.0,15.0,25.0,56.0,18.0,37.0,13.0,12.0,29.0,45.0,20.0,26.0,15.0,8.0,28.0,25.0,13.0,15.0,8.0,13.0,15.0,19,0,0,1,0,0,0,0,19,9,4
30.0,36.0,16.0,25.0,18.0,31.0,10.0,15.0,25.0,56.0,18.0,37.0,13.0,12.0,29.0,45.0,20.0,26.0,15.0,8.0,28.0,25.0,13.0,15.0,8.0,13.0,15.0,19.0,34,0,0,0,0,0,1,0,34,12,4
36.0,16.0,25.0,18.0,31.0,10.0,15.0,25.0,56.0,18.0,37.0,13.0,12.0,29.0,45.0,20.0,26.0,15.0,8.0,28.0,25.0,13.0,15.0,8.0,13.0,15.0,19.0,34.0,56,1,0,0,0,0,0,0,56,15,4
16.0,25.0,18.0,31.0,10.0,15.0,25.0,56.0,18.0,37.0,13.0,12.0,29.0,45.0,20.0,26.0,15.0,8.0,28.0,25.0,13.0,15.0,8.0,13.0,15.0,19.0,34.0,56.0,10,0,1,0,0,0,0,0,10,18,4
25.0,18.0,31.0,10.0,15.0,25.0,56.0,18.0,37.0,13.0,12.0,29.0,45.0,20.0,26.0,15.0,8.0,28.0,25.0,13.0,15.0,8.0,13.0,15.0,19.0,34.0,56.0,10.0,11,0,0,0,0,1,0,0,11,21,4
18.0,31.0,10.0,15.0,25.0,56.0,18.0,37.0,13.0,12.0,29.0,45.0,20.0,26.0,15.0,8.0,28.0,25.0,13.0,15.0,8.0,13.0,15.0,19.0,34.0,56.0,10.0,11.0,46,0,0,0,1,0,0,0,46,24,4
31.0,10.0,15.0,25.0,56.0,18.0,37.0,13.0,12.0,29.0,45.0,20.0,26.0,15.0,8.0,28.0,25.0,13.0,15.0,8.0,13.0,15.0,19.0,34.0,56.0,10.0,11.0,46.0,15,0,0,0,0,0,0,1,15,27,4
10.0,15.0,25.0,56.0,18.0,37.0,13.0,12.0,29.0,45.0,20.0,26.0,15.0,8.0,28.0,25.0,13.0,15.0,8.0,13.0,15.0,19.0,34.0,56.0,10.0,11.0,46.0,15.0,13,0,0,1,0,0,0,0,13,30,4
15.0,25.0,56.0,18.0,37.0,13.0,12.0,29.0,45.0,20.0,26.0,15.0,8.0,28.0,25.0,13.0,15.0,8.0,13.0,15.0,19.0,34.0,56.0,10.0,11.0,46.0,15.0,13.0,25,0,0,0,0,0,1,0,25,3,5
25.0,56.0,18.0,37.0,13.0,12.0,29.0,45.0,20.0,26.0,15.0,8.0,28.0,25.0,13.0,15.0,8.0,13.0,15.0,19.0,34.0,56.0,10.0,11.0,46.0,15.0,13.0,25.0,56,1,0,0,0,0,0,0,56,6,5
56.0,18.0,37.0,13.0,12.0,29.0,45.0,20.0,26.0,15.0,8.0,28.0,25.0,13.0,15.0,8.0,13.0,15.0,19.0,34.0,56.0,10.0,11.0,46.0,15.0,13.0,25.0,56.0,43,0,1,0,0,0,0,0,43,9,5
18.0,37.0,13.0,12.0,29.0,45.0,20.0,26.0,15.0,8.0,28.0,25.0,13.0,15.0,8.0,13.0,15.0,19.0,34.0,56.0,10.0,11.0,46.0,15.0,13.0,25.0,56.0,43.0,16,0,0,0,0,1,0,0,16,12,5
37.0,13.0,12.0,29.0,45.0,20.0,26.0,15.0,8.0,28.0,25.0,13.0,15.0,8.0,13.0,15.0,19.0,34.0,56.0,10.0,11.0,46.0,15.0,13.0,25.0,56.0,43.0,16.0,43,0,0,0,1,0,0,0,43,15,5
13.0,12.0,29.0,45.0,20.0,26.0,15.0,8.0,28.0,25.0,13.0,15.0,8.0,13.0,15.0,19.0,34.0,56.0,10.0,11.0,46.0,15.0,13.0,25.0,56.0,43.0,16.0,43.0,30,0,0,0,0,0,0,1,30,18,5
12.0,29.0,45.0,20.0,26.0,15.0,8.0,28.0,25.0,13.0,15.0,8.0,13.0,15.0,19.0,34.0,56.0,10.0,11.0,46.0,15.0,13.0,25.0,56.0,43.0,16.0,43.0,30.0,25,0,0,1,0,0,0,0,25,21,5
29.0,45.0,20.0,26.0,15.0,8.0,28.0,25.0,13.0,15.0,8.0,13.0,15.0,19.0,34.0,56.0,10.0,11.0,46.0,15.0,13.0,25.0,56.0,43.0,16.0,43.0,30.0,25.0,16,0,0,0,0,0,1,0,16,24,5
45.0,20.0,26.0,15.0,8.0,28.0,25.0,13.0,15.0,8.0,13.0,15.0,19.0,34.0,56.0,10.0,11.0,46.0,15.0,13.0,25.0,56.0,43.0,16.0,43.0,30.0,25.0,16.0,13,1,0,0,0,0,0,0,13,27,5
20.0,26.0,15.0,8.0,28.0,25.0,13.0,15.0,8.0,13.0,15.0,19.0,34.0,56.0,10.0,11.0,46.0,15.0,13.0,25.0,56.0,43.0,16.0,43.0,30.0,25.0,16.0,13.0,17,0,1,0,0,0,0,0,17,30,5
26.0,15.0,8.0,28.0,25.0,13.0,15.0,8.0,13.0,15.0,19.0,34.0,56.0,10.0,11.0,46.0,15.0,13.0,25.0,56.0,43.0,16.0,43.0,30.0,25.0,16.0,13.0,17.0,18,0,0,0,0,1,0,0,18,2,6
15.0,8.0,28.0,25.0,13.0,15.0,8.0,13.0,15.0,19.0,34.0,56.0,10.0,11.0,46.0,15.0,13.0,25.0,56.0,43.0,16.0,43.0,30.0,25.0,16.0,13.0,17.0,18.0,19,0,0,0,1,0,0,0,19,5,6
