lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
36.0,37.0,38.0,31.0,36.0,27.0,38.0,29.0,37.0,38.0,33.0,37.0,36.0,43.0,28.0,29.0,25.0,16.0,26.0,40.0,30.0,30.0,31.0,33.0,29.0,31.0,27.0,31.0,31,0,0,1,0,0,0,0,31,30,1
37.0,38.0,31.0,36.0,27.0,38.0,29.0,37.0,38.0,33.0,37.0,36.0,43.0,28.0,29.0,25.0,16.0,26.0,40.0,30.0,30.0,31.0,33.0,29.0,31.0,27.0,31.0,31.0,33,0,0,0,1,0,0,0,33,31,1
38.0,31.0,36.0,27.0,38.0,29.0,37.0,38.0,33.0,37.0,36.0,43.0,28.0,29.0,25.0,16.0,26.0,40.0,30.0,30.0,31.0,33.0,29.0,31.0,27.0,31.0,31.0,33.0,26,0,1,0,0,0,0,0,26,1,2
31.0,36.0,27.0,38.0,29.0,37.0,38.0,33.0,37.0,36.0,43.0,28.0,29.0,25.0,16.0,26.0,40.0,30.0,30.0,31.0,33.0,29.0,31.0,27.0,31.0,31.0,33.0,26.0,31,0,0,0,0,0,1,0,31,2,2
36.0,27.0,38.0,29.0,37.0,38.0,33.0,37.0,36.0,43.0,28.0,29.0,25.0,16.0,26.0,40.0,30.0,30.0,31.0,33.0,29.0,31.0,27.0,31.0,31.0,33.0,26.0,31.0,29,0,0,0,0,0,0,1,29,3,2
27.0,38.0,29.0,37.0,38.0,33.0,37.0,36.0,43.0,28.0,29.0,25.0,16.0,26.0,40.0,30.0,30.0,31.0,33.0,29.0,31.0,27.0,31.0,31.0,33.0,26.0,31.0,29.0,32,0,0,0,0,1,0,0,32,4,2
38.0,29.0,37.0,38.0,33.0,37.0,36.0,43.0,28.0,29.0,25.0,16.0,26.0,40.0,30.0,30.0,31.0,33.0,29.0,31.0,27.0,31.0,31.0,33.0,26.0,31.0,29.0,32.0,32,1,0,0,0,0,0,0,32,5,2
29.0,37.0,38.0,33.0,37.0,36.0,43.0,28.0,29.0,25.0,16.0,26.0,40.0,30.0,30.0,31.0,33.0,29.0,31.0,27.0,31.0,31.0,33.0,26.0,31.0,29.0,32.0,32.0,36,0,0,1,0,0,0,0,36,6,2
37.0,38.0,33.0,37.0,36.0,43.0,28.0,29.0,25.0,16.0,26.0,40.0,30.0,30.0,31.0,33.0,29.0,31.0,27.0,31.0,31.0,33.0,26.0,31.0,29.0,32.0,32.0,36.0,37,0,0,0,1,0,0,0,37,7,2
38.0,33.0,37.0,36.0,43.0,28.0,29.0,25.0,16.0,26.0,40.0,30.0,30.0,31.0,33.0,29.0,31.0,27.0,31.0,31.0,33.0,26.0,31.0,29.0,32.0,32.0,36.0,37.0,34,0,1,0,0,0,0,0,34,8,2
33.0,37.0,36.0,43.0,28.0,29.0,25.0,16.0,26.0,40.0,30.0,30.0,31.0,33.0,29.0,31.0,27.0,31.0,31.0,33.0,26.0,31.0,29.0,32.0,32.0,36.0,37.0,34.0,26,0,0,0,0,0,1,0,26,9,2
37.0,36.0,43.0,28.0,29.0,25.0,16.0,26.0,40.0,30.0,30.0,31.0,33.0,29.0,31.0,27.0,31.0,31.0,33.0,26.0,31.0,29.0,32.0,32.0,36.0,37.0,34.0,26.0,31,0,0,0,0,0,0,1,31,10,2
36.0,43.0,28.0,29.0,25.0,16.0,26.0,40.0,30.0,30.0,31.0,33.0,29.0,31.0,27.0,31.0,31.0,33.0,26.0,31.0,29.0,32.0,32.0,36.0,37.0,34.0,26.0,31.0,23,0,0,0,0,1,0,0,23,11,2
43.0,28.0,29.0,25.0,16.0,26.0,40.0,30.0,30.0,31.0,33.0,29.0,31.0,27.0,31.0,31.0,33.0,26.0,31.0,29.0,32.0,32.0,36.0,37.0,34.0,26.0,31.0,23.0,33,1,0,0,0,0,0,0,33,12,2
28.0,29.0,25.0,16.0,26.0,40.0,30.0,30.0,31.0,33.0,29.0,31.0,27.0,31.0,31.0,33.0,26.0,31.0,29.0,32.0,32.0,36.0,37.0,34.0,26.0,31.0,23.0,33.0,26,0,0,1,0,0,0,0,26,13,2
29.0,25.0,16.0,26.0,40.0,30.0,30.0,31.0,33.0,29.0,31.0,27.0,31.0,31.0,33.0,26.0,31.0,29.0,32.0,32.0,36.0,37.0,34.0,26.0,31.0,23.0,33.0,26.0,28,0,0,0,1,0,0,0,28,14,2
25.0,16.0,26.0,40.0,30.0,30.0,31.0,33.0,29.0,31.0,27.0,31.0,31.0,33.0,26.0,31.0,29.0,32.0,32.0,36.0,37.0,34.0,26.0,31.0,23.0,33.0,26.0,28.0,30,0,1,0,0,0,0,0,30,15,2
16.0,26.0,40.0,30.0,30.0,31.0,33.0,29.0,31.0,27.0,31.0,31.0,33.0,26.0,31.0,29.0,32.0,32.0,36.0,37.0,34.0,26.0,31.0,23.0,33.0,26.0,28.0,30.0,32,0,0,0,0,0,1,0,32,16,2
26.0,40.0,30.0,30.0,31.0,33.0,29.0,31.0,27.0,31.0,31.0,33.0,26.0,31.0,29.0,32.0,32.0,36.0,37.0,34.0,26.0,31.0,23.0,33.0,26.0,28.0,30.0,32.0,28,0,0,0,0,0,0,1,28,17,2
40.0,30.0,30.0,31.0,33.0,29.0,31.0,27.0,31.0,31.0,33.0,26.0,31.0,29.0,32.0,32.0,36.0,37.0,34.0,26.0,31.0,23.0,33.0,26.0,28.0,30.0,32.0,28.0,38,0,0,0,0,1,0,0,38,18,2
30.0,30.0,31.0,33.0,29.0,31.0,27.0,31.0,31.0,33.0,26.0,31.0,29.0,32.0,32.0,36.0,37.0,34.0,26.0,31.0,23.0,33.0,26.0,28.0,30.0,32.0,28.0,38.0,39,1,0,0,0,0,0,0,39,19,2
30.0,31.0,33.0,29.0,31.0,27.0,31.0,31.0,33.0,26.0,31.0,29.0,32.0,32.0,36.0,37.0,34.0,26.0,31.0,23.0,33.0,26.0,28.0,30.0,32.0,28.0,38.0,39.0,32,0,0,1,0,0,0,0,32,20,2
31.0,33.0,29.0,31.0,27.0,31.0,31.0,33.0,26.0,31.0,29.0,32.0,32.0,36.0,37.0,34.0,26.0,31.0,23.0,33.0,26.0,28.0,30.0,32.0,28.0,38.0,39.0,32.0,28,0,0,0,1,0,0,0,28,21,2
33.0,29.0,31.0,27.0,31.0,31.0,33.0,26.0,31.0,29.0,32.0,32.0,36.0,37.0,34.0,26.0,31.0,23.0,33.0,26.0,28.0,30.0,32.0,28.0,38.0,39.0,32.0,28.0,35,0,1,0,0,0,0,0,35,22,2
29.0,31.0,27.0,31.0,31.0,33.0,26.0,31.0,29.0,32.0,32.0,36.0,37.0,34.0,26.0,31.0,23.0,33.0,26.0,28.0,30.0,32.0,28.0,38.0,39.0,32.0,28.0,35.0,39,0,0,0,0,0,1,0,39,23,2
31.0,27.0,31.0,31.0,33.0,26.0,31.0,29.0,32.0,32.0,36.0,37.0,34.0,26.0,31.0,23.0,33.0,26.0,28.0,30.0,32.0,28.0,38.0,39.0,32.0,28.0,35.0,39.0,36,0,0,0,0,0,0,1,36,24,2
27.0,31.0,31.0,33.0,26.0,31.0,29.0,32.0,32.0,36.0,37.0,34.0,26.0,31.0,23.0,33.0,26.0,28.0,30.0,32.0,28.0,38.0,39.0,32.0,28.0,35.0,39.0,36.0,33,0,0,0,0,1,0,0,33,25,2
31.0,31.0,33.0,26.0,31.0,29.0,32.0,32.0,36.0,37.0,34.0,26.0,31.0,23.0,33.0,26.0,28.0,30.0,32.0,28.0,38.0,39.0,32.0,28.0,35.0,39.0,36.0,33.0,42,1,0,0,0,0,0,0,42,26,2
31.0,33.0,26.0,31.0,29.0,32.0,32.0,36.0,37.0,34.0,26.0,31.0,23.0,33.0,26.0,28.0,30.0,32.0,28.0,38.0,39.0,32.0,28.0,35.0,39.0,36.0,33.0,42.0,40,0,0,1,0,0,0,0,40,27,2
33.0,26.0,31.0,29.0,32.0,32.0,36.0,37.0,34.0,26.0,31.0,23.0,33.0,26.0,28.0,30.0,32.0,28.0,38.0,39.0,32.0,28.0,35.0,39.0,36.0,33.0,42.0,40.0,37,0,0,0,1,0,0,0,37,28,2
26.0,31.0,29.0,32.0,32.0,36.0,37.0,34.0,26.0,31.0,23.0,33.0,26.0,28.0,30.0,32.0,28.0,38.0,39.0,32.0,28.0,35.0,39.0,36.0,33.0,42.0,40.0,37.0,27,0,1,0,0,0,0,0,27,29,2
31.0,29.0,32.0,32.0,36.0,37.0,34.0,26.0,31.0,23.0,33.0,26.0,28.0,30.0,32.0,28.0,38.0,39.0,32.0,28.0,35.0,39.0,36.0,33.0,42.0,40.0,37.0,27.0,31,0,0,0,0,0,1,0,31,1,3
29.0,32.0,32.0,36.0,37.0,34.0,26.0,31.0,23.0,33.0,26.0,28.0,30.0,32.0,28.0,38.0,39.0,32.0,28.0,35.0,39.0,36.0,33.0,42.0,40.0,37.0,27.0,31.0,31,0,0,0,0,0,0,1,31,2,3
32.0,32.0,36.0,37.0,34.0,26.0,31.0,23.0,33.0,26.0,28.0,30.0,32.0,28.0,38.0,39.0,32.0,28.0,35.0,39.0,36.0,33.0,42.0,40.0,37.0,27.0,31.0,31.0,29,0,0,0,0,1,0,0,29,3,3
32.0,36.0,37.0,34.0,26.0,31.0,23.0,33.0,26.0,28.0,30.0,32.0,28.0,38.0,39.0,32.0,28.0,35.0,39.0,36.0,33.0,42.0,40.0,37.0,27.0,31.0,31.0,29.0,39,1,0,0,0,0,0,0,39,4,3
36.0,37.0,34.0,26.0,31.0,23.0,33.0,26.0,28.0,30.0,32.0,28.0,38.0,39.0,32.0,28.0,35.0,39.0,36.0,33.0,42.0,40.0,37.0,27.0,31.0,31.0,29.0,39.0,39,0,0,1,0,0,0,0,39,5,3
37.0,34.0,26.0,31.0,23.0,33.0,26.0,28.0,30.0,32.0,28.0,38.0,39.0,32.0,28.0,35.0,39.0,36.0,33.0,42.0,40.0,37.0,27.0,31.0,31.0,29.0,39.0,39.0,37,0,0,0,1,0,0,0,37,6,3
34.0,26.0,31.0,23.0,33.0,26.0,28.0,30.0,32.0,28.0,38.0,39.0,32.0,28.0,35.0,39.0,36.0,33.0,42.0,40.0,37.0,27.0,31.0,31.0,29.0,39.0,39.0,37.0,31,0,1,0,0,0,0,0,31,7,3
26.0,31.0,23.0,33.0,26.0,28.0,30.0,32.0,28.0,38.0,39.0,32.0,28.0,35.0,39.0,36.0,33.0,42.0,40.0,37.0,27.0,31.0,31.0,29.0,39.0,39.0,37.0,31.0,27,0,0,0,0,0,1,0,27,8,3
31.0,23.0,33.0,26.0,28.0,30.0,32.0,28.0,38.0,39.0,32.0,28.0,35.0,39.0,36.0,33.0,42.0,40.0,37.0,27.0,31.0,31.0,29.0,39.0,39.0,37.0,31.0,27.0,31,0,0,0,0,0,0,1,31,9,3
23.0,33.0,26.0,28.0,30.0,32.0,28.0,38.0,39.0,32.0,28.0,35.0,39.0,36.0,33.0,42.0,40.0,37.0,27.0,31.0,31.0,29.0,39.0,39.0,37.0,31.0,27.0,31.0,35,0,0,0,0,1,0,0,35,10,3
33.0,26.0,28.0,30.0,32.0,28.0,38.0,39.0,32.0,28.0,35.0,39.0,36.0,33.0,42.0,40.0,37.0,27.0,31.0,31.0,29.0,39.0,39.0,37.0,31.0,27.0,31.0,35.0,31,1,0,0,0,0,0,0,31,11,3
26.0,28.0,30.0,32.0,28.0,38.0,39.0,32.0,28.0,35.0,39.0,36.0,33.0,42.0,40.0,37.0,27.0,31.0,31.0,29.0,39.0,39.0,37.0,31.0,27.0,31.0,35.0,31.0,44,0,0,1,0,0,0,0,44,12,3
28.0,30.0,32.0,28.0,38.0,39.0,32.0,28.0,35.0,39.0,36.0,33.0,42.0,40.0,37.0,27.0,31.0,31.0,29.0,39.0,39.0,37.0,31.0,27.0,31.0,35.0,31.0,44.0,36,0,0,0,1,0,0,0,36,13,3
30.0,32.0,28.0,38.0,39.0,32.0,28.0,35.0,39.0,36.0,33.0,42.0,40.0,37.0,27.0,31.0,31.0,29.0,39.0,39.0,37.0,31.0,27.0,31.0,35.0,31.0,44.0,36.0,39,0,1,0,0,0,0,0,39,14,3
32.0,28.0,38.0,39.0,32.0,28.0,35.0,39.0,36.0,33.0,42.0,40.0,37.0,27.0,31.0,31.0,29.0,39.0,39.0,37.0,31.0,27.0,31.0,35.0,31.0,44.0,36.0,39.0,35,0,0,0,0,0,1,0,35,15,3
