lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
50.0,48.0,57.0,52.0,62.0,66.0,11.0,22.0,36.0,16.0,28.0,48.0,21.0,43.0,33.0,47.0,53.0,60.0,50.0,33.0,31.0,67.0,48.0,18.0,40.0,25.0,25.0,37.0,32,0,0,1,0,0,0,0,32,30,1
48.0,57.0,52.0,62.0,66.0,11.0,22.0,36.0,16.0,28.0,48.0,21.0,43.0,33.0,47.0,53.0,60.0,50.0,33.0,31.0,67.0,48.0,18.0,40.0,25.0,25.0,37.0,32.0,16,0,0,0,1,0,0,0,16,31,1
57.0,52.0,62.0,66.0,11.0,22.0,36.0,16.0,28.0,48.0,21.0,43.0,33.0,47.0,53.0,60.0,50.0,33.0,31.0,67.0,48.0,18.0,40.0,25.0,25.0,37.0,32.0,16.0,37,0,1,0,0,0,0,0,37,1,2
52.0,62.0,66.0,11.0,22.0,36.0,16.0,28.0,48.0,21.0,43.0,33.0,47.0,53.0,60.0,50.0,33.0,31.0,67.0,48.0,18.0,40.0,25.0,25.0,37.0,32.0,16.0,37.0,55,0,0,0,0,0,1,0,55,2,2
62.0,66.0,11.0,22.0,36.0,16.0,28.0,48.0,21.0,43.0,33.0,47.0,53.0,60.0,50.0,33.0,31.0,67.0,48.0,18.0,40.0,25.0,25.0,37.0,32.0,16.0,37.0,55.0,51,0,0,0,0,0,0,1,51,3,2
66.0,11.0,22.0,36.0,16.0,28.0,48.0,21.0,43.0,33.0,47.0,53.0,60.0,50.0,33.0,31.0,67.0,48.0,18.0,40.0,25.0,25.0,37.0,32.0,16.0,37.0,55.0,51.0,43,0,0,0,0,1,0,0,43,4,2
11.0,22.0,36.0,16.0,28.0,48.0,21.0,43.0,33.0,47.0,53.0,60.0,50.0,33.0,31.0,67.0,48.0,18.0,40.0,25.0,25.0,37.0,32.0,16.0,37.0,55.0,51.0,43.0,36,1,0,0,0,0,0,0,36,5,2
22.0,36.0,16.0,28.0,48.0,21.0,43.0,33.0,47.0,53.0,60.0,50.0,33.0,31.0,67.0,48.0,18.0,40.0,25.0,25.0,37.0,32.0,16.0,37.0,55.0,51.0,43.0,36.0,22,0,0,1,0,0,0,0,22,6,2
36.0,16.0,28.0,48.0,21.0,43.0,33.0,47.0,53.0,60.0,50.0,33.0,31.0,67.0,48.0,18.0,40.0,25.0,25.0,37.0,32.0,16.0,37.0,55.0,51.0,43.0,36.0,22.0,76,0,0,0,1,0,0,0,76,7,2
16.0,28.0,48.0,21.0,43.0,33.0,47.0,53.0,60.0,50.0,33.0,31.0,67.0,48.0,18.0,40.0,25.0,25.0,37.0,32.0,16.0,37.0,55.0,51.0,43.0,36.0,22.0,76.0,56,0,1,0,0,0,0,0,56,8,2
28.0,48.0,21.0,43.0,33.0,47.0,53.0,60.0,50.0,33.0,31.0,67.0,48.0,18.0,40.0,25.0,25.0,37.0,32.0,16.0,37.0,55.0,51.0,43.0,36.0,22.0,76.0,56.0,49,0,0,0,0,0,1,0,49,9,2
48.0,21.0,43.0,33.0,47.0,53.0,60.0,50.0,33.0,31.0,67.0,48.0,18.0,40.0,25.0,25.0,37.0,32.0,16.0,37.0,55.0,51.0,43.0,36.0,22.0,76.0,56.0,49.0,58,0,0,0,0,0,0,1,58,10,2
21.0,43.0,33.0,47.0,53.0,60.0,50.0,33.0,31.0,67.0,48.0,18.0,40.0,25.0,25.0,37.0,32.0,16.0,37.0,55.0,51.0,43.0,36.0,22.0,76.0,56.0,49.0,58.0,61,0,0,0,0,1,0,0,61,11,2
43.0,33.0,47.0,53.0,60.0,50.0,33.0,31.0,67.0,48.0,18.0,40.0,25.0,25.0,37.0,32.0,16.0,37.0,55.0,51.0,43.0,36.0,22.0,76.0,56.0,49.0,58.0,61.0,54,1,0,0,0,0,0,0,54,12,2
33.0,47.0,53.0,60.0,50.0,33.0,31.0,67.0,48.0,18.0,40.0,25.0,25.0,37.0,32.0,16.0,37.0,55.0,51.0,43.0,36.0,22.0,76.0,56.0,49.0,58.0,61.0,54.0,33,0,0,1,0,0,0,0,33,13,2
47.0,53.0,60.0,50.0,33.0,31.0,67.0,48.0,18.0,40.0,25.0,25.0,37.0,32.0,16.0,37.0,55.0,51.0,43.0,36.0,22.0,76.0,56.0,49.0,58.0,61.0,54.0,33.0,17,0,0,0,1,0,0,0,17,14,2
53.0,60.0,50.0,33.0,31.0,67.0,48.0,18.0,40.0,25.0,25.0,37.0,32.0,16.0,37.0,55.0,51.0,43.0,36.0,22.0,76.0,56.0,49.0,58.0,61.0,54.0,33.0,17.0,21,0,1,0,0,0,0,0,21,15,2
60.0,50.0,33.0,31.0,67.0,48.0,18.0,40.0,25.0,25.0,37.0,32.0,16.0,37.0,55.0,51.0,43.0,36.0,22.0,76.0,56.0,49.0,58.0,61.0,54.0,33.0,17.0,21.0,20,0,0,0,0,0,1,0,20,16,2
50.0,33.0,31.0,67.0,48.0,18.0,40.0,25.0,25.0,37.0,32.0,16.0,37.0,55.0,51.0,43.0,36.0,22.0,76.0,56.0,49.0,58.0,61.0,54.0,33.0,17.0,21.0,20.0,22,0,0,0,0,0,0,1,22,17,2
33.0,31.0,67.0,48.0,18.0,40.0,25.0,25.0,37.0,32.0,16.0,37.0,55.0,51.0,43.0,36.0,22.0,76.0,56.0,49.0,58.0,61.0,54.0,33.0,17.0,21.0,20.0,22.0,15,0,0,0,0,1,0,0,15,18,2
31.0,67.0,48.0,18.0,40.0,25.0,25.0,37.0,32.0,16.0,37.0,55.0,51.0,43.0,36.0,22.0,76.0,56.0,49.0,58.0,61.0,54.0,33.0,17.0,21.0,20.0,22.0,15.0,13,1,0,0,0,0,0,0,13,19,2
67.0,48.0,18.0,40.0,25.0,25.0,37.0,32.0,16.0,37.0,55.0,51.0,43.0,36.0,22.0,76.0,56.0,49.0,58.0,61.0,54.0,33.0,17.0,21.0,20.0,22.0,15.0,13.0,17,0,0,1,0,0,0,0,17,20,2
48.0,18.0,40.0,25.0,25.0,37.0,32.0,16.0,37.0,55.0,51.0,43.0,36.0,22.0,76.0,56.0,49.0,58.0,61.0,54.0,33.0,17.0,21.0,20.0,22.0,15.0,13.0,17.0,18,0,0,0,1,0,0,0,18,21,2
18.0,40.0,25.0,25.0,37.0,32.0,16.0,37.0,55.0,51.0,43.0,36.0,22.0,76.0,56.0,49.0,58.0,61.0,54.0,33.0,17.0,21.0,20.0,22.0,15.0,13.0,17.0,18.0,53,0,1,0,0,0,0,0,53,22,2
40.0,25.0,25.0,37.0,32.0,16.0,37.0,55.0,51.0,43.0,36.0,22.0,76.0,56.0,49.0,58.0,61.0,54.0,33.0,17.0,21.0,20.0,22.0,15.0,13.0,17.0,18.0,53.0,31,0,0,0,0,0,1,0,31,23,2
25.0,25.0,37.0,32.0,16.0,37.0,55.0,51.0,43.0,36.0,22.0,76.0,56.0,49.0,58.0,61.0,54.0,33.0,17.0,21.0,20.0,22.0,15.0,13.0,17.0,18.0,53.0,31.0,38,0,0,0,0,0,0,1,38,24,2
