lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
34.0,36.0,46.0,31.0,38.0,38.0,36.0,35.0,27.0,32.0,36.0,40.0,43.0,41.0,33.0,28.0,31.0,33.0,29.0,32.0,36.0,33.0,34.0,39.0,36.0,29.0,35.0,37.0,45,0,0,1,0,0,0,0,45,30,1
36.0,46.0,31.0,38.0,38.0,36.0,35.0,27.0,32.0,36.0,40.0,43.0,41.0,33.0,28.0,31.0,33.0,29.0,32.0,36.0,33.0,34.0,39.0,36.0,29.0,35.0,37.0,45.0,44,0,0,0,1,0,0,0,44,31,1
46.0,31.0,38.0,38.0,36.0,35.0,27.0,32.0,36.0,40.0,43.0,41.0,33.0,28.0,31.0,33.0,29.0,32.0,36.0,33.0,34.0,39.0,36.0,29.0,35.0,37.0,45.0,44.0,37,0,1,0,0,0,0,0,37,1,2
31.0,38.0,38.0,36.0,35.0,27.0,32.0,36.0,40.0,43.0,41.0,33.0,28.0,31.0,33.0,29.0,32.0,36.0,33.0,34.0,39.0,36.0,29.0,35.0,37.0,45.0,44.0,37.0,37,0,0,0,0,0,1,0,37,2,2
38.0,38.0,36.0,35.0,27.0,32.0,36.0,40.0,43.0,41.0,33.0,28.0,31.0,33.0,29.0,32.0,36.0,33.0,34.0,39.0,36.0,29.0,35.0,37.0,45.0,44.0,37.0,37.0,38,0,0,0,0,0,0,1,38,3,2
38.0,36.0,35.0,27.0,32.0,36.0,40.0,43.0,41.0,33.0,28.0,31.0,33.0,29.0,32.0,36.0,33.0,34.0,39.0,36.0,29.0,35.0,37.0,45.0,44.0,37.0,37.0,38.0,32,0,0,0,0,1,0,0,32,4,2
36.0,35.0,27.0,32.0,36.0,40.0,43.0,41.0,33.0,28.0,31.0,33.0,29.0,32.0,36.0,33.0,34.0,39.0,36.0,29.0,35.0,37.0,45.0,44.0,37.0,37.0,38.0,32.0,38,1,0,0,0,0,0,0,38,5,2
35.0,27.0,32.0,36.0,40.0,43.0,41.0,33.0,28.0,31.0,33.0,29.0,32.0,36.0,33.0,34.0,39.0,36.0,29.0,35.0,37.0,45.0,44.0,37.0,37.0,38.0,32.0,38.0,40,0,0,1,0,0,0,0,40,6,2
27.0,32.0,36.0,40.0,43.0,41.0,33.0,28.0,31.0,33.0,29.0,32.0,36.0,33.0,34.0,39.0,36.0,29.0,35.0,37.0,45.0,44.0,37.0,37.0,38.0,32.0,38.0,40.0,45,0,0,0,1,0,0,0,45,7,2
32.0,36.0,40.0,43.0,41.0,33.0,28.0,31.0,33.0,29.0,32.0,36.0,33.0,34.0,39.0,36.0,29.0,35.0,37.0,45.0,44.0,37.0,37.0,38.0,32.0,38.0,40.0,45.0,41,0,1,0,0,0,0,0,41,8,2
