lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
33.0,24.0,35.0,37.0,40.0,37.0,71.0,50.0,50.0,32.0,44.0,34.0,41.0,61.0,50.0,49.0,54.0,44.0,40.0,42.0,49.0,54.0,47.0,34.0,47.0,35.0,41.0,46.0,64,0,0,0,0,0,0,1,64,30,3
24.0,35.0,37.0,40.0,37.0,71.0,50.0,50.0,32.0,44.0,34.0,41.0,61.0,50.0,49.0,54.0,44.0,40.0,42.0,49.0,54.0,47.0,34.0,47.0,35.0,41.0,46.0,64.0,42,0,0,0,0,1,0,0,42,31,3
35.0,37.0,40.0,37.0,71.0,50.0,50.0,32.0,44.0,34.0,41.0,61.0,50.0,49.0,54.0,44.0,40.0,42.0,49.0,54.0,47.0,34.0,47.0,35.0,41.0,46.0,64.0,42.0,41,1,0,0,0,0,0,0,41,1,4
37.0,40.0,37.0,71.0,50.0,50.0,32.0,44.0,34.0,41.0,61.0,50.0,49.0,54.0,44.0,40.0,42.0,49.0,54.0,47.0,34.0,47.0,35.0,41.0,46.0,64.0,42.0,41.0,44,0,0,1,0,0,0,0,44,2,4
40.0,37.0,71.0,50.0,50.0,32.0,44.0,34.0,41.0,61.0,50.0,49.0,54.0,44.0,40.0,42.0,49.0,54.0,47.0,34.0,47.0,35.0,41.0,46.0,64.0,42.0,41.0,44.0,47,0,0,0,1,0,0,0,47,3,4
37.0,71.0,50.0,50.0,32.0,44.0,34.0,41.0,61.0,50.0,49.0,54.0,44.0,40.0,42.0,49.0,54.0,47.0,34.0,47.0,35.0,41.0,46.0,64.0,42.0,41.0,44.0,47.0,61,0,1,0,0,0,0,0,61,4,4
71.0,50.0,50.0,32.0,44.0,34.0,41.0,61.0,50.0,49.0,54.0,44.0,40.0,42.0,49.0,54.0,47.0,34.0,47.0,35.0,41.0,46.0,64.0,42.0,41.0,44.0,47.0,61.0,44,0,0,0,0,0,1,0,44,5,4
50.0,50.0,32.0,44.0,34.0,41.0,61.0,50.0,49.0,54.0,44.0,40.0,42.0,49.0,54.0,47.0,34.0,47.0,35.0,41.0,46.0,64.0,42.0,41.0,44.0,47.0,61.0,44.0,50,0,0,0,0,0,0,1,50,6,4
50.0,32.0,44.0,34.0,41.0,61.0,50.0,49.0,54.0,44.0,40.0,42.0,49.0,54.0,47.0,34.0,47.0,35.0,41.0,46.0,64.0,42.0,41.0,44.0,47.0,61.0,44.0,50.0,43,0,0,0,0,1,0,0,43,7,4
32.0,44.0,34.0,41.0,61.0,50.0,49.0,54.0,44.0,40.0,42.0,49.0,54.0,47.0,34.0,47.0,35.0,41.0,46.0,64.0,42.0,41.0,44.0,47.0,61.0,44.0,50.0,43.0,40,1,0,0,0,0,0,0,40,8,4
44.0,34.0,41.0,61.0,50.0,49.0,54.0,44.0,40.0,42.0,49.0,54.0,47.0,34.0,47.0,35.0,41.0,46.0,64.0,42.0,41.0,44.0,47.0,61.0,44.0,50.0,43.0,40.0,43,0,0,1,0,0,0,0,43,9,4
34.0,41.0,61.0,50.0,49.0,54.0,44.0,40.0,42.0,49.0,54.0,47.0,34.0,47.0,35.0,41.0,46.0,64.0,42.0,41.0,44.0,47.0,61.0,44.0,50.0,43.0,40.0,43.0,40,0,0,0,1,0,0,0,40,10,4
41.0,61.0,50.0,49.0,54.0,44.0,40.0,42.0,49.0,54.0,47.0,34.0,47.0,35.0,41.0,46.0,64.0,42.0,41.0,44.0,47.0,61.0,44.0,50.0,43.0,40.0,43.0,40.0,49,0,1,0,0,0,0,0,49,11,4
61.0,50.0,49.0,54.0,44.0,40.0,42.0,49.0,54.0,47.0,34.0,47.0,35.0,41.0,46.0,64.0,42.0,41.0,44.0,47.0,61.0,44.0,50.0,43.0,40.0,43.0,40.0,49.0,44,0,0,0,0,0,1,0,44,12,4
50.0,49.0,54.0,44.0,40.0,42.0,49.0,54.0,47.0,34.0,47.0,35.0,41.0,46.0,64.0,42.0,41.0,44.0,47.0,61.0,44.0,50.0,43.0,40.0,43.0,40.0,49.0,44.0,49,0,0,0,0,0,0,1,49,13,4
49.0,54.0,44.0,40.0,42.0,49.0,54.0,47.0,34.0,47.0,35.0,41.0,46.0,64.0,42.0,41.0,44.0,47.0,61.0,44.0,50.0,43.0,40.0,43.0,40.0,49.0,44.0,49.0,61,0,0,0,0,1,0,0,61,14,4
54.0,44.0,40.0,42.0,49.0,54.0,47.0,34.0,47.0,35.0,41.0,46.0,64.0,42.0,41.0,44.0,47.0,61.0,44.0,50.0,43.0,40.0,43.0,40.0,49.0,44.0,49.0,61.0,71,1,0,0,0,0,0,0,71,15,4
44.0,40.0,42.0,49.0,54.0,47.0,34.0,47.0,35.0,41.0,46.0,64.0,42.0,41.0,44.0,47.0,61.0,44.0,50.0,43.0,40.0,43.0,40.0,49.0,44.0,49.0,61.0,71.0,80,0,0,1,0,0,0,0,80,16,4
40.0,42.0,49.0,54.0,47.0,34.0,47.0,35.0,41.0,46.0,64.0,42.0,41.0,44.0,47.0,61.0,44.0,50.0,43.0,40.0,43.0,40.0,49.0,44.0,49.0,61.0,71.0,80.0,77,0,0,0,1,0,0,0,77,17,4
42.0,49.0,54.0,47.0,34.0,47.0,35.0,41.0,46.0,64.0,42.0,41.0,44.0,47.0,61.0,44.0,50.0,43.0,40.0,43.0,40.0,49.0,44.0,49.0,61.0,71.0,80.0,77.0,84,0,1,0,0,0,0,0,84,18,4
49.0,54.0,47.0,34.0,47.0,35.0,41.0,46.0,64.0,42.0,41.0,44.0,47.0,61.0,44.0,50.0,43.0,40.0,43.0,40.0,49.0,44.0,49.0,61.0,71.0,80.0,77.0,84.0,93,0,0,0,0,0,1,0,93,19,4
54.0,47.0,34.0,47.0,35.0,41.0,46.0,64.0,42.0,41.0,44.0,47.0,61.0,44.0,50.0,43.0,40.0,43.0,40.0,49.0,44.0,49.0,61.0,71.0,80.0,77.0,84.0,93.0,112,0,0,0,0,0,0,1,112,20,4
47.0,34.0,47.0,35.0,41.0,46.0,64.0,42.0,41.0,44.0,47.0,61.0,44.0,50.0,43.0,40.0,43.0,40.0,49.0,44.0,49.0,61.0,71.0,80.0,77.0,84.0,93.0,112.0,64,0,0,0,0,1,0,0,64,21,4
34.0,47.0,35.0,41.0,46.0,64.0,42.0,41.0,44.0,47.0,61.0,44.0,50.0,43.0,40.0,43.0,40.0,49.0,44.0,49.0,61.0,71.0,80.0,77.0,84.0,93.0,112.0,64.0,39,1,0,0,0,0,0,0,39,22,4
47.0,35.0,41.0,46.0,64.0,42.0,41.0,44.0,47.0,61.0,44.0,50.0,43.0,40.0,43.0,40.0,49.0,44.0,49.0,61.0,71.0,80.0,77.0,84.0,93.0,112.0,64.0,39.0,44,0,0,1,0,0,0,0,44,23,4
35.0,41.0,46.0,64.0,42.0,41.0,44.0,47.0,61.0,44.0,50.0,43.0,40.0,43.0,40.0,49.0,44.0,49.0,61.0,71.0,80.0,77.0,84.0,93.0,112.0,64.0,39.0,44.0,74,0,0,0,1,0,0,0,74,24,4
41.0,46.0,64.0,42.0,41.0,44.0,47.0,61.0,44.0,50.0,43.0,40.0,43.0,40.0,49.0,44.0,49.0,61.0,71.0,80.0,77.0,84.0,93.0,112.0,64.0,39.0,44.0,74.0,74,0,1,0,0,0,0,0,74,25,4
46.0,64.0,42.0,41.0,44.0,47.0,61.0,44.0,50.0,43.0,40.0,43.0,40.0,49.0,44.0,49.0,61.0,71.0,80.0,77.0,84.0,93.0,112.0,64.0,39.0,44.0,74.0,74.0,58,0,0,0,0,0,1,0,58,26,4
64.0,42.0,41.0,44.0,47.0,61.0,44.0,50.0,43.0,40.0,43.0,40.0,49.0,44.0,49.0,61.0,71.0,80.0,77.0,84.0,93.0,112.0,64.0,39.0,44.0,74.0,74.0,58.0,46,0,0,0,0,0,0,1,46,27,4
42.0,41.0,44.0,47.0,61.0,44.0,50.0,43.0,40.0,43.0,40.0,49.0,44.0,49.0,61.0,71.0,80.0,77.0,84.0,93.0,112.0,64.0,39.0,44.0,74.0,74.0,58.0,46.0,51,0,0,0,0,1,0,0,51,28,4
41.0,44.0,47.0,61.0,44.0,50.0,43.0,40.0,43.0,40.0,49.0,44.0,49.0,61.0,71.0,80.0,77.0,84.0,93.0,112.0,64.0,39.0,44.0,74.0,74.0,58.0,46.0,51.0,48,1,0,0,0,0,0,0,48,29,4
44.0,47.0,61.0,44.0,50.0,43.0,40.0,43.0,40.0,49.0,44.0,49.0,61.0,71.0,80.0,77.0,84.0,93.0,112.0,64.0,39.0,44.0,74.0,74.0,58.0,46.0,51.0,48.0,39,0,0,1,0,0,0,0,39,30,4
47.0,61.0,44.0,50.0,43.0,40.0,43.0,40.0,49.0,44.0,49.0,61.0,71.0,80.0,77.0,84.0,93.0,112.0,64.0,39.0,44.0,74.0,74.0,58.0,46.0,51.0,48.0,39.0,42,0,0,0,1,0,0,0,42,1,5
61.0,44.0,50.0,43.0,40.0,43.0,40.0,49.0,44.0,49.0,61.0,71.0,80.0,77.0,84.0,93.0,112.0,64.0,39.0,44.0,74.0,74.0,58.0,46.0,51.0,48.0,39.0,42.0,39,0,1,0,0,0,0,0,39,2,5
44.0,50.0,43.0,40.0,43.0,40.0,49.0,44.0,49.0,61.0,71.0,80.0,77.0,84.0,93.0,112.0,64.0,39.0,44.0,74.0,74.0,58.0,46.0,51.0,48.0,39.0,42.0,39.0,39,0,0,0,0,0,1,0,39,3,5
50.0,43.0,40.0,43.0,40.0,49.0,44.0,49.0,61.0,71.0,80.0,77.0,84.0,93.0,112.0,64.0,39.0,44.0,74.0,74.0,58.0,46.0,51.0,48.0,39.0,42.0,39.0,39.0,48,0,0,0,0,0,0,1,48,4,5
43.0,40.0,43.0,40.0,49.0,44.0,49.0,61.0,71.0,80.0,77.0,84.0,93.0,112.0,64.0,39.0,44.0,74.0,74.0,58.0,46.0,51.0,48.0,39.0,42.0,39.0,39.0,48.0,33,0,0,0,0,1,0,0,33,5,5
40.0,43.0,40.0,49.0,44.0,49.0,61.0,71.0,80.0,77.0,84.0,93.0,112.0,64.0,39.0,44.0,74.0,74.0,58.0,46.0,51.0,48.0,39.0,42.0,39.0,39.0,48.0,33.0,47,1,0,0,0,0,0,0,47,6,5
43.0,40.0,49.0,44.0,49.0,61.0,71.0,80.0,77.0,84.0,93.0,112.0,64.0,39.0,44.0,74.0,74.0,58.0,46.0,51.0,48.0,39.0,42.0,39.0,39.0,48.0,33.0,47.0,61,0,0,1,0,0,0,0,61,7,5
40.0,49.0,44.0,49.0,61.0,71.0,80.0,77.0,84.0,93.0,112.0,64.0,39.0,44.0,74.0,74.0,58.0,46.0,51.0,48.0,39.0,42.0,39.0,39.0,48.0,33.0,47.0,61.0,61,0,0,0,1,0,0,0,61,8,5
49.0,44.0,49.0,61.0,71.0,80.0,77.0,84.0,93.0,112.0,64.0,39.0,44.0,74.0,74.0,58.0,46.0,51.0,48.0,39.0,42.0,39.0,39.0,48.0,33.0,47.0,61.0,61.0,50,0,1,0,0,0,0,0,50,9,5
44.0,49.0,61.0,71.0,80.0,77.0,84.0,93.0,112.0,64.0,39.0,44.0,74.0,74.0,58.0,46.0,51.0,48.0,39.0,42.0,39.0,39.0,48.0,33.0,47.0,61.0,61.0,50.0,50,0,0,0,0,0,1,0,50,10,5
49.0,61.0,71.0,80.0,77.0,84.0,93.0,112.0,64.0,39.0,44.0,74.0,74.0,58.0,46.0,51.0,48.0,39.0,42.0,39.0,39.0,48.0,33.0,47.0,61.0,61.0,50.0,50.0,61,0,0,0,0,0,0,1,61,11,5
61.0,71.0,80.0,77.0,84.0,93.0,112.0,64.0,39.0,44.0,74.0,74.0,58.0,46.0,51.0,48.0,39.0,42.0,39.0,39.0,48.0,33.0,47.0,61.0,61.0,50.0,50.0,61.0,46,0,0,0,0,1,0,0,46,12,5
71.0,80.0,77.0,84.0,93.0,112.0,64.0,39.0,44.0,74.0,74.0,58.0,46.0,51.0,48.0,39.0,42.0,39.0,39.0,48.0,33.0,47.0,61.0,61.0,50.0,50.0,61.0,46.0,44,1,0,0,0,0,0,0,44,13,5
80.0,77.0,84.0,93.0,112.0,64.0,39.0,44.0,74.0,74.0,58.0,46.0,51.0,48.0,39.0,42.0,39.0,39.0,48.0,33.0,47.0,61.0,61.0,50.0,50.0,61.0,46.0,44.0,43,0,0,1,0,0,0,0,43,14,5
77.0,84.0,93.0,112.0,64.0,39.0,44.0,74.0,74.0,58.0,46.0,51.0,48.0,39.0,42.0,39.0,39.0,48.0,33.0,47.0,61.0,61.0,50.0,50.0,61.0,46.0,44.0,43.0,45,0,0,0,1,0,0,0,45,15,5
84.0,93.0,112.0,64.0,39.0,44.0,74.0,74.0,58.0,46.0,51.0,48.0,39.0,42.0,39.0,39.0,48.0,33.0,47.0,61.0,61.0,50.0,50.0,61.0,46.0,44.0,43.0,45.0,45,0,1,0,0,0,0,0,45,16,5
93.0,112.0,64.0,39.0,44.0,74.0,74.0,58.0,46.0,51.0,48.0,39.0,42.0,39.0,39.0,48.0,33.0,47.0,61.0,61.0,50.0,50.0,61.0,46.0,44.0,43.0,45.0,45.0,49,0,0,0,0,0,1,0,49,17,5
112.0,64.0,39.0,44.0,74.0,74.0,58.0,46.0,51.0,48.0,39.0,42.0,39.0,39.0,48.0,33.0,47.0,61.0,61.0,50.0,50.0,61.0,46.0,44.0,43.0,45.0,45.0,49.0,32,0,0,0,0,0,0,1,32,18,5
64.0,39.0,44.0,74.0,74.0,58.0,46.0,51.0,48.0,39.0,42.0,39.0,39.0,48.0,33.0,47.0,61.0,61.0,50.0,50.0,61.0,46.0,44.0,43.0,45.0,45.0,49.0,32.0,48,0,0,0,0,1,0,0,48,19,5
39.0,44.0,74.0,74.0,58.0,46.0,51.0,48.0,39.0,42.0,39.0,39.0,48.0,33.0,47.0,61.0,61.0,50.0,50.0,61.0,46.0,44.0,43.0,45.0,45.0,49.0,32.0,48.0,31,1,0,0,0,0,0,0,31,20,5
44.0,74.0,74.0,58.0,46.0,51.0,48.0,39.0,42.0,39.0,39.0,48.0,33.0,47.0,61.0,61.0,50.0,50.0,61.0,46.0,44.0,43.0,45.0,45.0,49.0,32.0,48.0,31.0,44,0,0,1,0,0,0,0,44,21,5
74.0,74.0,58.0,46.0,51.0,48.0,39.0,42.0,39.0,39.0,48.0,33.0,47.0,61.0,61.0,50.0,50.0,61.0,46.0,44.0,43.0,45.0,45.0,49.0,32.0,48.0,31.0,44.0,58,0,0,0,1,0,0,0,58,22,5
74.0,58.0,46.0,51.0,48.0,39.0,42.0,39.0,39.0,48.0,33.0,47.0,61.0,61.0,50.0,50.0,61.0,46.0,44.0,43.0,45.0,45.0,49.0,32.0,48.0,31.0,44.0,58.0,54,0,1,0,0,0,0,0,54,23,5
58.0,46.0,51.0,48.0,39.0,42.0,39.0,39.0,48.0,33.0,47.0,61.0,61.0,50.0,50.0,61.0,46.0,44.0,43.0,45.0,45.0,49.0,32.0,48.0,31.0,44.0,58.0,54.0,80,0,0,0,0,0,0,1,80,25,5
46.0,51.0,48.0,39.0,42.0,39.0,39.0,48.0,33.0,47.0,61.0,61.0,50.0,50.0,61.0,46.0,44.0,43.0,45.0,45.0,49.0,32.0,48.0,31.0,44.0,58.0,54.0,80.0,50,0,0,0,0,1,0,0,50,26,5
51.0,48.0,39.0,42.0,39.0,39.0,48.0,33.0,47.0,61.0,61.0,50.0,50.0,61.0,46.0,44.0,43.0,45.0,45.0,49.0,32.0,48.0,31.0,44.0,58.0,54.0,80.0,50.0,46,1,0,0,0,0,0,0,46,27,5
48.0,39.0,42.0,39.0,39.0,48.0,33.0,47.0,61.0,61.0,50.0,50.0,61.0,46.0,44.0,43.0,45.0,45.0,49.0,32.0,48.0,31.0,44.0,58.0,54.0,80.0,50.0,46.0,48,0,0,1,0,0,0,0,48,28,5
39.0,42.0,39.0,39.0,48.0,33.0,47.0,61.0,61.0,50.0,50.0,61.0,46.0,44.0,43.0,45.0,45.0,49.0,32.0,48.0,31.0,44.0,58.0,54.0,80.0,50.0,46.0,48.0,45,0,0,0,1,0,0,0,45,29,5
42.0,39.0,39.0,48.0,33.0,47.0,61.0,61.0,50.0,50.0,61.0,46.0,44.0,43.0,45.0,45.0,49.0,32.0,48.0,31.0,44.0,58.0,54.0,80.0,50.0,46.0,48.0,45.0,47,0,1,0,0,0,0,0,47,30,5
39.0,39.0,48.0,33.0,47.0,61.0,61.0,50.0,50.0,61.0,46.0,44.0,43.0,45.0,45.0,49.0,32.0,48.0,31.0,44.0,58.0,54.0,80.0,50.0,46.0,48.0,45.0,47.0,61,0,0,0,0,0,1,0,61,31,5
39.0,48.0,33.0,47.0,61.0,61.0,50.0,50.0,61.0,46.0,44.0,43.0,45.0,45.0,49.0,32.0,48.0,31.0,44.0,58.0,54.0,80.0,50.0,46.0,48.0,45.0,47.0,61.0,77,0,0,0,0,0,0,1,77,1,6
48.0,33.0,47.0,61.0,61.0,50.0,50.0,61.0,46.0,44.0,43.0,45.0,45.0,49.0,32.0,48.0,31.0,44.0,58.0,54.0,80.0,50.0,46.0,48.0,45.0,47.0,61.0,77.0,61,0,0,0,0,1,0,0,61,2,6
33.0,47.0,61.0,61.0,50.0,50.0,61.0,46.0,44.0,43.0,45.0,45.0,49.0,32.0,48.0,31.0,44.0,58.0,54.0,80.0,50.0,46.0,48.0,45.0,47.0,61.0,77.0,61.0,67,1,0,0,0,0,0,0,67,3,6
47.0,61.0,61.0,50.0,50.0,61.0,46.0,44.0,43.0,45.0,45.0,49.0,32.0,48.0,31.0,44.0,58.0,54.0,80.0,50.0,46.0,48.0,45.0,47.0,61.0,77.0,61.0,67.0,36,0,0,1,0,0,0,0,36,4,6
61.0,61.0,50.0,50.0,61.0,46.0,44.0,43.0,45.0,45.0,49.0,32.0,48.0,31.0,44.0,58.0,54.0,80.0,50.0,46.0,48.0,45.0,47.0,61.0,77.0,61.0,67.0,36.0,28,0,0,0,1,0,0,0,28,5,6
61.0,50.0,50.0,61.0,46.0,44.0,43.0,45.0,45.0,49.0,32.0,48.0,31.0,44.0,58.0,54.0,80.0,50.0,46.0,48.0,45.0,47.0,61.0,77.0,61.0,67.0,36.0,28.0,64,0,1,0,0,0,0,0,64,6,6
50.0,50.0,61.0,46.0,44.0,43.0,45.0,45.0,49.0,32.0,48.0,31.0,44.0,58.0,54.0,80.0,50.0,46.0,48.0,45.0,47.0,61.0,77.0,61.0,67.0,36.0,28.0,64.0,50,0,0,0,0,0,1,0,50,7,6
50.0,61.0,46.0,44.0,43.0,45.0,45.0,49.0,32.0,48.0,31.0,44.0,58.0,54.0,80.0,50.0,46.0,48.0,45.0,47.0,61.0,77.0,61.0,67.0,36.0,28.0,64.0,50.0,51,0,0,0,0,0,0,1,51,8,6
61.0,46.0,44.0,43.0,45.0,45.0,49.0,32.0,48.0,31.0,44.0,58.0,54.0,80.0,50.0,46.0,48.0,45.0,47.0,61.0,77.0,61.0,67.0,36.0,28.0,64.0,50.0,51.0,51,0,0,0,0,1,0,0,51,9,6
