lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
16.0,58.0,13.0,56.0,45.0,52.0,20.0,54.0,38.0,57.0,13.0,57.0,18.0,60.0,47.0,53.0,53.0,49.0,30.0,28.0,22.0,43.0,48.0,33.0,23.0,28.0,29.0,30.0,15,0,1,0,0,0,0,0,15,28,3
58.0,13.0,56.0,45.0,52.0,20.0,54.0,38.0,57.0,13.0,57.0,18.0,60.0,47.0,53.0,53.0,49.0,30.0,28.0,22.0,43.0,48.0,33.0,23.0,28.0,29.0,30.0,15.0,87,0,0,0,0,1,0,0,87,31,3
13.0,56.0,45.0,52.0,20.0,54.0,38.0,57.0,13.0,57.0,18.0,60.0,47.0,53.0,53.0,49.0,30.0,28.0,22.0,43.0,48.0,33.0,23.0,28.0,29.0,30.0,15.0,87.0,17,0,0,0,1,0,0,0,17,3,4
56.0,45.0,52.0,20.0,54.0,38.0,57.0,13.0,57.0,18.0,60.0,47.0,53.0,53.0,49.0,30.0,28.0,22.0,43.0,48.0,33.0,23.0,28.0,29.0,30.0,15.0,87.0,17.0,27,0,0,0,0,0,0,1,27,6,4
45.0,52.0,20.0,54.0,38.0,57.0,13.0,57.0,18.0,60.0,47.0,53.0,53.0,49.0,30.0,28.0,22.0,43.0,48.0,33.0,23.0,28.0,29.0,30.0,15.0,87.0,17.0,27.0,17,0,0,1,0,0,0,0,17,9,4
52.0,20.0,54.0,38.0,57.0,13.0,57.0,18.0,60.0,47.0,53.0,53.0,49.0,30.0,28.0,22.0,43.0,48.0,33.0,23.0,28.0,29.0,30.0,15.0,87.0,17.0,27.0,17.0,17,0,0,0,0,0,1,0,17,12,4
20.0,54.0,38.0,57.0,13.0,57.0,18.0,60.0,47.0,53.0,53.0,49.0,30.0,28.0,22.0,43.0,48.0,33.0,23.0,28.0,29.0,30.0,15.0,87.0,17.0,27.0,17.0,17.0,38,1,0,0,0,0,0,0,38,15,4
54.0,38.0,57.0,13.0,57.0,18.0,60.0,47.0,53.0,53.0,49.0,30.0,28.0,22.0,43.0,48.0,33.0,23.0,28.0,29.0,30.0,15.0,87.0,17.0,27.0,17.0,17.0,38.0,38,0,1,0,0,0,0,0,38,18,4
38.0,57.0,13.0,57.0,18.0,60.0,47.0,53.0,53.0,49.0,30.0,28.0,22.0,43.0,48.0,33.0,23.0,28.0,29.0,30.0,15.0,87.0,17.0,27.0,17.0,17.0,38.0,38.0,51,0,0,0,0,1,0,0,51,21,4
57.0,13.0,57.0,18.0,60.0,47.0,53.0,53.0,49.0,30.0,28.0,22.0,43.0,48.0,33.0,23.0,28.0,29.0,30.0,15.0,87.0,17.0,27.0,17.0,17.0,38.0,38.0,51.0,28,0,0,0,1,0,0,0,28,24,4
13.0,57.0,18.0,60.0,47.0,53.0,53.0,49.0,30.0,28.0,22.0,43.0,48.0,33.0,23.0,28.0,29.0,30.0,15.0,87.0,17.0,27.0,17.0,17.0,38.0,38.0,51.0,28.0,40,0,0,0,0,0,0,1,40,27,4
57.0,18.0,60.0,47.0,53.0,53.0,49.0,30.0,28.0,22.0,43.0,48.0,33.0,23.0,28.0,29.0,30.0,15.0,87.0,17.0,27.0,17.0,17.0,38.0,38.0,51.0,28.0,40.0,30,0,0,1,0,0,0,0,30,30,4
18.0,60.0,47.0,53.0,53.0,49.0,30.0,28.0,22.0,43.0,48.0,33.0,23.0,28.0,29.0,30.0,15.0,87.0,17.0,27.0,17.0,17.0,38.0,38.0,51.0,28.0,40.0,30.0,26,0,0,0,0,0,1,0,26,3,5
60.0,47.0,53.0,53.0,49.0,30.0,28.0,22.0,43.0,48.0,33.0,23.0,28.0,29.0,30.0,15.0,87.0,17.0,27.0,17.0,17.0,38.0,38.0,51.0,28.0,40.0,30.0,26.0,24,1,0,0,0,0,0,0,24,6,5
47.0,53.0,53.0,49.0,30.0,28.0,22.0,43.0,48.0,33.0,23.0,28.0,29.0,30.0,15.0,87.0,17.0,27.0,17.0,17.0,38.0,38.0,51.0,28.0,40.0,30.0,26.0,24.0,47,0,1,0,0,0,0,0,47,9,5
53.0,53.0,49.0,30.0,28.0,22.0,43.0,48.0,33.0,23.0,28.0,29.0,30.0,15.0,87.0,17.0,27.0,17.0,17.0,38.0,38.0,51.0,28.0,40.0,30.0,26.0,24.0,47.0,37,0,0,0,0,1,0,0,37,12,5
53.0,49.0,30.0,28.0,22.0,43.0,48.0,33.0,23.0,28.0,29.0,30.0,15.0,87.0,17.0,27.0,17.0,17.0,38.0,38.0,51.0,28.0,40.0,30.0,26.0,24.0,47.0,37.0,17,0,0,0,1,0,0,0,17,15,5
49.0,30.0,28.0,22.0,43.0,48.0,33.0,23.0,28.0,29.0,30.0,15.0,87.0,17.0,27.0,17.0,17.0,38.0,38.0,51.0,28.0,40.0,30.0,26.0,24.0,47.0,37.0,17.0,25,0,0,0,0,0,0,1,25,18,5
30.0,28.0,22.0,43.0,48.0,33.0,23.0,28.0,29.0,30.0,15.0,87.0,17.0,27.0,17.0,17.0,38.0,38.0,51.0,28.0,40.0,30.0,26.0,24.0,47.0,37.0,17.0,25.0,19,0,0,1,0,0,0,0,19,21,5
28.0,22.0,43.0,48.0,33.0,23.0,28.0,29.0,30.0,15.0,87.0,17.0,27.0,17.0,17.0,38.0,38.0,51.0,28.0,40.0,30.0,26.0,24.0,47.0,37.0,17.0,25.0,19.0,50,0,0,0,0,0,1,0,50,24,5
