lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
27.0,31.0,29.0,21.0,17.0,19.0,14.0,21.0,28.0,18.0,23.0,36.0,38.0,32.0,26.0,26.0,22.0,31.0,19.0,22.0,32.0,20.0,38.0,30.0,24.0,31.0,28.0,36.0,42,0,0,1,0,0,0,0,42,30,1
31.0,29.0,21.0,17.0,19.0,14.0,21.0,28.0,18.0,23.0,36.0,38.0,32.0,26.0,26.0,22.0,31.0,19.0,22.0,32.0,20.0,38.0,30.0,24.0,31.0,28.0,36.0,42.0,33,0,0,0,1,0,0,0,33,31,1
29.0,21.0,17.0,19.0,14.0,21.0,28.0,18.0,23.0,36.0,38.0,32.0,26.0,26.0,22.0,31.0,19.0,22.0,32.0,20.0,38.0,30.0,24.0,31.0,28.0,36.0,42.0,33.0,33,0,1,0,0,0,0,0,33,1,2
21.0,17.0,19.0,14.0,21.0,28.0,18.0,23.0,36.0,38.0,32.0,26.0,26.0,22.0,31.0,19.0,22.0,32.0,20.0,38.0,30.0,24.0,31.0,28.0,36.0,42.0,33.0,33.0,33,0,0,0,0,0,1,0,33,2,2
17.0,19.0,14.0,21.0,28.0,18.0,23.0,36.0,38.0,32.0,26.0,26.0,22.0,31.0,19.0,22.0,32.0,20.0,38.0,30.0,24.0,31.0,28.0,36.0,42.0,33.0,33.0,33.0,34,0,0,0,0,0,0,1,34,3,2
19.0,14.0,21.0,28.0,18.0,23.0,36.0,38.0,32.0,26.0,26.0,22.0,31.0,19.0,22.0,32.0,20.0,38.0,30.0,24.0,31.0,28.0,36.0,42.0,33.0,33.0,33.0,34.0,32,0,0,0,0,1,0,0,32,4,2
14.0,21.0,28.0,18.0,23.0,36.0,38.0,32.0,26.0,26.0,22.0,31.0,19.0,22.0,32.0,20.0,38.0,30.0,24.0,31.0,28.0,36.0,42.0,33.0,33.0,33.0,34.0,32.0,38,1,0,0,0,0,0,0,38,5,2
21.0,28.0,18.0,23.0,36.0,38.0,32.0,26.0,26.0,22.0,31.0,19.0,22.0,32.0,20.0,38.0,30.0,24.0,31.0,28.0,36.0,42.0,33.0,33.0,33.0,34.0,32.0,38.0,42,0,0,1,0,0,0,0,42,6,2
28.0,18.0,23.0,36.0,38.0,32.0,26.0,26.0,22.0,31.0,19.0,22.0,32.0,20.0,38.0,30.0,24.0,31.0,28.0,36.0,42.0,33.0,33.0,33.0,34.0,32.0,38.0,42.0,39,0,0,0,1,0,0,0,39,7,2
18.0,23.0,36.0,38.0,32.0,26.0,26.0,22.0,31.0,19.0,22.0,32.0,20.0,38.0,30.0,24.0,31.0,28.0,36.0,42.0,33.0,33.0,33.0,34.0,32.0,38.0,42.0,39.0,35,0,1,0,0,0,0,0,35,8,2
