lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
28.0,32.0,36.0,29.0,38.0,41.0,37.0,26.0,31.0,31.0,36.0,45.0,31.0,36.0,29.0,33.0,37.0,43.0,36.0,75.0,31.0,36.0,41.0,40.0,31.0,30.0,40.0,43.0,43,0,0,1,0,0,0,0,43,30,1
32.0,36.0,29.0,38.0,41.0,37.0,26.0,31.0,31.0,36.0,45.0,31.0,36.0,29.0,33.0,37.0,43.0,36.0,75.0,31.0,36.0,41.0,40.0,31.0,30.0,40.0,43.0,43.0,38,0,0,0,1,0,0,0,38,31,1
36.0,29.0,38.0,41.0,37.0,26.0,31.0,31.0,36.0,45.0,31.0,36.0,29.0,33.0,37.0,43.0,36.0,75.0,31.0,36.0,41.0,40.0,31.0,30.0,40.0,43.0,43.0,38.0,61,0,1,0,0,0,0,0,61,1,2
29.0,38.0,41.0,37.0,26.0,31.0,31.0,36.0,45.0,31.0,36.0,29.0,33.0,37.0,43.0,36.0,75.0,31.0,36.0,41.0,40.0,31.0,30.0,40.0,43.0,43.0,38.0,61.0,57,0,0,0,0,0,1,0,57,2,2
38.0,41.0,37.0,26.0,31.0,31.0,36.0,45.0,31.0,36.0,29.0,33.0,37.0,43.0,36.0,75.0,31.0,36.0,41.0,40.0,31.0,30.0,40.0,43.0,43.0,38.0,61.0,57.0,37,0,0,0,0,0,0,1,37,3,2
41.0,37.0,26.0,31.0,31.0,36.0,45.0,31.0,36.0,29.0,33.0,37.0,43.0,36.0,75.0,31.0,36.0,41.0,40.0,31.0,30.0,40.0,43.0,43.0,38.0,61.0,57.0,37.0,40,0,0,0,0,1,0,0,40,4,2
37.0,26.0,31.0,31.0,36.0,45.0,31.0,36.0,29.0,33.0,37.0,43.0,36.0,75.0,31.0,36.0,41.0,40.0,31.0,30.0,40.0,43.0,43.0,38.0,61.0,57.0,37.0,40.0,42,1,0,0,0,0,0,0,42,5,2
26.0,31.0,31.0,36.0,45.0,31.0,36.0,29.0,33.0,37.0,43.0,36.0,75.0,31.0,36.0,41.0,40.0,31.0,30.0,40.0,43.0,43.0,38.0,61.0,57.0,37.0,40.0,42.0,37,0,0,1,0,0,0,0,37,6,2
31.0,31.0,36.0,45.0,31.0,36.0,29.0,33.0,37.0,43.0,36.0,75.0,31.0,36.0,41.0,40.0,31.0,30.0,40.0,43.0,43.0,38.0,61.0,57.0,37.0,40.0,42.0,37.0,49,0,0,0,1,0,0,0,49,7,2
31.0,36.0,45.0,31.0,36.0,29.0,33.0,37.0,43.0,36.0,75.0,31.0,36.0,41.0,40.0,31.0,30.0,40.0,43.0,43.0,38.0,61.0,57.0,37.0,40.0,42.0,37.0,49.0,40,0,1,0,0,0,0,0,40,8,2
36.0,45.0,31.0,36.0,29.0,33.0,37.0,43.0,36.0,75.0,31.0,36.0,41.0,40.0,31.0,30.0,40.0,43.0,43.0,38.0,61.0,57.0,37.0,40.0,42.0,37.0,49.0,40.0,40,0,0,0,0,0,1,0,40,9,2
45.0,31.0,36.0,29.0,33.0,37.0,43.0,36.0,75.0,31.0,36.0,41.0,40.0,31.0,30.0,40.0,43.0,43.0,38.0,61.0,57.0,37.0,40.0,42.0,37.0,49.0,40.0,40.0,44,0,0,0,0,0,0,1,44,10,2
