lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
29.0,36.0,28.0,27.0,26.0,31.0,19.0,24.0,30.0,29.0,40.0,43.0,39.0,37.0,31.0,34.0,25.0,35.0,21.0,21.0,33.0,26.0,43.0,35.0,25.0,36.0,38.0,40.0,46,0,0,1,0,0,0,0,46,30,1
36.0,28.0,27.0,26.0,31.0,19.0,24.0,30.0,29.0,40.0,43.0,39.0,37.0,31.0,34.0,25.0,35.0,21.0,21.0,33.0,26.0,43.0,35.0,25.0,36.0,38.0,40.0,46.0,34,0,0,0,1,0,0,0,34,31,1
28.0,27.0,26.0,31.0,19.0,24.0,30.0,29.0,40.0,43.0,39.0,37.0,31.0,34.0,25.0,35.0,21.0,21.0,33.0,26.0,43.0,35.0,25.0,36.0,38.0,40.0,46.0,34.0,36,0,1,0,0,0,0,0,36,1,2
27.0,26.0,31.0,19.0,24.0,30.0,29.0,40.0,43.0,39.0,37.0,31.0,34.0,25.0,35.0,21.0,21.0,33.0,26.0,43.0,35.0,25.0,36.0,38.0,40.0,46.0,34.0,36.0,37,0,0,0,0,0,1,0,37,2,2
26.0,31.0,19.0,24.0,30.0,29.0,40.0,43.0,39.0,37.0,31.0,34.0,25.0,35.0,21.0,21.0,33.0,26.0,43.0,35.0,25.0,36.0,38.0,40.0,46.0,34.0,36.0,37.0,37,0,0,0,0,0,0,1,37,3,2
31.0,19.0,24.0,30.0,29.0,40.0,43.0,39.0,37.0,31.0,34.0,25.0,35.0,21.0,21.0,33.0,26.0,43.0,35.0,25.0,36.0,38.0,40.0,46.0,34.0,36.0,37.0,37.0,36,0,0,0,0,1,0,0,36,4,2
19.0,24.0,30.0,29.0,40.0,43.0,39.0,37.0,31.0,34.0,25.0,35.0,21.0,21.0,33.0,26.0,43.0,35.0,25.0,36.0,38.0,40.0,46.0,34.0,36.0,37.0,37.0,36.0,43,1,0,0,0,0,0,0,43,5,2
24.0,30.0,29.0,40.0,43.0,39.0,37.0,31.0,34.0,25.0,35.0,21.0,21.0,33.0,26.0,43.0,35.0,25.0,36.0,38.0,40.0,46.0,34.0,36.0,37.0,37.0,36.0,43.0,44,0,0,1,0,0,0,0,44,6,2
30.0,29.0,40.0,43.0,39.0,37.0,31.0,34.0,25.0,35.0,21.0,21.0,33.0,26.0,43.0,35.0,25.0,36.0,38.0,40.0,46.0,34.0,36.0,37.0,37.0,36.0,43.0,44.0,41,0,0,0,1,0,0,0,41,7,2
29.0,40.0,43.0,39.0,37.0,31.0,34.0,25.0,35.0,21.0,21.0,33.0,26.0,43.0,35.0,25.0,36.0,38.0,40.0,46.0,34.0,36.0,37.0,37.0,36.0,43.0,44.0,41.0,38,0,1,0,0,0,0,0,38,8,2
40.0,43.0,39.0,37.0,31.0,34.0,25.0,35.0,21.0,21.0,33.0,26.0,43.0,35.0,25.0,36.0,38.0,40.0,46.0,34.0,36.0,37.0,37.0,36.0,43.0,44.0,41.0,38.0,40,0,0,0,0,0,1,0,40,9,2
43.0,39.0,37.0,31.0,34.0,25.0,35.0,21.0,21.0,33.0,26.0,43.0,35.0,25.0,36.0,38.0,40.0,46.0,34.0,36.0,37.0,37.0,36.0,43.0,44.0,41.0,38.0,40.0,41,0,0,0,0,0,0,1,41,10,2
39.0,37.0,31.0,34.0,25.0,35.0,21.0,21.0,33.0,26.0,43.0,35.0,25.0,36.0,38.0,40.0,46.0,34.0,36.0,37.0,37.0,36.0,43.0,44.0,41.0,38.0,40.0,41.0,45,0,0,0,0,1,0,0,45,11,2
37.0,31.0,34.0,25.0,35.0,21.0,21.0,33.0,26.0,43.0,35.0,25.0,36.0,38.0,40.0,46.0,34.0,36.0,37.0,37.0,36.0,43.0,44.0,41.0,38.0,40.0,41.0,45.0,43,1,0,0,0,0,0,0,43,12,2
31.0,34.0,25.0,35.0,21.0,21.0,33.0,26.0,43.0,35.0,25.0,36.0,38.0,40.0,46.0,34.0,36.0,37.0,37.0,36.0,43.0,44.0,41.0,38.0,40.0,41.0,45.0,43.0,49,0,0,1,0,0,0,0,49,13,2
34.0,25.0,35.0,21.0,21.0,33.0,26.0,43.0,35.0,25.0,36.0,38.0,40.0,46.0,34.0,36.0,37.0,37.0,36.0,43.0,44.0,41.0,38.0,40.0,41.0,45.0,43.0,49.0,31,0,0,0,1,0,0,0,31,14,2
25.0,35.0,21.0,21.0,33.0,26.0,43.0,35.0,25.0,36.0,38.0,40.0,46.0,34.0,36.0,37.0,37.0,36.0,43.0,44.0,41.0,38.0,40.0,41.0,45.0,43.0,49.0,31.0,42,0,1,0,0,0,0,0,42,15,2
35.0,21.0,21.0,33.0,26.0,43.0,35.0,25.0,36.0,38.0,40.0,46.0,34.0,36.0,37.0,37.0,36.0,43.0,44.0,41.0,38.0,40.0,41.0,45.0,43.0,49.0,31.0,42.0,37,0,0,0,0,0,1,0,37,16,2
21.0,21.0,33.0,26.0,43.0,35.0,25.0,36.0,38.0,40.0,46.0,34.0,36.0,37.0,37.0,36.0,43.0,44.0,41.0,38.0,40.0,41.0,45.0,43.0,49.0,31.0,42.0,37.0,43,0,0,0,0,0,0,1,43,17,2
