lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
69.0,91.0,96.0,123.0,103.0,69.0,26.0,35.0,32.0,33.0,76.0,111.0,89.0,54.0,36.0,45.0,40.0,36.0,40.0,46.0,82.0,114.0,80.0,31.0,64.0,77.0,103.0,98.0,40,0,0,1,0,0,0,0,40,30,1
91.0,96.0,123.0,103.0,69.0,26.0,35.0,32.0,33.0,76.0,111.0,89.0,54.0,36.0,45.0,40.0,36.0,40.0,46.0,82.0,114.0,80.0,31.0,64.0,77.0,103.0,98.0,40.0,37,0,0,0,1,0,0,0,37,31,1
96.0,123.0,103.0,69.0,26.0,35.0,32.0,33.0,76.0,111.0,89.0,54.0,36.0,45.0,40.0,36.0,40.0,46.0,82.0,114.0,80.0,31.0,64.0,77.0,103.0,98.0,40.0,37.0,39,0,1,0,0,0,0,0,39,1,2
123.0,103.0,69.0,26.0,35.0,32.0,33.0,76.0,111.0,89.0,54.0,36.0,45.0,40.0,36.0,40.0,46.0,82.0,114.0,80.0,31.0,64.0,77.0,103.0,98.0,40.0,37.0,39.0,39,0,0,0,0,0,1,0,39,2,2
103.0,69.0,26.0,35.0,32.0,33.0,76.0,111.0,89.0,54.0,36.0,45.0,40.0,36.0,40.0,46.0,82.0,114.0,80.0,31.0,64.0,77.0,103.0,98.0,40.0,37.0,39.0,39.0,74,0,0,0,0,0,0,1,74,3,2
69.0,26.0,35.0,32.0,33.0,76.0,111.0,89.0,54.0,36.0,45.0,40.0,36.0,40.0,46.0,82.0,114.0,80.0,31.0,64.0,77.0,103.0,98.0,40.0,37.0,39.0,39.0,74.0,63,0,0,0,0,1,0,0,63,4,2
26.0,35.0,32.0,33.0,76.0,111.0,89.0,54.0,36.0,45.0,40.0,36.0,40.0,46.0,82.0,114.0,80.0,31.0,64.0,77.0,103.0,98.0,40.0,37.0,39.0,39.0,74.0,63.0,93,1,0,0,0,0,0,0,93,5,2
35.0,32.0,33.0,76.0,111.0,89.0,54.0,36.0,45.0,40.0,36.0,40.0,46.0,82.0,114.0,80.0,31.0,64.0,77.0,103.0,98.0,40.0,37.0,39.0,39.0,74.0,63.0,93.0,84,0,0,1,0,0,0,0,84,6,2
32.0,33.0,76.0,111.0,89.0,54.0,36.0,45.0,40.0,36.0,40.0,46.0,82.0,114.0,80.0,31.0,64.0,77.0,103.0,98.0,40.0,37.0,39.0,39.0,74.0,63.0,93.0,84.0,96,0,0,0,1,0,0,0,96,7,2
33.0,76.0,111.0,89.0,54.0,36.0,45.0,40.0,36.0,40.0,46.0,82.0,114.0,80.0,31.0,64.0,77.0,103.0,98.0,40.0,37.0,39.0,39.0,74.0,63.0,93.0,84.0,96.0,39,0,1,0,0,0,0,0,39,8,2
76.0,111.0,89.0,54.0,36.0,45.0,40.0,36.0,40.0,46.0,82.0,114.0,80.0,31.0,64.0,77.0,103.0,98.0,40.0,37.0,39.0,39.0,74.0,63.0,93.0,84.0,96.0,39.0,105,0,0,0,0,0,1,0,105,9,2
111.0,89.0,54.0,36.0,45.0,40.0,36.0,40.0,46.0,82.0,114.0,80.0,31.0,64.0,77.0,103.0,98.0,40.0,37.0,39.0,39.0,74.0,63.0,93.0,84.0,96.0,39.0,105.0,129,0,0,0,0,0,0,1,129,10,2
89.0,54.0,36.0,45.0,40.0,36.0,40.0,46.0,82.0,114.0,80.0,31.0,64.0,77.0,103.0,98.0,40.0,37.0,39.0,39.0,74.0,63.0,93.0,84.0,96.0,39.0,105.0,129.0,71,0,0,0,0,1,0,0,71,11,2
54.0,36.0,45.0,40.0,36.0,40.0,46.0,82.0,114.0,80.0,31.0,64.0,77.0,103.0,98.0,40.0,37.0,39.0,39.0,74.0,63.0,93.0,84.0,96.0,39.0,105.0,129.0,71.0,63,1,0,0,0,0,0,0,63,12,2
36.0,45.0,40.0,36.0,40.0,46.0,82.0,114.0,80.0,31.0,64.0,77.0,103.0,98.0,40.0,37.0,39.0,39.0,74.0,63.0,93.0,84.0,96.0,39.0,105.0,129.0,71.0,63.0,76,0,0,1,0,0,0,0,76,13,2
