lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
29.0,28.0,25.0,31.0,42.0,64.0,30.0,28.0,8.0,30.0,32.0,31.0,36.0,41.0,32.0,24.0,8.0,21.0,24.0,25.0,52.0,17.0,49.0,128.0,32.0,36.0,54.0,36.0,36,0,0,1,0,0,0,0,36,30,1
28.0,25.0,31.0,42.0,64.0,30.0,28.0,8.0,30.0,32.0,31.0,36.0,41.0,32.0,24.0,8.0,21.0,24.0,25.0,52.0,17.0,49.0,128.0,32.0,36.0,54.0,36.0,36.0,32,0,0,0,1,0,0,0,32,31,1
25.0,31.0,42.0,64.0,30.0,28.0,8.0,30.0,32.0,31.0,36.0,41.0,32.0,24.0,8.0,21.0,24.0,25.0,52.0,17.0,49.0,128.0,32.0,36.0,54.0,36.0,36.0,32.0,26,0,1,0,0,0,0,0,26,1,2
31.0,42.0,64.0,30.0,28.0,8.0,30.0,32.0,31.0,36.0,41.0,32.0,24.0,8.0,21.0,24.0,25.0,52.0,17.0,49.0,128.0,32.0,36.0,54.0,36.0,36.0,32.0,26.0,27,0,0,0,0,0,1,0,27,2,2
42.0,64.0,30.0,28.0,8.0,30.0,32.0,31.0,36.0,41.0,32.0,24.0,8.0,21.0,24.0,25.0,52.0,17.0,49.0,128.0,32.0,36.0,54.0,36.0,36.0,32.0,26.0,27.0,35,0,0,0,0,0,0,1,35,3,2
64.0,30.0,28.0,8.0,30.0,32.0,31.0,36.0,41.0,32.0,24.0,8.0,21.0,24.0,25.0,52.0,17.0,49.0,128.0,32.0,36.0,54.0,36.0,36.0,32.0,26.0,27.0,35.0,11,0,0,0,0,1,0,0,11,4,2
30.0,28.0,8.0,30.0,32.0,31.0,36.0,41.0,32.0,24.0,8.0,21.0,24.0,25.0,52.0,17.0,49.0,128.0,32.0,36.0,54.0,36.0,36.0,32.0,26.0,27.0,35.0,11.0,26,1,0,0,0,0,0,0,26,5,2
28.0,8.0,30.0,32.0,31.0,36.0,41.0,32.0,24.0,8.0,21.0,24.0,25.0,52.0,17.0,49.0,128.0,32.0,36.0,54.0,36.0,36.0,32.0,26.0,27.0,35.0,11.0,26.0,44,0,0,1,0,0,0,0,44,6,2
8.0,30.0,32.0,31.0,36.0,41.0,32.0,24.0,8.0,21.0,24.0,25.0,52.0,17.0,49.0,128.0,32.0,36.0,54.0,36.0,36.0,32.0,26.0,27.0,35.0,11.0,26.0,44.0,33,0,0,0,1,0,0,0,33,7,2
30.0,32.0,31.0,36.0,41.0,32.0,24.0,8.0,21.0,24.0,25.0,52.0,17.0,49.0,128.0,32.0,36.0,54.0,36.0,36.0,32.0,26.0,27.0,35.0,11.0,26.0,44.0,33.0,28,0,1,0,0,0,0,0,28,8,2
32.0,31.0,36.0,41.0,32.0,24.0,8.0,21.0,24.0,25.0,52.0,17.0,49.0,128.0,32.0,36.0,54.0,36.0,36.0,32.0,26.0,27.0,35.0,11.0,26.0,44.0,33.0,28.0,23,0,0,0,0,0,1,0,23,9,2
31.0,36.0,41.0,32.0,24.0,8.0,21.0,24.0,25.0,52.0,17.0,49.0,128.0,32.0,36.0,54.0,36.0,36.0,32.0,26.0,27.0,35.0,11.0,26.0,44.0,33.0,28.0,23.0,8,0,0,0,0,0,0,1,8,10,2
36.0,41.0,32.0,24.0,8.0,21.0,24.0,25.0,52.0,17.0,49.0,128.0,32.0,36.0,54.0,36.0,36.0,32.0,26.0,27.0,35.0,11.0,26.0,44.0,33.0,28.0,23.0,8.0,9,0,0,0,0,1,0,0,9,11,2
41.0,32.0,24.0,8.0,21.0,24.0,25.0,52.0,17.0,49.0,128.0,32.0,36.0,54.0,36.0,36.0,32.0,26.0,27.0,35.0,11.0,26.0,44.0,33.0,28.0,23.0,8.0,9.0,31,1,0,0,0,0,0,0,31,12,2
32.0,24.0,8.0,21.0,24.0,25.0,52.0,17.0,49.0,128.0,32.0,36.0,54.0,36.0,36.0,32.0,26.0,27.0,35.0,11.0,26.0,44.0,33.0,28.0,23.0,8.0,9.0,31.0,9,0,0,1,0,0,0,0,9,13,2
24.0,8.0,21.0,24.0,25.0,52.0,17.0,49.0,128.0,32.0,36.0,54.0,36.0,36.0,32.0,26.0,27.0,35.0,11.0,26.0,44.0,33.0,28.0,23.0,8.0,9.0,31.0,9.0,12,0,0,0,1,0,0,0,12,14,2
8.0,21.0,24.0,25.0,52.0,17.0,49.0,128.0,32.0,36.0,54.0,36.0,36.0,32.0,26.0,27.0,35.0,11.0,26.0,44.0,33.0,28.0,23.0,8.0,9.0,31.0,9.0,12.0,33,0,1,0,0,0,0,0,33,15,2
21.0,24.0,25.0,52.0,17.0,49.0,128.0,32.0,36.0,54.0,36.0,36.0,32.0,26.0,27.0,35.0,11.0,26.0,44.0,33.0,28.0,23.0,8.0,9.0,31.0,9.0,12.0,33.0,32,0,0,0,0,0,1,0,32,16,2
24.0,25.0,52.0,17.0,49.0,128.0,32.0,36.0,54.0,36.0,36.0,32.0,26.0,27.0,35.0,11.0,26.0,44.0,33.0,28.0,23.0,8.0,9.0,31.0,9.0,12.0,33.0,32.0,31,0,0,0,0,0,0,1,31,17,2
25.0,52.0,17.0,49.0,128.0,32.0,36.0,54.0,36.0,36.0,32.0,26.0,27.0,35.0,11.0,26.0,44.0,33.0,28.0,23.0,8.0,9.0,31.0,9.0,12.0,33.0,32.0,31.0,22,0,0,0,0,1,0,0,22,18,2
52.0,17.0,49.0,128.0,32.0,36.0,54.0,36.0,36.0,32.0,26.0,27.0,35.0,11.0,26.0,44.0,33.0,28.0,23.0,8.0,9.0,31.0,9.0,12.0,33.0,32.0,31.0,22.0,41,1,0,0,0,0,0,0,41,19,2
17.0,49.0,128.0,32.0,36.0,54.0,36.0,36.0,32.0,26.0,27.0,35.0,11.0,26.0,44.0,33.0,28.0,23.0,8.0,9.0,31.0,9.0,12.0,33.0,32.0,31.0,22.0,41.0,16,0,0,1,0,0,0,0,16,20,2
49.0,128.0,32.0,36.0,54.0,36.0,36.0,32.0,26.0,27.0,35.0,11.0,26.0,44.0,33.0,28.0,23.0,8.0,9.0,31.0,9.0,12.0,33.0,32.0,31.0,22.0,41.0,16.0,66,0,0,0,1,0,0,0,66,21,2
128.0,32.0,36.0,54.0,36.0,36.0,32.0,26.0,27.0,35.0,11.0,26.0,44.0,33.0,28.0,23.0,8.0,9.0,31.0,9.0,12.0,33.0,32.0,31.0,22.0,41.0,16.0,66.0,29,0,1,0,0,0,0,0,29,22,2
32.0,36.0,54.0,36.0,36.0,32.0,26.0,27.0,35.0,11.0,26.0,44.0,33.0,28.0,23.0,8.0,9.0,31.0,9.0,12.0,33.0,32.0,31.0,22.0,41.0,16.0,66.0,29.0,25,0,0,0,0,0,1,0,25,23,2
36.0,54.0,36.0,36.0,32.0,26.0,27.0,35.0,11.0,26.0,44.0,33.0,28.0,23.0,8.0,9.0,31.0,9.0,12.0,33.0,32.0,31.0,22.0,41.0,16.0,66.0,29.0,25.0,27,0,0,0,0,0,0,1,27,24,2
54.0,36.0,36.0,32.0,26.0,27.0,35.0,11.0,26.0,44.0,33.0,28.0,23.0,8.0,9.0,31.0,9.0,12.0,33.0,32.0,31.0,22.0,41.0,16.0,66.0,29.0,25.0,27.0,8,0,0,0,0,1,0,0,8,25,2
36.0,36.0,32.0,26.0,27.0,35.0,11.0,26.0,44.0,33.0,28.0,23.0,8.0,9.0,31.0,9.0,12.0,33.0,32.0,31.0,22.0,41.0,16.0,66.0,29.0,25.0,27.0,8.0,8,1,0,0,0,0,0,0,8,26,2
36.0,32.0,26.0,27.0,35.0,11.0,26.0,44.0,33.0,28.0,23.0,8.0,9.0,31.0,9.0,12.0,33.0,32.0,31.0,22.0,41.0,16.0,66.0,29.0,25.0,27.0,8.0,8.0,38,0,0,1,0,0,0,0,38,27,2
32.0,26.0,27.0,35.0,11.0,26.0,44.0,33.0,28.0,23.0,8.0,9.0,31.0,9.0,12.0,33.0,32.0,31.0,22.0,41.0,16.0,66.0,29.0,25.0,27.0,8.0,8.0,38.0,36,0,0,0,1,0,0,0,36,28,2
26.0,27.0,35.0,11.0,26.0,44.0,33.0,28.0,23.0,8.0,9.0,31.0,9.0,12.0,33.0,32.0,31.0,22.0,41.0,16.0,66.0,29.0,25.0,27.0,8.0,8.0,38.0,36.0,35,0,1,0,0,0,0,0,35,29,2
27.0,35.0,11.0,26.0,44.0,33.0,28.0,23.0,8.0,9.0,31.0,9.0,12.0,33.0,32.0,31.0,22.0,41.0,16.0,66.0,29.0,25.0,27.0,8.0,8.0,38.0,36.0,35.0,46,0,0,0,0,0,1,0,46,1,3
35.0,11.0,26.0,44.0,33.0,28.0,23.0,8.0,9.0,31.0,9.0,12.0,33.0,32.0,31.0,22.0,41.0,16.0,66.0,29.0,25.0,27.0,8.0,8.0,38.0,36.0,35.0,46.0,7,0,0,0,0,0,0,1,7,2,3
11.0,26.0,44.0,33.0,28.0,23.0,8.0,9.0,31.0,9.0,12.0,33.0,32.0,31.0,22.0,41.0,16.0,66.0,29.0,25.0,27.0,8.0,8.0,38.0,36.0,35.0,46.0,7.0,29,0,0,0,0,1,0,0,29,3,3
26.0,44.0,33.0,28.0,23.0,8.0,9.0,31.0,9.0,12.0,33.0,32.0,31.0,22.0,41.0,16.0,66.0,29.0,25.0,27.0,8.0,8.0,38.0,36.0,35.0,46.0,7.0,29.0,50,1,0,0,0,0,0,0,50,4,3
44.0,33.0,28.0,23.0,8.0,9.0,31.0,9.0,12.0,33.0,32.0,31.0,22.0,41.0,16.0,66.0,29.0,25.0,27.0,8.0,8.0,38.0,36.0,35.0,46.0,7.0,29.0,50.0,17,0,0,1,0,0,0,0,17,5,3
33.0,28.0,23.0,8.0,9.0,31.0,9.0,12.0,33.0,32.0,31.0,22.0,41.0,16.0,66.0,29.0,25.0,27.0,8.0,8.0,38.0,36.0,35.0,46.0,7.0,29.0,50.0,17.0,23,0,0,0,1,0,0,0,23,6,3
28.0,23.0,8.0,9.0,31.0,9.0,12.0,33.0,32.0,31.0,22.0,41.0,16.0,66.0,29.0,25.0,27.0,8.0,8.0,38.0,36.0,35.0,46.0,7.0,29.0,50.0,17.0,23.0,42,0,1,0,0,0,0,0,42,7,3
23.0,8.0,9.0,31.0,9.0,12.0,33.0,32.0,31.0,22.0,41.0,16.0,66.0,29.0,25.0,27.0,8.0,8.0,38.0,36.0,35.0,46.0,7.0,29.0,50.0,17.0,23.0,42.0,40,0,0,0,0,0,1,0,40,8,3
8.0,9.0,31.0,9.0,12.0,33.0,32.0,31.0,22.0,41.0,16.0,66.0,29.0,25.0,27.0,8.0,8.0,38.0,36.0,35.0,46.0,7.0,29.0,50.0,17.0,23.0,42.0,40.0,34,0,0,0,0,0,0,1,34,9,3
9.0,31.0,9.0,12.0,33.0,32.0,31.0,22.0,41.0,16.0,66.0,29.0,25.0,27.0,8.0,8.0,38.0,36.0,35.0,46.0,7.0,29.0,50.0,17.0,23.0,42.0,40.0,34.0,43,0,0,0,0,1,0,0,43,10,3
31.0,9.0,12.0,33.0,32.0,31.0,22.0,41.0,16.0,66.0,29.0,25.0,27.0,8.0,8.0,38.0,36.0,35.0,46.0,7.0,29.0,50.0,17.0,23.0,42.0,40.0,34.0,43.0,16,1,0,0,0,0,0,0,16,11,3
9.0,12.0,33.0,32.0,31.0,22.0,41.0,16.0,66.0,29.0,25.0,27.0,8.0,8.0,38.0,36.0,35.0,46.0,7.0,29.0,50.0,17.0,23.0,42.0,40.0,34.0,43.0,16.0,27,0,0,1,0,0,0,0,27,12,3
12.0,33.0,32.0,31.0,22.0,41.0,16.0,66.0,29.0,25.0,27.0,8.0,8.0,38.0,36.0,35.0,46.0,7.0,29.0,50.0,17.0,23.0,42.0,40.0,34.0,43.0,16.0,27.0,50,0,0,0,1,0,0,0,50,13,3
33.0,32.0,31.0,22.0,41.0,16.0,66.0,29.0,25.0,27.0,8.0,8.0,38.0,36.0,35.0,46.0,7.0,29.0,50.0,17.0,23.0,42.0,40.0,34.0,43.0,16.0,27.0,50.0,20,0,1,0,0,0,0,0,20,14,3
32.0,31.0,22.0,41.0,16.0,66.0,29.0,25.0,27.0,8.0,8.0,38.0,36.0,35.0,46.0,7.0,29.0,50.0,17.0,23.0,42.0,40.0,34.0,43.0,16.0,27.0,50.0,20.0,26,0,0,0,0,0,1,0,26,15,3
31.0,22.0,41.0,16.0,66.0,29.0,25.0,27.0,8.0,8.0,38.0,36.0,35.0,46.0,7.0,29.0,50.0,17.0,23.0,42.0,40.0,34.0,43.0,16.0,27.0,50.0,20.0,26.0,36,0,0,0,0,0,0,1,36,16,3
22.0,41.0,16.0,66.0,29.0,25.0,27.0,8.0,8.0,38.0,36.0,35.0,46.0,7.0,29.0,50.0,17.0,23.0,42.0,40.0,34.0,43.0,16.0,27.0,50.0,20.0,26.0,36.0,37,0,0,0,0,1,0,0,37,17,3
41.0,16.0,66.0,29.0,25.0,27.0,8.0,8.0,38.0,36.0,35.0,46.0,7.0,29.0,50.0,17.0,23.0,42.0,40.0,34.0,43.0,16.0,27.0,50.0,20.0,26.0,36.0,37.0,40,1,0,0,0,0,0,0,40,18,3
16.0,66.0,29.0,25.0,27.0,8.0,8.0,38.0,36.0,35.0,46.0,7.0,29.0,50.0,17.0,23.0,42.0,40.0,34.0,43.0,16.0,27.0,50.0,20.0,26.0,36.0,37.0,40.0,24,0,0,1,0,0,0,0,24,19,3
66.0,29.0,25.0,27.0,8.0,8.0,38.0,36.0,35.0,46.0,7.0,29.0,50.0,17.0,23.0,42.0,40.0,34.0,43.0,16.0,27.0,50.0,20.0,26.0,36.0,37.0,40.0,24.0,17,0,0,0,1,0,0,0,17,20,3
29.0,25.0,27.0,8.0,8.0,38.0,36.0,35.0,46.0,7.0,29.0,50.0,17.0,23.0,42.0,40.0,34.0,43.0,16.0,27.0,50.0,20.0,26.0,36.0,37.0,40.0,24.0,17.0,31,0,1,0,0,0,0,0,31,21,3
