lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
28.0,29.0,23.0,28.0,67.0,43.0,57.0,53.0,11.0,27.0,28.0,31.0,45.0,57.0,23.0,30.0,23.0,37.0,54.0,44.0,53.0,12.0,66.0,79.0,53.0,41.0,59.0,34.0,52,0,0,1,0,0,0,0,52,30,1
29.0,23.0,28.0,67.0,43.0,57.0,53.0,11.0,27.0,28.0,31.0,45.0,57.0,23.0,30.0,23.0,37.0,54.0,44.0,53.0,12.0,66.0,79.0,53.0,41.0,59.0,34.0,52.0,44,0,0,0,1,0,0,0,44,31,1
23.0,28.0,67.0,43.0,57.0,53.0,11.0,27.0,28.0,31.0,45.0,57.0,23.0,30.0,23.0,37.0,54.0,44.0,53.0,12.0,66.0,79.0,53.0,41.0,59.0,34.0,52.0,44.0,40,0,1,0,0,0,0,0,40,1,2
28.0,67.0,43.0,57.0,53.0,11.0,27.0,28.0,31.0,45.0,57.0,23.0,30.0,23.0,37.0,54.0,44.0,53.0,12.0,66.0,79.0,53.0,41.0,59.0,34.0,52.0,44.0,40.0,33,0,0,0,0,0,1,0,33,2,2
67.0,43.0,57.0,53.0,11.0,27.0,28.0,31.0,45.0,57.0,23.0,30.0,23.0,37.0,54.0,44.0,53.0,12.0,66.0,79.0,53.0,41.0,59.0,34.0,52.0,44.0,40.0,33.0,30,0,0,0,0,0,0,1,30,3,2
43.0,57.0,53.0,11.0,27.0,28.0,31.0,45.0,57.0,23.0,30.0,23.0,37.0,54.0,44.0,53.0,12.0,66.0,79.0,53.0,41.0,59.0,34.0,52.0,44.0,40.0,33.0,30.0,30,0,0,0,0,1,0,0,30,4,2
57.0,53.0,11.0,27.0,28.0,31.0,45.0,57.0,23.0,30.0,23.0,37.0,54.0,44.0,53.0,12.0,66.0,79.0,53.0,41.0,59.0,34.0,52.0,44.0,40.0,33.0,30.0,30.0,25,1,0,0,0,0,0,0,25,5,2
53.0,11.0,27.0,28.0,31.0,45.0,57.0,23.0,30.0,23.0,37.0,54.0,44.0,53.0,12.0,66.0,79.0,53.0,41.0,59.0,34.0,52.0,44.0,40.0,33.0,30.0,30.0,25.0,55,0,0,1,0,0,0,0,55,6,2
11.0,27.0,28.0,31.0,45.0,57.0,23.0,30.0,23.0,37.0,54.0,44.0,53.0,12.0,66.0,79.0,53.0,41.0,59.0,34.0,52.0,44.0,40.0,33.0,30.0,30.0,25.0,55.0,55,0,0,0,1,0,0,0,55,7,2
27.0,28.0,31.0,45.0,57.0,23.0,30.0,23.0,37.0,54.0,44.0,53.0,12.0,66.0,79.0,53.0,41.0,59.0,34.0,52.0,44.0,40.0,33.0,30.0,30.0,25.0,55.0,55.0,55,0,1,0,0,0,0,0,55,8,2
28.0,31.0,45.0,57.0,23.0,30.0,23.0,37.0,54.0,44.0,53.0,12.0,66.0,79.0,53.0,41.0,59.0,34.0,52.0,44.0,40.0,33.0,30.0,30.0,25.0,55.0,55.0,55.0,33,0,0,0,0,0,1,0,33,9,2
31.0,45.0,57.0,23.0,30.0,23.0,37.0,54.0,44.0,53.0,12.0,66.0,79.0,53.0,41.0,59.0,34.0,52.0,44.0,40.0,33.0,30.0,30.0,25.0,55.0,55.0,55.0,33.0,26,0,0,0,0,0,0,1,26,10,2
45.0,57.0,23.0,30.0,23.0,37.0,54.0,44.0,53.0,12.0,66.0,79.0,53.0,41.0,59.0,34.0,52.0,44.0,40.0,33.0,30.0,30.0,25.0,55.0,55.0,55.0,33.0,26.0,29,0,0,0,0,1,0,0,29,11,2
57.0,23.0,30.0,23.0,37.0,54.0,44.0,53.0,12.0,66.0,79.0,53.0,41.0,59.0,34.0,52.0,44.0,40.0,33.0,30.0,30.0,25.0,55.0,55.0,55.0,33.0,26.0,29.0,38,1,0,0,0,0,0,0,38,12,2
23.0,30.0,23.0,37.0,54.0,44.0,53.0,12.0,66.0,79.0,53.0,41.0,59.0,34.0,52.0,44.0,40.0,33.0,30.0,30.0,25.0,55.0,55.0,55.0,33.0,26.0,29.0,38.0,25,0,0,1,0,0,0,0,25,13,2
