lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
10.0,35.0,5.0,12.0,14.0,15.0,53.0,52.0,36.0,33.0,7.0,22.0,5.0,26.0,17.0,27.0,50.0,7.0,17.0,25.0,17.0,23.0,37.0,35.0,20.0,16.0,20.0,32.0,12,0,1,0,0,0,0,0,12,28,3
35.0,5.0,12.0,14.0,15.0,53.0,52.0,36.0,33.0,7.0,22.0,5.0,26.0,17.0,27.0,50.0,7.0,17.0,25.0,17.0,23.0,37.0,35.0,20.0,16.0,20.0,32.0,12.0,47,0,0,0,0,1,0,0,47,31,3
5.0,12.0,14.0,15.0,53.0,52.0,36.0,33.0,7.0,22.0,5.0,26.0,17.0,27.0,50.0,7.0,17.0,25.0,17.0,23.0,37.0,35.0,20.0,16.0,20.0,32.0,12.0,47.0,41,1,0,0,0,0,0,0,41,1,4
12.0,14.0,15.0,53.0,52.0,36.0,33.0,7.0,22.0,5.0,26.0,17.0,27.0,50.0,7.0,17.0,25.0,17.0,23.0,37.0,35.0,20.0,16.0,20.0,32.0,12.0,47.0,41.0,41,0,0,1,0,0,0,0,41,2,4
14.0,15.0,53.0,52.0,36.0,33.0,7.0,22.0,5.0,26.0,17.0,27.0,50.0,7.0,17.0,25.0,17.0,23.0,37.0,35.0,20.0,16.0,20.0,32.0,12.0,47.0,41.0,41.0,41,0,0,0,1,0,0,0,41,3,4
15.0,53.0,52.0,36.0,33.0,7.0,22.0,5.0,26.0,17.0,27.0,50.0,7.0,17.0,25.0,17.0,23.0,37.0,35.0,20.0,16.0,20.0,32.0,12.0,47.0,41.0,41.0,41.0,49,0,1,0,0,0,0,0,49,4,4
53.0,52.0,36.0,33.0,7.0,22.0,5.0,26.0,17.0,27.0,50.0,7.0,17.0,25.0,17.0,23.0,37.0,35.0,20.0,16.0,20.0,32.0,12.0,47.0,41.0,41.0,41.0,49.0,43,0,0,0,0,0,1,0,43,5,4
52.0,36.0,33.0,7.0,22.0,5.0,26.0,17.0,27.0,50.0,7.0,17.0,25.0,17.0,23.0,37.0,35.0,20.0,16.0,20.0,32.0,12.0,47.0,41.0,41.0,41.0,49.0,43.0,45,0,0,0,0,0,0,1,45,6,4
36.0,33.0,7.0,22.0,5.0,26.0,17.0,27.0,50.0,7.0,17.0,25.0,17.0,23.0,37.0,35.0,20.0,16.0,20.0,32.0,12.0,47.0,41.0,41.0,41.0,49.0,43.0,45.0,35,0,0,0,0,1,0,0,35,7,4
33.0,7.0,22.0,5.0,26.0,17.0,27.0,50.0,7.0,17.0,25.0,17.0,23.0,37.0,35.0,20.0,16.0,20.0,32.0,12.0,47.0,41.0,41.0,41.0,49.0,43.0,45.0,35.0,40,1,0,0,0,0,0,0,40,8,4
7.0,22.0,5.0,26.0,17.0,27.0,50.0,7.0,17.0,25.0,17.0,23.0,37.0,35.0,20.0,16.0,20.0,32.0,12.0,47.0,41.0,41.0,41.0,49.0,43.0,45.0,35.0,40.0,39,0,0,1,0,0,0,0,39,9,4
22.0,5.0,26.0,17.0,27.0,50.0,7.0,17.0,25.0,17.0,23.0,37.0,35.0,20.0,16.0,20.0,32.0,12.0,47.0,41.0,41.0,41.0,49.0,43.0,45.0,35.0,40.0,39.0,41,0,0,0,1,0,0,0,41,10,4
5.0,26.0,17.0,27.0,50.0,7.0,17.0,25.0,17.0,23.0,37.0,35.0,20.0,16.0,20.0,32.0,12.0,47.0,41.0,41.0,41.0,49.0,43.0,45.0,35.0,40.0,39.0,41.0,46,0,1,0,0,0,0,0,46,11,4
26.0,17.0,27.0,50.0,7.0,17.0,25.0,17.0,23.0,37.0,35.0,20.0,16.0,20.0,32.0,12.0,47.0,41.0,41.0,41.0,49.0,43.0,45.0,35.0,40.0,39.0,41.0,46.0,46,0,0,0,0,0,1,0,46,12,4
17.0,27.0,50.0,7.0,17.0,25.0,17.0,23.0,37.0,35.0,20.0,16.0,20.0,32.0,12.0,47.0,41.0,41.0,41.0,49.0,43.0,45.0,35.0,40.0,39.0,41.0,46.0,46.0,44,0,0,0,0,0,0,1,44,13,4
27.0,50.0,7.0,17.0,25.0,17.0,23.0,37.0,35.0,20.0,16.0,20.0,32.0,12.0,47.0,41.0,41.0,41.0,49.0,43.0,45.0,35.0,40.0,39.0,41.0,46.0,46.0,44.0,51,0,0,0,0,1,0,0,51,14,4
50.0,7.0,17.0,25.0,17.0,23.0,37.0,35.0,20.0,16.0,20.0,32.0,12.0,47.0,41.0,41.0,41.0,49.0,43.0,45.0,35.0,40.0,39.0,41.0,46.0,46.0,44.0,51.0,50,1,0,0,0,0,0,0,50,15,4
7.0,17.0,25.0,17.0,23.0,37.0,35.0,20.0,16.0,20.0,32.0,12.0,47.0,41.0,41.0,41.0,49.0,43.0,45.0,35.0,40.0,39.0,41.0,46.0,46.0,44.0,51.0,50.0,47,0,0,1,0,0,0,0,47,16,4
17.0,25.0,17.0,23.0,37.0,35.0,20.0,16.0,20.0,32.0,12.0,47.0,41.0,41.0,41.0,49.0,43.0,45.0,35.0,40.0,39.0,41.0,46.0,46.0,44.0,51.0,50.0,47.0,67,0,0,0,1,0,0,0,67,17,4
25.0,17.0,23.0,37.0,35.0,20.0,16.0,20.0,32.0,12.0,47.0,41.0,41.0,41.0,49.0,43.0,45.0,35.0,40.0,39.0,41.0,46.0,46.0,44.0,51.0,50.0,47.0,67.0,80,0,1,0,0,0,0,0,80,18,4
17.0,23.0,37.0,35.0,20.0,16.0,20.0,32.0,12.0,47.0,41.0,41.0,41.0,49.0,43.0,45.0,35.0,40.0,39.0,41.0,46.0,46.0,44.0,51.0,50.0,47.0,67.0,80.0,90,0,0,0,0,0,1,0,90,19,4
23.0,37.0,35.0,20.0,16.0,20.0,32.0,12.0,47.0,41.0,41.0,41.0,49.0,43.0,45.0,35.0,40.0,39.0,41.0,46.0,46.0,44.0,51.0,50.0,47.0,67.0,80.0,90.0,50,0,0,0,0,0,0,1,50,20,4
37.0,35.0,20.0,16.0,20.0,32.0,12.0,47.0,41.0,41.0,41.0,49.0,43.0,45.0,35.0,40.0,39.0,41.0,46.0,46.0,44.0,51.0,50.0,47.0,67.0,80.0,90.0,50.0,71,0,0,0,0,1,0,0,71,21,4
35.0,20.0,16.0,20.0,32.0,12.0,47.0,41.0,41.0,41.0,49.0,43.0,45.0,35.0,40.0,39.0,41.0,46.0,46.0,44.0,51.0,50.0,47.0,67.0,80.0,90.0,50.0,71.0,41,1,0,0,0,0,0,0,41,22,4
20.0,16.0,20.0,32.0,12.0,47.0,41.0,41.0,41.0,49.0,43.0,45.0,35.0,40.0,39.0,41.0,46.0,46.0,44.0,51.0,50.0,47.0,67.0,80.0,90.0,50.0,71.0,41.0,44,0,0,1,0,0,0,0,44,23,4
16.0,20.0,32.0,12.0,47.0,41.0,41.0,41.0,49.0,43.0,45.0,35.0,40.0,39.0,41.0,46.0,46.0,44.0,51.0,50.0,47.0,67.0,80.0,90.0,50.0,71.0,41.0,44.0,43,0,0,0,1,0,0,0,43,24,4
