lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
23.0,53.0,55.0,67.0,72.0,67.0,79.0,69.0,57.0,35.0,31.0,33.0,43.0,22.0,37.0,54.0,42.0,51.0,38.0,40.0,45.0,51.0,29.0,25.0,35.0,56.0,48.0,42.0,38,0,0,1,0,0,0,0,38,30,1
53.0,55.0,67.0,72.0,67.0,79.0,69.0,57.0,35.0,31.0,33.0,43.0,22.0,37.0,54.0,42.0,51.0,38.0,40.0,45.0,51.0,29.0,25.0,35.0,56.0,48.0,42.0,38.0,43,0,0,0,1,0,0,0,43,31,1
55.0,67.0,72.0,67.0,79.0,69.0,57.0,35.0,31.0,33.0,43.0,22.0,37.0,54.0,42.0,51.0,38.0,40.0,45.0,51.0,29.0,25.0,35.0,56.0,48.0,42.0,38.0,43.0,49,0,1,0,0,0,0,0,49,1,2
67.0,72.0,67.0,79.0,69.0,57.0,35.0,31.0,33.0,43.0,22.0,37.0,54.0,42.0,51.0,38.0,40.0,45.0,51.0,29.0,25.0,35.0,56.0,48.0,42.0,38.0,43.0,49.0,47,0,0,0,0,0,1,0,47,2,2
72.0,67.0,79.0,69.0,57.0,35.0,31.0,33.0,43.0,22.0,37.0,54.0,42.0,51.0,38.0,40.0,45.0,51.0,29.0,25.0,35.0,56.0,48.0,42.0,38.0,43.0,49.0,47.0,59,0,0,0,0,0,0,1,59,3,2
67.0,79.0,69.0,57.0,35.0,31.0,33.0,43.0,22.0,37.0,54.0,42.0,51.0,38.0,40.0,45.0,51.0,29.0,25.0,35.0,56.0,48.0,42.0,38.0,43.0,49.0,47.0,59.0,62,0,0,0,0,1,0,0,62,4,2
79.0,69.0,57.0,35.0,31.0,33.0,43.0,22.0,37.0,54.0,42.0,51.0,38.0,40.0,45.0,51.0,29.0,25.0,35.0,56.0,48.0,42.0,38.0,43.0,49.0,47.0,59.0,62.0,60,1,0,0,0,0,0,0,60,5,2
69.0,57.0,35.0,31.0,33.0,43.0,22.0,37.0,54.0,42.0,51.0,38.0,40.0,45.0,51.0,29.0,25.0,35.0,56.0,48.0,42.0,38.0,43.0,49.0,47.0,59.0,62.0,60.0,38,0,0,1,0,0,0,0,38,6,2
57.0,35.0,31.0,33.0,43.0,22.0,37.0,54.0,42.0,51.0,38.0,40.0,45.0,51.0,29.0,25.0,35.0,56.0,48.0,42.0,38.0,43.0,49.0,47.0,59.0,62.0,60.0,38.0,35,0,0,0,1,0,0,0,35,7,2
35.0,31.0,33.0,43.0,22.0,37.0,54.0,42.0,51.0,38.0,40.0,45.0,51.0,29.0,25.0,35.0,56.0,48.0,42.0,38.0,43.0,49.0,47.0,59.0,62.0,60.0,38.0,35.0,43,0,1,0,0,0,0,0,43,8,2
31.0,33.0,43.0,22.0,37.0,54.0,42.0,51.0,38.0,40.0,45.0,51.0,29.0,25.0,35.0,56.0,48.0,42.0,38.0,43.0,49.0,47.0,59.0,62.0,60.0,38.0,35.0,43.0,48,0,0,0,0,0,1,0,48,9,2
33.0,43.0,22.0,37.0,54.0,42.0,51.0,38.0,40.0,45.0,51.0,29.0,25.0,35.0,56.0,48.0,42.0,38.0,43.0,49.0,47.0,59.0,62.0,60.0,38.0,35.0,43.0,48.0,52,0,0,0,0,0,0,1,52,10,2
43.0,22.0,37.0,54.0,42.0,51.0,38.0,40.0,45.0,51.0,29.0,25.0,35.0,56.0,48.0,42.0,38.0,43.0,49.0,47.0,59.0,62.0,60.0,38.0,35.0,43.0,48.0,52.0,51,0,0,0,0,1,0,0,51,11,2
22.0,37.0,54.0,42.0,51.0,38.0,40.0,45.0,51.0,29.0,25.0,35.0,56.0,48.0,42.0,38.0,43.0,49.0,47.0,59.0,62.0,60.0,38.0,35.0,43.0,48.0,52.0,51.0,57,1,0,0,0,0,0,0,57,12,2
37.0,54.0,42.0,51.0,38.0,40.0,45.0,51.0,29.0,25.0,35.0,56.0,48.0,42.0,38.0,43.0,49.0,47.0,59.0,62.0,60.0,38.0,35.0,43.0,48.0,52.0,51.0,57.0,38,0,0,1,0,0,0,0,38,13,2
54.0,42.0,51.0,38.0,40.0,45.0,51.0,29.0,25.0,35.0,56.0,48.0,42.0,38.0,43.0,49.0,47.0,59.0,62.0,60.0,38.0,35.0,43.0,48.0,52.0,51.0,57.0,38.0,34,0,0,0,1,0,0,0,34,14,2
42.0,51.0,38.0,40.0,45.0,51.0,29.0,25.0,35.0,56.0,48.0,42.0,38.0,43.0,49.0,47.0,59.0,62.0,60.0,38.0,35.0,43.0,48.0,52.0,51.0,57.0,38.0,34.0,26,0,1,0,0,0,0,0,26,15,2
51.0,38.0,40.0,45.0,51.0,29.0,25.0,35.0,56.0,48.0,42.0,38.0,43.0,49.0,47.0,59.0,62.0,60.0,38.0,35.0,43.0,48.0,52.0,51.0,57.0,38.0,34.0,26.0,33,0,0,0,0,0,1,0,33,16,2
