lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
53.0,64.0,60.0,55.0,48.0,55.0,29.0,40.0,53.0,38.0,32.0,23.0,26.0,28.0,15.0,14.0,17.0,20.0,17.0,18.0,16.0,31.0,21.0,18.0,17.0,20.0,22.0,19.0,19,0,0,1,0,0,0,0,19,30,1
64.0,60.0,55.0,48.0,55.0,29.0,40.0,53.0,38.0,32.0,23.0,26.0,28.0,15.0,14.0,17.0,20.0,17.0,18.0,16.0,31.0,21.0,18.0,17.0,20.0,22.0,19.0,19.0,40,0,0,0,1,0,0,0,40,31,1
60.0,55.0,48.0,55.0,29.0,40.0,53.0,38.0,32.0,23.0,26.0,28.0,15.0,14.0,17.0,20.0,17.0,18.0,16.0,31.0,21.0,18.0,17.0,20.0,22.0,19.0,19.0,40.0,38,0,1,0,0,0,0,0,38,1,2
55.0,48.0,55.0,29.0,40.0,53.0,38.0,32.0,23.0,26.0,28.0,15.0,14.0,17.0,20.0,17.0,18.0,16.0,31.0,21.0,18.0,17.0,20.0,22.0,19.0,19.0,40.0,38.0,29,0,0,0,0,0,1,0,29,2,2
48.0,55.0,29.0,40.0,53.0,38.0,32.0,23.0,26.0,28.0,15.0,14.0,17.0,20.0,17.0,18.0,16.0,31.0,21.0,18.0,17.0,20.0,22.0,19.0,19.0,40.0,38.0,29.0,19,0,0,0,0,0,0,1,19,3,2
55.0,29.0,40.0,53.0,38.0,32.0,23.0,26.0,28.0,15.0,14.0,17.0,20.0,17.0,18.0,16.0,31.0,21.0,18.0,17.0,20.0,22.0,19.0,19.0,40.0,38.0,29.0,19.0,20,0,0,0,0,1,0,0,20,4,2
29.0,40.0,53.0,38.0,32.0,23.0,26.0,28.0,15.0,14.0,17.0,20.0,17.0,18.0,16.0,31.0,21.0,18.0,17.0,20.0,22.0,19.0,19.0,40.0,38.0,29.0,19.0,20.0,17,1,0,0,0,0,0,0,17,5,2
40.0,53.0,38.0,32.0,23.0,26.0,28.0,15.0,14.0,17.0,20.0,17.0,18.0,16.0,31.0,21.0,18.0,17.0,20.0,22.0,19.0,19.0,40.0,38.0,29.0,19.0,20.0,17.0,22,0,0,1,0,0,0,0,22,6,2
53.0,38.0,32.0,23.0,26.0,28.0,15.0,14.0,17.0,20.0,17.0,18.0,16.0,31.0,21.0,18.0,17.0,20.0,22.0,19.0,19.0,40.0,38.0,29.0,19.0,20.0,17.0,22.0,27,0,0,0,1,0,0,0,27,7,2
38.0,32.0,23.0,26.0,28.0,15.0,14.0,17.0,20.0,17.0,18.0,16.0,31.0,21.0,18.0,17.0,20.0,22.0,19.0,19.0,40.0,38.0,29.0,19.0,20.0,17.0,22.0,27.0,35,0,1,0,0,0,0,0,35,8,2
32.0,23.0,26.0,28.0,15.0,14.0,17.0,20.0,17.0,18.0,16.0,31.0,21.0,18.0,17.0,20.0,22.0,19.0,19.0,40.0,38.0,29.0,19.0,20.0,17.0,22.0,27.0,35.0,33,0,0,0,0,0,1,0,33,9,2
23.0,26.0,28.0,15.0,14.0,17.0,20.0,17.0,18.0,16.0,31.0,21.0,18.0,17.0,20.0,22.0,19.0,19.0,40.0,38.0,29.0,19.0,20.0,17.0,22.0,27.0,35.0,33.0,31,0,0,0,0,0,0,1,31,10,2
26.0,28.0,15.0,14.0,17.0,20.0,17.0,18.0,16.0,31.0,21.0,18.0,17.0,20.0,22.0,19.0,19.0,40.0,38.0,29.0,19.0,20.0,17.0,22.0,27.0,35.0,33.0,31.0,38,0,0,0,0,1,0,0,38,11,2
28.0,15.0,14.0,17.0,20.0,17.0,18.0,16.0,31.0,21.0,18.0,17.0,20.0,22.0,19.0,19.0,40.0,38.0,29.0,19.0,20.0,17.0,22.0,27.0,35.0,33.0,31.0,38.0,23,1,0,0,0,0,0,0,23,12,2
15.0,14.0,17.0,20.0,17.0,18.0,16.0,31.0,21.0,18.0,17.0,20.0,22.0,19.0,19.0,40.0,38.0,29.0,19.0,20.0,17.0,22.0,27.0,35.0,33.0,31.0,38.0,23.0,15,0,0,1,0,0,0,0,15,13,2
14.0,17.0,20.0,17.0,18.0,16.0,31.0,21.0,18.0,17.0,20.0,22.0,19.0,19.0,40.0,38.0,29.0,19.0,20.0,17.0,22.0,27.0,35.0,33.0,31.0,38.0,23.0,15.0,9,0,0,0,1,0,0,0,9,14,2
