lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
53.0,30.0,38.0,50.0,58.0,59.0,53.0,61.0,23.0,52.0,54.0,20.0,31.0,58.0,51.0,36.0,29.0,28.0,24.0,40.0,30.0,28.0,34.0,55.0,54.0,53.0,27.0,25.0,25,0,0,1,0,0,0,0,25,30,1
30.0,38.0,50.0,58.0,59.0,53.0,61.0,23.0,52.0,54.0,20.0,31.0,58.0,51.0,36.0,29.0,28.0,24.0,40.0,30.0,28.0,34.0,55.0,54.0,53.0,27.0,25.0,25.0,31,0,0,0,1,0,0,0,31,31,1
38.0,50.0,58.0,59.0,53.0,61.0,23.0,52.0,54.0,20.0,31.0,58.0,51.0,36.0,29.0,28.0,24.0,40.0,30.0,28.0,34.0,55.0,54.0,53.0,27.0,25.0,25.0,31.0,45,0,1,0,0,0,0,0,45,1,2
50.0,58.0,59.0,53.0,61.0,23.0,52.0,54.0,20.0,31.0,58.0,51.0,36.0,29.0,28.0,24.0,40.0,30.0,28.0,34.0,55.0,54.0,53.0,27.0,25.0,25.0,31.0,45.0,55,0,0,0,0,0,1,0,55,2,2
58.0,59.0,53.0,61.0,23.0,52.0,54.0,20.0,31.0,58.0,51.0,36.0,29.0,28.0,24.0,40.0,30.0,28.0,34.0,55.0,54.0,53.0,27.0,25.0,25.0,31.0,45.0,55.0,53,0,0,0,0,0,0,1,53,3,2
59.0,53.0,61.0,23.0,52.0,54.0,20.0,31.0,58.0,51.0,36.0,29.0,28.0,24.0,40.0,30.0,28.0,34.0,55.0,54.0,53.0,27.0,25.0,25.0,31.0,45.0,55.0,53.0,36,0,0,0,0,1,0,0,36,4,2
53.0,61.0,23.0,52.0,54.0,20.0,31.0,58.0,51.0,36.0,29.0,28.0,24.0,40.0,30.0,28.0,34.0,55.0,54.0,53.0,27.0,25.0,25.0,31.0,45.0,55.0,53.0,36.0,36,1,0,0,0,0,0,0,36,5,2
61.0,23.0,52.0,54.0,20.0,31.0,58.0,51.0,36.0,29.0,28.0,24.0,40.0,30.0,28.0,34.0,55.0,54.0,53.0,27.0,25.0,25.0,31.0,45.0,55.0,53.0,36.0,36.0,22,0,0,1,0,0,0,0,22,6,2
23.0,52.0,54.0,20.0,31.0,58.0,51.0,36.0,29.0,28.0,24.0,40.0,30.0,28.0,34.0,55.0,54.0,53.0,27.0,25.0,25.0,31.0,45.0,55.0,53.0,36.0,36.0,22.0,51,0,0,0,1,0,0,0,51,7,2
52.0,54.0,20.0,31.0,58.0,51.0,36.0,29.0,28.0,24.0,40.0,30.0,28.0,34.0,55.0,54.0,53.0,27.0,25.0,25.0,31.0,45.0,55.0,53.0,36.0,36.0,22.0,51.0,54,0,1,0,0,0,0,0,54,8,2
54.0,20.0,31.0,58.0,51.0,36.0,29.0,28.0,24.0,40.0,30.0,28.0,34.0,55.0,54.0,53.0,27.0,25.0,25.0,31.0,45.0,55.0,53.0,36.0,36.0,22.0,51.0,54.0,52,0,0,0,0,0,1,0,52,9,2
20.0,31.0,58.0,51.0,36.0,29.0,28.0,24.0,40.0,30.0,28.0,34.0,55.0,54.0,53.0,27.0,25.0,25.0,31.0,45.0,55.0,53.0,36.0,36.0,22.0,51.0,54.0,52.0,66,0,0,0,0,0,0,1,66,10,2
