lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
30.0,5.0,23.0,36.0,33.0,61.0,31.0,9.0,20.0,56.0,38.0,54.0,80.0,54.0,18.0,19.0,25.0,43.0,48.0,55.0,28.0,38.0,50.0,60.0,6.0,16.0,9.0,16.0,19,0,0,1,0,0,0,0,19,30,1
5.0,23.0,36.0,33.0,61.0,31.0,9.0,20.0,56.0,38.0,54.0,80.0,54.0,18.0,19.0,25.0,43.0,48.0,55.0,28.0,38.0,50.0,60.0,6.0,16.0,9.0,16.0,19.0,47,0,0,0,1,0,0,0,47,31,1
23.0,36.0,33.0,61.0,31.0,9.0,20.0,56.0,38.0,54.0,80.0,54.0,18.0,19.0,25.0,43.0,48.0,55.0,28.0,38.0,50.0,60.0,6.0,16.0,9.0,16.0,19.0,47.0,55,0,1,0,0,0,0,0,55,1,2
36.0,33.0,61.0,31.0,9.0,20.0,56.0,38.0,54.0,80.0,54.0,18.0,19.0,25.0,43.0,48.0,55.0,28.0,38.0,50.0,60.0,6.0,16.0,9.0,16.0,19.0,47.0,55.0,39,0,0,0,0,0,1,0,39,2,2
33.0,61.0,31.0,9.0,20.0,56.0,38.0,54.0,80.0,54.0,18.0,19.0,25.0,43.0,48.0,55.0,28.0,38.0,50.0,60.0,6.0,16.0,9.0,16.0,19.0,47.0,55.0,39.0,0,0,0,0,0,0,0,1,0,3,2
61.0,31.0,9.0,20.0,56.0,38.0,54.0,80.0,54.0,18.0,19.0,25.0,43.0,48.0,55.0,28.0,38.0,50.0,60.0,6.0,16.0,9.0,16.0,19.0,47.0,55.0,39.0,0.0,38,0,0,0,0,1,0,0,38,4,2
31.0,9.0,20.0,56.0,38.0,54.0,80.0,54.0,18.0,19.0,25.0,43.0,48.0,55.0,28.0,38.0,50.0,60.0,6.0,16.0,9.0,16.0,19.0,47.0,55.0,39.0,0.0,38.0,56,1,0,0,0,0,0,0,56,5,2
9.0,20.0,56.0,38.0,54.0,80.0,54.0,18.0,19.0,25.0,43.0,48.0,55.0,28.0,38.0,50.0,60.0,6.0,16.0,9.0,16.0,19.0,47.0,55.0,39.0,0.0,38.0,56.0,55,0,0,1,0,0,0,0,55,6,2
20.0,56.0,38.0,54.0,80.0,54.0,18.0,19.0,25.0,43.0,48.0,55.0,28.0,38.0,50.0,60.0,6.0,16.0,9.0,16.0,19.0,47.0,55.0,39.0,0.0,38.0,56.0,55.0,8,0,0,0,1,0,0,0,8,7,2
56.0,38.0,54.0,80.0,54.0,18.0,19.0,25.0,43.0,48.0,55.0,28.0,38.0,50.0,60.0,6.0,16.0,9.0,16.0,19.0,47.0,55.0,39.0,0.0,38.0,56.0,55.0,8.0,9,0,1,0,0,0,0,0,9,8,2
