lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
31.0,16.0,21.0,43.0,55.0,68.0,58.0,20.0,20.0,43.0,32.0,53.0,69.0,40.0,18.0,17.0,26.0,29.0,56.0,58.0,30.0,36.0,56.0,77.0,21.0,29.0,17.0,22.0,49,0,0,1,0,0,0,0,49,30,1
16.0,21.0,43.0,55.0,68.0,58.0,20.0,20.0,43.0,32.0,53.0,69.0,40.0,18.0,17.0,26.0,29.0,56.0,58.0,30.0,36.0,56.0,77.0,21.0,29.0,17.0,22.0,49.0,55,0,0,0,1,0,0,0,55,31,1
21.0,43.0,55.0,68.0,58.0,20.0,20.0,43.0,32.0,53.0,69.0,40.0,18.0,17.0,26.0,29.0,56.0,58.0,30.0,36.0,56.0,77.0,21.0,29.0,17.0,22.0,49.0,55.0,55,0,1,0,0,0,0,0,55,1,2
43.0,55.0,68.0,58.0,20.0,20.0,43.0,32.0,53.0,69.0,40.0,18.0,17.0,26.0,29.0,56.0,58.0,30.0,36.0,56.0,77.0,21.0,29.0,17.0,22.0,49.0,55.0,55.0,38,0,0,0,0,0,1,0,38,2,2
55.0,68.0,58.0,20.0,20.0,43.0,32.0,53.0,69.0,40.0,18.0,17.0,26.0,29.0,56.0,58.0,30.0,36.0,56.0,77.0,21.0,29.0,17.0,22.0,49.0,55.0,55.0,38.0,9,0,0,0,0,0,0,1,9,3,2
68.0,58.0,20.0,20.0,43.0,32.0,53.0,69.0,40.0,18.0,17.0,26.0,29.0,56.0,58.0,30.0,36.0,56.0,77.0,21.0,29.0,17.0,22.0,49.0,55.0,55.0,38.0,9.0,25,0,0,0,0,1,0,0,25,4,2
58.0,20.0,20.0,43.0,32.0,53.0,69.0,40.0,18.0,17.0,26.0,29.0,56.0,58.0,30.0,36.0,56.0,77.0,21.0,29.0,17.0,22.0,49.0,55.0,55.0,38.0,9.0,25.0,52,1,0,0,0,0,0,0,52,5,2
20.0,20.0,43.0,32.0,53.0,69.0,40.0,18.0,17.0,26.0,29.0,56.0,58.0,30.0,36.0,56.0,77.0,21.0,29.0,17.0,22.0,49.0,55.0,55.0,38.0,9.0,25.0,52.0,53,0,0,1,0,0,0,0,53,6,2
20.0,43.0,32.0,53.0,69.0,40.0,18.0,17.0,26.0,29.0,56.0,58.0,30.0,36.0,56.0,77.0,21.0,29.0,17.0,22.0,49.0,55.0,55.0,38.0,9.0,25.0,52.0,53.0,25,0,0,0,1,0,0,0,25,7,2
43.0,32.0,53.0,69.0,40.0,18.0,17.0,26.0,29.0,56.0,58.0,30.0,36.0,56.0,77.0,21.0,29.0,17.0,22.0,49.0,55.0,55.0,38.0,9.0,25.0,52.0,53.0,25.0,10,0,1,0,0,0,0,0,10,8,2
32.0,53.0,69.0,40.0,18.0,17.0,26.0,29.0,56.0,58.0,30.0,36.0,56.0,77.0,21.0,29.0,17.0,22.0,49.0,55.0,55.0,38.0,9.0,25.0,52.0,53.0,25.0,10.0,10,0,0,0,0,0,1,0,10,9,2
53.0,69.0,40.0,18.0,17.0,26.0,29.0,56.0,58.0,30.0,36.0,56.0,77.0,21.0,29.0,17.0,22.0,49.0,55.0,55.0,38.0,9.0,25.0,52.0,53.0,25.0,10.0,10.0,15,0,0,0,0,0,0,1,15,10,2
69.0,40.0,18.0,17.0,26.0,29.0,56.0,58.0,30.0,36.0,56.0,77.0,21.0,29.0,17.0,22.0,49.0,55.0,55.0,38.0,9.0,25.0,52.0,53.0,25.0,10.0,10.0,15.0,18,0,0,0,0,1,0,0,18,11,2
40.0,18.0,17.0,26.0,29.0,56.0,58.0,30.0,36.0,56.0,77.0,21.0,29.0,17.0,22.0,49.0,55.0,55.0,38.0,9.0,25.0,52.0,53.0,25.0,10.0,10.0,15.0,18.0,32,1,0,0,0,0,0,0,32,12,2
18.0,17.0,26.0,29.0,56.0,58.0,30.0,36.0,56.0,77.0,21.0,29.0,17.0,22.0,49.0,55.0,55.0,38.0,9.0,25.0,52.0,53.0,25.0,10.0,10.0,15.0,18.0,32.0,27,0,0,1,0,0,0,0,27,13,2
17.0,26.0,29.0,56.0,58.0,30.0,36.0,56.0,77.0,21.0,29.0,17.0,22.0,49.0,55.0,55.0,38.0,9.0,25.0,52.0,53.0,25.0,10.0,10.0,15.0,18.0,32.0,27.0,52,0,0,0,1,0,0,0,52,14,2
26.0,29.0,56.0,58.0,30.0,36.0,56.0,77.0,21.0,29.0,17.0,22.0,49.0,55.0,55.0,38.0,9.0,25.0,52.0,53.0,25.0,10.0,10.0,15.0,18.0,32.0,27.0,52.0,59,0,1,0,0,0,0,0,59,15,2
29.0,56.0,58.0,30.0,36.0,56.0,77.0,21.0,29.0,17.0,22.0,49.0,55.0,55.0,38.0,9.0,25.0,52.0,53.0,25.0,10.0,10.0,15.0,18.0,32.0,27.0,52.0,59.0,61,0,0,0,0,0,1,0,61,16,2
56.0,58.0,30.0,36.0,56.0,77.0,21.0,29.0,17.0,22.0,49.0,55.0,55.0,38.0,9.0,25.0,52.0,53.0,25.0,10.0,10.0,15.0,18.0,32.0,27.0,52.0,59.0,61.0,30,0,0,0,0,0,0,1,30,17,2
58.0,30.0,36.0,56.0,77.0,21.0,29.0,17.0,22.0,49.0,55.0,55.0,38.0,9.0,25.0,52.0,53.0,25.0,10.0,10.0,15.0,18.0,32.0,27.0,52.0,59.0,61.0,30.0,55,0,0,0,0,1,0,0,55,18,2
30.0,36.0,56.0,77.0,21.0,29.0,17.0,22.0,49.0,55.0,55.0,38.0,9.0,25.0,52.0,53.0,25.0,10.0,10.0,15.0,18.0,32.0,27.0,52.0,59.0,61.0,30.0,55.0,35,1,0,0,0,0,0,0,35,19,2
36.0,56.0,77.0,21.0,29.0,17.0,22.0,49.0,55.0,55.0,38.0,9.0,25.0,52.0,53.0,25.0,10.0,10.0,15.0,18.0,32.0,27.0,52.0,59.0,61.0,30.0,55.0,35.0,17,0,0,1,0,0,0,0,17,20,2
56.0,77.0,21.0,29.0,17.0,22.0,49.0,55.0,55.0,38.0,9.0,25.0,52.0,53.0,25.0,10.0,10.0,15.0,18.0,32.0,27.0,52.0,59.0,61.0,30.0,55.0,35.0,17.0,15,0,0,0,1,0,0,0,15,21,2
77.0,21.0,29.0,17.0,22.0,49.0,55.0,55.0,38.0,9.0,25.0,52.0,53.0,25.0,10.0,10.0,15.0,18.0,32.0,27.0,52.0,59.0,61.0,30.0,55.0,35.0,17.0,15.0,19,0,1,0,0,0,0,0,19,22,2
21.0,29.0,17.0,22.0,49.0,55.0,55.0,38.0,9.0,25.0,52.0,53.0,25.0,10.0,10.0,15.0,18.0,32.0,27.0,52.0,59.0,61.0,30.0,55.0,35.0,17.0,15.0,19.0,66,0,0,0,0,0,1,0,66,23,2
