lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
32.0,32.0,34.0,31.0,43.0,63.0,33.0,31.0,30.0,31.0,29.0,53.0,78.0,30.0,30.0,29.0,31.0,31.0,47.0,40.0,29.0,33.0,50.0,57.0,29.0,35.0,31.0,31.0,34,0,0,1,0,0,0,0,34,30,1
32.0,34.0,31.0,43.0,63.0,33.0,31.0,30.0,31.0,29.0,53.0,78.0,30.0,30.0,29.0,31.0,31.0,47.0,40.0,29.0,33.0,50.0,57.0,29.0,35.0,31.0,31.0,34.0,37,0,0,0,1,0,0,0,37,31,1
34.0,31.0,43.0,63.0,33.0,31.0,30.0,31.0,29.0,53.0,78.0,30.0,30.0,29.0,31.0,31.0,47.0,40.0,29.0,33.0,50.0,57.0,29.0,35.0,31.0,31.0,34.0,37.0,38,0,1,0,0,0,0,0,38,1,2
31.0,43.0,63.0,33.0,31.0,30.0,31.0,29.0,53.0,78.0,30.0,30.0,29.0,31.0,31.0,47.0,40.0,29.0,33.0,50.0,57.0,29.0,35.0,31.0,31.0,34.0,37.0,38.0,34,0,0,0,0,0,1,0,34,2,2
43.0,63.0,33.0,31.0,30.0,31.0,29.0,53.0,78.0,30.0,30.0,29.0,31.0,31.0,47.0,40.0,29.0,33.0,50.0,57.0,29.0,35.0,31.0,31.0,34.0,37.0,38.0,34.0,33,0,0,0,0,0,0,1,33,3,2
63.0,33.0,31.0,30.0,31.0,29.0,53.0,78.0,30.0,30.0,29.0,31.0,31.0,47.0,40.0,29.0,33.0,50.0,57.0,29.0,35.0,31.0,31.0,34.0,37.0,38.0,34.0,33.0,33,0,0,0,0,1,0,0,33,4,2
33.0,31.0,30.0,31.0,29.0,53.0,78.0,30.0,30.0,29.0,31.0,31.0,47.0,40.0,29.0,33.0,50.0,57.0,29.0,35.0,31.0,31.0,34.0,37.0,38.0,34.0,33.0,33.0,36,1,0,0,0,0,0,0,36,5,2
31.0,30.0,31.0,29.0,53.0,78.0,30.0,30.0,29.0,31.0,31.0,47.0,40.0,29.0,33.0,50.0,57.0,29.0,35.0,31.0,31.0,34.0,37.0,38.0,34.0,33.0,33.0,36.0,54,0,0,1,0,0,0,0,54,6,2
30.0,31.0,29.0,53.0,78.0,30.0,30.0,29.0,31.0,31.0,47.0,40.0,29.0,33.0,50.0,57.0,29.0,35.0,31.0,31.0,34.0,37.0,38.0,34.0,33.0,33.0,36.0,54.0,33,0,0,0,1,0,0,0,33,7,2
31.0,29.0,53.0,78.0,30.0,30.0,29.0,31.0,31.0,47.0,40.0,29.0,33.0,50.0,57.0,29.0,35.0,31.0,31.0,34.0,37.0,38.0,34.0,33.0,33.0,36.0,54.0,33.0,29,0,1,0,0,0,0,0,29,8,2
29.0,53.0,78.0,30.0,30.0,29.0,31.0,31.0,47.0,40.0,29.0,33.0,50.0,57.0,29.0,35.0,31.0,31.0,34.0,37.0,38.0,34.0,33.0,33.0,36.0,54.0,33.0,29.0,33,0,0,0,0,0,1,0,33,9,2
53.0,78.0,30.0,30.0,29.0,31.0,31.0,47.0,40.0,29.0,33.0,50.0,57.0,29.0,35.0,31.0,31.0,34.0,37.0,38.0,34.0,33.0,33.0,36.0,54.0,33.0,29.0,33.0,32,0,0,0,0,0,0,1,32,10,2
