lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
44.0,33.0,38.0,38.0,34.0,40.0,57.0,48.0,56.0,64.0,52.0,100.0,38.0,33.0,30.0,31.0,31.0,39.0,36.0,35.0,40.0,39.0,35.0,33.0,34.0,33.0,51.0,45.0,38,0,0,1,0,0,0,0,38,30,1
33.0,38.0,38.0,34.0,40.0,57.0,48.0,56.0,64.0,52.0,100.0,38.0,33.0,30.0,31.0,31.0,39.0,36.0,35.0,40.0,39.0,35.0,33.0,34.0,33.0,51.0,45.0,38.0,38,0,0,0,1,0,0,0,38,31,1
38.0,38.0,34.0,40.0,57.0,48.0,56.0,64.0,52.0,100.0,38.0,33.0,30.0,31.0,31.0,39.0,36.0,35.0,40.0,39.0,35.0,33.0,34.0,33.0,51.0,45.0,38.0,38.0,34,0,1,0,0,0,0,0,34,1,2
38.0,34.0,40.0,57.0,48.0,56.0,64.0,52.0,100.0,38.0,33.0,30.0,31.0,31.0,39.0,36.0,35.0,40.0,39.0,35.0,33.0,34.0,33.0,51.0,45.0,38.0,38.0,34.0,33,0,0,0,0,0,1,0,33,2,2
34.0,40.0,57.0,48.0,56.0,64.0,52.0,100.0,38.0,33.0,30.0,31.0,31.0,39.0,36.0,35.0,40.0,39.0,35.0,33.0,34.0,33.0,51.0,45.0,38.0,38.0,34.0,33.0,39,0,0,0,0,0,0,1,39,3,2
40.0,57.0,48.0,56.0,64.0,52.0,100.0,38.0,33.0,30.0,31.0,31.0,39.0,36.0,35.0,40.0,39.0,35.0,33.0,34.0,33.0,51.0,45.0,38.0,38.0,34.0,33.0,39.0,43,0,0,0,0,1,0,0,43,4,2
57.0,48.0,56.0,64.0,52.0,100.0,38.0,33.0,30.0,31.0,31.0,39.0,36.0,35.0,40.0,39.0,35.0,33.0,34.0,33.0,51.0,45.0,38.0,38.0,34.0,33.0,39.0,43.0,39,1,0,0,0,0,0,0,39,5,2
48.0,56.0,64.0,52.0,100.0,38.0,33.0,30.0,31.0,31.0,39.0,36.0,35.0,40.0,39.0,35.0,33.0,34.0,33.0,51.0,45.0,38.0,38.0,34.0,33.0,39.0,43.0,39.0,60,0,0,1,0,0,0,0,60,6,2
56.0,64.0,52.0,100.0,38.0,33.0,30.0,31.0,31.0,39.0,36.0,35.0,40.0,39.0,35.0,33.0,34.0,33.0,51.0,45.0,38.0,38.0,34.0,33.0,39.0,43.0,39.0,60.0,62,0,0,0,1,0,0,0,62,7,2
64.0,52.0,100.0,38.0,33.0,30.0,31.0,31.0,39.0,36.0,35.0,40.0,39.0,35.0,33.0,34.0,33.0,51.0,45.0,38.0,38.0,34.0,33.0,39.0,43.0,39.0,60.0,62.0,35,0,1,0,0,0,0,0,35,8,2
52.0,100.0,38.0,33.0,30.0,31.0,31.0,39.0,36.0,35.0,40.0,39.0,35.0,33.0,34.0,33.0,51.0,45.0,38.0,38.0,34.0,33.0,39.0,43.0,39.0,60.0,62.0,35.0,35,0,0,0,0,0,1,0,35,9,2
100.0,38.0,33.0,30.0,31.0,31.0,39.0,36.0,35.0,40.0,39.0,35.0,33.0,34.0,33.0,51.0,45.0,38.0,38.0,34.0,33.0,39.0,43.0,39.0,60.0,62.0,35.0,35.0,35,0,0,0,0,0,0,1,35,10,2
38.0,33.0,30.0,31.0,31.0,39.0,36.0,35.0,40.0,39.0,35.0,33.0,34.0,33.0,51.0,45.0,38.0,38.0,34.0,33.0,39.0,43.0,39.0,60.0,62.0,35.0,35.0,35.0,40,0,0,0,0,1,0,0,40,11,2
33.0,30.0,31.0,31.0,39.0,36.0,35.0,40.0,39.0,35.0,33.0,34.0,33.0,51.0,45.0,38.0,38.0,34.0,33.0,39.0,43.0,39.0,60.0,62.0,35.0,35.0,35.0,40.0,28,1,0,0,0,0,0,0,28,12,2
30.0,31.0,31.0,39.0,36.0,35.0,40.0,39.0,35.0,33.0,34.0,33.0,51.0,45.0,38.0,38.0,34.0,33.0,39.0,43.0,39.0,60.0,62.0,35.0,35.0,35.0,40.0,28.0,39,0,0,1,0,0,0,0,39,13,2
31.0,31.0,39.0,36.0,35.0,40.0,39.0,35.0,33.0,34.0,33.0,51.0,45.0,38.0,38.0,34.0,33.0,39.0,43.0,39.0,60.0,62.0,35.0,35.0,35.0,40.0,28.0,39.0,34,0,0,0,1,0,0,0,34,14,2
31.0,39.0,36.0,35.0,40.0,39.0,35.0,33.0,34.0,33.0,51.0,45.0,38.0,38.0,34.0,33.0,39.0,43.0,39.0,60.0,62.0,35.0,35.0,35.0,40.0,28.0,39.0,34.0,37,0,1,0,0,0,0,0,37,15,2
39.0,36.0,35.0,40.0,39.0,35.0,33.0,34.0,33.0,51.0,45.0,38.0,38.0,34.0,33.0,39.0,43.0,39.0,60.0,62.0,35.0,35.0,35.0,40.0,28.0,39.0,34.0,37.0,34,0,0,0,0,0,1,0,34,16,2
36.0,35.0,40.0,39.0,35.0,33.0,34.0,33.0,51.0,45.0,38.0,38.0,34.0,33.0,39.0,43.0,39.0,60.0,62.0,35.0,35.0,35.0,40.0,28.0,39.0,34.0,37.0,34.0,31,0,0,0,0,0,0,1,31,17,2
