lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
8.0,4.0,6.0,22.0,23.0,6.0,14.0,9.0,6.0,15.0,4.0,3.0,11.0,8.0,1.0,8.0,2.0,17.0,8.0,2.0,12.0,15.0,14.0,56.0,22.0,52.0,14.0,32.0,66,0,1,0,0,0,0,0,66,11,7
4.0,6.0,22.0,23.0,6.0,14.0,9.0,6.0,15.0,4.0,3.0,11.0,8.0,1.0,8.0,2.0,17.0,8.0,2.0,12.0,15.0,14.0,56.0,22.0,52.0,14.0,32.0,66.0,18,0,0,0,1,0,0,0,18,17,7
6.0,22.0,23.0,6.0,14.0,9.0,6.0,15.0,4.0,3.0,11.0,8.0,1.0,8.0,2.0,17.0,8.0,2.0,12.0,15.0,14.0,56.0,22.0,52.0,14.0,32.0,66.0,18.0,18,0,0,1,0,0,0,0,18,23,7
22.0,23.0,6.0,14.0,9.0,6.0,15.0,4.0,3.0,11.0,8.0,1.0,8.0,2.0,17.0,8.0,2.0,12.0,15.0,14.0,56.0,22.0,52.0,14.0,32.0,66.0,18.0,18.0,12,1,0,0,0,0,0,0,12,29,7
23.0,6.0,14.0,9.0,6.0,15.0,4.0,3.0,11.0,8.0,1.0,8.0,2.0,17.0,8.0,2.0,12.0,15.0,14.0,56.0,22.0,52.0,14.0,32.0,66.0,18.0,18.0,12.0,19,0,0,0,0,1,0,0,19,4,8
6.0,14.0,9.0,6.0,15.0,4.0,3.0,11.0,8.0,1.0,8.0,2.0,17.0,8.0,2.0,12.0,15.0,14.0,56.0,22.0,52.0,14.0,32.0,66.0,18.0,18.0,12.0,19.0,25,0,0,0,0,0,0,1,25,10,8
14.0,9.0,6.0,15.0,4.0,3.0,11.0,8.0,1.0,8.0,2.0,17.0,8.0,2.0,12.0,15.0,14.0,56.0,22.0,52.0,14.0,32.0,66.0,18.0,18.0,12.0,19.0,25.0,14,0,0,0,0,0,1,0,14,16,8
9.0,6.0,15.0,4.0,3.0,11.0,8.0,1.0,8.0,2.0,17.0,8.0,2.0,12.0,15.0,14.0,56.0,22.0,52.0,14.0,32.0,66.0,18.0,18.0,12.0,19.0,25.0,14.0,33,0,1,0,0,0,0,0,33,22,8
6.0,15.0,4.0,3.0,11.0,8.0,1.0,8.0,2.0,17.0,8.0,2.0,12.0,15.0,14.0,56.0,22.0,52.0,14.0,32.0,66.0,18.0,18.0,12.0,19.0,25.0,14.0,33.0,51,0,0,0,1,0,0,0,51,28,8
15.0,4.0,3.0,11.0,8.0,1.0,8.0,2.0,17.0,8.0,2.0,12.0,15.0,14.0,56.0,22.0,52.0,14.0,32.0,66.0,18.0,18.0,12.0,19.0,25.0,14.0,33.0,51.0,19,0,0,1,0,0,0,0,19,3,9
4.0,3.0,11.0,8.0,1.0,8.0,2.0,17.0,8.0,2.0,12.0,15.0,14.0,56.0,22.0,52.0,14.0,32.0,66.0,18.0,18.0,12.0,19.0,25.0,14.0,33.0,51.0,19.0,10,1,0,0,0,0,0,0,10,9,9
3.0,11.0,8.0,1.0,8.0,2.0,17.0,8.0,2.0,12.0,15.0,14.0,56.0,22.0,52.0,14.0,32.0,66.0,18.0,18.0,12.0,19.0,25.0,14.0,33.0,51.0,19.0,10.0,26,0,0,0,0,1,0,0,26,15,9
11.0,8.0,1.0,8.0,2.0,17.0,8.0,2.0,12.0,15.0,14.0,56.0,22.0,52.0,14.0,32.0,66.0,18.0,18.0,12.0,19.0,25.0,14.0,33.0,51.0,19.0,10.0,26.0,17,0,0,0,0,0,0,1,17,21,9
8.0,1.0,8.0,2.0,17.0,8.0,2.0,12.0,15.0,14.0,56.0,22.0,52.0,14.0,32.0,66.0,18.0,18.0,12.0,19.0,25.0,14.0,33.0,51.0,19.0,10.0,26.0,17.0,13,0,0,0,0,0,1,0,13,27,9
1.0,8.0,2.0,17.0,8.0,2.0,12.0,15.0,14.0,56.0,22.0,52.0,14.0,32.0,66.0,18.0,18.0,12.0,19.0,25.0,14.0,33.0,51.0,19.0,10.0,26.0,17.0,13.0,23,0,0,0,1,0,0,0,23,9,10
8.0,2.0,17.0,8.0,2.0,12.0,15.0,14.0,56.0,22.0,52.0,14.0,32.0,66.0,18.0,18.0,12.0,19.0,25.0,14.0,33.0,51.0,19.0,10.0,26.0,17.0,13.0,23.0,29,0,0,1,0,0,0,0,29,15,10
2.0,17.0,8.0,2.0,12.0,15.0,14.0,56.0,22.0,52.0,14.0,32.0,66.0,18.0,18.0,12.0,19.0,25.0,14.0,33.0,51.0,19.0,10.0,26.0,17.0,13.0,23.0,29.0,31,1,0,0,0,0,0,0,31,21,10
17.0,8.0,2.0,12.0,15.0,14.0,56.0,22.0,52.0,14.0,32.0,66.0,18.0,18.0,12.0,19.0,25.0,14.0,33.0,51.0,19.0,10.0,26.0,17.0,13.0,23.0,29.0,31.0,20,0,0,0,0,1,0,0,20,27,10
8.0,2.0,12.0,15.0,14.0,56.0,22.0,52.0,14.0,32.0,66.0,18.0,18.0,12.0,19.0,25.0,14.0,33.0,51.0,19.0,10.0,26.0,17.0,13.0,23.0,29.0,31.0,20.0,6,0,0,0,0,0,0,1,6,2,11
2.0,12.0,15.0,14.0,56.0,22.0,52.0,14.0,32.0,66.0,18.0,18.0,12.0,19.0,25.0,14.0,33.0,51.0,19.0,10.0,26.0,17.0,13.0,23.0,29.0,31.0,20.0,6.0,15,0,0,0,0,0,1,0,15,8,11
12.0,15.0,14.0,56.0,22.0,52.0,14.0,32.0,66.0,18.0,18.0,12.0,19.0,25.0,14.0,33.0,51.0,19.0,10.0,26.0,17.0,13.0,23.0,29.0,31.0,20.0,6.0,15.0,58,0,1,0,0,0,0,0,58,14,11
15.0,14.0,56.0,22.0,52.0,14.0,32.0,66.0,18.0,18.0,12.0,19.0,25.0,14.0,33.0,51.0,19.0,10.0,26.0,17.0,13.0,23.0,29.0,31.0,20.0,6.0,15.0,58.0,44,0,0,0,1,0,0,0,44,20,11
14.0,56.0,22.0,52.0,14.0,32.0,66.0,18.0,18.0,12.0,19.0,25.0,14.0,33.0,51.0,19.0,10.0,26.0,17.0,13.0,23.0,29.0,31.0,20.0,6.0,15.0,58.0,44.0,48,0,0,1,0,0,0,0,48,26,11
56.0,22.0,52.0,14.0,32.0,66.0,18.0,18.0,12.0,19.0,25.0,14.0,33.0,51.0,19.0,10.0,26.0,17.0,13.0,23.0,29.0,31.0,20.0,6.0,15.0,58.0,44.0,48.0,6,1,0,0,0,0,0,0,6,2,12
22.0,52.0,14.0,32.0,66.0,18.0,18.0,12.0,19.0,25.0,14.0,33.0,51.0,19.0,10.0,26.0,17.0,13.0,23.0,29.0,31.0,20.0,6.0,15.0,58.0,44.0,48.0,6.0,16,0,0,0,0,1,0,0,16,8,12
52.0,14.0,32.0,66.0,18.0,18.0,12.0,19.0,25.0,14.0,33.0,51.0,19.0,10.0,26.0,17.0,13.0,23.0,29.0,31.0,20.0,6.0,15.0,58.0,44.0,48.0,6.0,16.0,16,0,0,0,0,0,0,1,16,14,12
14.0,32.0,66.0,18.0,18.0,12.0,19.0,25.0,14.0,33.0,51.0,19.0,10.0,26.0,17.0,13.0,23.0,29.0,31.0,20.0,6.0,15.0,58.0,44.0,48.0,6.0,16.0,16.0,56,0,0,0,0,0,1,0,56,20,12
32.0,66.0,18.0,18.0,12.0,19.0,25.0,14.0,33.0,51.0,19.0,10.0,26.0,17.0,13.0,23.0,29.0,31.0,20.0,6.0,15.0,58.0,44.0,48.0,6.0,16.0,16.0,56.0,55,0,1,0,0,0,0,0,55,26,12
66.0,18.0,18.0,12.0,19.0,25.0,14.0,33.0,51.0,19.0,10.0,26.0,17.0,13.0,23.0,29.0,31.0,20.0,6.0,15.0,58.0,44.0,48.0,6.0,16.0,16.0,56.0,55.0,10,0,0,0,1,0,0,0,10,1,1
18.0,18.0,12.0,19.0,25.0,14.0,33.0,51.0,19.0,10.0,26.0,17.0,13.0,23.0,29.0,31.0,20.0,6.0,15.0,58.0,44.0,48.0,6.0,16.0,16.0,56.0,55.0,10.0,9,0,0,1,0,0,0,0,9,7,1
18.0,12.0,19.0,25.0,14.0,33.0,51.0,19.0,10.0,26.0,17.0,13.0,23.0,29.0,31.0,20.0,6.0,15.0,58.0,44.0,48.0,6.0,16.0,16.0,56.0,55.0,10.0,9.0,13,1,0,0,0,0,0,0,13,13,1
12.0,19.0,25.0,14.0,33.0,51.0,19.0,10.0,26.0,17.0,13.0,23.0,29.0,31.0,20.0,6.0,15.0,58.0,44.0,48.0,6.0,16.0,16.0,56.0,55.0,10.0,9.0,13.0,59,0,0,0,0,1,0,0,59,19,1
19.0,25.0,14.0,33.0,51.0,19.0,10.0,26.0,17.0,13.0,23.0,29.0,31.0,20.0,6.0,15.0,58.0,44.0,48.0,6.0,16.0,16.0,56.0,55.0,10.0,9.0,13.0,59.0,4,0,0,0,0,0,0,1,4,25,1
25.0,14.0,33.0,51.0,19.0,10.0,26.0,17.0,13.0,23.0,29.0,31.0,20.0,6.0,15.0,58.0,44.0,48.0,6.0,16.0,16.0,56.0,55.0,10.0,9.0,13.0,59.0,4.0,29,0,0,0,0,0,1,0,29,31,1
14.0,33.0,51.0,19.0,10.0,26.0,17.0,13.0,23.0,29.0,31.0,20.0,6.0,15.0,58.0,44.0,48.0,6.0,16.0,16.0,56.0,55.0,10.0,9.0,13.0,59.0,4.0,29.0,31,0,1,0,0,0,0,0,31,6,2
33.0,51.0,19.0,10.0,26.0,17.0,13.0,23.0,29.0,31.0,20.0,6.0,15.0,58.0,44.0,48.0,6.0,16.0,16.0,56.0,55.0,10.0,9.0,13.0,59.0,4.0,29.0,31.0,3,0,0,0,1,0,0,0,3,12,2
51.0,19.0,10.0,26.0,17.0,13.0,23.0,29.0,31.0,20.0,6.0,15.0,58.0,44.0,48.0,6.0,16.0,16.0,56.0,55.0,10.0,9.0,13.0,59.0,4.0,29.0,31.0,3.0,16,0,0,1,0,0,0,0,16,18,2
19.0,10.0,26.0,17.0,13.0,23.0,29.0,31.0,20.0,6.0,15.0,58.0,44.0,48.0,6.0,16.0,16.0,56.0,55.0,10.0,9.0,13.0,59.0,4.0,29.0,31.0,3.0,16.0,11,1,0,0,0,0,0,0,11,24,2
10.0,26.0,17.0,13.0,23.0,29.0,31.0,20.0,6.0,15.0,58.0,44.0,48.0,6.0,16.0,16.0,56.0,55.0,10.0,9.0,13.0,59.0,4.0,29.0,31.0,3.0,16.0,11.0,19,0,0,0,0,1,0,0,19,2,3
26.0,17.0,13.0,23.0,29.0,31.0,20.0,6.0,15.0,58.0,44.0,48.0,6.0,16.0,16.0,56.0,55.0,10.0,9.0,13.0,59.0,4.0,29.0,31.0,3.0,16.0,11.0,19.0,60,0,0,0,0,0,0,1,60,8,3
17.0,13.0,23.0,29.0,31.0,20.0,6.0,15.0,58.0,44.0,48.0,6.0,16.0,16.0,56.0,55.0,10.0,9.0,13.0,59.0,4.0,29.0,31.0,3.0,16.0,11.0,19.0,60.0,6,0,0,0,0,0,1,0,6,14,3
