lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
23.0,16.0,9.0,18.0,20.0,28.0,23.0,22.0,24.0,18.0,31.0,13.0,40.0,37.0,33.0,32.0,12.0,34.0,32.0,19.0,39.0,35.0,28.0,42.0,50.0,25.0,28.0,13.0,42,0,0,0,0,0,0,1,42,6,4
16.0,9.0,18.0,20.0,28.0,23.0,22.0,24.0,18.0,31.0,13.0,40.0,37.0,33.0,32.0,12.0,34.0,32.0,19.0,39.0,35.0,28.0,42.0,50.0,25.0,28.0,13.0,42.0,28,0,0,1,0,0,0,0,28,9,4
9.0,18.0,20.0,28.0,23.0,22.0,24.0,18.0,31.0,13.0,40.0,37.0,33.0,32.0,12.0,34.0,32.0,19.0,39.0,35.0,28.0,42.0,50.0,25.0,28.0,13.0,42.0,28.0,15,0,0,0,0,0,1,0,15,12,4
18.0,20.0,28.0,23.0,22.0,24.0,18.0,31.0,13.0,40.0,37.0,33.0,32.0,12.0,34.0,32.0,19.0,39.0,35.0,28.0,42.0,50.0,25.0,28.0,13.0,42.0,28.0,15.0,19,1,0,0,0,0,0,0,19,15,4
20.0,28.0,23.0,22.0,24.0,18.0,31.0,13.0,40.0,37.0,33.0,32.0,12.0,34.0,32.0,19.0,39.0,35.0,28.0,42.0,50.0,25.0,28.0,13.0,42.0,28.0,15.0,19.0,29,0,1,0,0,0,0,0,29,18,4
28.0,23.0,22.0,24.0,18.0,31.0,13.0,40.0,37.0,33.0,32.0,12.0,34.0,32.0,19.0,39.0,35.0,28.0,42.0,50.0,25.0,28.0,13.0,42.0,28.0,15.0,19.0,29.0,39,0,0,0,0,1,0,0,39,21,4
23.0,22.0,24.0,18.0,31.0,13.0,40.0,37.0,33.0,32.0,12.0,34.0,32.0,19.0,39.0,35.0,28.0,42.0,50.0,25.0,28.0,13.0,42.0,28.0,15.0,19.0,29.0,39.0,27,0,0,0,1,0,0,0,27,24,4
22.0,24.0,18.0,31.0,13.0,40.0,37.0,33.0,32.0,12.0,34.0,32.0,19.0,39.0,35.0,28.0,42.0,50.0,25.0,28.0,13.0,42.0,28.0,15.0,19.0,29.0,39.0,27.0,46,0,0,0,0,0,0,1,46,27,4
24.0,18.0,31.0,13.0,40.0,37.0,33.0,32.0,12.0,34.0,32.0,19.0,39.0,35.0,28.0,42.0,50.0,25.0,28.0,13.0,42.0,28.0,15.0,19.0,29.0,39.0,27.0,46.0,38,0,0,1,0,0,0,0,38,30,4
18.0,31.0,13.0,40.0,37.0,33.0,32.0,12.0,34.0,32.0,19.0,39.0,35.0,28.0,42.0,50.0,25.0,28.0,13.0,42.0,28.0,15.0,19.0,29.0,39.0,27.0,46.0,38.0,24,0,0,0,0,0,1,0,24,3,5
31.0,13.0,40.0,37.0,33.0,32.0,12.0,34.0,32.0,19.0,39.0,35.0,28.0,42.0,50.0,25.0,28.0,13.0,42.0,28.0,15.0,19.0,29.0,39.0,27.0,46.0,38.0,24.0,23,1,0,0,0,0,0,0,23,6,5
13.0,40.0,37.0,33.0,32.0,12.0,34.0,32.0,19.0,39.0,35.0,28.0,42.0,50.0,25.0,28.0,13.0,42.0,28.0,15.0,19.0,29.0,39.0,27.0,46.0,38.0,24.0,23.0,35,0,1,0,0,0,0,0,35,9,5
40.0,37.0,33.0,32.0,12.0,34.0,32.0,19.0,39.0,35.0,28.0,42.0,50.0,25.0,28.0,13.0,42.0,28.0,15.0,19.0,29.0,39.0,27.0,46.0,38.0,24.0,23.0,35.0,38,0,0,0,0,1,0,0,38,12,5
37.0,33.0,32.0,12.0,34.0,32.0,19.0,39.0,35.0,28.0,42.0,50.0,25.0,28.0,13.0,42.0,28.0,15.0,19.0,29.0,39.0,27.0,46.0,38.0,24.0,23.0,35.0,38.0,18,0,0,0,1,0,0,0,18,15,5
33.0,32.0,12.0,34.0,32.0,19.0,39.0,35.0,28.0,42.0,50.0,25.0,28.0,13.0,42.0,28.0,15.0,19.0,29.0,39.0,27.0,46.0,38.0,24.0,23.0,35.0,38.0,18.0,30,0,0,0,0,0,0,1,30,18,5
32.0,12.0,34.0,32.0,19.0,39.0,35.0,28.0,42.0,50.0,25.0,28.0,13.0,42.0,28.0,15.0,19.0,29.0,39.0,27.0,46.0,38.0,24.0,23.0,35.0,38.0,18.0,30.0,25,0,0,1,0,0,0,0,25,21,5
12.0,34.0,32.0,19.0,39.0,35.0,28.0,42.0,50.0,25.0,28.0,13.0,42.0,28.0,15.0,19.0,29.0,39.0,27.0,46.0,38.0,24.0,23.0,35.0,38.0,18.0,30.0,25.0,51,0,0,0,0,0,1,0,51,24,5
34.0,32.0,19.0,39.0,35.0,28.0,42.0,50.0,25.0,28.0,13.0,42.0,28.0,15.0,19.0,29.0,39.0,27.0,46.0,38.0,24.0,23.0,35.0,38.0,18.0,30.0,25.0,51.0,40,0,1,0,0,0,0,0,40,30,5
32.0,19.0,39.0,35.0,28.0,42.0,50.0,25.0,28.0,13.0,42.0,28.0,15.0,19.0,29.0,39.0,27.0,46.0,38.0,24.0,23.0,35.0,38.0,18.0,30.0,25.0,51.0,40.0,45,0,0,0,0,1,0,0,45,2,6
19.0,39.0,35.0,28.0,42.0,50.0,25.0,28.0,13.0,42.0,28.0,15.0,19.0,29.0,39.0,27.0,46.0,38.0,24.0,23.0,35.0,38.0,18.0,30.0,25.0,51.0,40.0,45.0,11,0,0,0,1,0,0,0,11,5,6
39.0,35.0,28.0,42.0,50.0,25.0,28.0,13.0,42.0,28.0,15.0,19.0,29.0,39.0,27.0,46.0,38.0,24.0,23.0,35.0,38.0,18.0,30.0,25.0,51.0,40.0,45.0,11.0,23,0,0,0,0,0,0,1,23,8,6
35.0,28.0,42.0,50.0,25.0,28.0,13.0,42.0,28.0,15.0,19.0,29.0,39.0,27.0,46.0,38.0,24.0,23.0,35.0,38.0,18.0,30.0,25.0,51.0,40.0,45.0,11.0,23.0,53,0,0,1,0,0,0,0,53,11,6
28.0,42.0,50.0,25.0,28.0,13.0,42.0,28.0,15.0,19.0,29.0,39.0,27.0,46.0,38.0,24.0,23.0,35.0,38.0,18.0,30.0,25.0,51.0,40.0,45.0,11.0,23.0,53.0,24,0,0,0,0,0,1,0,24,14,6
42.0,50.0,25.0,28.0,13.0,42.0,28.0,15.0,19.0,29.0,39.0,27.0,46.0,38.0,24.0,23.0,35.0,38.0,18.0,30.0,25.0,51.0,40.0,45.0,11.0,23.0,53.0,24.0,51,1,0,0,0,0,0,0,51,17,6
50.0,25.0,28.0,13.0,42.0,28.0,15.0,19.0,29.0,39.0,27.0,46.0,38.0,24.0,23.0,35.0,38.0,18.0,30.0,25.0,51.0,40.0,45.0,11.0,23.0,53.0,24.0,51.0,34,0,1,0,0,0,0,0,34,20,6
