lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
80.0,100.0,64.0,53.0,61.0,57.0,59.0,75.0,75.0,73.0,60.0,71.0,75.0,71.0,81.0,100.0,72.0,65.0,73.0,54.0,68.0,66.0,63.0,61.0,68.0,62.0,72.0,72.0,66,0,0,1,0,0,0,0,66,30,1
100.0,64.0,53.0,61.0,57.0,59.0,75.0,75.0,73.0,60.0,71.0,75.0,71.0,81.0,100.0,72.0,65.0,73.0,54.0,68.0,66.0,63.0,61.0,68.0,62.0,72.0,72.0,66.0,40,0,0,0,1,0,0,0,40,31,1
64.0,53.0,61.0,57.0,59.0,75.0,75.0,73.0,60.0,71.0,75.0,71.0,81.0,100.0,72.0,65.0,73.0,54.0,68.0,66.0,63.0,61.0,68.0,62.0,72.0,72.0,66.0,40.0,47,0,1,0,0,0,0,0,47,1,2
53.0,61.0,57.0,59.0,75.0,75.0,73.0,60.0,71.0,75.0,71.0,81.0,100.0,72.0,65.0,73.0,54.0,68.0,66.0,63.0,61.0,68.0,62.0,72.0,72.0,66.0,40.0,47.0,52,0,0,0,0,0,1,0,52,2,2
61.0,57.0,59.0,75.0,75.0,73.0,60.0,71.0,75.0,71.0,81.0,100.0,72.0,65.0,73.0,54.0,68.0,66.0,63.0,61.0,68.0,62.0,72.0,72.0,66.0,40.0,47.0,52.0,56,0,0,0,0,0,0,1,56,3,2
57.0,59.0,75.0,75.0,73.0,60.0,71.0,75.0,71.0,81.0,100.0,72.0,65.0,73.0,54.0,68.0,66.0,63.0,61.0,68.0,62.0,72.0,72.0,66.0,40.0,47.0,52.0,56.0,58,0,0,0,0,1,0,0,58,4,2
59.0,75.0,75.0,73.0,60.0,71.0,75.0,71.0,81.0,100.0,72.0,65.0,73.0,54.0,68.0,66.0,63.0,61.0,68.0,62.0,72.0,72.0,66.0,40.0,47.0,52.0,56.0,58.0,66,1,0,0,0,0,0,0,66,5,2
75.0,75.0,73.0,60.0,71.0,75.0,71.0,81.0,100.0,72.0,65.0,73.0,54.0,68.0,66.0,63.0,61.0,68.0,62.0,72.0,72.0,66.0,40.0,47.0,52.0,56.0,58.0,66.0,55,0,0,1,0,0,0,0,55,6,2
75.0,73.0,60.0,71.0,75.0,71.0,81.0,100.0,72.0,65.0,73.0,54.0,68.0,66.0,63.0,61.0,68.0,62.0,72.0,72.0,66.0,40.0,47.0,52.0,56.0,58.0,66.0,55.0,65,0,0,0,1,0,0,0,65,7,2
73.0,60.0,71.0,75.0,71.0,81.0,100.0,72.0,65.0,73.0,54.0,68.0,66.0,63.0,61.0,68.0,62.0,72.0,72.0,66.0,40.0,47.0,52.0,56.0,58.0,66.0,55.0,65.0,87,0,1,0,0,0,0,0,87,8,2
60.0,71.0,75.0,71.0,81.0,100.0,72.0,65.0,73.0,54.0,68.0,66.0,63.0,61.0,68.0,62.0,72.0,72.0,66.0,40.0,47.0,52.0,56.0,58.0,66.0,55.0,65.0,87.0,62,0,0,0,0,0,1,0,62,9,2
71.0,75.0,71.0,81.0,100.0,72.0,65.0,73.0,54.0,68.0,66.0,63.0,61.0,68.0,62.0,72.0,72.0,66.0,40.0,47.0,52.0,56.0,58.0,66.0,55.0,65.0,87.0,62.0,68,0,0,0,0,0,0,1,68,10,2
75.0,71.0,81.0,100.0,72.0,65.0,73.0,54.0,68.0,66.0,63.0,61.0,68.0,62.0,72.0,72.0,66.0,40.0,47.0,52.0,56.0,58.0,66.0,55.0,65.0,87.0,62.0,68.0,84,0,0,0,0,1,0,0,84,11,2
71.0,81.0,100.0,72.0,65.0,73.0,54.0,68.0,66.0,63.0,61.0,68.0,62.0,72.0,72.0,66.0,40.0,47.0,52.0,56.0,58.0,66.0,55.0,65.0,87.0,62.0,68.0,84.0,90,1,0,0,0,0,0,0,90,12,2
81.0,100.0,72.0,65.0,73.0,54.0,68.0,66.0,63.0,61.0,68.0,62.0,72.0,72.0,66.0,40.0,47.0,52.0,56.0,58.0,66.0,55.0,65.0,87.0,62.0,68.0,84.0,90.0,113,0,0,1,0,0,0,0,113,13,2
100.0,72.0,65.0,73.0,54.0,68.0,66.0,63.0,61.0,68.0,62.0,72.0,72.0,66.0,40.0,47.0,52.0,56.0,58.0,66.0,55.0,65.0,87.0,62.0,68.0,84.0,90.0,113.0,95,0,0,0,1,0,0,0,95,14,2
72.0,65.0,73.0,54.0,68.0,66.0,63.0,61.0,68.0,62.0,72.0,72.0,66.0,40.0,47.0,52.0,56.0,58.0,66.0,55.0,65.0,87.0,62.0,68.0,84.0,90.0,113.0,95.0,80,0,1,0,0,0,0,0,80,15,2
65.0,73.0,54.0,68.0,66.0,63.0,61.0,68.0,62.0,72.0,72.0,66.0,40.0,47.0,52.0,56.0,58.0,66.0,55.0,65.0,87.0,62.0,68.0,84.0,90.0,113.0,95.0,80.0,63,0,0,0,0,0,1,0,63,16,2
73.0,54.0,68.0,66.0,63.0,61.0,68.0,62.0,72.0,72.0,66.0,40.0,47.0,52.0,56.0,58.0,66.0,55.0,65.0,87.0,62.0,68.0,84.0,90.0,113.0,95.0,80.0,63.0,55,0,0,0,0,0,0,1,55,17,2
54.0,68.0,66.0,63.0,61.0,68.0,62.0,72.0,72.0,66.0,40.0,47.0,52.0,56.0,58.0,66.0,55.0,65.0,87.0,62.0,68.0,84.0,90.0,113.0,95.0,80.0,63.0,55.0,44,0,0,0,0,1,0,0,44,18,2
