lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
36.0,52.0,50.0,31.0,32.0,28.0,24.0,28.0,27.0,33.0,48.0,37.0,34.0,26.0,22.0,29.0,25.0,32.0,19.0,25.0,37.0,37.0,32.0,26.0,28.0,26.0,31.0,32.0,35,0,0,1,0,0,0,0,35,30,1
52.0,50.0,31.0,32.0,28.0,24.0,28.0,27.0,33.0,48.0,37.0,34.0,26.0,22.0,29.0,25.0,32.0,19.0,25.0,37.0,37.0,32.0,26.0,28.0,26.0,31.0,32.0,35.0,33,0,0,0,1,0,0,0,33,31,1
50.0,31.0,32.0,28.0,24.0,28.0,27.0,33.0,48.0,37.0,34.0,26.0,22.0,29.0,25.0,32.0,19.0,25.0,37.0,37.0,32.0,26.0,28.0,26.0,31.0,32.0,35.0,33.0,32,0,1,0,0,0,0,0,32,1,2
31.0,32.0,28.0,24.0,28.0,27.0,33.0,48.0,37.0,34.0,26.0,22.0,29.0,25.0,32.0,19.0,25.0,37.0,37.0,32.0,26.0,28.0,26.0,31.0,32.0,35.0,33.0,32.0,31,0,0,0,0,0,1,0,31,2,2
32.0,28.0,24.0,28.0,27.0,33.0,48.0,37.0,34.0,26.0,22.0,29.0,25.0,32.0,19.0,25.0,37.0,37.0,32.0,26.0,28.0,26.0,31.0,32.0,35.0,33.0,32.0,31.0,41,0,0,0,0,0,0,1,41,3,2
28.0,24.0,28.0,27.0,33.0,48.0,37.0,34.0,26.0,22.0,29.0,25.0,32.0,19.0,25.0,37.0,37.0,32.0,26.0,28.0,26.0,31.0,32.0,35.0,33.0,32.0,31.0,41.0,38,0,0,0,0,1,0,0,38,4,2
24.0,28.0,27.0,33.0,48.0,37.0,34.0,26.0,22.0,29.0,25.0,32.0,19.0,25.0,37.0,37.0,32.0,26.0,28.0,26.0,31.0,32.0,35.0,33.0,32.0,31.0,41.0,38.0,33,1,0,0,0,0,0,0,33,5,2
28.0,27.0,33.0,48.0,37.0,34.0,26.0,22.0,29.0,25.0,32.0,19.0,25.0,37.0,37.0,32.0,26.0,28.0,26.0,31.0,32.0,35.0,33.0,32.0,31.0,41.0,38.0,33.0,34,0,0,1,0,0,0,0,34,6,2
27.0,33.0,48.0,37.0,34.0,26.0,22.0,29.0,25.0,32.0,19.0,25.0,37.0,37.0,32.0,26.0,28.0,26.0,31.0,32.0,35.0,33.0,32.0,31.0,41.0,38.0,33.0,34.0,29,0,0,0,1,0,0,0,29,7,2
33.0,48.0,37.0,34.0,26.0,22.0,29.0,25.0,32.0,19.0,25.0,37.0,37.0,32.0,26.0,28.0,26.0,31.0,32.0,35.0,33.0,32.0,31.0,41.0,38.0,33.0,34.0,29.0,31,0,1,0,0,0,0,0,31,8,2
48.0,37.0,34.0,26.0,22.0,29.0,25.0,32.0,19.0,25.0,37.0,37.0,32.0,26.0,28.0,26.0,31.0,32.0,35.0,33.0,32.0,31.0,41.0,38.0,33.0,34.0,29.0,31.0,38,0,0,0,0,0,1,0,38,9,2
