lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
24.0,22.0,20.0,27.0,30.0,27.0,19.0,24.0,21.0,17.0,25.0,29.0,31.0,24.0,28.0,24.0,30.0,28.0,18.0,23.0,32.0,34.0,23.0,28.0,20.0,21.0,33.0,30.0,31,0,0,1,0,0,0,0,31,30,1
22.0,20.0,27.0,30.0,27.0,19.0,24.0,21.0,17.0,25.0,29.0,31.0,24.0,28.0,24.0,30.0,28.0,18.0,23.0,32.0,34.0,23.0,28.0,20.0,21.0,33.0,30.0,31.0,34,0,0,0,1,0,0,0,34,31,1
20.0,27.0,30.0,27.0,19.0,24.0,21.0,17.0,25.0,29.0,31.0,24.0,28.0,24.0,30.0,28.0,18.0,23.0,32.0,34.0,23.0,28.0,20.0,21.0,33.0,30.0,31.0,34.0,32,0,1,0,0,0,0,0,32,1,2
27.0,30.0,27.0,19.0,24.0,21.0,17.0,25.0,29.0,31.0,24.0,28.0,24.0,30.0,28.0,18.0,23.0,32.0,34.0,23.0,28.0,20.0,21.0,33.0,30.0,31.0,34.0,32.0,25,0,0,0,0,0,1,0,25,2,2
30.0,27.0,19.0,24.0,21.0,17.0,25.0,29.0,31.0,24.0,28.0,24.0,30.0,28.0,18.0,23.0,32.0,34.0,23.0,28.0,20.0,21.0,33.0,30.0,31.0,34.0,32.0,25.0,23,0,0,0,0,0,0,1,23,3,2
27.0,19.0,24.0,21.0,17.0,25.0,29.0,31.0,24.0,28.0,24.0,30.0,28.0,18.0,23.0,32.0,34.0,23.0,28.0,20.0,21.0,33.0,30.0,31.0,34.0,32.0,25.0,23.0,28,0,0,0,0,1,0,0,28,4,2
19.0,24.0,21.0,17.0,25.0,29.0,31.0,24.0,28.0,24.0,30.0,28.0,18.0,23.0,32.0,34.0,23.0,28.0,20.0,21.0,33.0,30.0,31.0,34.0,32.0,25.0,23.0,28.0,25,1,0,0,0,0,0,0,25,5,2
24.0,21.0,17.0,25.0,29.0,31.0,24.0,28.0,24.0,30.0,28.0,18.0,23.0,32.0,34.0,23.0,28.0,20.0,21.0,33.0,30.0,31.0,34.0,32.0,25.0,23.0,28.0,25.0,26,0,0,1,0,0,0,0,26,6,2
21.0,17.0,25.0,29.0,31.0,24.0,28.0,24.0,30.0,28.0,18.0,23.0,32.0,34.0,23.0,28.0,20.0,21.0,33.0,30.0,31.0,34.0,32.0,25.0,23.0,28.0,25.0,26.0,30,0,0,0,1,0,0,0,30,7,2
17.0,25.0,29.0,31.0,24.0,28.0,24.0,30.0,28.0,18.0,23.0,32.0,34.0,23.0,28.0,20.0,21.0,33.0,30.0,31.0,34.0,32.0,25.0,23.0,28.0,25.0,26.0,30.0,31,0,1,0,0,0,0,0,31,8,2
25.0,29.0,31.0,24.0,28.0,24.0,30.0,28.0,18.0,23.0,32.0,34.0,23.0,28.0,20.0,21.0,33.0,30.0,31.0,34.0,32.0,25.0,23.0,28.0,25.0,26.0,30.0,31.0,27,0,0,0,0,0,1,0,27,9,2
29.0,31.0,24.0,28.0,24.0,30.0,28.0,18.0,23.0,32.0,34.0,23.0,28.0,20.0,21.0,33.0,30.0,31.0,34.0,32.0,25.0,23.0,28.0,25.0,26.0,30.0,31.0,27.0,27,0,0,0,0,0,0,1,27,10,2
31.0,24.0,28.0,24.0,30.0,28.0,18.0,23.0,32.0,34.0,23.0,28.0,20.0,21.0,33.0,30.0,31.0,34.0,32.0,25.0,23.0,28.0,25.0,26.0,30.0,31.0,27.0,27.0,29,0,0,0,0,1,0,0,29,11,2
24.0,28.0,24.0,30.0,28.0,18.0,23.0,32.0,34.0,23.0,28.0,20.0,21.0,33.0,30.0,31.0,34.0,32.0,25.0,23.0,28.0,25.0,26.0,30.0,31.0,27.0,27.0,29.0,30,1,0,0,0,0,0,0,30,12,2
28.0,24.0,30.0,28.0,18.0,23.0,32.0,34.0,23.0,28.0,20.0,21.0,33.0,30.0,31.0,34.0,32.0,25.0,23.0,28.0,25.0,26.0,30.0,31.0,27.0,27.0,29.0,30.0,30,0,0,1,0,0,0,0,30,13,2
24.0,30.0,28.0,18.0,23.0,32.0,34.0,23.0,28.0,20.0,21.0,33.0,30.0,31.0,34.0,32.0,25.0,23.0,28.0,25.0,26.0,30.0,31.0,27.0,27.0,29.0,30.0,30.0,26,0,0,0,1,0,0,0,26,14,2
30.0,28.0,18.0,23.0,32.0,34.0,23.0,28.0,20.0,21.0,33.0,30.0,31.0,34.0,32.0,25.0,23.0,28.0,25.0,26.0,30.0,31.0,27.0,27.0,29.0,30.0,30.0,26.0,23,0,1,0,0,0,0,0,23,15,2
28.0,18.0,23.0,32.0,34.0,23.0,28.0,20.0,21.0,33.0,30.0,31.0,34.0,32.0,25.0,23.0,28.0,25.0,26.0,30.0,31.0,27.0,27.0,29.0,30.0,30.0,26.0,23.0,22,0,0,0,0,0,1,0,22,16,2
18.0,23.0,32.0,34.0,23.0,28.0,20.0,21.0,33.0,30.0,31.0,34.0,32.0,25.0,23.0,28.0,25.0,26.0,30.0,31.0,27.0,27.0,29.0,30.0,30.0,26.0,23.0,22.0,38,0,0,0,0,0,0,1,38,17,2
23.0,32.0,34.0,23.0,28.0,20.0,21.0,33.0,30.0,31.0,34.0,32.0,25.0,23.0,28.0,25.0,26.0,30.0,31.0,27.0,27.0,29.0,30.0,30.0,26.0,23.0,22.0,38.0,35,0,0,0,0,1,0,0,35,18,2
32.0,34.0,23.0,28.0,20.0,21.0,33.0,30.0,31.0,34.0,32.0,25.0,23.0,28.0,25.0,26.0,30.0,31.0,27.0,27.0,29.0,30.0,30.0,26.0,23.0,22.0,38.0,35.0,30,1,0,0,0,0,0,0,30,19,2
34.0,23.0,28.0,20.0,21.0,33.0,30.0,31.0,34.0,32.0,25.0,23.0,28.0,25.0,26.0,30.0,31.0,27.0,27.0,29.0,30.0,30.0,26.0,23.0,22.0,38.0,35.0,30.0,34,0,0,1,0,0,0,0,34,20,2
23.0,28.0,20.0,21.0,33.0,30.0,31.0,34.0,32.0,25.0,23.0,28.0,25.0,26.0,30.0,31.0,27.0,27.0,29.0,30.0,30.0,26.0,23.0,22.0,38.0,35.0,30.0,34.0,29,0,0,0,1,0,0,0,29,21,2
28.0,20.0,21.0,33.0,30.0,31.0,34.0,32.0,25.0,23.0,28.0,25.0,26.0,30.0,31.0,27.0,27.0,29.0,30.0,30.0,26.0,23.0,22.0,38.0,35.0,30.0,34.0,29.0,35,0,1,0,0,0,0,0,35,22,2
20.0,21.0,33.0,30.0,31.0,34.0,32.0,25.0,23.0,28.0,25.0,26.0,30.0,31.0,27.0,27.0,29.0,30.0,30.0,26.0,23.0,22.0,38.0,35.0,30.0,34.0,29.0,35.0,34,0,0,0,0,0,1,0,34,23,2
21.0,33.0,30.0,31.0,34.0,32.0,25.0,23.0,28.0,25.0,26.0,30.0,31.0,27.0,27.0,29.0,30.0,30.0,26.0,23.0,22.0,38.0,35.0,30.0,34.0,29.0,35.0,34.0,37,0,0,0,0,0,0,1,37,24,2
33.0,30.0,31.0,34.0,32.0,25.0,23.0,28.0,25.0,26.0,30.0,31.0,27.0,27.0,29.0,30.0,30.0,26.0,23.0,22.0,38.0,35.0,30.0,34.0,29.0,35.0,34.0,37.0,37,0,0,0,0,1,0,0,37,25,2
30.0,31.0,34.0,32.0,25.0,23.0,28.0,25.0,26.0,30.0,31.0,27.0,27.0,29.0,30.0,30.0,26.0,23.0,22.0,38.0,35.0,30.0,34.0,29.0,35.0,34.0,37.0,37.0,43,1,0,0,0,0,0,0,43,26,2
31.0,34.0,32.0,25.0,23.0,28.0,25.0,26.0,30.0,31.0,27.0,27.0,29.0,30.0,30.0,26.0,23.0,22.0,38.0,35.0,30.0,34.0,29.0,35.0,34.0,37.0,37.0,43.0,28,0,0,1,0,0,0,0,28,27,2
34.0,32.0,25.0,23.0,28.0,25.0,26.0,30.0,31.0,27.0,27.0,29.0,30.0,30.0,26.0,23.0,22.0,38.0,35.0,30.0,34.0,29.0,35.0,34.0,37.0,37.0,43.0,28.0,23,0,0,0,1,0,0,0,23,28,2
32.0,25.0,23.0,28.0,25.0,26.0,30.0,31.0,27.0,27.0,29.0,30.0,30.0,26.0,23.0,22.0,38.0,35.0,30.0,34.0,29.0,35.0,34.0,37.0,37.0,43.0,28.0,23.0,30,0,1,0,0,0,0,0,30,29,2
25.0,23.0,28.0,25.0,26.0,30.0,31.0,27.0,27.0,29.0,30.0,30.0,26.0,23.0,22.0,38.0,35.0,30.0,34.0,29.0,35.0,34.0,37.0,37.0,43.0,28.0,23.0,30.0,31,0,0,0,0,0,1,0,31,1,3
23.0,28.0,25.0,26.0,30.0,31.0,27.0,27.0,29.0,30.0,30.0,26.0,23.0,22.0,38.0,35.0,30.0,34.0,29.0,35.0,34.0,37.0,37.0,43.0,28.0,23.0,30.0,31.0,31,0,0,0,0,0,0,1,31,2,3
28.0,25.0,26.0,30.0,31.0,27.0,27.0,29.0,30.0,30.0,26.0,23.0,22.0,38.0,35.0,30.0,34.0,29.0,35.0,34.0,37.0,37.0,43.0,28.0,23.0,30.0,31.0,31.0,22,0,0,0,0,1,0,0,22,3,3
25.0,26.0,30.0,31.0,27.0,27.0,29.0,30.0,30.0,26.0,23.0,22.0,38.0,35.0,30.0,34.0,29.0,35.0,34.0,37.0,37.0,43.0,28.0,23.0,30.0,31.0,31.0,22.0,23,1,0,0,0,0,0,0,23,4,3
26.0,30.0,31.0,27.0,27.0,29.0,30.0,30.0,26.0,23.0,22.0,38.0,35.0,30.0,34.0,29.0,35.0,34.0,37.0,37.0,43.0,28.0,23.0,30.0,31.0,31.0,22.0,23.0,33,0,0,1,0,0,0,0,33,5,3
30.0,31.0,27.0,27.0,29.0,30.0,30.0,26.0,23.0,22.0,38.0,35.0,30.0,34.0,29.0,35.0,34.0,37.0,37.0,43.0,28.0,23.0,30.0,31.0,31.0,22.0,23.0,33.0,36,0,0,0,1,0,0,0,36,6,3
31.0,27.0,27.0,29.0,30.0,30.0,26.0,23.0,22.0,38.0,35.0,30.0,34.0,29.0,35.0,34.0,37.0,37.0,43.0,28.0,23.0,30.0,31.0,31.0,22.0,23.0,33.0,36.0,36,0,1,0,0,0,0,0,36,7,3
27.0,27.0,29.0,30.0,30.0,26.0,23.0,22.0,38.0,35.0,30.0,34.0,29.0,35.0,34.0,37.0,37.0,43.0,28.0,23.0,30.0,31.0,31.0,22.0,23.0,33.0,36.0,36.0,21,0,0,0,0,0,1,0,21,8,3
27.0,29.0,30.0,30.0,26.0,23.0,22.0,38.0,35.0,30.0,34.0,29.0,35.0,34.0,37.0,37.0,43.0,28.0,23.0,30.0,31.0,31.0,22.0,23.0,33.0,36.0,36.0,21.0,26,0,0,0,0,0,0,1,26,9,3
29.0,30.0,30.0,26.0,23.0,22.0,38.0,35.0,30.0,34.0,29.0,35.0,34.0,37.0,37.0,43.0,28.0,23.0,30.0,31.0,31.0,22.0,23.0,33.0,36.0,36.0,21.0,26.0,35,0,0,0,0,1,0,0,35,10,3
30.0,30.0,26.0,23.0,22.0,38.0,35.0,30.0,34.0,29.0,35.0,34.0,37.0,37.0,43.0,28.0,23.0,30.0,31.0,31.0,22.0,23.0,33.0,36.0,36.0,21.0,26.0,35.0,33,1,0,0,0,0,0,0,33,11,3
30.0,26.0,23.0,22.0,38.0,35.0,30.0,34.0,29.0,35.0,34.0,37.0,37.0,43.0,28.0,23.0,30.0,31.0,31.0,22.0,23.0,33.0,36.0,36.0,21.0,26.0,35.0,33.0,32,0,0,1,0,0,0,0,32,12,3
26.0,23.0,22.0,38.0,35.0,30.0,34.0,29.0,35.0,34.0,37.0,37.0,43.0,28.0,23.0,30.0,31.0,31.0,22.0,23.0,33.0,36.0,36.0,21.0,26.0,35.0,33.0,32.0,31,0,0,0,1,0,0,0,31,13,3
23.0,22.0,38.0,35.0,30.0,34.0,29.0,35.0,34.0,37.0,37.0,43.0,28.0,23.0,30.0,31.0,31.0,22.0,23.0,33.0,36.0,36.0,21.0,26.0,35.0,33.0,32.0,31.0,39,0,1,0,0,0,0,0,39,14,3
22.0,38.0,35.0,30.0,34.0,29.0,35.0,34.0,37.0,37.0,43.0,28.0,23.0,30.0,31.0,31.0,22.0,23.0,33.0,36.0,36.0,21.0,26.0,35.0,33.0,32.0,31.0,39.0,38,0,0,0,0,0,1,0,38,15,3
38.0,35.0,30.0,34.0,29.0,35.0,34.0,37.0,37.0,43.0,28.0,23.0,30.0,31.0,31.0,22.0,23.0,33.0,36.0,36.0,21.0,26.0,35.0,33.0,32.0,31.0,39.0,38.0,32,0,0,0,0,0,0,1,32,16,3
35.0,30.0,34.0,29.0,35.0,34.0,37.0,37.0,43.0,28.0,23.0,30.0,31.0,31.0,22.0,23.0,33.0,36.0,36.0,21.0,26.0,35.0,33.0,32.0,31.0,39.0,38.0,32.0,37,0,0,0,0,1,0,0,37,17,3
30.0,34.0,29.0,35.0,34.0,37.0,37.0,43.0,28.0,23.0,30.0,31.0,31.0,22.0,23.0,33.0,36.0,36.0,21.0,26.0,35.0,33.0,32.0,31.0,39.0,38.0,32.0,37.0,39,1,0,0,0,0,0,0,39,18,3
34.0,29.0,35.0,34.0,37.0,37.0,43.0,28.0,23.0,30.0,31.0,31.0,22.0,23.0,33.0,36.0,36.0,21.0,26.0,35.0,33.0,32.0,31.0,39.0,38.0,32.0,37.0,39.0,32,0,0,1,0,0,0,0,32,19,3
29.0,35.0,34.0,37.0,37.0,43.0,28.0,23.0,30.0,31.0,31.0,22.0,23.0,33.0,36.0,36.0,21.0,26.0,35.0,33.0,32.0,31.0,39.0,38.0,32.0,37.0,39.0,32.0,30,0,0,0,1,0,0,0,30,20,3
