lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
51.0,42.0,41.0,41.0,39.0,42.0,40.0,40.0,43.0,45.0,44.0,44.0,43.0,44.0,44.0,43.0,43.0,43.0,44.0,44.0,44.0,47.0,46.0,42.0,44.0,44.0,43.0,45.0,43,0,0,1,0,0,0,0,43,30,1
42.0,41.0,41.0,39.0,42.0,40.0,40.0,43.0,45.0,44.0,44.0,43.0,44.0,44.0,43.0,43.0,43.0,44.0,44.0,44.0,47.0,46.0,42.0,44.0,44.0,43.0,45.0,43.0,44,0,0,0,1,0,0,0,44,31,1
41.0,41.0,39.0,42.0,40.0,40.0,43.0,45.0,44.0,44.0,43.0,44.0,44.0,43.0,43.0,43.0,44.0,44.0,44.0,47.0,46.0,42.0,44.0,44.0,43.0,45.0,43.0,44.0,47,0,1,0,0,0,0,0,47,1,2
41.0,39.0,42.0,40.0,40.0,43.0,45.0,44.0,44.0,43.0,44.0,44.0,43.0,43.0,43.0,44.0,44.0,44.0,47.0,46.0,42.0,44.0,44.0,43.0,45.0,43.0,44.0,47.0,41,0,0,0,0,0,1,0,41,2,2
39.0,42.0,40.0,40.0,43.0,45.0,44.0,44.0,43.0,44.0,44.0,43.0,43.0,43.0,44.0,44.0,44.0,47.0,46.0,42.0,44.0,44.0,43.0,45.0,43.0,44.0,47.0,41.0,42,0,0,0,0,0,0,1,42,3,2
42.0,40.0,40.0,43.0,45.0,44.0,44.0,43.0,44.0,44.0,43.0,43.0,43.0,44.0,44.0,44.0,47.0,46.0,42.0,44.0,44.0,43.0,45.0,43.0,44.0,47.0,41.0,42.0,44,0,0,0,0,1,0,0,44,4,2
40.0,40.0,43.0,45.0,44.0,44.0,43.0,44.0,44.0,43.0,43.0,43.0,44.0,44.0,44.0,47.0,46.0,42.0,44.0,44.0,43.0,45.0,43.0,44.0,47.0,41.0,42.0,44.0,45,1,0,0,0,0,0,0,45,5,2
40.0,43.0,45.0,44.0,44.0,43.0,44.0,44.0,43.0,43.0,43.0,44.0,44.0,44.0,47.0,46.0,42.0,44.0,44.0,43.0,45.0,43.0,44.0,47.0,41.0,42.0,44.0,45.0,47,0,0,1,0,0,0,0,47,6,2
43.0,45.0,44.0,44.0,43.0,44.0,44.0,43.0,43.0,43.0,44.0,44.0,44.0,47.0,46.0,42.0,44.0,44.0,43.0,45.0,43.0,44.0,47.0,41.0,42.0,44.0,45.0,47.0,46,0,0,0,1,0,0,0,46,7,2
45.0,44.0,44.0,43.0,44.0,44.0,43.0,43.0,43.0,44.0,44.0,44.0,47.0,46.0,42.0,44.0,44.0,43.0,45.0,43.0,44.0,47.0,41.0,42.0,44.0,45.0,47.0,46.0,45,0,1,0,0,0,0,0,45,8,2
