lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
27.0,27.0,38.0,41.0,40.0,34.0,32.0,33.0,32.0,36.0,40.0,39.0,40.0,38.0,44.0,37.0,35.0,41.0,39.0,41.0,40.0,36.0,42.0,39.0,35.0,29.0,20.0,37.0,45,0,0,1,0,0,0,0,45,30,1
27.0,38.0,41.0,40.0,34.0,32.0,33.0,32.0,36.0,40.0,39.0,40.0,38.0,44.0,37.0,35.0,41.0,39.0,41.0,40.0,36.0,42.0,39.0,35.0,29.0,20.0,37.0,45.0,40,0,0,0,1,0,0,0,40,31,1
38.0,41.0,40.0,34.0,32.0,33.0,32.0,36.0,40.0,39.0,40.0,38.0,44.0,37.0,35.0,41.0,39.0,41.0,40.0,36.0,42.0,39.0,35.0,29.0,20.0,37.0,45.0,40.0,40,0,1,0,0,0,0,0,40,1,2
41.0,40.0,34.0,32.0,33.0,32.0,36.0,40.0,39.0,40.0,38.0,44.0,37.0,35.0,41.0,39.0,41.0,40.0,36.0,42.0,39.0,35.0,29.0,20.0,37.0,45.0,40.0,40.0,27,0,0,0,0,0,1,0,27,2,2
40.0,34.0,32.0,33.0,32.0,36.0,40.0,39.0,40.0,38.0,44.0,37.0,35.0,41.0,39.0,41.0,40.0,36.0,42.0,39.0,35.0,29.0,20.0,37.0,45.0,40.0,40.0,27.0,31,0,0,0,0,0,0,1,31,3,2
34.0,32.0,33.0,32.0,36.0,40.0,39.0,40.0,38.0,44.0,37.0,35.0,41.0,39.0,41.0,40.0,36.0,42.0,39.0,35.0,29.0,20.0,37.0,45.0,40.0,40.0,27.0,31.0,38,0,0,0,0,1,0,0,38,4,2
32.0,33.0,32.0,36.0,40.0,39.0,40.0,38.0,44.0,37.0,35.0,41.0,39.0,41.0,40.0,36.0,42.0,39.0,35.0,29.0,20.0,37.0,45.0,40.0,40.0,27.0,31.0,38.0,43,1,0,0,0,0,0,0,43,5,2
33.0,32.0,36.0,40.0,39.0,40.0,38.0,44.0,37.0,35.0,41.0,39.0,41.0,40.0,36.0,42.0,39.0,35.0,29.0,20.0,37.0,45.0,40.0,40.0,27.0,31.0,38.0,43.0,42,0,0,1,0,0,0,0,42,6,2
32.0,36.0,40.0,39.0,40.0,38.0,44.0,37.0,35.0,41.0,39.0,41.0,40.0,36.0,42.0,39.0,35.0,29.0,20.0,37.0,45.0,40.0,40.0,27.0,31.0,38.0,43.0,42.0,39,0,0,0,1,0,0,0,39,7,2
36.0,40.0,39.0,40.0,38.0,44.0,37.0,35.0,41.0,39.0,41.0,40.0,36.0,42.0,39.0,35.0,29.0,20.0,37.0,45.0,40.0,40.0,27.0,31.0,38.0,43.0,42.0,39.0,45,0,1,0,0,0,0,0,45,8,2
40.0,39.0,40.0,38.0,44.0,37.0,35.0,41.0,39.0,41.0,40.0,36.0,42.0,39.0,35.0,29.0,20.0,37.0,45.0,40.0,40.0,27.0,31.0,38.0,43.0,42.0,39.0,45.0,40,0,0,0,0,0,1,0,40,9,2
39.0,40.0,38.0,44.0,37.0,35.0,41.0,39.0,41.0,40.0,36.0,42.0,39.0,35.0,29.0,20.0,37.0,45.0,40.0,40.0,27.0,31.0,38.0,43.0,42.0,39.0,45.0,40.0,41,0,0,0,0,0,0,1,41,10,2
40.0,38.0,44.0,37.0,35.0,41.0,39.0,41.0,40.0,36.0,42.0,39.0,35.0,29.0,20.0,37.0,45.0,40.0,40.0,27.0,31.0,38.0,43.0,42.0,39.0,45.0,40.0,41.0,44,0,0,0,0,1,0,0,44,11,2
38.0,44.0,37.0,35.0,41.0,39.0,41.0,40.0,36.0,42.0,39.0,35.0,29.0,20.0,37.0,45.0,40.0,40.0,27.0,31.0,38.0,43.0,42.0,39.0,45.0,40.0,41.0,44.0,45,1,0,0,0,0,0,0,45,12,2
44.0,37.0,35.0,41.0,39.0,41.0,40.0,36.0,42.0,39.0,35.0,29.0,20.0,37.0,45.0,40.0,40.0,27.0,31.0,38.0,43.0,42.0,39.0,45.0,40.0,41.0,44.0,45.0,46,0,0,1,0,0,0,0,46,13,2
37.0,35.0,41.0,39.0,41.0,40.0,36.0,42.0,39.0,35.0,29.0,20.0,37.0,45.0,40.0,40.0,27.0,31.0,38.0,43.0,42.0,39.0,45.0,40.0,41.0,44.0,45.0,46.0,43,0,0,0,1,0,0,0,43,14,2
35.0,41.0,39.0,41.0,40.0,36.0,42.0,39.0,35.0,29.0,20.0,37.0,45.0,40.0,40.0,27.0,31.0,38.0,43.0,42.0,39.0,45.0,40.0,41.0,44.0,45.0,46.0,43.0,43,0,1,0,0,0,0,0,43,15,2
41.0,39.0,41.0,40.0,36.0,42.0,39.0,35.0,29.0,20.0,37.0,45.0,40.0,40.0,27.0,31.0,38.0,43.0,42.0,39.0,45.0,40.0,41.0,44.0,45.0,46.0,43.0,43.0,45,0,0,0,0,0,1,0,45,16,2
