lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
32.0,23.0,20.0,7.0,21.0,20.0,25.0,29.0,12.0,17.0,39.0,25.0,52.0,27.0,37.0,22.0,19.0,19.0,47.0,50.0,20.0,24.0,33.0,43.0,47.0,26.0,25.0,19.0,38,0,0,1,0,0,0,0,38,30,1
23.0,20.0,7.0,21.0,20.0,25.0,29.0,12.0,17.0,39.0,25.0,52.0,27.0,37.0,22.0,19.0,19.0,47.0,50.0,20.0,24.0,33.0,43.0,47.0,26.0,25.0,19.0,38.0,44,0,0,0,1,0,0,0,44,31,1
20.0,7.0,21.0,20.0,25.0,29.0,12.0,17.0,39.0,25.0,52.0,27.0,37.0,22.0,19.0,19.0,47.0,50.0,20.0,24.0,33.0,43.0,47.0,26.0,25.0,19.0,38.0,44.0,42,0,1,0,0,0,0,0,42,1,2
7.0,21.0,20.0,25.0,29.0,12.0,17.0,39.0,25.0,52.0,27.0,37.0,22.0,19.0,19.0,47.0,50.0,20.0,24.0,33.0,43.0,47.0,26.0,25.0,19.0,38.0,44.0,42.0,37,0,0,0,0,0,1,0,37,2,2
21.0,20.0,25.0,29.0,12.0,17.0,39.0,25.0,52.0,27.0,37.0,22.0,19.0,19.0,47.0,50.0,20.0,24.0,33.0,43.0,47.0,26.0,25.0,19.0,38.0,44.0,42.0,37.0,23,0,0,0,0,0,0,1,23,3,2
20.0,25.0,29.0,12.0,17.0,39.0,25.0,52.0,27.0,37.0,22.0,19.0,19.0,47.0,50.0,20.0,24.0,33.0,43.0,47.0,26.0,25.0,19.0,38.0,44.0,42.0,37.0,23.0,10,0,0,0,0,1,0,0,10,4,2
25.0,29.0,12.0,17.0,39.0,25.0,52.0,27.0,37.0,22.0,19.0,19.0,47.0,50.0,20.0,24.0,33.0,43.0,47.0,26.0,25.0,19.0,38.0,44.0,42.0,37.0,23.0,10.0,11,1,0,0,0,0,0,0,11,5,2
29.0,12.0,17.0,39.0,25.0,52.0,27.0,37.0,22.0,19.0,19.0,47.0,50.0,20.0,24.0,33.0,43.0,47.0,26.0,25.0,19.0,38.0,44.0,42.0,37.0,23.0,10.0,11.0,19,0,0,1,0,0,0,0,19,6,2
12.0,17.0,39.0,25.0,52.0,27.0,37.0,22.0,19.0,19.0,47.0,50.0,20.0,24.0,33.0,43.0,47.0,26.0,25.0,19.0,38.0,44.0,42.0,37.0,23.0,10.0,11.0,19.0,36,0,0,0,1,0,0,0,36,7,2
17.0,39.0,25.0,52.0,27.0,37.0,22.0,19.0,19.0,47.0,50.0,20.0,24.0,33.0,43.0,47.0,26.0,25.0,19.0,38.0,44.0,42.0,37.0,23.0,10.0,11.0,19.0,36.0,23,0,1,0,0,0,0,0,23,8,2
