lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
31.0,27.0,26.0,23.0,28.0,28.0,31.0,20.0,18.0,20.0,26.0,23.0,37.0,43.0,29.0,34.0,22.0,24.0,46.0,57.0,13.0,39.0,33.0,38.0,38.0,30.0,32.0,29.0,35,0,0,1,0,0,0,0,35,30,1
27.0,26.0,23.0,28.0,28.0,31.0,20.0,18.0,20.0,26.0,23.0,37.0,43.0,29.0,34.0,22.0,24.0,46.0,57.0,13.0,39.0,33.0,38.0,38.0,30.0,32.0,29.0,35.0,40,0,0,0,1,0,0,0,40,31,1
26.0,23.0,28.0,28.0,31.0,20.0,18.0,20.0,26.0,23.0,37.0,43.0,29.0,34.0,22.0,24.0,46.0,57.0,13.0,39.0,33.0,38.0,38.0,30.0,32.0,29.0,35.0,40.0,49,0,1,0,0,0,0,0,49,1,2
23.0,28.0,28.0,31.0,20.0,18.0,20.0,26.0,23.0,37.0,43.0,29.0,34.0,22.0,24.0,46.0,57.0,13.0,39.0,33.0,38.0,38.0,30.0,32.0,29.0,35.0,40.0,49.0,38,0,0,0,0,0,1,0,38,2,2
28.0,28.0,31.0,20.0,18.0,20.0,26.0,23.0,37.0,43.0,29.0,34.0,22.0,24.0,46.0,57.0,13.0,39.0,33.0,38.0,38.0,30.0,32.0,29.0,35.0,40.0,49.0,38.0,30,0,0,0,0,0,0,1,30,3,2
28.0,31.0,20.0,18.0,20.0,26.0,23.0,37.0,43.0,29.0,34.0,22.0,24.0,46.0,57.0,13.0,39.0,33.0,38.0,38.0,30.0,32.0,29.0,35.0,40.0,49.0,38.0,30.0,22,0,0,0,0,1,0,0,22,4,2
31.0,20.0,18.0,20.0,26.0,23.0,37.0,43.0,29.0,34.0,22.0,24.0,46.0,57.0,13.0,39.0,33.0,38.0,38.0,30.0,32.0,29.0,35.0,40.0,49.0,38.0,30.0,22.0,23,1,0,0,0,0,0,0,23,5,2
20.0,18.0,20.0,26.0,23.0,37.0,43.0,29.0,34.0,22.0,24.0,46.0,57.0,13.0,39.0,33.0,38.0,38.0,30.0,32.0,29.0,35.0,40.0,49.0,38.0,30.0,22.0,23.0,28,0,0,1,0,0,0,0,28,6,2
18.0,20.0,26.0,23.0,37.0,43.0,29.0,34.0,22.0,24.0,46.0,57.0,13.0,39.0,33.0,38.0,38.0,30.0,32.0,29.0,35.0,40.0,49.0,38.0,30.0,22.0,23.0,28.0,31,0,0,0,1,0,0,0,31,7,2
20.0,26.0,23.0,37.0,43.0,29.0,34.0,22.0,24.0,46.0,57.0,13.0,39.0,33.0,38.0,38.0,30.0,32.0,29.0,35.0,40.0,49.0,38.0,30.0,22.0,23.0,28.0,31.0,30,0,1,0,0,0,0,0,30,8,2
26.0,23.0,37.0,43.0,29.0,34.0,22.0,24.0,46.0,57.0,13.0,39.0,33.0,38.0,38.0,30.0,32.0,29.0,35.0,40.0,49.0,38.0,30.0,22.0,23.0,28.0,31.0,30.0,26,0,0,0,0,0,1,0,26,9,2
23.0,37.0,43.0,29.0,34.0,22.0,24.0,46.0,57.0,13.0,39.0,33.0,38.0,38.0,30.0,32.0,29.0,35.0,40.0,49.0,38.0,30.0,22.0,23.0,28.0,31.0,30.0,26.0,32,0,0,0,0,0,0,1,32,10,2
37.0,43.0,29.0,34.0,22.0,24.0,46.0,57.0,13.0,39.0,33.0,38.0,38.0,30.0,32.0,29.0,35.0,40.0,49.0,38.0,30.0,22.0,23.0,28.0,31.0,30.0,26.0,32.0,42,0,0,0,0,1,0,0,42,11,2
43.0,29.0,34.0,22.0,24.0,46.0,57.0,13.0,39.0,33.0,38.0,38.0,30.0,32.0,29.0,35.0,40.0,49.0,38.0,30.0,22.0,23.0,28.0,31.0,30.0,26.0,32.0,42.0,49,1,0,0,0,0,0,0,49,12,2
29.0,34.0,22.0,24.0,46.0,57.0,13.0,39.0,33.0,38.0,38.0,30.0,32.0,29.0,35.0,40.0,49.0,38.0,30.0,22.0,23.0,28.0,31.0,30.0,26.0,32.0,42.0,49.0,45,0,0,1,0,0,0,0,45,13,2
34.0,22.0,24.0,46.0,57.0,13.0,39.0,33.0,38.0,38.0,30.0,32.0,29.0,35.0,40.0,49.0,38.0,30.0,22.0,23.0,28.0,31.0,30.0,26.0,32.0,42.0,49.0,45.0,39,0,0,0,1,0,0,0,39,14,2
22.0,24.0,46.0,57.0,13.0,39.0,33.0,38.0,38.0,30.0,32.0,29.0,35.0,40.0,49.0,38.0,30.0,22.0,23.0,28.0,31.0,30.0,26.0,32.0,42.0,49.0,45.0,39.0,49,0,1,0,0,0,0,0,49,15,2
24.0,46.0,57.0,13.0,39.0,33.0,38.0,38.0,30.0,32.0,29.0,35.0,40.0,49.0,38.0,30.0,22.0,23.0,28.0,31.0,30.0,26.0,32.0,42.0,49.0,45.0,39.0,49.0,23,0,0,0,0,0,1,0,23,16,2
46.0,57.0,13.0,39.0,33.0,38.0,38.0,30.0,32.0,29.0,35.0,40.0,49.0,38.0,30.0,22.0,23.0,28.0,31.0,30.0,26.0,32.0,42.0,49.0,45.0,39.0,49.0,23.0,29,0,0,0,0,0,0,1,29,17,2
