lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
19.0,23.0,18.0,33.0,37.0,22.0,24.0,47.0,21.0,43.0,15.0,33.0,28.0,66.0,30.0,27.0,54.0,25.0,33.0,62.0,25.0,41.0,33.0,29.0,62.0,27.0,122.0,26.0,41,0,1,0,0,0,0,0,41,28,3
23.0,18.0,33.0,37.0,22.0,24.0,47.0,21.0,43.0,15.0,33.0,28.0,66.0,30.0,27.0,54.0,25.0,33.0,62.0,25.0,41.0,33.0,29.0,62.0,27.0,122.0,26.0,41.0,20,0,0,0,0,1,0,0,20,31,3
18.0,33.0,37.0,22.0,24.0,47.0,21.0,43.0,15.0,33.0,28.0,66.0,30.0,27.0,54.0,25.0,33.0,62.0,25.0,41.0,33.0,29.0,62.0,27.0,122.0,26.0,41.0,20.0,18,0,0,0,1,0,0,0,18,3,4
33.0,37.0,22.0,24.0,47.0,21.0,43.0,15.0,33.0,28.0,66.0,30.0,27.0,54.0,25.0,33.0,62.0,25.0,41.0,33.0,29.0,62.0,27.0,122.0,26.0,41.0,20.0,18.0,32,0,0,0,0,0,0,1,32,6,4
37.0,22.0,24.0,47.0,21.0,43.0,15.0,33.0,28.0,66.0,30.0,27.0,54.0,25.0,33.0,62.0,25.0,41.0,33.0,29.0,62.0,27.0,122.0,26.0,41.0,20.0,18.0,32.0,39,0,0,1,0,0,0,0,39,9,4
22.0,24.0,47.0,21.0,43.0,15.0,33.0,28.0,66.0,30.0,27.0,54.0,25.0,33.0,62.0,25.0,41.0,33.0,29.0,62.0,27.0,122.0,26.0,41.0,20.0,18.0,32.0,39.0,40,0,0,0,0,0,1,0,40,12,4
24.0,47.0,21.0,43.0,15.0,33.0,28.0,66.0,30.0,27.0,54.0,25.0,33.0,62.0,25.0,41.0,33.0,29.0,62.0,27.0,122.0,26.0,41.0,20.0,18.0,32.0,39.0,40.0,23,1,0,0,0,0,0,0,23,15,4
47.0,21.0,43.0,15.0,33.0,28.0,66.0,30.0,27.0,54.0,25.0,33.0,62.0,25.0,41.0,33.0,29.0,62.0,27.0,122.0,26.0,41.0,20.0,18.0,32.0,39.0,40.0,23.0,36,0,1,0,0,0,0,0,36,18,4
21.0,43.0,15.0,33.0,28.0,66.0,30.0,27.0,54.0,25.0,33.0,62.0,25.0,41.0,33.0,29.0,62.0,27.0,122.0,26.0,41.0,20.0,18.0,32.0,39.0,40.0,23.0,36.0,33,0,0,0,0,1,0,0,33,21,4
43.0,15.0,33.0,28.0,66.0,30.0,27.0,54.0,25.0,33.0,62.0,25.0,41.0,33.0,29.0,62.0,27.0,122.0,26.0,41.0,20.0,18.0,32.0,39.0,40.0,23.0,36.0,33.0,32,0,0,0,1,0,0,0,32,24,4
