lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
104.0,86.0,83.0,81.0,60.0,69.0,78.0,85.0,45.0,57.0,87.0,82.0,50.0,55.0,92.0,96.0,68.0,66.0,53.0,65.0,67.0,73.0,62.0,58.0,74.0,82.0,49.0,55.0,58,0,0,1,0,0,0,0,58,30,1
86.0,83.0,81.0,60.0,69.0,78.0,85.0,45.0,57.0,87.0,82.0,50.0,55.0,92.0,96.0,68.0,66.0,53.0,65.0,67.0,73.0,62.0,58.0,74.0,82.0,49.0,55.0,58.0,60,0,0,0,1,0,0,0,60,31,1
83.0,81.0,60.0,69.0,78.0,85.0,45.0,57.0,87.0,82.0,50.0,55.0,92.0,96.0,68.0,66.0,53.0,65.0,67.0,73.0,62.0,58.0,74.0,82.0,49.0,55.0,58.0,60.0,54,0,1,0,0,0,0,0,54,1,2
81.0,60.0,69.0,78.0,85.0,45.0,57.0,87.0,82.0,50.0,55.0,92.0,96.0,68.0,66.0,53.0,65.0,67.0,73.0,62.0,58.0,74.0,82.0,49.0,55.0,58.0,60.0,54.0,66,0,0,0,0,0,1,0,66,2,2
60.0,69.0,78.0,85.0,45.0,57.0,87.0,82.0,50.0,55.0,92.0,96.0,68.0,66.0,53.0,65.0,67.0,73.0,62.0,58.0,74.0,82.0,49.0,55.0,58.0,60.0,54.0,66.0,49,0,0,0,0,0,0,1,49,3,2
69.0,78.0,85.0,45.0,57.0,87.0,82.0,50.0,55.0,92.0,96.0,68.0,66.0,53.0,65.0,67.0,73.0,62.0,58.0,74.0,82.0,49.0,55.0,58.0,60.0,54.0,66.0,49.0,63,0,0,0,0,1,0,0,63,4,2
78.0,85.0,45.0,57.0,87.0,82.0,50.0,55.0,92.0,96.0,68.0,66.0,53.0,65.0,67.0,73.0,62.0,58.0,74.0,82.0,49.0,55.0,58.0,60.0,54.0,66.0,49.0,63.0,68,1,0,0,0,0,0,0,68,5,2
85.0,45.0,57.0,87.0,82.0,50.0,55.0,92.0,96.0,68.0,66.0,53.0,65.0,67.0,73.0,62.0,58.0,74.0,82.0,49.0,55.0,58.0,60.0,54.0,66.0,49.0,63.0,68.0,27,0,0,1,0,0,0,0,27,6,2
45.0,57.0,87.0,82.0,50.0,55.0,92.0,96.0,68.0,66.0,53.0,65.0,67.0,73.0,62.0,58.0,74.0,82.0,49.0,55.0,58.0,60.0,54.0,66.0,49.0,63.0,68.0,27.0,67,0,0,0,1,0,0,0,67,7,2
57.0,87.0,82.0,50.0,55.0,92.0,96.0,68.0,66.0,53.0,65.0,67.0,73.0,62.0,58.0,74.0,82.0,49.0,55.0,58.0,60.0,54.0,66.0,49.0,63.0,68.0,27.0,67.0,67,0,1,0,0,0,0,0,67,8,2
87.0,82.0,50.0,55.0,92.0,96.0,68.0,66.0,53.0,65.0,67.0,73.0,62.0,58.0,74.0,82.0,49.0,55.0,58.0,60.0,54.0,66.0,49.0,63.0,68.0,27.0,67.0,67.0,58,0,0,0,0,0,1,0,58,9,2
82.0,50.0,55.0,92.0,96.0,68.0,66.0,53.0,65.0,67.0,73.0,62.0,58.0,74.0,82.0,49.0,55.0,58.0,60.0,54.0,66.0,49.0,63.0,68.0,27.0,67.0,67.0,58.0,59,0,0,0,0,0,0,1,59,10,2
50.0,55.0,92.0,96.0,68.0,66.0,53.0,65.0,67.0,73.0,62.0,58.0,74.0,82.0,49.0,55.0,58.0,60.0,54.0,66.0,49.0,63.0,68.0,27.0,67.0,67.0,58.0,59.0,69,0,0,0,0,1,0,0,69,11,2
55.0,92.0,96.0,68.0,66.0,53.0,65.0,67.0,73.0,62.0,58.0,74.0,82.0,49.0,55.0,58.0,60.0,54.0,66.0,49.0,63.0,68.0,27.0,67.0,67.0,58.0,59.0,69.0,59,1,0,0,0,0,0,0,59,12,2
92.0,96.0,68.0,66.0,53.0,65.0,67.0,73.0,62.0,58.0,74.0,82.0,49.0,55.0,58.0,60.0,54.0,66.0,49.0,63.0,68.0,27.0,67.0,67.0,58.0,59.0,69.0,59.0,31,0,0,1,0,0,0,0,31,13,2
96.0,68.0,66.0,53.0,65.0,67.0,73.0,62.0,58.0,74.0,82.0,49.0,55.0,58.0,60.0,54.0,66.0,49.0,63.0,68.0,27.0,67.0,67.0,58.0,59.0,69.0,59.0,31.0,63,0,0,0,1,0,0,0,63,14,2
68.0,66.0,53.0,65.0,67.0,73.0,62.0,58.0,74.0,82.0,49.0,55.0,58.0,60.0,54.0,66.0,49.0,63.0,68.0,27.0,67.0,67.0,58.0,59.0,69.0,59.0,31.0,63.0,30,0,1,0,0,0,0,0,30,15,2
66.0,53.0,65.0,67.0,73.0,62.0,58.0,74.0,82.0,49.0,55.0,58.0,60.0,54.0,66.0,49.0,63.0,68.0,27.0,67.0,67.0,58.0,59.0,69.0,59.0,31.0,63.0,30.0,51,0,0,0,0,0,1,0,51,16,2
53.0,65.0,67.0,73.0,62.0,58.0,74.0,82.0,49.0,55.0,58.0,60.0,54.0,66.0,49.0,63.0,68.0,27.0,67.0,67.0,58.0,59.0,69.0,59.0,31.0,63.0,30.0,51.0,55,0,0,0,0,0,0,1,55,17,2
65.0,67.0,73.0,62.0,58.0,74.0,82.0,49.0,55.0,58.0,60.0,54.0,66.0,49.0,63.0,68.0,27.0,67.0,67.0,58.0,59.0,69.0,59.0,31.0,63.0,30.0,51.0,55.0,33,0,0,0,0,1,0,0,33,18,2
