lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
33.0,32.0,31.0,31.0,32.0,38.0,33.0,30.0,28.0,31.0,33.0,33.0,44.0,39.0,24.0,29.0,30.0,28.0,22.0,25.0,25.0,33.0,40.0,41.0,36.0,33.0,36.0,33.0,45,0,0,1,0,0,0,0,45,30,1
32.0,31.0,31.0,32.0,38.0,33.0,30.0,28.0,31.0,33.0,33.0,44.0,39.0,24.0,29.0,30.0,28.0,22.0,25.0,25.0,33.0,40.0,41.0,36.0,33.0,36.0,33.0,45.0,44,0,0,0,1,0,0,0,44,31,1
31.0,31.0,32.0,38.0,33.0,30.0,28.0,31.0,33.0,33.0,44.0,39.0,24.0,29.0,30.0,28.0,22.0,25.0,25.0,33.0,40.0,41.0,36.0,33.0,36.0,33.0,45.0,44.0,34,0,1,0,0,0,0,0,34,1,2
31.0,32.0,38.0,33.0,30.0,28.0,31.0,33.0,33.0,44.0,39.0,24.0,29.0,30.0,28.0,22.0,25.0,25.0,33.0,40.0,41.0,36.0,33.0,36.0,33.0,45.0,44.0,34.0,36,0,0,0,0,0,1,0,36,2,2
32.0,38.0,33.0,30.0,28.0,31.0,33.0,33.0,44.0,39.0,24.0,29.0,30.0,28.0,22.0,25.0,25.0,33.0,40.0,41.0,36.0,33.0,36.0,33.0,45.0,44.0,34.0,36.0,41,0,0,0,0,0,0,1,41,3,2
38.0,33.0,30.0,28.0,31.0,33.0,33.0,44.0,39.0,24.0,29.0,30.0,28.0,22.0,25.0,25.0,33.0,40.0,41.0,36.0,33.0,36.0,33.0,45.0,44.0,34.0,36.0,41.0,31,0,0,0,0,1,0,0,31,4,2
33.0,30.0,28.0,31.0,33.0,33.0,44.0,39.0,24.0,29.0,30.0,28.0,22.0,25.0,25.0,33.0,40.0,41.0,36.0,33.0,36.0,33.0,45.0,44.0,34.0,36.0,41.0,31.0,38,1,0,0,0,0,0,0,38,5,2
30.0,28.0,31.0,33.0,33.0,44.0,39.0,24.0,29.0,30.0,28.0,22.0,25.0,25.0,33.0,40.0,41.0,36.0,33.0,36.0,33.0,45.0,44.0,34.0,36.0,41.0,31.0,38.0,43,0,0,1,0,0,0,0,43,6,2
28.0,31.0,33.0,33.0,44.0,39.0,24.0,29.0,30.0,28.0,22.0,25.0,25.0,33.0,40.0,41.0,36.0,33.0,36.0,33.0,45.0,44.0,34.0,36.0,41.0,31.0,38.0,43.0,45,0,0,0,1,0,0,0,45,7,2
31.0,33.0,33.0,44.0,39.0,24.0,29.0,30.0,28.0,22.0,25.0,25.0,33.0,40.0,41.0,36.0,33.0,36.0,33.0,45.0,44.0,34.0,36.0,41.0,31.0,38.0,43.0,45.0,38,0,1,0,0,0,0,0,38,8,2
33.0,33.0,44.0,39.0,24.0,29.0,30.0,28.0,22.0,25.0,25.0,33.0,40.0,41.0,36.0,33.0,36.0,33.0,45.0,44.0,34.0,36.0,41.0,31.0,38.0,43.0,45.0,38.0,25,0,0,0,0,0,1,0,25,9,2
33.0,44.0,39.0,24.0,29.0,30.0,28.0,22.0,25.0,25.0,33.0,40.0,41.0,36.0,33.0,36.0,33.0,45.0,44.0,34.0,36.0,41.0,31.0,38.0,43.0,45.0,38.0,25.0,32,0,0,0,0,0,0,1,32,10,2
44.0,39.0,24.0,29.0,30.0,28.0,22.0,25.0,25.0,33.0,40.0,41.0,36.0,33.0,36.0,33.0,45.0,44.0,34.0,36.0,41.0,31.0,38.0,43.0,45.0,38.0,25.0,32.0,35,0,0,0,0,1,0,0,35,11,2
39.0,24.0,29.0,30.0,28.0,22.0,25.0,25.0,33.0,40.0,41.0,36.0,33.0,36.0,33.0,45.0,44.0,34.0,36.0,41.0,31.0,38.0,43.0,45.0,38.0,25.0,32.0,35.0,33,1,0,0,0,0,0,0,33,12,2
24.0,29.0,30.0,28.0,22.0,25.0,25.0,33.0,40.0,41.0,36.0,33.0,36.0,33.0,45.0,44.0,34.0,36.0,41.0,31.0,38.0,43.0,45.0,38.0,25.0,32.0,35.0,33.0,35,0,0,1,0,0,0,0,35,13,2
29.0,30.0,28.0,22.0,25.0,25.0,33.0,40.0,41.0,36.0,33.0,36.0,33.0,45.0,44.0,34.0,36.0,41.0,31.0,38.0,43.0,45.0,38.0,25.0,32.0,35.0,33.0,35.0,33,0,0,0,1,0,0,0,33,14,2
30.0,28.0,22.0,25.0,25.0,33.0,40.0,41.0,36.0,33.0,36.0,33.0,45.0,44.0,34.0,36.0,41.0,31.0,38.0,43.0,45.0,38.0,25.0,32.0,35.0,33.0,35.0,33.0,31,0,1,0,0,0,0,0,31,15,2
28.0,22.0,25.0,25.0,33.0,40.0,41.0,36.0,33.0,36.0,33.0,45.0,44.0,34.0,36.0,41.0,31.0,38.0,43.0,45.0,38.0,25.0,32.0,35.0,33.0,35.0,33.0,31.0,29,0,0,0,0,0,1,0,29,16,2
22.0,25.0,25.0,33.0,40.0,41.0,36.0,33.0,36.0,33.0,45.0,44.0,34.0,36.0,41.0,31.0,38.0,43.0,45.0,38.0,25.0,32.0,35.0,33.0,35.0,33.0,31.0,29.0,23,0,0,0,0,0,0,1,23,17,2
25.0,25.0,33.0,40.0,41.0,36.0,33.0,36.0,33.0,45.0,44.0,34.0,36.0,41.0,31.0,38.0,43.0,45.0,38.0,25.0,32.0,35.0,33.0,35.0,33.0,31.0,29.0,23.0,30,0,0,0,0,1,0,0,30,18,2
25.0,33.0,40.0,41.0,36.0,33.0,36.0,33.0,45.0,44.0,34.0,36.0,41.0,31.0,38.0,43.0,45.0,38.0,25.0,32.0,35.0,33.0,35.0,33.0,31.0,29.0,23.0,30.0,45,1,0,0,0,0,0,0,45,19,2
33.0,40.0,41.0,36.0,33.0,36.0,33.0,45.0,44.0,34.0,36.0,41.0,31.0,38.0,43.0,45.0,38.0,25.0,32.0,35.0,33.0,35.0,33.0,31.0,29.0,23.0,30.0,45.0,43,0,0,1,0,0,0,0,43,20,2
40.0,41.0,36.0,33.0,36.0,33.0,45.0,44.0,34.0,36.0,41.0,31.0,38.0,43.0,45.0,38.0,25.0,32.0,35.0,33.0,35.0,33.0,31.0,29.0,23.0,30.0,45.0,43.0,38,0,0,0,1,0,0,0,38,21,2
41.0,36.0,33.0,36.0,33.0,45.0,44.0,34.0,36.0,41.0,31.0,38.0,43.0,45.0,38.0,25.0,32.0,35.0,33.0,35.0,33.0,31.0,29.0,23.0,30.0,45.0,43.0,38.0,27,0,1,0,0,0,0,0,27,22,2
36.0,33.0,36.0,33.0,45.0,44.0,34.0,36.0,41.0,31.0,38.0,43.0,45.0,38.0,25.0,32.0,35.0,33.0,35.0,33.0,31.0,29.0,23.0,30.0,45.0,43.0,38.0,27.0,31,0,0,0,0,0,1,0,31,23,2
33.0,36.0,33.0,45.0,44.0,34.0,36.0,41.0,31.0,38.0,43.0,45.0,38.0,25.0,32.0,35.0,33.0,35.0,33.0,31.0,29.0,23.0,30.0,45.0,43.0,38.0,27.0,31.0,37,0,0,0,0,0,0,1,37,24,2
36.0,33.0,45.0,44.0,34.0,36.0,41.0,31.0,38.0,43.0,45.0,38.0,25.0,32.0,35.0,33.0,35.0,33.0,31.0,29.0,23.0,30.0,45.0,43.0,38.0,27.0,31.0,37.0,30,0,0,0,0,1,0,0,30,25,2
33.0,45.0,44.0,34.0,36.0,41.0,31.0,38.0,43.0,45.0,38.0,25.0,32.0,35.0,33.0,35.0,33.0,31.0,29.0,23.0,30.0,45.0,43.0,38.0,27.0,31.0,37.0,30.0,34,1,0,0,0,0,0,0,34,26,2
45.0,44.0,34.0,36.0,41.0,31.0,38.0,43.0,45.0,38.0,25.0,32.0,35.0,33.0,35.0,33.0,31.0,29.0,23.0,30.0,45.0,43.0,38.0,27.0,31.0,37.0,30.0,34.0,39,0,0,1,0,0,0,0,39,27,2
44.0,34.0,36.0,41.0,31.0,38.0,43.0,45.0,38.0,25.0,32.0,35.0,33.0,35.0,33.0,31.0,29.0,23.0,30.0,45.0,43.0,38.0,27.0,31.0,37.0,30.0,34.0,39.0,49,0,0,0,1,0,0,0,49,28,2
34.0,36.0,41.0,31.0,38.0,43.0,45.0,38.0,25.0,32.0,35.0,33.0,35.0,33.0,31.0,29.0,23.0,30.0,45.0,43.0,38.0,27.0,31.0,37.0,30.0,34.0,39.0,49.0,41,0,1,0,0,0,0,0,41,29,2
36.0,41.0,31.0,38.0,43.0,45.0,38.0,25.0,32.0,35.0,33.0,35.0,33.0,31.0,29.0,23.0,30.0,45.0,43.0,38.0,27.0,31.0,37.0,30.0,34.0,39.0,49.0,41.0,44,0,0,0,0,0,1,0,44,1,3
41.0,31.0,38.0,43.0,45.0,38.0,25.0,32.0,35.0,33.0,35.0,33.0,31.0,29.0,23.0,30.0,45.0,43.0,38.0,27.0,31.0,37.0,30.0,34.0,39.0,49.0,41.0,44.0,37,0,0,0,0,0,0,1,37,2,3
31.0,38.0,43.0,45.0,38.0,25.0,32.0,35.0,33.0,35.0,33.0,31.0,29.0,23.0,30.0,45.0,43.0,38.0,27.0,31.0,37.0,30.0,34.0,39.0,49.0,41.0,44.0,37.0,29,0,0,0,0,1,0,0,29,3,3
38.0,43.0,45.0,38.0,25.0,32.0,35.0,33.0,35.0,33.0,31.0,29.0,23.0,30.0,45.0,43.0,38.0,27.0,31.0,37.0,30.0,34.0,39.0,49.0,41.0,44.0,37.0,29.0,21,1,0,0,0,0,0,0,21,4,3
43.0,45.0,38.0,25.0,32.0,35.0,33.0,35.0,33.0,31.0,29.0,23.0,30.0,45.0,43.0,38.0,27.0,31.0,37.0,30.0,34.0,39.0,49.0,41.0,44.0,37.0,29.0,21.0,26,0,0,1,0,0,0,0,26,5,3
45.0,38.0,25.0,32.0,35.0,33.0,35.0,33.0,31.0,29.0,23.0,30.0,45.0,43.0,38.0,27.0,31.0,37.0,30.0,34.0,39.0,49.0,41.0,44.0,37.0,29.0,21.0,26.0,33,0,0,0,1,0,0,0,33,6,3
38.0,25.0,32.0,35.0,33.0,35.0,33.0,31.0,29.0,23.0,30.0,45.0,43.0,38.0,27.0,31.0,37.0,30.0,34.0,39.0,49.0,41.0,44.0,37.0,29.0,21.0,26.0,33.0,42,0,1,0,0,0,0,0,42,7,3
25.0,32.0,35.0,33.0,35.0,33.0,31.0,29.0,23.0,30.0,45.0,43.0,38.0,27.0,31.0,37.0,30.0,34.0,39.0,49.0,41.0,44.0,37.0,29.0,21.0,26.0,33.0,42.0,54,0,0,0,0,0,1,0,54,8,3
32.0,35.0,33.0,35.0,33.0,31.0,29.0,23.0,30.0,45.0,43.0,38.0,27.0,31.0,37.0,30.0,34.0,39.0,49.0,41.0,44.0,37.0,29.0,21.0,26.0,33.0,42.0,54.0,49,0,0,0,0,0,0,1,49,9,3
35.0,33.0,35.0,33.0,31.0,29.0,23.0,30.0,45.0,43.0,38.0,27.0,31.0,37.0,30.0,34.0,39.0,49.0,41.0,44.0,37.0,29.0,21.0,26.0,33.0,42.0,54.0,49.0,47,0,0,0,0,1,0,0,47,10,3
33.0,35.0,33.0,31.0,29.0,23.0,30.0,45.0,43.0,38.0,27.0,31.0,37.0,30.0,34.0,39.0,49.0,41.0,44.0,37.0,29.0,21.0,26.0,33.0,42.0,54.0,49.0,47.0,36,1,0,0,0,0,0,0,36,11,3
35.0,33.0,31.0,29.0,23.0,30.0,45.0,43.0,38.0,27.0,31.0,37.0,30.0,34.0,39.0,49.0,41.0,44.0,37.0,29.0,21.0,26.0,33.0,42.0,54.0,49.0,47.0,36.0,34,0,0,1,0,0,0,0,34,12,3
33.0,31.0,29.0,23.0,30.0,45.0,43.0,38.0,27.0,31.0,37.0,30.0,34.0,39.0,49.0,41.0,44.0,37.0,29.0,21.0,26.0,33.0,42.0,54.0,49.0,47.0,36.0,34.0,33,0,0,0,1,0,0,0,33,13,3
31.0,29.0,23.0,30.0,45.0,43.0,38.0,27.0,31.0,37.0,30.0,34.0,39.0,49.0,41.0,44.0,37.0,29.0,21.0,26.0,33.0,42.0,54.0,49.0,47.0,36.0,34.0,33.0,44,0,1,0,0,0,0,0,44,14,3
29.0,23.0,30.0,45.0,43.0,38.0,27.0,31.0,37.0,30.0,34.0,39.0,49.0,41.0,44.0,37.0,29.0,21.0,26.0,33.0,42.0,54.0,49.0,47.0,36.0,34.0,33.0,44.0,50,0,0,0,0,0,1,0,50,15,3
23.0,30.0,45.0,43.0,38.0,27.0,31.0,37.0,30.0,34.0,39.0,49.0,41.0,44.0,37.0,29.0,21.0,26.0,33.0,42.0,54.0,49.0,47.0,36.0,34.0,33.0,44.0,50.0,45,0,0,0,0,0,0,1,45,16,3
30.0,45.0,43.0,38.0,27.0,31.0,37.0,30.0,34.0,39.0,49.0,41.0,44.0,37.0,29.0,21.0,26.0,33.0,42.0,54.0,49.0,47.0,36.0,34.0,33.0,44.0,50.0,45.0,47,0,0,0,0,1,0,0,47,17,3
45.0,43.0,38.0,27.0,31.0,37.0,30.0,34.0,39.0,49.0,41.0,44.0,37.0,29.0,21.0,26.0,33.0,42.0,54.0,49.0,47.0,36.0,34.0,33.0,44.0,50.0,45.0,47.0,47,1,0,0,0,0,0,0,47,18,3
43.0,38.0,27.0,31.0,37.0,30.0,34.0,39.0,49.0,41.0,44.0,37.0,29.0,21.0,26.0,33.0,42.0,54.0,49.0,47.0,36.0,34.0,33.0,44.0,50.0,45.0,47.0,47.0,34,0,0,1,0,0,0,0,34,19,3
