lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
31.0,29.0,29.0,45.0,78.0,76.0,79.0,55.0,31.0,33.0,49.0,35.0,43.0,60.0,39.0,32.0,35.0,37.0,34.0,35.0,38.0,37.0,37.0,52.0,59.0,31.0,47.0,49.0,33,0,0,1,0,0,0,0,33,30,1
29.0,29.0,45.0,78.0,76.0,79.0,55.0,31.0,33.0,49.0,35.0,43.0,60.0,39.0,32.0,35.0,37.0,34.0,35.0,38.0,37.0,37.0,52.0,59.0,31.0,47.0,49.0,33.0,54,0,0,0,1,0,0,0,54,31,1
29.0,45.0,78.0,76.0,79.0,55.0,31.0,33.0,49.0,35.0,43.0,60.0,39.0,32.0,35.0,37.0,34.0,35.0,38.0,37.0,37.0,52.0,59.0,31.0,47.0,49.0,33.0,54.0,48,0,1,0,0,0,0,0,48,1,2
45.0,78.0,76.0,79.0,55.0,31.0,33.0,49.0,35.0,43.0,60.0,39.0,32.0,35.0,37.0,34.0,35.0,38.0,37.0,37.0,52.0,59.0,31.0,47.0,49.0,33.0,54.0,48.0,34,0,0,0,0,0,1,0,34,2,2
78.0,76.0,79.0,55.0,31.0,33.0,49.0,35.0,43.0,60.0,39.0,32.0,35.0,37.0,34.0,35.0,38.0,37.0,37.0,52.0,59.0,31.0,47.0,49.0,33.0,54.0,48.0,34.0,33,0,0,0,0,0,0,1,33,3,2
76.0,79.0,55.0,31.0,33.0,49.0,35.0,43.0,60.0,39.0,32.0,35.0,37.0,34.0,35.0,38.0,37.0,37.0,52.0,59.0,31.0,47.0,49.0,33.0,54.0,48.0,34.0,33.0,31,0,0,0,0,1,0,0,31,4,2
79.0,55.0,31.0,33.0,49.0,35.0,43.0,60.0,39.0,32.0,35.0,37.0,34.0,35.0,38.0,37.0,37.0,52.0,59.0,31.0,47.0,49.0,33.0,54.0,48.0,34.0,33.0,31.0,33,1,0,0,0,0,0,0,33,5,2
55.0,31.0,33.0,49.0,35.0,43.0,60.0,39.0,32.0,35.0,37.0,34.0,35.0,38.0,37.0,37.0,52.0,59.0,31.0,47.0,49.0,33.0,54.0,48.0,34.0,33.0,31.0,33.0,50,0,0,1,0,0,0,0,50,6,2
31.0,33.0,49.0,35.0,43.0,60.0,39.0,32.0,35.0,37.0,34.0,35.0,38.0,37.0,37.0,52.0,59.0,31.0,47.0,49.0,33.0,54.0,48.0,34.0,33.0,31.0,33.0,50.0,62,0,0,0,1,0,0,0,62,7,2
33.0,49.0,35.0,43.0,60.0,39.0,32.0,35.0,37.0,34.0,35.0,38.0,37.0,37.0,52.0,59.0,31.0,47.0,49.0,33.0,54.0,48.0,34.0,33.0,31.0,33.0,50.0,62.0,37,0,1,0,0,0,0,0,37,8,2
49.0,35.0,43.0,60.0,39.0,32.0,35.0,37.0,34.0,35.0,38.0,37.0,37.0,52.0,59.0,31.0,47.0,49.0,33.0,54.0,48.0,34.0,33.0,31.0,33.0,50.0,62.0,37.0,35,0,0,0,0,0,1,0,35,9,2
35.0,43.0,60.0,39.0,32.0,35.0,37.0,34.0,35.0,38.0,37.0,37.0,52.0,59.0,31.0,47.0,49.0,33.0,54.0,48.0,34.0,33.0,31.0,33.0,50.0,62.0,37.0,35.0,59,0,0,0,0,0,0,1,59,10,2
