lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
24.0,35.0,13.0,36.0,27.0,24.0,13.0,21.0,23.0,13.0,16.0,43.0,12.0,54.0,30.0,35.0,29.0,11.0,29.0,42.0,35.0,35.0,40.0,44.0,46.0,46.0,44.0,38.0,59,0,0,0,0,1,0,0,59,10,3
35.0,13.0,36.0,27.0,24.0,13.0,21.0,23.0,13.0,16.0,43.0,12.0,54.0,30.0,35.0,29.0,11.0,29.0,42.0,35.0,35.0,40.0,44.0,46.0,46.0,44.0,38.0,59.0,31,1,0,0,0,0,0,0,31,11,3
13.0,36.0,27.0,24.0,13.0,21.0,23.0,13.0,16.0,43.0,12.0,54.0,30.0,35.0,29.0,11.0,29.0,42.0,35.0,35.0,40.0,44.0,46.0,46.0,44.0,38.0,59.0,31.0,31,0,0,1,0,0,0,0,31,12,3
36.0,27.0,24.0,13.0,21.0,23.0,13.0,16.0,43.0,12.0,54.0,30.0,35.0,29.0,11.0,29.0,42.0,35.0,35.0,40.0,44.0,46.0,46.0,44.0,38.0,59.0,31.0,31.0,44,0,0,0,1,0,0,0,44,13,3
27.0,24.0,13.0,21.0,23.0,13.0,16.0,43.0,12.0,54.0,30.0,35.0,29.0,11.0,29.0,42.0,35.0,35.0,40.0,44.0,46.0,46.0,44.0,38.0,59.0,31.0,31.0,44.0,48,0,1,0,0,0,0,0,48,14,3
24.0,13.0,21.0,23.0,13.0,16.0,43.0,12.0,54.0,30.0,35.0,29.0,11.0,29.0,42.0,35.0,35.0,40.0,44.0,46.0,46.0,44.0,38.0,59.0,31.0,31.0,44.0,48.0,35,0,0,0,0,0,1,0,35,15,3
13.0,21.0,23.0,13.0,16.0,43.0,12.0,54.0,30.0,35.0,29.0,11.0,29.0,42.0,35.0,35.0,40.0,44.0,46.0,46.0,44.0,38.0,59.0,31.0,31.0,44.0,48.0,35.0,43,0,0,0,0,0,0,1,43,16,3
21.0,23.0,13.0,16.0,43.0,12.0,54.0,30.0,35.0,29.0,11.0,29.0,42.0,35.0,35.0,40.0,44.0,46.0,46.0,44.0,38.0,59.0,31.0,31.0,44.0,48.0,35.0,43.0,41,0,0,0,0,1,0,0,41,17,3
23.0,13.0,16.0,43.0,12.0,54.0,30.0,35.0,29.0,11.0,29.0,42.0,35.0,35.0,40.0,44.0,46.0,46.0,44.0,38.0,59.0,31.0,31.0,44.0,48.0,35.0,43.0,41.0,38,1,0,0,0,0,0,0,38,18,3
13.0,16.0,43.0,12.0,54.0,30.0,35.0,29.0,11.0,29.0,42.0,35.0,35.0,40.0,44.0,46.0,46.0,44.0,38.0,59.0,31.0,31.0,44.0,48.0,35.0,43.0,41.0,38.0,32,0,0,1,0,0,0,0,32,19,3
16.0,43.0,12.0,54.0,30.0,35.0,29.0,11.0,29.0,42.0,35.0,35.0,40.0,44.0,46.0,46.0,44.0,38.0,59.0,31.0,31.0,44.0,48.0,35.0,43.0,41.0,38.0,32.0,37,0,0,0,1,0,0,0,37,20,3
43.0,12.0,54.0,30.0,35.0,29.0,11.0,29.0,42.0,35.0,35.0,40.0,44.0,46.0,46.0,44.0,38.0,59.0,31.0,31.0,44.0,48.0,35.0,43.0,41.0,38.0,32.0,37.0,40,0,1,0,0,0,0,0,40,21,3
12.0,54.0,30.0,35.0,29.0,11.0,29.0,42.0,35.0,35.0,40.0,44.0,46.0,46.0,44.0,38.0,59.0,31.0,31.0,44.0,48.0,35.0,43.0,41.0,38.0,32.0,37.0,40.0,58,0,0,0,0,0,1,0,58,22,3
54.0,30.0,35.0,29.0,11.0,29.0,42.0,35.0,35.0,40.0,44.0,46.0,46.0,44.0,38.0,59.0,31.0,31.0,44.0,48.0,35.0,43.0,41.0,38.0,32.0,37.0,40.0,58.0,50,0,0,0,0,0,0,1,50,23,3
