lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
40.0,64.0,39.0,46.0,34.0,38.0,38.0,41.0,38.0,42.0,44.0,67.0,58.0,45.0,39.0,36.0,31.0,37.0,40.0,37.0,32.0,67.0,64.0,46.0,41.0,47.0,30.0,29.0,31,0,0,1,0,0,0,0,31,30,4
64.0,39.0,46.0,34.0,38.0,38.0,41.0,38.0,42.0,44.0,67.0,58.0,45.0,39.0,36.0,31.0,37.0,40.0,37.0,32.0,67.0,64.0,46.0,41.0,47.0,30.0,29.0,31.0,26,0,0,0,1,0,0,0,26,1,5
39.0,46.0,34.0,38.0,38.0,41.0,38.0,42.0,44.0,67.0,58.0,45.0,39.0,36.0,31.0,37.0,40.0,37.0,32.0,67.0,64.0,46.0,41.0,47.0,30.0,29.0,31.0,26.0,35,0,1,0,0,0,0,0,35,2,5
46.0,34.0,38.0,38.0,41.0,38.0,42.0,44.0,67.0,58.0,45.0,39.0,36.0,31.0,37.0,40.0,37.0,32.0,67.0,64.0,46.0,41.0,47.0,30.0,29.0,31.0,26.0,35.0,46,0,0,0,0,0,1,0,46,3,5
34.0,38.0,38.0,41.0,38.0,42.0,44.0,67.0,58.0,45.0,39.0,36.0,31.0,37.0,40.0,37.0,32.0,67.0,64.0,46.0,41.0,47.0,30.0,29.0,31.0,26.0,35.0,46.0,44,0,0,0,0,0,0,1,44,4,5
38.0,38.0,41.0,38.0,42.0,44.0,67.0,58.0,45.0,39.0,36.0,31.0,37.0,40.0,37.0,32.0,67.0,64.0,46.0,41.0,47.0,30.0,29.0,31.0,26.0,35.0,46.0,44.0,48,0,0,0,0,1,0,0,48,5,5
38.0,41.0,38.0,42.0,44.0,67.0,58.0,45.0,39.0,36.0,31.0,37.0,40.0,37.0,32.0,67.0,64.0,46.0,41.0,47.0,30.0,29.0,31.0,26.0,35.0,46.0,44.0,48.0,67,1,0,0,0,0,0,0,67,6,5
41.0,38.0,42.0,44.0,67.0,58.0,45.0,39.0,36.0,31.0,37.0,40.0,37.0,32.0,67.0,64.0,46.0,41.0,47.0,30.0,29.0,31.0,26.0,35.0,46.0,44.0,48.0,67.0,67,0,0,1,0,0,0,0,67,7,5
38.0,42.0,44.0,67.0,58.0,45.0,39.0,36.0,31.0,37.0,40.0,37.0,32.0,67.0,64.0,46.0,41.0,47.0,30.0,29.0,31.0,26.0,35.0,46.0,44.0,48.0,67.0,67.0,44,0,0,0,1,0,0,0,44,8,5
42.0,44.0,67.0,58.0,45.0,39.0,36.0,31.0,37.0,40.0,37.0,32.0,67.0,64.0,46.0,41.0,47.0,30.0,29.0,31.0,26.0,35.0,46.0,44.0,48.0,67.0,67.0,44.0,42,0,1,0,0,0,0,0,42,9,5
44.0,67.0,58.0,45.0,39.0,36.0,31.0,37.0,40.0,37.0,32.0,67.0,64.0,46.0,41.0,47.0,30.0,29.0,31.0,26.0,35.0,46.0,44.0,48.0,67.0,67.0,44.0,42.0,90,0,0,0,0,0,1,0,90,10,5
67.0,58.0,45.0,39.0,36.0,31.0,37.0,40.0,37.0,32.0,67.0,64.0,46.0,41.0,47.0,30.0,29.0,31.0,26.0,35.0,46.0,44.0,48.0,67.0,67.0,44.0,42.0,90.0,48,0,0,0,0,0,0,1,48,11,5
58.0,45.0,39.0,36.0,31.0,37.0,40.0,37.0,32.0,67.0,64.0,46.0,41.0,47.0,30.0,29.0,31.0,26.0,35.0,46.0,44.0,48.0,67.0,67.0,44.0,42.0,90.0,48.0,46,0,0,0,0,1,0,0,46,12,5
45.0,39.0,36.0,31.0,37.0,40.0,37.0,32.0,67.0,64.0,46.0,41.0,47.0,30.0,29.0,31.0,26.0,35.0,46.0,44.0,48.0,67.0,67.0,44.0,42.0,90.0,48.0,46.0,44,1,0,0,0,0,0,0,44,13,5
39.0,36.0,31.0,37.0,40.0,37.0,32.0,67.0,64.0,46.0,41.0,47.0,30.0,29.0,31.0,26.0,35.0,46.0,44.0,48.0,67.0,67.0,44.0,42.0,90.0,48.0,46.0,44.0,45,0,0,1,0,0,0,0,45,14,5
36.0,31.0,37.0,40.0,37.0,32.0,67.0,64.0,46.0,41.0,47.0,30.0,29.0,31.0,26.0,35.0,46.0,44.0,48.0,67.0,67.0,44.0,42.0,90.0,48.0,46.0,44.0,45.0,44,0,0,0,1,0,0,0,44,15,5
31.0,37.0,40.0,37.0,32.0,67.0,64.0,46.0,41.0,47.0,30.0,29.0,31.0,26.0,35.0,46.0,44.0,48.0,67.0,67.0,44.0,42.0,90.0,48.0,46.0,44.0,45.0,44.0,37,0,1,0,0,0,0,0,37,16,5
