lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
42.0,58.0,44.0,41.0,37.0,38.0,37.0,41.0,42.0,36.0,44.0,51.0,61.0,50.0,43.0,49.0,51.0,41.0,38.0,42.0,46.0,50.0,71.0,49.0,37.0,44.0,39.0,31.0,40,0,0,1,0,0,0,0,40,30,4
58.0,44.0,41.0,37.0,38.0,37.0,41.0,42.0,36.0,44.0,51.0,61.0,50.0,43.0,49.0,51.0,41.0,38.0,42.0,46.0,50.0,71.0,49.0,37.0,44.0,39.0,31.0,40.0,35,0,0,0,1,0,0,0,35,1,5
44.0,41.0,37.0,38.0,37.0,41.0,42.0,36.0,44.0,51.0,61.0,50.0,43.0,49.0,51.0,41.0,38.0,42.0,46.0,50.0,71.0,49.0,37.0,44.0,39.0,31.0,40.0,35.0,30,0,1,0,0,0,0,0,30,2,5
41.0,37.0,38.0,37.0,41.0,42.0,36.0,44.0,51.0,61.0,50.0,43.0,49.0,51.0,41.0,38.0,42.0,46.0,50.0,71.0,49.0,37.0,44.0,39.0,31.0,40.0,35.0,30.0,39,0,0,0,0,0,1,0,39,3,5
37.0,38.0,37.0,41.0,42.0,36.0,44.0,51.0,61.0,50.0,43.0,49.0,51.0,41.0,38.0,42.0,46.0,50.0,71.0,49.0,37.0,44.0,39.0,31.0,40.0,35.0,30.0,39.0,48,0,0,0,0,0,0,1,48,4,5
38.0,37.0,41.0,42.0,36.0,44.0,51.0,61.0,50.0,43.0,49.0,51.0,41.0,38.0,42.0,46.0,50.0,71.0,49.0,37.0,44.0,39.0,31.0,40.0,35.0,30.0,39.0,48.0,44,0,0,0,0,1,0,0,44,5,5
37.0,41.0,42.0,36.0,44.0,51.0,61.0,50.0,43.0,49.0,51.0,41.0,38.0,42.0,46.0,50.0,71.0,49.0,37.0,44.0,39.0,31.0,40.0,35.0,30.0,39.0,48.0,44.0,50,1,0,0,0,0,0,0,50,6,5
41.0,42.0,36.0,44.0,51.0,61.0,50.0,43.0,49.0,51.0,41.0,38.0,42.0,46.0,50.0,71.0,49.0,37.0,44.0,39.0,31.0,40.0,35.0,30.0,39.0,48.0,44.0,50.0,48,0,0,1,0,0,0,0,48,7,5
42.0,36.0,44.0,51.0,61.0,50.0,43.0,49.0,51.0,41.0,38.0,42.0,46.0,50.0,71.0,49.0,37.0,44.0,39.0,31.0,40.0,35.0,30.0,39.0,48.0,44.0,50.0,48.0,47,0,0,0,1,0,0,0,47,8,5
36.0,44.0,51.0,61.0,50.0,43.0,49.0,51.0,41.0,38.0,42.0,46.0,50.0,71.0,49.0,37.0,44.0,39.0,31.0,40.0,35.0,30.0,39.0,48.0,44.0,50.0,48.0,47.0,44,0,1,0,0,0,0,0,44,9,5
44.0,51.0,61.0,50.0,43.0,49.0,51.0,41.0,38.0,42.0,46.0,50.0,71.0,49.0,37.0,44.0,39.0,31.0,40.0,35.0,30.0,39.0,48.0,44.0,50.0,48.0,47.0,44.0,44,0,0,0,0,0,1,0,44,10,5
51.0,61.0,50.0,43.0,49.0,51.0,41.0,38.0,42.0,46.0,50.0,71.0,49.0,37.0,44.0,39.0,31.0,40.0,35.0,30.0,39.0,48.0,44.0,50.0,48.0,47.0,44.0,44.0,50,0,0,0,0,0,0,1,50,11,5
61.0,50.0,43.0,49.0,51.0,41.0,38.0,42.0,46.0,50.0,71.0,49.0,37.0,44.0,39.0,31.0,40.0,35.0,30.0,39.0,48.0,44.0,50.0,48.0,47.0,44.0,44.0,50.0,43,0,0,0,0,1,0,0,43,12,5
50.0,43.0,49.0,51.0,41.0,38.0,42.0,46.0,50.0,71.0,49.0,37.0,44.0,39.0,31.0,40.0,35.0,30.0,39.0,48.0,44.0,50.0,48.0,47.0,44.0,44.0,50.0,43.0,44,1,0,0,0,0,0,0,44,13,5
43.0,49.0,51.0,41.0,38.0,42.0,46.0,50.0,71.0,49.0,37.0,44.0,39.0,31.0,40.0,35.0,30.0,39.0,48.0,44.0,50.0,48.0,47.0,44.0,44.0,50.0,43.0,44.0,41,0,0,1,0,0,0,0,41,14,5
49.0,51.0,41.0,38.0,42.0,46.0,50.0,71.0,49.0,37.0,44.0,39.0,31.0,40.0,35.0,30.0,39.0,48.0,44.0,50.0,48.0,47.0,44.0,44.0,50.0,43.0,44.0,41.0,43,0,0,0,1,0,0,0,43,15,5
51.0,41.0,38.0,42.0,46.0,50.0,71.0,49.0,37.0,44.0,39.0,31.0,40.0,35.0,30.0,39.0,48.0,44.0,50.0,48.0,47.0,44.0,44.0,50.0,43.0,44.0,41.0,43.0,34,0,1,0,0,0,0,0,34,16,5
41.0,38.0,42.0,46.0,50.0,71.0,49.0,37.0,44.0,39.0,31.0,40.0,35.0,30.0,39.0,48.0,44.0,50.0,48.0,47.0,44.0,44.0,50.0,43.0,44.0,41.0,43.0,34.0,35,0,0,0,0,0,1,0,35,17,5
38.0,42.0,46.0,50.0,71.0,49.0,37.0,44.0,39.0,31.0,40.0,35.0,30.0,39.0,48.0,44.0,50.0,48.0,47.0,44.0,44.0,50.0,43.0,44.0,41.0,43.0,34.0,35.0,45,0,0,0,0,0,0,1,45,18,5
42.0,46.0,50.0,71.0,49.0,37.0,44.0,39.0,31.0,40.0,35.0,30.0,39.0,48.0,44.0,50.0,48.0,47.0,44.0,44.0,50.0,43.0,44.0,41.0,43.0,34.0,35.0,45.0,51,0,0,0,0,1,0,0,51,19,5
46.0,50.0,71.0,49.0,37.0,44.0,39.0,31.0,40.0,35.0,30.0,39.0,48.0,44.0,50.0,48.0,47.0,44.0,44.0,50.0,43.0,44.0,41.0,43.0,34.0,35.0,45.0,51.0,45,1,0,0,0,0,0,0,45,20,5
50.0,71.0,49.0,37.0,44.0,39.0,31.0,40.0,35.0,30.0,39.0,48.0,44.0,50.0,48.0,47.0,44.0,44.0,50.0,43.0,44.0,41.0,43.0,34.0,35.0,45.0,51.0,45.0,90,0,0,1,0,0,0,0,90,21,5
71.0,49.0,37.0,44.0,39.0,31.0,40.0,35.0,30.0,39.0,48.0,44.0,50.0,48.0,47.0,44.0,44.0,50.0,43.0,44.0,41.0,43.0,34.0,35.0,45.0,51.0,45.0,90.0,105,0,0,0,1,0,0,0,105,22,5
49.0,37.0,44.0,39.0,31.0,40.0,35.0,30.0,39.0,48.0,44.0,50.0,48.0,47.0,44.0,44.0,50.0,43.0,44.0,41.0,43.0,34.0,35.0,45.0,51.0,45.0,90.0,105.0,77,0,1,0,0,0,0,0,77,23,5
37.0,44.0,39.0,31.0,40.0,35.0,30.0,39.0,48.0,44.0,50.0,48.0,47.0,44.0,44.0,50.0,43.0,44.0,41.0,43.0,34.0,35.0,45.0,51.0,45.0,90.0,105.0,77.0,44,0,0,0,0,0,1,0,44,24,5
44.0,39.0,31.0,40.0,35.0,30.0,39.0,48.0,44.0,50.0,48.0,47.0,44.0,44.0,50.0,43.0,44.0,41.0,43.0,34.0,35.0,45.0,51.0,45.0,90.0,105.0,77.0,44.0,39,0,0,0,0,0,0,1,39,25,5
39.0,31.0,40.0,35.0,30.0,39.0,48.0,44.0,50.0,48.0,47.0,44.0,44.0,50.0,43.0,44.0,41.0,43.0,34.0,35.0,45.0,51.0,45.0,90.0,105.0,77.0,44.0,39.0,35,0,0,0,0,1,0,0,35,26,5
31.0,40.0,35.0,30.0,39.0,48.0,44.0,50.0,48.0,47.0,44.0,44.0,50.0,43.0,44.0,41.0,43.0,34.0,35.0,45.0,51.0,45.0,90.0,105.0,77.0,44.0,39.0,35.0,34,1,0,0,0,0,0,0,34,27,5
