lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
29.0,8.0,9.0,16.0,10.0,6.0,5.0,7.0,5.0,51.0,22.0,24.0,22.0,10.0,20.0,9.0,17.0,15.0,11.0,11.0,19.0,8.0,9.0,12.0,27.0,23.0,19.0,15.0,16,0,0,1,0,0,0,0,16,30,1
8.0,9.0,16.0,10.0,6.0,5.0,7.0,5.0,51.0,22.0,24.0,22.0,10.0,20.0,9.0,17.0,15.0,11.0,11.0,19.0,8.0,9.0,12.0,27.0,23.0,19.0,15.0,16.0,7,0,0,0,1,0,0,0,7,31,1
9.0,16.0,10.0,6.0,5.0,7.0,5.0,51.0,22.0,24.0,22.0,10.0,20.0,9.0,17.0,15.0,11.0,11.0,19.0,8.0,9.0,12.0,27.0,23.0,19.0,15.0,16.0,7.0,58,0,1,0,0,0,0,0,58,1,2
16.0,10.0,6.0,5.0,7.0,5.0,51.0,22.0,24.0,22.0,10.0,20.0,9.0,17.0,15.0,11.0,11.0,19.0,8.0,9.0,12.0,27.0,23.0,19.0,15.0,16.0,7.0,58.0,4,0,0,0,0,0,1,0,4,2,2
10.0,6.0,5.0,7.0,5.0,51.0,22.0,24.0,22.0,10.0,20.0,9.0,17.0,15.0,11.0,11.0,19.0,8.0,9.0,12.0,27.0,23.0,19.0,15.0,16.0,7.0,58.0,4.0,9,0,0,0,0,0,0,1,9,3,2
6.0,5.0,7.0,5.0,51.0,22.0,24.0,22.0,10.0,20.0,9.0,17.0,15.0,11.0,11.0,19.0,8.0,9.0,12.0,27.0,23.0,19.0,15.0,16.0,7.0,58.0,4.0,9.0,27,0,0,0,0,1,0,0,27,4,2
5.0,7.0,5.0,51.0,22.0,24.0,22.0,10.0,20.0,9.0,17.0,15.0,11.0,11.0,19.0,8.0,9.0,12.0,27.0,23.0,19.0,15.0,16.0,7.0,58.0,4.0,9.0,27.0,13,1,0,0,0,0,0,0,13,5,2
7.0,5.0,51.0,22.0,24.0,22.0,10.0,20.0,9.0,17.0,15.0,11.0,11.0,19.0,8.0,9.0,12.0,27.0,23.0,19.0,15.0,16.0,7.0,58.0,4.0,9.0,27.0,13.0,8,0,0,1,0,0,0,0,8,6,2
5.0,51.0,22.0,24.0,22.0,10.0,20.0,9.0,17.0,15.0,11.0,11.0,19.0,8.0,9.0,12.0,27.0,23.0,19.0,15.0,16.0,7.0,58.0,4.0,9.0,27.0,13.0,8.0,12,0,0,0,1,0,0,0,12,7,2
51.0,22.0,24.0,22.0,10.0,20.0,9.0,17.0,15.0,11.0,11.0,19.0,8.0,9.0,12.0,27.0,23.0,19.0,15.0,16.0,7.0,58.0,4.0,9.0,27.0,13.0,8.0,12.0,7,0,1,0,0,0,0,0,7,8,2
