lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
27.0,28.0,30.0,13.0,29.0,38.0,43.0,26.0,32.0,11.0,21.0,34.0,31.0,35.0,38.0,6.0,12.0,11.0,33.0,31.0,35.0,33.0,33.0,33.0,33.0,30.0,30.0,28.0,36,0,0,1,0,0,0,0,36,30,1
28.0,30.0,13.0,29.0,38.0,43.0,26.0,32.0,11.0,21.0,34.0,31.0,35.0,38.0,6.0,12.0,11.0,33.0,31.0,35.0,33.0,33.0,33.0,33.0,30.0,30.0,28.0,36.0,74,0,0,0,1,0,0,0,74,31,1
30.0,13.0,29.0,38.0,43.0,26.0,32.0,11.0,21.0,34.0,31.0,35.0,38.0,6.0,12.0,11.0,33.0,31.0,35.0,33.0,33.0,33.0,33.0,30.0,30.0,28.0,36.0,74.0,38,0,1,0,0,0,0,0,38,1,2
13.0,29.0,38.0,43.0,26.0,32.0,11.0,21.0,34.0,31.0,35.0,38.0,6.0,12.0,11.0,33.0,31.0,35.0,33.0,33.0,33.0,33.0,30.0,30.0,28.0,36.0,74.0,38.0,37,0,0,0,0,0,1,0,37,2,2
29.0,38.0,43.0,26.0,32.0,11.0,21.0,34.0,31.0,35.0,38.0,6.0,12.0,11.0,33.0,31.0,35.0,33.0,33.0,33.0,33.0,30.0,30.0,28.0,36.0,74.0,38.0,37.0,34,0,0,0,0,0,0,1,34,3,2
38.0,43.0,26.0,32.0,11.0,21.0,34.0,31.0,35.0,38.0,6.0,12.0,11.0,33.0,31.0,35.0,33.0,33.0,33.0,33.0,30.0,30.0,28.0,36.0,74.0,38.0,37.0,34.0,31,0,0,0,0,1,0,0,31,4,2
43.0,26.0,32.0,11.0,21.0,34.0,31.0,35.0,38.0,6.0,12.0,11.0,33.0,31.0,35.0,33.0,33.0,33.0,33.0,30.0,30.0,28.0,36.0,74.0,38.0,37.0,34.0,31.0,10,1,0,0,0,0,0,0,10,5,2
26.0,32.0,11.0,21.0,34.0,31.0,35.0,38.0,6.0,12.0,11.0,33.0,31.0,35.0,33.0,33.0,33.0,33.0,30.0,30.0,28.0,36.0,74.0,38.0,37.0,34.0,31.0,10.0,19,0,0,1,0,0,0,0,19,6,2
32.0,11.0,21.0,34.0,31.0,35.0,38.0,6.0,12.0,11.0,33.0,31.0,35.0,33.0,33.0,33.0,33.0,30.0,30.0,28.0,36.0,74.0,38.0,37.0,34.0,31.0,10.0,19.0,29,0,0,0,1,0,0,0,29,7,2
11.0,21.0,34.0,31.0,35.0,38.0,6.0,12.0,11.0,33.0,31.0,35.0,33.0,33.0,33.0,33.0,30.0,30.0,28.0,36.0,74.0,38.0,37.0,34.0,31.0,10.0,19.0,29.0,28,0,1,0,0,0,0,0,28,8,2
