lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
44.0,33.0,32.0,46.0,50.0,58.0,43.0,34.0,35.0,48.0,51.0,31.0,36.0,34.0,36.0,34.0,41.0,42.0,37.0,40.0,46.0,44.0,48.0,49.0,31.0,50.0,54.0,40.0,48,0,0,0,1,0,0,0,48,26,3
33.0,32.0,46.0,50.0,58.0,43.0,34.0,35.0,48.0,51.0,31.0,36.0,34.0,36.0,34.0,41.0,42.0,37.0,40.0,46.0,44.0,48.0,49.0,31.0,50.0,54.0,40.0,48.0,54,0,1,0,0,0,0,0,54,27,3
32.0,46.0,50.0,58.0,43.0,34.0,35.0,48.0,51.0,31.0,36.0,34.0,36.0,34.0,41.0,42.0,37.0,40.0,46.0,44.0,48.0,49.0,31.0,50.0,54.0,40.0,48.0,54.0,34,0,0,0,0,0,1,0,34,28,3
46.0,50.0,58.0,43.0,34.0,35.0,48.0,51.0,31.0,36.0,34.0,36.0,34.0,41.0,42.0,37.0,40.0,46.0,44.0,48.0,49.0,31.0,50.0,54.0,40.0,48.0,54.0,34.0,45,0,0,0,0,0,0,1,45,29,3
50.0,58.0,43.0,34.0,35.0,48.0,51.0,31.0,36.0,34.0,36.0,34.0,41.0,42.0,37.0,40.0,46.0,44.0,48.0,49.0,31.0,50.0,54.0,40.0,48.0,54.0,34.0,45.0,41,0,0,0,0,1,0,0,41,30,3
58.0,43.0,34.0,35.0,48.0,51.0,31.0,36.0,34.0,36.0,34.0,41.0,42.0,37.0,40.0,46.0,44.0,48.0,49.0,31.0,50.0,54.0,40.0,48.0,54.0,34.0,45.0,41.0,87,1,0,0,0,0,0,0,87,31,3
43.0,34.0,35.0,48.0,51.0,31.0,36.0,34.0,36.0,34.0,41.0,42.0,37.0,40.0,46.0,44.0,48.0,49.0,31.0,50.0,54.0,40.0,48.0,54.0,34.0,45.0,41.0,87.0,50,0,0,1,0,0,0,0,50,1,4
34.0,35.0,48.0,51.0,31.0,36.0,34.0,36.0,34.0,41.0,42.0,37.0,40.0,46.0,44.0,48.0,49.0,31.0,50.0,54.0,40.0,48.0,54.0,34.0,45.0,41.0,87.0,50.0,39,0,0,0,1,0,0,0,39,2,4
35.0,48.0,51.0,31.0,36.0,34.0,36.0,34.0,41.0,42.0,37.0,40.0,46.0,44.0,48.0,49.0,31.0,50.0,54.0,40.0,48.0,54.0,34.0,45.0,41.0,87.0,50.0,39.0,45,0,1,0,0,0,0,0,45,3,4
48.0,51.0,31.0,36.0,34.0,36.0,34.0,41.0,42.0,37.0,40.0,46.0,44.0,48.0,49.0,31.0,50.0,54.0,40.0,48.0,54.0,34.0,45.0,41.0,87.0,50.0,39.0,45.0,48,0,0,0,0,0,1,0,48,4,4
51.0,31.0,36.0,34.0,36.0,34.0,41.0,42.0,37.0,40.0,46.0,44.0,48.0,49.0,31.0,50.0,54.0,40.0,48.0,54.0,34.0,45.0,41.0,87.0,50.0,39.0,45.0,48.0,44,0,0,0,0,0,0,1,44,5,4
31.0,36.0,34.0,36.0,34.0,41.0,42.0,37.0,40.0,46.0,44.0,48.0,49.0,31.0,50.0,54.0,40.0,48.0,54.0,34.0,45.0,41.0,87.0,50.0,39.0,45.0,48.0,44.0,49,0,0,0,0,1,0,0,49,6,4
36.0,34.0,36.0,34.0,41.0,42.0,37.0,40.0,46.0,44.0,48.0,49.0,31.0,50.0,54.0,40.0,48.0,54.0,34.0,45.0,41.0,87.0,50.0,39.0,45.0,48.0,44.0,49.0,97,1,0,0,0,0,0,0,97,7,4
34.0,36.0,34.0,41.0,42.0,37.0,40.0,46.0,44.0,48.0,49.0,31.0,50.0,54.0,40.0,48.0,54.0,34.0,45.0,41.0,87.0,50.0,39.0,45.0,48.0,44.0,49.0,97.0,50,0,0,1,0,0,0,0,50,8,4
36.0,34.0,41.0,42.0,37.0,40.0,46.0,44.0,48.0,49.0,31.0,50.0,54.0,40.0,48.0,54.0,34.0,45.0,41.0,87.0,50.0,39.0,45.0,48.0,44.0,49.0,97.0,50.0,44,0,0,0,1,0,0,0,44,9,4
34.0,41.0,42.0,37.0,40.0,46.0,44.0,48.0,49.0,31.0,50.0,54.0,40.0,48.0,54.0,34.0,45.0,41.0,87.0,50.0,39.0,45.0,48.0,44.0,49.0,97.0,50.0,44.0,40,0,1,0,0,0,0,0,40,10,4
41.0,42.0,37.0,40.0,46.0,44.0,48.0,49.0,31.0,50.0,54.0,40.0,48.0,54.0,34.0,45.0,41.0,87.0,50.0,39.0,45.0,48.0,44.0,49.0,97.0,50.0,44.0,40.0,47,0,0,0,0,0,1,0,47,11,4
42.0,37.0,40.0,46.0,44.0,48.0,49.0,31.0,50.0,54.0,40.0,48.0,54.0,34.0,45.0,41.0,87.0,50.0,39.0,45.0,48.0,44.0,49.0,97.0,50.0,44.0,40.0,47.0,44,0,0,0,0,0,0,1,44,12,4
37.0,40.0,46.0,44.0,48.0,49.0,31.0,50.0,54.0,40.0,48.0,54.0,34.0,45.0,41.0,87.0,50.0,39.0,45.0,48.0,44.0,49.0,97.0,50.0,44.0,40.0,47.0,44.0,43,0,0,0,0,1,0,0,43,13,4
40.0,46.0,44.0,48.0,49.0,31.0,50.0,54.0,40.0,48.0,54.0,34.0,45.0,41.0,87.0,50.0,39.0,45.0,48.0,44.0,49.0,97.0,50.0,44.0,40.0,47.0,44.0,43.0,50,1,0,0,0,0,0,0,50,14,4
46.0,44.0,48.0,49.0,31.0,50.0,54.0,40.0,48.0,54.0,34.0,45.0,41.0,87.0,50.0,39.0,45.0,48.0,44.0,49.0,97.0,50.0,44.0,40.0,47.0,44.0,43.0,50.0,39,0,0,1,0,0,0,0,39,15,4
44.0,48.0,49.0,31.0,50.0,54.0,40.0,48.0,54.0,34.0,45.0,41.0,87.0,50.0,39.0,45.0,48.0,44.0,49.0,97.0,50.0,44.0,40.0,47.0,44.0,43.0,50.0,39.0,32,0,0,0,1,0,0,0,32,16,4
48.0,49.0,31.0,50.0,54.0,40.0,48.0,54.0,34.0,45.0,41.0,87.0,50.0,39.0,45.0,48.0,44.0,49.0,97.0,50.0,44.0,40.0,47.0,44.0,43.0,50.0,39.0,32.0,35,0,1,0,0,0,0,0,35,17,4
49.0,31.0,50.0,54.0,40.0,48.0,54.0,34.0,45.0,41.0,87.0,50.0,39.0,45.0,48.0,44.0,49.0,97.0,50.0,44.0,40.0,47.0,44.0,43.0,50.0,39.0,32.0,35.0,49,0,0,0,0,0,1,0,49,18,4
31.0,50.0,54.0,40.0,48.0,54.0,34.0,45.0,41.0,87.0,50.0,39.0,45.0,48.0,44.0,49.0,97.0,50.0,44.0,40.0,47.0,44.0,43.0,50.0,39.0,32.0,35.0,49.0,44,0,0,0,0,0,0,1,44,19,4
50.0,54.0,40.0,48.0,54.0,34.0,45.0,41.0,87.0,50.0,39.0,45.0,48.0,44.0,49.0,97.0,50.0,44.0,40.0,47.0,44.0,43.0,50.0,39.0,32.0,35.0,49.0,44.0,47,0,0,0,0,1,0,0,47,20,4
54.0,40.0,48.0,54.0,34.0,45.0,41.0,87.0,50.0,39.0,45.0,48.0,44.0,49.0,97.0,50.0,44.0,40.0,47.0,44.0,43.0,50.0,39.0,32.0,35.0,49.0,44.0,47.0,34,1,0,0,0,0,0,0,34,21,4
40.0,48.0,54.0,34.0,45.0,41.0,87.0,50.0,39.0,45.0,48.0,44.0,49.0,97.0,50.0,44.0,40.0,47.0,44.0,43.0,50.0,39.0,32.0,35.0,49.0,44.0,47.0,34.0,37,0,0,1,0,0,0,0,37,22,4
48.0,54.0,34.0,45.0,41.0,87.0,50.0,39.0,45.0,48.0,44.0,49.0,97.0,50.0,44.0,40.0,47.0,44.0,43.0,50.0,39.0,32.0,35.0,49.0,44.0,47.0,34.0,37.0,50,0,0,0,1,0,0,0,50,23,4
54.0,34.0,45.0,41.0,87.0,50.0,39.0,45.0,48.0,44.0,49.0,97.0,50.0,44.0,40.0,47.0,44.0,43.0,50.0,39.0,32.0,35.0,49.0,44.0,47.0,34.0,37.0,50.0,93,0,1,0,0,0,0,0,93,24,4
34.0,45.0,41.0,87.0,50.0,39.0,45.0,48.0,44.0,49.0,97.0,50.0,44.0,40.0,47.0,44.0,43.0,50.0,39.0,32.0,35.0,49.0,44.0,47.0,34.0,37.0,50.0,93.0,51,0,0,0,0,0,1,0,51,25,4
45.0,41.0,87.0,50.0,39.0,45.0,48.0,44.0,49.0,97.0,50.0,44.0,40.0,47.0,44.0,43.0,50.0,39.0,32.0,35.0,49.0,44.0,47.0,34.0,37.0,50.0,93.0,51.0,25,0,0,0,0,0,0,1,25,26,4
41.0,87.0,50.0,39.0,45.0,48.0,44.0,49.0,97.0,50.0,44.0,40.0,47.0,44.0,43.0,50.0,39.0,32.0,35.0,49.0,44.0,47.0,34.0,37.0,50.0,93.0,51.0,25.0,47,0,0,0,0,1,0,0,47,27,4
87.0,50.0,39.0,45.0,48.0,44.0,49.0,97.0,50.0,44.0,40.0,47.0,44.0,43.0,50.0,39.0,32.0,35.0,49.0,44.0,47.0,34.0,37.0,50.0,93.0,51.0,25.0,47.0,49,1,0,0,0,0,0,0,49,28,4
50.0,39.0,45.0,48.0,44.0,49.0,97.0,50.0,44.0,40.0,47.0,44.0,43.0,50.0,39.0,32.0,35.0,49.0,44.0,47.0,34.0,37.0,50.0,93.0,51.0,25.0,47.0,49.0,32,0,0,1,0,0,0,0,32,29,4
39.0,45.0,48.0,44.0,49.0,97.0,50.0,44.0,40.0,47.0,44.0,43.0,50.0,39.0,32.0,35.0,49.0,44.0,47.0,34.0,37.0,50.0,93.0,51.0,25.0,47.0,49.0,32.0,49,0,0,0,1,0,0,0,49,30,4
45.0,48.0,44.0,49.0,97.0,50.0,44.0,40.0,47.0,44.0,43.0,50.0,39.0,32.0,35.0,49.0,44.0,47.0,34.0,37.0,50.0,93.0,51.0,25.0,47.0,49.0,32.0,49.0,50,0,1,0,0,0,0,0,50,1,5
48.0,44.0,49.0,97.0,50.0,44.0,40.0,47.0,44.0,43.0,50.0,39.0,32.0,35.0,49.0,44.0,47.0,34.0,37.0,50.0,93.0,51.0,25.0,47.0,49.0,32.0,49.0,50.0,122,0,0,0,0,0,1,0,122,2,5
44.0,49.0,97.0,50.0,44.0,40.0,47.0,44.0,43.0,50.0,39.0,32.0,35.0,49.0,44.0,47.0,34.0,37.0,50.0,93.0,51.0,25.0,47.0,49.0,32.0,49.0,50.0,122.0,49,0,0,0,0,0,0,1,49,3,5
49.0,97.0,50.0,44.0,40.0,47.0,44.0,43.0,50.0,39.0,32.0,35.0,49.0,44.0,47.0,34.0,37.0,50.0,93.0,51.0,25.0,47.0,49.0,32.0,49.0,50.0,122.0,49.0,48,0,0,0,0,1,0,0,48,4,5
97.0,50.0,44.0,40.0,47.0,44.0,43.0,50.0,39.0,32.0,35.0,49.0,44.0,47.0,34.0,37.0,50.0,93.0,51.0,25.0,47.0,49.0,32.0,49.0,50.0,122.0,49.0,48.0,71,1,0,0,0,0,0,0,71,5,5
50.0,44.0,40.0,47.0,44.0,43.0,50.0,39.0,32.0,35.0,49.0,44.0,47.0,34.0,37.0,50.0,93.0,51.0,25.0,47.0,49.0,32.0,49.0,50.0,122.0,49.0,48.0,71.0,90,0,0,1,0,0,0,0,90,6,5
