lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
45.0,48.0,58.0,58.0,40.0,52.0,36.0,36.0,41.0,54.0,36.0,16.0,18.0,16.0,21.0,18.0,20.0,15.0,20.0,24.0,11.0,13.0,21.0,14.0,16.0,23.0,14.0,13.0,15,0,0,0,0,1,0,0,15,4,2
48.0,58.0,58.0,40.0,52.0,36.0,36.0,41.0,54.0,36.0,16.0,18.0,16.0,21.0,18.0,20.0,15.0,20.0,24.0,11.0,13.0,21.0,14.0,16.0,23.0,14.0,13.0,15.0,18,1,0,0,0,0,0,0,18,5,2
58.0,58.0,40.0,52.0,36.0,36.0,41.0,54.0,36.0,16.0,18.0,16.0,21.0,18.0,20.0,15.0,20.0,24.0,11.0,13.0,21.0,14.0,16.0,23.0,14.0,13.0,15.0,18.0,18,0,0,1,0,0,0,0,18,6,2
58.0,40.0,52.0,36.0,36.0,41.0,54.0,36.0,16.0,18.0,16.0,21.0,18.0,20.0,15.0,20.0,24.0,11.0,13.0,21.0,14.0,16.0,23.0,14.0,13.0,15.0,18.0,18.0,35,0,0,0,1,0,0,0,35,7,2
40.0,52.0,36.0,36.0,41.0,54.0,36.0,16.0,18.0,16.0,21.0,18.0,20.0,15.0,20.0,24.0,11.0,13.0,21.0,14.0,16.0,23.0,14.0,13.0,15.0,18.0,18.0,35.0,25,0,1,0,0,0,0,0,25,8,2
52.0,36.0,36.0,41.0,54.0,36.0,16.0,18.0,16.0,21.0,18.0,20.0,15.0,20.0,24.0,11.0,13.0,21.0,14.0,16.0,23.0,14.0,13.0,15.0,18.0,18.0,35.0,25.0,42,0,0,0,0,0,1,0,42,9,2
36.0,36.0,41.0,54.0,36.0,16.0,18.0,16.0,21.0,18.0,20.0,15.0,20.0,24.0,11.0,13.0,21.0,14.0,16.0,23.0,14.0,13.0,15.0,18.0,18.0,35.0,25.0,42.0,41,0,0,0,0,0,0,1,41,10,2
36.0,41.0,54.0,36.0,16.0,18.0,16.0,21.0,18.0,20.0,15.0,20.0,24.0,11.0,13.0,21.0,14.0,16.0,23.0,14.0,13.0,15.0,18.0,18.0,35.0,25.0,42.0,41.0,55,0,0,0,0,1,0,0,55,11,2
41.0,54.0,36.0,16.0,18.0,16.0,21.0,18.0,20.0,15.0,20.0,24.0,11.0,13.0,21.0,14.0,16.0,23.0,14.0,13.0,15.0,18.0,18.0,35.0,25.0,42.0,41.0,55.0,41,1,0,0,0,0,0,0,41,12,2
54.0,36.0,16.0,18.0,16.0,21.0,18.0,20.0,15.0,20.0,24.0,11.0,13.0,21.0,14.0,16.0,23.0,14.0,13.0,15.0,18.0,18.0,35.0,25.0,42.0,41.0,55.0,41.0,12,0,0,1,0,0,0,0,12,13,2
36.0,16.0,18.0,16.0,21.0,18.0,20.0,15.0,20.0,24.0,11.0,13.0,21.0,14.0,16.0,23.0,14.0,13.0,15.0,18.0,18.0,35.0,25.0,42.0,41.0,55.0,41.0,12.0,9,0,0,0,1,0,0,0,9,14,2
16.0,18.0,16.0,21.0,18.0,20.0,15.0,20.0,24.0,11.0,13.0,21.0,14.0,16.0,23.0,14.0,13.0,15.0,18.0,18.0,35.0,25.0,42.0,41.0,55.0,41.0,12.0,9.0,7,0,1,0,0,0,0,0,7,15,2
18.0,16.0,21.0,18.0,20.0,15.0,20.0,24.0,11.0,13.0,21.0,14.0,16.0,23.0,14.0,13.0,15.0,18.0,18.0,35.0,25.0,42.0,41.0,55.0,41.0,12.0,9.0,7.0,14,0,0,0,0,0,1,0,14,16,2
16.0,21.0,18.0,20.0,15.0,20.0,24.0,11.0,13.0,21.0,14.0,16.0,23.0,14.0,13.0,15.0,18.0,18.0,35.0,25.0,42.0,41.0,55.0,41.0,12.0,9.0,7.0,14.0,30,0,0,0,0,0,0,1,30,17,2
21.0,18.0,20.0,15.0,20.0,24.0,11.0,13.0,21.0,14.0,16.0,23.0,14.0,13.0,15.0,18.0,18.0,35.0,25.0,42.0,41.0,55.0,41.0,12.0,9.0,7.0,14.0,30.0,5,0,0,0,0,1,0,0,5,18,2
18.0,20.0,15.0,20.0,24.0,11.0,13.0,21.0,14.0,16.0,23.0,14.0,13.0,15.0,18.0,18.0,35.0,25.0,42.0,41.0,55.0,41.0,12.0,9.0,7.0,14.0,30.0,5.0,7,1,0,0,0,0,0,0,7,19,2
20.0,15.0,20.0,24.0,11.0,13.0,21.0,14.0,16.0,23.0,14.0,13.0,15.0,18.0,18.0,35.0,25.0,42.0,41.0,55.0,41.0,12.0,9.0,7.0,14.0,30.0,5.0,7.0,18,0,0,1,0,0,0,0,18,20,2
15.0,20.0,24.0,11.0,13.0,21.0,14.0,16.0,23.0,14.0,13.0,15.0,18.0,18.0,35.0,25.0,42.0,41.0,55.0,41.0,12.0,9.0,7.0,14.0,30.0,5.0,7.0,18.0,32,0,0,0,1,0,0,0,32,21,2
20.0,24.0,11.0,13.0,21.0,14.0,16.0,23.0,14.0,13.0,15.0,18.0,18.0,35.0,25.0,42.0,41.0,55.0,41.0,12.0,9.0,7.0,14.0,30.0,5.0,7.0,18.0,32.0,14,0,1,0,0,0,0,0,14,22,2
24.0,11.0,13.0,21.0,14.0,16.0,23.0,14.0,13.0,15.0,18.0,18.0,35.0,25.0,42.0,41.0,55.0,41.0,12.0,9.0,7.0,14.0,30.0,5.0,7.0,18.0,32.0,14.0,26,0,0,0,0,0,1,0,26,23,2
11.0,13.0,21.0,14.0,16.0,23.0,14.0,13.0,15.0,18.0,18.0,35.0,25.0,42.0,41.0,55.0,41.0,12.0,9.0,7.0,14.0,30.0,5.0,7.0,18.0,32.0,14.0,26.0,34,0,0,0,0,0,0,1,34,24,2
13.0,21.0,14.0,16.0,23.0,14.0,13.0,15.0,18.0,18.0,35.0,25.0,42.0,41.0,55.0,41.0,12.0,9.0,7.0,14.0,30.0,5.0,7.0,18.0,32.0,14.0,26.0,34.0,34,0,0,0,0,1,0,0,34,25,2
21.0,14.0,16.0,23.0,14.0,13.0,15.0,18.0,18.0,35.0,25.0,42.0,41.0,55.0,41.0,12.0,9.0,7.0,14.0,30.0,5.0,7.0,18.0,32.0,14.0,26.0,34.0,34.0,48,1,0,0,0,0,0,0,48,26,2
