lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
30.0,43.0,65.0,56.0,54.0,61.0,45.0,55.0,52.0,59.0,47.0,10.0,22.0,32.0,18.0,22.0,17.0,11.0,27.0,53.0,19.0,15.0,18.0,35.0,26.0,22.0,13.0,15.0,7,0,0,1,0,0,0,0,7,30,1
43.0,65.0,56.0,54.0,61.0,45.0,55.0,52.0,59.0,47.0,10.0,22.0,32.0,18.0,22.0,17.0,11.0,27.0,53.0,19.0,15.0,18.0,35.0,26.0,22.0,13.0,15.0,7.0,20,0,0,0,1,0,0,0,20,31,1
65.0,56.0,54.0,61.0,45.0,55.0,52.0,59.0,47.0,10.0,22.0,32.0,18.0,22.0,17.0,11.0,27.0,53.0,19.0,15.0,18.0,35.0,26.0,22.0,13.0,15.0,7.0,20.0,13,0,1,0,0,0,0,0,13,1,2
56.0,54.0,61.0,45.0,55.0,52.0,59.0,47.0,10.0,22.0,32.0,18.0,22.0,17.0,11.0,27.0,53.0,19.0,15.0,18.0,35.0,26.0,22.0,13.0,15.0,7.0,20.0,13.0,20,0,0,0,0,0,1,0,20,2,2
54.0,61.0,45.0,55.0,52.0,59.0,47.0,10.0,22.0,32.0,18.0,22.0,17.0,11.0,27.0,53.0,19.0,15.0,18.0,35.0,26.0,22.0,13.0,15.0,7.0,20.0,13.0,20.0,10,0,0,0,0,0,0,1,10,3,2
61.0,45.0,55.0,52.0,59.0,47.0,10.0,22.0,32.0,18.0,22.0,17.0,11.0,27.0,53.0,19.0,15.0,18.0,35.0,26.0,22.0,13.0,15.0,7.0,20.0,13.0,20.0,10.0,20,0,0,0,0,1,0,0,20,4,2
45.0,55.0,52.0,59.0,47.0,10.0,22.0,32.0,18.0,22.0,17.0,11.0,27.0,53.0,19.0,15.0,18.0,35.0,26.0,22.0,13.0,15.0,7.0,20.0,13.0,20.0,10.0,20.0,20,1,0,0,0,0,0,0,20,5,2
55.0,52.0,59.0,47.0,10.0,22.0,32.0,18.0,22.0,17.0,11.0,27.0,53.0,19.0,15.0,18.0,35.0,26.0,22.0,13.0,15.0,7.0,20.0,13.0,20.0,10.0,20.0,20.0,29,0,0,1,0,0,0,0,29,6,2
52.0,59.0,47.0,10.0,22.0,32.0,18.0,22.0,17.0,11.0,27.0,53.0,19.0,15.0,18.0,35.0,26.0,22.0,13.0,15.0,7.0,20.0,13.0,20.0,10.0,20.0,20.0,29.0,44,0,0,0,1,0,0,0,44,7,2
59.0,47.0,10.0,22.0,32.0,18.0,22.0,17.0,11.0,27.0,53.0,19.0,15.0,18.0,35.0,26.0,22.0,13.0,15.0,7.0,20.0,13.0,20.0,10.0,20.0,20.0,29.0,44.0,38,0,1,0,0,0,0,0,38,8,2
