lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
39.0,40.0,41.0,36.0,32.0,29.0,44.0,26.0,38.0,37.0,39.0,40.0,39.0,29.0,27.0,25.0,30.0,37.0,39.0,27.0,36.0,37.0,36.0,36.0,37.0,39.0,36.0,38.0,39,0,0,1,0,0,0,0,39,30,1
40.0,41.0,36.0,32.0,29.0,44.0,26.0,38.0,37.0,39.0,40.0,39.0,29.0,27.0,25.0,30.0,37.0,39.0,27.0,36.0,37.0,36.0,36.0,37.0,39.0,36.0,38.0,39.0,38,0,0,0,1,0,0,0,38,31,1
41.0,36.0,32.0,29.0,44.0,26.0,38.0,37.0,39.0,40.0,39.0,29.0,27.0,25.0,30.0,37.0,39.0,27.0,36.0,37.0,36.0,36.0,37.0,39.0,36.0,38.0,39.0,38.0,35,0,1,0,0,0,0,0,35,1,2
36.0,32.0,29.0,44.0,26.0,38.0,37.0,39.0,40.0,39.0,29.0,27.0,25.0,30.0,37.0,39.0,27.0,36.0,37.0,36.0,36.0,37.0,39.0,36.0,38.0,39.0,38.0,35.0,35,0,0,0,0,0,1,0,35,2,2
32.0,29.0,44.0,26.0,38.0,37.0,39.0,40.0,39.0,29.0,27.0,25.0,30.0,37.0,39.0,27.0,36.0,37.0,36.0,36.0,37.0,39.0,36.0,38.0,39.0,38.0,35.0,35.0,35,0,0,0,0,0,0,1,35,3,2
29.0,44.0,26.0,38.0,37.0,39.0,40.0,39.0,29.0,27.0,25.0,30.0,37.0,39.0,27.0,36.0,37.0,36.0,36.0,37.0,39.0,36.0,38.0,39.0,38.0,35.0,35.0,35.0,38,0,0,0,0,1,0,0,38,4,2
44.0,26.0,38.0,37.0,39.0,40.0,39.0,29.0,27.0,25.0,30.0,37.0,39.0,27.0,36.0,37.0,36.0,36.0,37.0,39.0,36.0,38.0,39.0,38.0,35.0,35.0,35.0,38.0,38,1,0,0,0,0,0,0,38,5,2
26.0,38.0,37.0,39.0,40.0,39.0,29.0,27.0,25.0,30.0,37.0,39.0,27.0,36.0,37.0,36.0,36.0,37.0,39.0,36.0,38.0,39.0,38.0,35.0,35.0,35.0,38.0,38.0,40,0,0,1,0,0,0,0,40,6,2
38.0,37.0,39.0,40.0,39.0,29.0,27.0,25.0,30.0,37.0,39.0,27.0,36.0,37.0,36.0,36.0,37.0,39.0,36.0,38.0,39.0,38.0,35.0,35.0,35.0,38.0,38.0,40.0,38,0,0,0,1,0,0,0,38,7,2
37.0,39.0,40.0,39.0,29.0,27.0,25.0,30.0,37.0,39.0,27.0,36.0,37.0,36.0,36.0,37.0,39.0,36.0,38.0,39.0,38.0,35.0,35.0,35.0,38.0,38.0,40.0,38.0,34,0,1,0,0,0,0,0,34,8,2
39.0,40.0,39.0,29.0,27.0,25.0,30.0,37.0,39.0,27.0,36.0,37.0,36.0,36.0,37.0,39.0,36.0,38.0,39.0,38.0,35.0,35.0,35.0,38.0,38.0,40.0,38.0,34.0,38,0,0,0,0,0,1,0,38,9,2
