lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
32.0,30.0,32.0,41.0,46.0,39.0,35.0,20.0,27.0,30.0,24.0,38.0,43.0,38.0,64.0,36.0,20.0,39.0,56.0,55.0,41.0,58.0,74.0,44.0,45.0,38.0,42.0,40.0,33,0,0,1,0,0,0,0,33,30,1
30.0,32.0,41.0,46.0,39.0,35.0,20.0,27.0,30.0,24.0,38.0,43.0,38.0,64.0,36.0,20.0,39.0,56.0,55.0,41.0,58.0,74.0,44.0,45.0,38.0,42.0,40.0,33.0,29,0,0,0,1,0,0,0,29,31,1
32.0,41.0,46.0,39.0,35.0,20.0,27.0,30.0,24.0,38.0,43.0,38.0,64.0,36.0,20.0,39.0,56.0,55.0,41.0,58.0,74.0,44.0,45.0,38.0,42.0,40.0,33.0,29.0,33,0,1,0,0,0,0,0,33,1,2
41.0,46.0,39.0,35.0,20.0,27.0,30.0,24.0,38.0,43.0,38.0,64.0,36.0,20.0,39.0,56.0,55.0,41.0,58.0,74.0,44.0,45.0,38.0,42.0,40.0,33.0,29.0,33.0,32,0,0,0,0,0,1,0,32,2,2
46.0,39.0,35.0,20.0,27.0,30.0,24.0,38.0,43.0,38.0,64.0,36.0,20.0,39.0,56.0,55.0,41.0,58.0,74.0,44.0,45.0,38.0,42.0,40.0,33.0,29.0,33.0,32.0,28,0,0,0,0,0,0,1,28,3,2
39.0,35.0,20.0,27.0,30.0,24.0,38.0,43.0,38.0,64.0,36.0,20.0,39.0,56.0,55.0,41.0,58.0,74.0,44.0,45.0,38.0,42.0,40.0,33.0,29.0,33.0,32.0,28.0,27,0,0,0,0,1,0,0,27,4,2
35.0,20.0,27.0,30.0,24.0,38.0,43.0,38.0,64.0,36.0,20.0,39.0,56.0,55.0,41.0,58.0,74.0,44.0,45.0,38.0,42.0,40.0,33.0,29.0,33.0,32.0,28.0,27.0,44,1,0,0,0,0,0,0,44,5,2
20.0,27.0,30.0,24.0,38.0,43.0,38.0,64.0,36.0,20.0,39.0,56.0,55.0,41.0,58.0,74.0,44.0,45.0,38.0,42.0,40.0,33.0,29.0,33.0,32.0,28.0,27.0,44.0,54,0,0,1,0,0,0,0,54,6,2
27.0,30.0,24.0,38.0,43.0,38.0,64.0,36.0,20.0,39.0,56.0,55.0,41.0,58.0,74.0,44.0,45.0,38.0,42.0,40.0,33.0,29.0,33.0,32.0,28.0,27.0,44.0,54.0,61,0,0,0,1,0,0,0,61,7,2
30.0,24.0,38.0,43.0,38.0,64.0,36.0,20.0,39.0,56.0,55.0,41.0,58.0,74.0,44.0,45.0,38.0,42.0,40.0,33.0,29.0,33.0,32.0,28.0,27.0,44.0,54.0,61.0,32,0,1,0,0,0,0,0,32,8,2
