lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
12.0,6.0,6.0,19.0,7.0,11.0,6.0,6.0,3.0,11.0,11.0,14.0,6.0,20.0,11.0,8.0,16.0,7.0,6.0,4.0,8.0,12.0,15.0,11.0,11.0,18.0,9.0,11.0,12,0,0,0,0,0,0,1,12,29,6
6.0,6.0,19.0,7.0,11.0,6.0,6.0,3.0,11.0,11.0,14.0,6.0,20.0,11.0,8.0,16.0,7.0,6.0,4.0,8.0,12.0,15.0,11.0,11.0,18.0,9.0,11.0,12.0,12,0,0,0,0,0,1,0,12,5,7
6.0,19.0,7.0,11.0,6.0,6.0,3.0,11.0,11.0,14.0,6.0,20.0,11.0,8.0,16.0,7.0,6.0,4.0,8.0,12.0,15.0,11.0,11.0,18.0,9.0,11.0,12.0,12.0,14,0,1,0,0,0,0,0,14,11,7
19.0,7.0,11.0,6.0,6.0,3.0,11.0,11.0,14.0,6.0,20.0,11.0,8.0,16.0,7.0,6.0,4.0,8.0,12.0,15.0,11.0,11.0,18.0,9.0,11.0,12.0,12.0,14.0,14,0,0,0,1,0,0,0,14,17,7
7.0,11.0,6.0,6.0,3.0,11.0,11.0,14.0,6.0,20.0,11.0,8.0,16.0,7.0,6.0,4.0,8.0,12.0,15.0,11.0,11.0,18.0,9.0,11.0,12.0,12.0,14.0,14.0,19,0,0,1,0,0,0,0,19,23,7
11.0,6.0,6.0,3.0,11.0,11.0,14.0,6.0,20.0,11.0,8.0,16.0,7.0,6.0,4.0,8.0,12.0,15.0,11.0,11.0,18.0,9.0,11.0,12.0,12.0,14.0,14.0,19.0,13,1,0,0,0,0,0,0,13,29,7
6.0,6.0,3.0,11.0,11.0,14.0,6.0,20.0,11.0,8.0,16.0,7.0,6.0,4.0,8.0,12.0,15.0,11.0,11.0,18.0,9.0,11.0,12.0,12.0,14.0,14.0,19.0,13.0,12,0,0,0,0,1,0,0,12,4,8
6.0,3.0,11.0,11.0,14.0,6.0,20.0,11.0,8.0,16.0,7.0,6.0,4.0,8.0,12.0,15.0,11.0,11.0,18.0,9.0,11.0,12.0,12.0,14.0,14.0,19.0,13.0,12.0,14,0,0,0,0,0,0,1,14,10,8
3.0,11.0,11.0,14.0,6.0,20.0,11.0,8.0,16.0,7.0,6.0,4.0,8.0,12.0,15.0,11.0,11.0,18.0,9.0,11.0,12.0,12.0,14.0,14.0,19.0,13.0,12.0,14.0,13,0,0,0,0,0,1,0,13,16,8
11.0,11.0,14.0,6.0,20.0,11.0,8.0,16.0,7.0,6.0,4.0,8.0,12.0,15.0,11.0,11.0,18.0,9.0,11.0,12.0,12.0,14.0,14.0,19.0,13.0,12.0,14.0,13.0,11,0,1,0,0,0,0,0,11,22,8
11.0,14.0,6.0,20.0,11.0,8.0,16.0,7.0,6.0,4.0,8.0,12.0,15.0,11.0,11.0,18.0,9.0,11.0,12.0,12.0,14.0,14.0,19.0,13.0,12.0,14.0,13.0,11.0,16,0,0,0,1,0,0,0,16,28,8
14.0,6.0,20.0,11.0,8.0,16.0,7.0,6.0,4.0,8.0,12.0,15.0,11.0,11.0,18.0,9.0,11.0,12.0,12.0,14.0,14.0,19.0,13.0,12.0,14.0,13.0,11.0,16.0,10,0,0,1,0,0,0,0,10,3,9
6.0,20.0,11.0,8.0,16.0,7.0,6.0,4.0,8.0,12.0,15.0,11.0,11.0,18.0,9.0,11.0,12.0,12.0,14.0,14.0,19.0,13.0,12.0,14.0,13.0,11.0,16.0,10.0,18,1,0,0,0,0,0,0,18,9,9
20.0,11.0,8.0,16.0,7.0,6.0,4.0,8.0,12.0,15.0,11.0,11.0,18.0,9.0,11.0,12.0,12.0,14.0,14.0,19.0,13.0,12.0,14.0,13.0,11.0,16.0,10.0,18.0,13,0,0,0,0,1,0,0,13,15,9
11.0,8.0,16.0,7.0,6.0,4.0,8.0,12.0,15.0,11.0,11.0,18.0,9.0,11.0,12.0,12.0,14.0,14.0,19.0,13.0,12.0,14.0,13.0,11.0,16.0,10.0,18.0,13.0,16,0,0,0,0,0,0,1,16,21,9
8.0,16.0,7.0,6.0,4.0,8.0,12.0,15.0,11.0,11.0,18.0,9.0,11.0,12.0,12.0,14.0,14.0,19.0,13.0,12.0,14.0,13.0,11.0,16.0,10.0,18.0,13.0,16.0,11,0,0,0,0,0,1,0,11,27,9
16.0,7.0,6.0,4.0,8.0,12.0,15.0,11.0,11.0,18.0,9.0,11.0,12.0,12.0,14.0,14.0,19.0,13.0,12.0,14.0,13.0,11.0,16.0,10.0,18.0,13.0,16.0,11.0,14,0,1,0,0,0,0,0,14,3,10
7.0,6.0,4.0,8.0,12.0,15.0,11.0,11.0,18.0,9.0,11.0,12.0,12.0,14.0,14.0,19.0,13.0,12.0,14.0,13.0,11.0,16.0,10.0,18.0,13.0,16.0,11.0,14.0,7,0,0,0,1,0,0,0,7,9,10
6.0,4.0,8.0,12.0,15.0,11.0,11.0,18.0,9.0,11.0,12.0,12.0,14.0,14.0,19.0,13.0,12.0,14.0,13.0,11.0,16.0,10.0,18.0,13.0,16.0,11.0,14.0,7.0,11,0,0,1,0,0,0,0,11,15,10
4.0,8.0,12.0,15.0,11.0,11.0,18.0,9.0,11.0,12.0,12.0,14.0,14.0,19.0,13.0,12.0,14.0,13.0,11.0,16.0,10.0,18.0,13.0,16.0,11.0,14.0,7.0,11.0,9,1,0,0,0,0,0,0,9,21,10
8.0,12.0,15.0,11.0,11.0,18.0,9.0,11.0,12.0,12.0,14.0,14.0,19.0,13.0,12.0,14.0,13.0,11.0,16.0,10.0,18.0,13.0,16.0,11.0,14.0,7.0,11.0,9.0,10,0,0,0,0,1,0,0,10,27,10
12.0,15.0,11.0,11.0,18.0,9.0,11.0,12.0,12.0,14.0,14.0,19.0,13.0,12.0,14.0,13.0,11.0,16.0,10.0,18.0,13.0,16.0,11.0,14.0,7.0,11.0,9.0,10.0,18,0,0,0,0,0,0,1,18,2,11
15.0,11.0,11.0,18.0,9.0,11.0,12.0,12.0,14.0,14.0,19.0,13.0,12.0,14.0,13.0,11.0,16.0,10.0,18.0,13.0,16.0,11.0,14.0,7.0,11.0,9.0,10.0,18.0,10,0,0,0,0,0,1,0,10,8,11
11.0,11.0,18.0,9.0,11.0,12.0,12.0,14.0,14.0,19.0,13.0,12.0,14.0,13.0,11.0,16.0,10.0,18.0,13.0,16.0,11.0,14.0,7.0,11.0,9.0,10.0,18.0,10.0,11,0,1,0,0,0,0,0,11,14,11
11.0,18.0,9.0,11.0,12.0,12.0,14.0,14.0,19.0,13.0,12.0,14.0,13.0,11.0,16.0,10.0,18.0,13.0,16.0,11.0,14.0,7.0,11.0,9.0,10.0,18.0,10.0,11.0,7,0,0,1,0,0,0,0,7,26,11
18.0,9.0,11.0,12.0,12.0,14.0,14.0,19.0,13.0,12.0,14.0,13.0,11.0,16.0,10.0,18.0,13.0,16.0,11.0,14.0,7.0,11.0,9.0,10.0,18.0,10.0,11.0,7.0,6,1,0,0,0,0,0,0,6,2,12
9.0,11.0,12.0,12.0,14.0,14.0,19.0,13.0,12.0,14.0,13.0,11.0,16.0,10.0,18.0,13.0,16.0,11.0,14.0,7.0,11.0,9.0,10.0,18.0,10.0,11.0,7.0,6.0,6,0,0,0,0,1,0,0,6,8,12
11.0,12.0,12.0,14.0,14.0,19.0,13.0,12.0,14.0,13.0,11.0,16.0,10.0,18.0,13.0,16.0,11.0,14.0,7.0,11.0,9.0,10.0,18.0,10.0,11.0,7.0,6.0,6.0,6,0,0,0,0,0,0,1,6,14,12
12.0,12.0,14.0,14.0,19.0,13.0,12.0,14.0,13.0,11.0,16.0,10.0,18.0,13.0,16.0,11.0,14.0,7.0,11.0,9.0,10.0,18.0,10.0,11.0,7.0,6.0,6.0,6.0,14,0,0,0,0,0,1,0,14,20,12
12.0,14.0,14.0,19.0,13.0,12.0,14.0,13.0,11.0,16.0,10.0,18.0,13.0,16.0,11.0,14.0,7.0,11.0,9.0,10.0,18.0,10.0,11.0,7.0,6.0,6.0,6.0,14.0,10,0,1,0,0,0,0,0,10,26,12
14.0,14.0,19.0,13.0,12.0,14.0,13.0,11.0,16.0,10.0,18.0,13.0,16.0,11.0,14.0,7.0,11.0,9.0,10.0,18.0,10.0,11.0,7.0,6.0,6.0,6.0,14.0,10.0,7,0,0,0,1,0,0,0,7,1,1
14.0,19.0,13.0,12.0,14.0,13.0,11.0,16.0,10.0,18.0,13.0,16.0,11.0,14.0,7.0,11.0,9.0,10.0,18.0,10.0,11.0,7.0,6.0,6.0,6.0,14.0,10.0,7.0,12,0,0,1,0,0,0,0,12,7,1
19.0,13.0,12.0,14.0,13.0,11.0,16.0,10.0,18.0,13.0,16.0,11.0,14.0,7.0,11.0,9.0,10.0,18.0,10.0,11.0,7.0,6.0,6.0,6.0,14.0,10.0,7.0,12.0,6,1,0,0,0,0,0,0,6,13,1
13.0,12.0,14.0,13.0,11.0,16.0,10.0,18.0,13.0,16.0,11.0,14.0,7.0,11.0,9.0,10.0,18.0,10.0,11.0,7.0,6.0,6.0,6.0,14.0,10.0,7.0,12.0,6.0,9,0,0,0,0,1,0,0,9,19,1
12.0,14.0,13.0,11.0,16.0,10.0,18.0,13.0,16.0,11.0,14.0,7.0,11.0,9.0,10.0,18.0,10.0,11.0,7.0,6.0,6.0,6.0,14.0,10.0,7.0,12.0,6.0,9.0,5,0,0,0,0,0,0,1,5,25,1
14.0,13.0,11.0,16.0,10.0,18.0,13.0,16.0,11.0,14.0,7.0,11.0,9.0,10.0,18.0,10.0,11.0,7.0,6.0,6.0,6.0,14.0,10.0,7.0,12.0,6.0,9.0,5.0,4,0,0,0,0,0,1,0,4,31,1
13.0,11.0,16.0,10.0,18.0,13.0,16.0,11.0,14.0,7.0,11.0,9.0,10.0,18.0,10.0,11.0,7.0,6.0,6.0,6.0,14.0,10.0,7.0,12.0,6.0,9.0,5.0,4.0,12,0,1,0,0,0,0,0,12,6,2
11.0,16.0,10.0,18.0,13.0,16.0,11.0,14.0,7.0,11.0,9.0,10.0,18.0,10.0,11.0,7.0,6.0,6.0,6.0,14.0,10.0,7.0,12.0,6.0,9.0,5.0,4.0,12.0,15,0,0,0,1,0,0,0,15,12,2
16.0,10.0,18.0,13.0,16.0,11.0,14.0,7.0,11.0,9.0,10.0,18.0,10.0,11.0,7.0,6.0,6.0,6.0,14.0,10.0,7.0,12.0,6.0,9.0,5.0,4.0,12.0,15.0,9,0,0,1,0,0,0,0,9,18,2
10.0,18.0,13.0,16.0,11.0,14.0,7.0,11.0,9.0,10.0,18.0,10.0,11.0,7.0,6.0,6.0,6.0,14.0,10.0,7.0,12.0,6.0,9.0,5.0,4.0,12.0,15.0,9.0,7,1,0,0,0,0,0,0,7,24,2
18.0,13.0,16.0,11.0,14.0,7.0,11.0,9.0,10.0,18.0,10.0,11.0,7.0,6.0,6.0,6.0,14.0,10.0,7.0,12.0,6.0,9.0,5.0,4.0,12.0,15.0,9.0,7.0,3,0,0,0,0,1,0,0,3,2,3
