lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
40.0,41.0,44.0,40.0,45.0,41.0,38.0,42.0,45.0,44.0,41.0,51.0,54.0,80.0,87.0,90.0,108.0,48.0,54.0,40.0,38.0,46.0,58.0,58.0,35.0,29.0,27.0,31.0,29,0,0,0,1,0,0,0,29,1,5
41.0,44.0,40.0,45.0,41.0,38.0,42.0,45.0,44.0,41.0,51.0,54.0,80.0,87.0,90.0,108.0,48.0,54.0,40.0,38.0,46.0,58.0,58.0,35.0,29.0,27.0,31.0,29.0,29,0,1,0,0,0,0,0,29,2,5
44.0,40.0,45.0,41.0,38.0,42.0,45.0,44.0,41.0,51.0,54.0,80.0,87.0,90.0,108.0,48.0,54.0,40.0,38.0,46.0,58.0,58.0,35.0,29.0,27.0,31.0,29.0,29.0,37,0,0,0,0,0,1,0,37,3,5
40.0,45.0,41.0,38.0,42.0,45.0,44.0,41.0,51.0,54.0,80.0,87.0,90.0,108.0,48.0,54.0,40.0,38.0,46.0,58.0,58.0,35.0,29.0,27.0,31.0,29.0,29.0,37.0,29,0,0,0,0,0,0,1,29,4,5
45.0,41.0,38.0,42.0,45.0,44.0,41.0,51.0,54.0,80.0,87.0,90.0,108.0,48.0,54.0,40.0,38.0,46.0,58.0,58.0,35.0,29.0,27.0,31.0,29.0,29.0,37.0,29.0,22,0,0,0,0,1,0,0,22,5,5
41.0,38.0,42.0,45.0,44.0,41.0,51.0,54.0,80.0,87.0,90.0,108.0,48.0,54.0,40.0,38.0,46.0,58.0,58.0,35.0,29.0,27.0,31.0,29.0,29.0,37.0,29.0,22.0,26,1,0,0,0,0,0,0,26,6,5
38.0,42.0,45.0,44.0,41.0,51.0,54.0,80.0,87.0,90.0,108.0,48.0,54.0,40.0,38.0,46.0,58.0,58.0,35.0,29.0,27.0,31.0,29.0,29.0,37.0,29.0,22.0,26.0,28,0,0,1,0,0,0,0,28,7,5
42.0,45.0,44.0,41.0,51.0,54.0,80.0,87.0,90.0,108.0,48.0,54.0,40.0,38.0,46.0,58.0,58.0,35.0,29.0,27.0,31.0,29.0,29.0,37.0,29.0,22.0,26.0,28.0,43,0,0,0,1,0,0,0,43,8,5
45.0,44.0,41.0,51.0,54.0,80.0,87.0,90.0,108.0,48.0,54.0,40.0,38.0,46.0,58.0,58.0,35.0,29.0,27.0,31.0,29.0,29.0,37.0,29.0,22.0,26.0,28.0,43.0,28,0,1,0,0,0,0,0,28,9,5
44.0,41.0,51.0,54.0,80.0,87.0,90.0,108.0,48.0,54.0,40.0,38.0,46.0,58.0,58.0,35.0,29.0,27.0,31.0,29.0,29.0,37.0,29.0,22.0,26.0,28.0,43.0,28.0,24,0,0,0,0,0,1,0,24,10,5
41.0,51.0,54.0,80.0,87.0,90.0,108.0,48.0,54.0,40.0,38.0,46.0,58.0,58.0,35.0,29.0,27.0,31.0,29.0,29.0,37.0,29.0,22.0,26.0,28.0,43.0,28.0,24.0,19,0,0,0,0,0,0,1,19,11,5
51.0,54.0,80.0,87.0,90.0,108.0,48.0,54.0,40.0,38.0,46.0,58.0,58.0,35.0,29.0,27.0,31.0,29.0,29.0,37.0,29.0,22.0,26.0,28.0,43.0,28.0,24.0,19.0,28,0,0,0,0,1,0,0,28,12,5
