lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
37.0,36.0,32.0,31.0,35.0,31.0,29.0,27.0,34.0,33.0,40.0,47.0,44.0,37.0,33.0,35.0,31.0,32.0,24.0,19.0,32.0,32.0,36.0,35.0,31.0,39.0,40.0,46.0,46,0,0,1,0,0,0,0,46,30,1
36.0,32.0,31.0,35.0,31.0,29.0,27.0,34.0,33.0,40.0,47.0,44.0,37.0,33.0,35.0,31.0,32.0,24.0,19.0,32.0,32.0,36.0,35.0,31.0,39.0,40.0,46.0,46.0,48,0,0,0,1,0,0,0,48,31,1
32.0,31.0,35.0,31.0,29.0,27.0,34.0,33.0,40.0,47.0,44.0,37.0,33.0,35.0,31.0,32.0,24.0,19.0,32.0,32.0,36.0,35.0,31.0,39.0,40.0,46.0,46.0,48.0,36,0,1,0,0,0,0,0,36,1,2
31.0,35.0,31.0,29.0,27.0,34.0,33.0,40.0,47.0,44.0,37.0,33.0,35.0,31.0,32.0,24.0,19.0,32.0,32.0,36.0,35.0,31.0,39.0,40.0,46.0,46.0,48.0,36.0,41,0,0,0,0,0,1,0,41,2,2
35.0,31.0,29.0,27.0,34.0,33.0,40.0,47.0,44.0,37.0,33.0,35.0,31.0,32.0,24.0,19.0,32.0,32.0,36.0,35.0,31.0,39.0,40.0,46.0,46.0,48.0,36.0,41.0,37,0,0,0,0,0,0,1,37,3,2
31.0,29.0,27.0,34.0,33.0,40.0,47.0,44.0,37.0,33.0,35.0,31.0,32.0,24.0,19.0,32.0,32.0,36.0,35.0,31.0,39.0,40.0,46.0,46.0,48.0,36.0,41.0,37.0,40,0,0,0,0,1,0,0,40,4,2
29.0,27.0,34.0,33.0,40.0,47.0,44.0,37.0,33.0,35.0,31.0,32.0,24.0,19.0,32.0,32.0,36.0,35.0,31.0,39.0,40.0,46.0,46.0,48.0,36.0,41.0,37.0,40.0,43,1,0,0,0,0,0,0,43,5,2
27.0,34.0,33.0,40.0,47.0,44.0,37.0,33.0,35.0,31.0,32.0,24.0,19.0,32.0,32.0,36.0,35.0,31.0,39.0,40.0,46.0,46.0,48.0,36.0,41.0,37.0,40.0,43.0,66,0,0,1,0,0,0,0,66,6,2
34.0,33.0,40.0,47.0,44.0,37.0,33.0,35.0,31.0,32.0,24.0,19.0,32.0,32.0,36.0,35.0,31.0,39.0,40.0,46.0,46.0,48.0,36.0,41.0,37.0,40.0,43.0,66.0,45,0,0,0,1,0,0,0,45,7,2
33.0,40.0,47.0,44.0,37.0,33.0,35.0,31.0,32.0,24.0,19.0,32.0,32.0,36.0,35.0,31.0,39.0,40.0,46.0,46.0,48.0,36.0,41.0,37.0,40.0,43.0,66.0,45.0,38,0,1,0,0,0,0,0,38,8,2
40.0,47.0,44.0,37.0,33.0,35.0,31.0,32.0,24.0,19.0,32.0,32.0,36.0,35.0,31.0,39.0,40.0,46.0,46.0,48.0,36.0,41.0,37.0,40.0,43.0,66.0,45.0,38.0,38,0,0,0,0,0,1,0,38,9,2
47.0,44.0,37.0,33.0,35.0,31.0,32.0,24.0,19.0,32.0,32.0,36.0,35.0,31.0,39.0,40.0,46.0,46.0,48.0,36.0,41.0,37.0,40.0,43.0,66.0,45.0,38.0,38.0,41,0,0,0,0,0,0,1,41,10,2
44.0,37.0,33.0,35.0,31.0,32.0,24.0,19.0,32.0,32.0,36.0,35.0,31.0,39.0,40.0,46.0,46.0,48.0,36.0,41.0,37.0,40.0,43.0,66.0,45.0,38.0,38.0,41.0,45,0,0,0,0,1,0,0,45,11,2
37.0,33.0,35.0,31.0,32.0,24.0,19.0,32.0,32.0,36.0,35.0,31.0,39.0,40.0,46.0,46.0,48.0,36.0,41.0,37.0,40.0,43.0,66.0,45.0,38.0,38.0,41.0,45.0,67,1,0,0,0,0,0,0,67,12,2
33.0,35.0,31.0,32.0,24.0,19.0,32.0,32.0,36.0,35.0,31.0,39.0,40.0,46.0,46.0,48.0,36.0,41.0,37.0,40.0,43.0,66.0,45.0,38.0,38.0,41.0,45.0,67.0,37,0,0,1,0,0,0,0,37,13,2
35.0,31.0,32.0,24.0,19.0,32.0,32.0,36.0,35.0,31.0,39.0,40.0,46.0,46.0,48.0,36.0,41.0,37.0,40.0,43.0,66.0,45.0,38.0,38.0,41.0,45.0,67.0,37.0,33,0,0,0,1,0,0,0,33,14,2
31.0,32.0,24.0,19.0,32.0,32.0,36.0,35.0,31.0,39.0,40.0,46.0,46.0,48.0,36.0,41.0,37.0,40.0,43.0,66.0,45.0,38.0,38.0,41.0,45.0,67.0,37.0,33.0,42,0,1,0,0,0,0,0,42,15,2
32.0,24.0,19.0,32.0,32.0,36.0,35.0,31.0,39.0,40.0,46.0,46.0,48.0,36.0,41.0,37.0,40.0,43.0,66.0,45.0,38.0,38.0,41.0,45.0,67.0,37.0,33.0,42.0,40,0,0,0,0,0,1,0,40,16,2
