lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13,lag_14,lag_15,lag_16,lag_17,lag_18,lag_19,lag_20,lag_21,lag_22,lag_23,lag_24,lag_25,lag_26,lag_27,lag_28,lag_29,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,AQI,current_date,current_month
63.0,64.0,44.0,40.0,36.0,40.0,60.0,53.0,52.0,64.0,48.0,59.0,73.0,61.0,70.0,108.0,66.0,56.0,38.0,64.0,70.0,70.0,53.0,54.0,46.0,62.0,68.0,71.0,53,0,0,1,0,0,0,0,53,30,1
64.0,44.0,40.0,36.0,40.0,60.0,53.0,52.0,64.0,48.0,59.0,73.0,61.0,70.0,108.0,66.0,56.0,38.0,64.0,70.0,70.0,53.0,54.0,46.0,62.0,68.0,71.0,53.0,41,0,0,0,1,0,0,0,41,31,1
44.0,40.0,36.0,40.0,60.0,53.0,52.0,64.0,48.0,59.0,73.0,61.0,70.0,108.0,66.0,56.0,38.0,64.0,70.0,70.0,53.0,54.0,46.0,62.0,68.0,71.0,53.0,41.0,37,0,1,0,0,0,0,0,37,1,2
40.0,36.0,40.0,60.0,53.0,52.0,64.0,48.0,59.0,73.0,61.0,70.0,108.0,66.0,56.0,38.0,64.0,70.0,70.0,53.0,54.0,46.0,62.0,68.0,71.0,53.0,41.0,37.0,41,0,0,0,0,0,1,0,41,2,2
36.0,40.0,60.0,53.0,52.0,64.0,48.0,59.0,73.0,61.0,70.0,108.0,66.0,56.0,38.0,64.0,70.0,70.0,53.0,54.0,46.0,62.0,68.0,71.0,53.0,41.0,37.0,41.0,42,0,0,0,0,0,0,1,42,3,2
40.0,60.0,53.0,52.0,64.0,48.0,59.0,73.0,61.0,70.0,108.0,66.0,56.0,38.0,64.0,70.0,70.0,53.0,54.0,46.0,62.0,68.0,71.0,53.0,41.0,37.0,41.0,42.0,50,0,0,0,0,1,0,0,50,4,2
60.0,53.0,52.0,64.0,48.0,59.0,73.0,61.0,70.0,108.0,66.0,56.0,38.0,64.0,70.0,70.0,53.0,54.0,46.0,62.0,68.0,71.0,53.0,41.0,37.0,41.0,42.0,50.0,40,1,0,0,0,0,0,0,40,5,2
53.0,52.0,64.0,48.0,59.0,73.0,61.0,70.0,108.0,66.0,56.0,38.0,64.0,70.0,70.0,53.0,54.0,46.0,62.0,68.0,71.0,53.0,41.0,37.0,41.0,42.0,50.0,40.0,51,0,0,1,0,0,0,0,51,6,2
52.0,64.0,48.0,59.0,73.0,61.0,70.0,108.0,66.0,56.0,38.0,64.0,70.0,70.0,53.0,54.0,46.0,62.0,68.0,71.0,53.0,41.0,37.0,41.0,42.0,50.0,40.0,51.0,45,0,0,0,1,0,0,0,45,7,2
64.0,48.0,59.0,73.0,61.0,70.0,108.0,66.0,56.0,38.0,64.0,70.0,70.0,53.0,54.0,46.0,62.0,68.0,71.0,53.0,41.0,37.0,41.0,42.0,50.0,40.0,51.0,45.0,45,0,1,0,0,0,0,0,45,8,2
